record_id,doi,title,retrieval_status
doi:10.1002/alz.12278,10.1002/alz.12278,Neuroscience Next 2020 Abstracts,no_open_full_text_found
doi:10.1002/hon.2950,10.1002/hon.2950,Differential transcriptomic profiling in ibrutinib‐naïve versus ibrutinib‐resistant Richter syndrome,no_open_full_text_found
doi:10.1016/j.jid.2019.07.004,10.1016/j.jid.2019.07.004,Genome-wide association study of acne inversa in a multi-ethnic cohort,open_location_unavailable
doi:10.1093/ije/dyaa075,10.1093/ije/dyaa075,Cohort Profile: The Leipzig Research Center for Civilization Diseases–Heart Study (LIFE-Heart),open_location_unavailable
doi:10.1093/nsr/nwx146,10.1093/nsr/nwx146,cGAS-STING pathway in senescence-related inflammation,open_location_unavailable
doi:10.1095/biolreprod.113.108985,10.1095/biolreprod.113.108985,WORLD OF REPRODUCTIVE BIOLOGY: Epigenetics: Get Them While They're Young,no_open_full_text_found
doi:10.1095/biolreprod.114.117291,10.1095/biolreprod.114.117291,WORLD OF REPRODUCTIVE BIOLOGY: IVF--It's the Hormones,no_open_full_text_found
doi:10.1095/biolreprod.114.117887,10.1095/biolreprod.114.117887,WORLD OF REPRODUCTIVE BIOLOGY: Mendel Meets Imprinting,no_open_full_text_found
doi:10.1096/fj.202100317,10.1096/fj.202100317,"The 2020 FASEB virtual Catalyst Conference on Integrative Approach for Complex Diseases Prevention and Management and Beyond, December 16, 2020",open_location_unavailable
doi:10.1097/01.jcma.0001096048.54396.64,10.1097/01.jcma.0001096048.54396.64,Title Index,open_location_unavailable
doi:10.1097/hjh.0b013e32834ee23c,10.1097/hjh.0b013e32834ee23c,Essential hypertension,no_open_full_text_found
doi:10.1111/bjd.21182,10.1111/bjd.21182,P60: Merkel cell cancer: the need to standardize care,open_location_unavailable
doi:10.1111/exd.12771,10.1111/exd.12771,All is balanced: inter‐ α ‐trypsin inhibitors as unseen extracellular matrix proteins in epidermal morphology and differentiation,open_location_unavailable
doi:10.1111/gbb.12646,10.1111/gbb.12646,Sex differences in mechanisms of disease,open_location_unavailable
doi:10.1111/nbu.12575,10.1111/nbu.12575,Vitamin D: One hundred years on,open_location_unavailable
doi:10.1113/jp287235,10.1113/jp287235,Epigenome–proteome integration in aged skeletal muscle after exercise training,open_location_unavailable
doi:10.1158/1538-7445.am2025-sy02-01,10.1158/1538-7445.am2025-sy02-01,Abstract SY02-01: Inflammatory memory and selective advantage in human clonal hematopoiesis,no_open_full_text_found
doi:10.4081/ejtm.2026.14960,10.4081/ejtm.2026.14960,"Abstract | 009 | Lecture - FES in mice, rats and men: adaptation and recovery in aging rodent muscle",open_location_unavailable
doi:10.4103/nrr.nrr-d-25-00422,10.4103/nrr.nrr-d-25-00422,Shuttle and stabilize: H1.2-FUS complex in amyotrophic lateral sclerosis pathogenesis,open_location_unavailable
doi:10.5281/zenodo.20257527,10.5281/zenodo.20257527,"ITU and Genomics: A Single-Axiom View of DNA, Human Genome Project, CRISPR Gene Editing, AlphaFold, AI Drug Discovery, Population Genetics, Coalescent Theory, and Ancient DNA — Block B 5/?, Pass-1 Final Tier 1",open_location_unavailable
doi:10.7936/zw5q-8j61,10.7936/zw5q-8j61,Investigating Biological Mechanisms of Radiation Resistance in Advanced Stage Cervical Cancer,open_location_unavailable
