source,source_record_id,title,abstract,year,publication_date,doi,pmid,pmcid,authors,venue,document_type,language,url,is_preprint,raw_page,query_branches,local_multiomics_match,local_explicit_multiomics_match,local_layer_pair_match,local_omics_layer_count,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match,provenance_sources,duplicate_count
europepmc,MED:11884366,Applied proteomics: mitochondrial proteins and effect on function.,"The identification of a majority of the polypeptides in mitochondria would be invaluable because they play crucial and diverse roles in many cellular processes and diseases. The endogenous production of reactive oxygen species (ROS) is a major limiter of life as illustrated by studies in which the transgenic overexpression in invertebrates of catalytic antioxidant enzymes results in increased lifespans. Mitochondria have received considerable attention as a principal source---and target---of ROS. Mitochondrial oxidative stress has been implicated in heart disease including myocardial preconditioning, ischemia/reperfusion, and other pathologies. In addition, oxidative stress in the mitochondria is associated with the pathogenesis of Alzheimer's disease, Parkinson's disease, prion diseases, and amyotrophic lateral sclerosis (ALS) as well as aging itself. The rapidly emerging field of proteomics can provide powerful strategies for the characterization of mitochondrial proteins. Current approaches to mitochondrial proteomics include the creation of detailed catalogues of the protein components in a single sample or the identification of differentially expressed proteins in diseased or physiologically altered samples versus a reference control. It is clear that for any proteomics approach prefractionation of complex protein mixtures is essential to facilitate the identification of low-abundance proteins because the dynamic range of protein abundance within cells has been estimated to be as high as 10(7). The opportunities for identification of proteins directly involved in diseases associated with or caused by mitochondrial dysfunction are compelling. Future efforts will focus on linking genomic array information to actual protein levels in mitochondria.",2002,2002-03-01,10.1161/hh0402.105757,11884366,,"Lopez MF, Melov S.",,"Research Support, U.S. Gov't, P.H.S.; Review; Journal Article",eng,https://europepmc.org/article/MED/11884366,False,page_0002.json.gz,,True,False,True,2,genomics;proteomics,True,True,True,europepmc;openalex;pubmed;scopus,3
europepmc,MED:15731305,"Aging of oocyte, ovary, and human reproduction.","We review age-related changes in the ovary and their effect on female fertility, with particular emphasis on follicle formation, follicle dynamics, and oocyte quality. The evidence indicates that the developmental processes leading to follicle formation set the rules determining follicle quiescence and growth. This regulatory system is maintained until menopause and is directly affected in at least some models of premature ovarian failure (POF), most strikingly in the Foxl2 mouse knockout, a model of human POF with monogenic etiology (blepharophimosis/ptosis/epicanthus inversus syndrome). Several lines of evidence indicate that if the ovarian germ cell lineage maintains regenerative potential, as recently suggested in the mouse, a role in follicle dynamics for germ stem cells, if any, is likely indirect or secondary. In addition, age-related variations in oocyte quality in animal models suggest that reproductive competence is acquired progressively and might depend on parallel growth and differentiation of follicle cells and stroma. Genomewide analyses of the mouse oocyte transcriptome have begun to be used to systematically investigate the mechanisms of reproductive competence that are altered with aging. Investigative and therapeutic strategies can benefit from considering the role of continuous interactions between follicle cells and oocytes from the beginning of histogenesis to full maturation.",2004,2004-12-01,10.1196/annals.1335.015,15731305,,"Ottolenghi C, Uda M, Hamatani T, Crisponi L, Garcia JE, Ko M, Pilia G, Sforza C, Schlessinger D, Forabosco A.",,Review; Journal Article,eng,https://europepmc.org/article/MED/15731305,False,page_0002.json.gz,,True,False,True,2,genomics;transcriptomics,True,True,True,europepmc;pubmed;scopus,2
europepmc,MED:16390681,Mitochondria as a target for early detection and diagnosis of cancer.,"Mitochondrial dysfunction and mutations in mitochondrial DNA (mtDNA) have been frequently reported in cancer, neurodegenerative diseases, diabetes, and aging syndromes. The mitochondrion genome (16.5 Kb) codes only for a small fraction (estimated to be 1%) of the proteins housed within this organelle. The other proteins are encoded by the nuclear DNA (nDNA) and transported into the mitochondria. The identification of mitochondrial proteins that are aberrantly expressed in cancer cells and other diseases is now possible through recent developments in proteomic and bioinformatic technologies. These developments set the stage for a comprehensive organelle-based proteomic approach for the identification of new markers for the early detection, risk assessment, and diagnosis of cancer, and other diseases and for the identification of new targets for therapeutic prevention and intervention.",2005,2005-01-01,10.1080/10408360500295477,16390681,,"Kagan J, Srivastava S.",,Review; Journal Article,eng,https://europepmc.org/article/MED/16390681,False,page_0002.json.gz,,True,False,True,2,genomics;proteomics,True,True,True,europepmc;pubmed;scopus,2
europepmc,MED:16249125,Expression profiling in the aging brain: a perspective.,"To evaluate molecular events associated with the aging process in animal models and human tissues, microarray analysis is performed at the regional and cellular levels to define transcriptional patterns or mosaics that may lead to better understanding of the mechanism(s) that drive senescence. In this review, we outline the experimental and analytical issues associated with high-throughput genomic analyses in aging brain and other tissues for a comprehensive evaluation of the current state of microarray analysis in aging paradigms. Ultimately, the goal of these studies is to apply functional genomics and proteomics approaches to aging research to develop new tools to assess age in cell- and tissue-specific manners in order to develop aging biomarkers for pharmacotherapeutic interventions and disease prevention.",2005,2005-10-24,10.1016/j.arr.2005.06.009,16249125,,"Galvin JE, Ginsberg SD.",,"Research Support, Non-U.S. Gov't; Review; Journal Article; Research Support, N.I.H., Extramural",eng,https://europepmc.org/article/MED/16249125,False,page_0002.json.gz,,True,False,True,2,genomics;proteomics,True,True,True,europepmc;pubmed;scopus;semantic_scholar,3
europepmc,MED:17969863,The daily timing of gene expression and physiology in mammals.,"Mammalian behavior and physiology undergo daily rhythms that are coordinated by an endogenous circadian timing system. This system has a hierarchical structure, in that a master pacemaker, residing in the suprachiasmatic nucleus of the ventral hypothalamus, synchronizes peripheral oscillators in virtually all body cells. While the basic molecular mechanisms generating the daily rhythms are similar in all cells, most clock outputs are cell-specific. This conclusion is based on genome-wide transcriptome profiling studies in several tissues that have revealed hundreds of rhythmically expressed genes. Cyclic gene expression in the various organs governs overt rhythms in behavior and physiology, encompassing sleep-wake cycles, metabolism, xenobiotic detoxification, and cellular proliferation. As a consequence, chronic perturbation of this temporal organization may lead to increased morbidity and reduced lifespan.",2007,2007-01-01,10.31887/dcns.2007.9.3/uschibler,17969863,PMC3202490,Schibler U.,,"Research Support, Non-U.S. Gov't; research-article; Review; Journal Article",eng,https://europepmc.org/article/MED/17969863,False,page_0002.json.gz,,True,False,True,2,genomics;transcriptomics,True,True,True,europepmc;pubmed;scopus,2
europepmc,MED:17717116,Aging and cardioprotection.,"Advanced age is a strong independent predictor for death, disability, and morbidity in patients with structural heart disease. With the projected increase in the elderly population and the prevalence of age-related cardiovascular disabilities worldwide, the need to understand the biology of the aging heart, the mechanisms for age-mediated cardiac vulnerability, and the development of strategies to limit myocardial dysfunction in the elderly have never been more urgent. Experimental evidence in animal models indicate attenuation in cardioprotective pathways with aging, yet limited information is available regarding age-related changes in the human heart. Human cardiac aging generates a complex phenotype, only partially replicated in animal models. Here, we summarize current understanding of the aging heart stemming from clinical and experimental studies, and we highlight targets for protection of the vulnerable senescent myocardium. Further progress mandates assessment of human tissue to dissect specific aging-associated genomic and proteomic dynamics, and their functional consequences leading to increased susceptibility of the heart to injury, a critical step toward designing novel therapeutic interventions to limit age-related myocardial dysfunction and promote healthy aging.",2007,2007-08-23,10.1152/japplphysiol.00647.2007,17717116,,"Jahangir A, Sagar S, Terzic A.",,"Research Support, Non-U.S. Gov't; Review; Journal Article; Research Support, N.I.H., Extramural",eng,https://europepmc.org/article/MED/17717116,False,page_0002.json.gz,,True,False,True,2,genomics;proteomics,True,True,True,europepmc;pubmed;scopus,2
europepmc,MED:18022365,Antisense RNA stabilization induces transcriptional gene silencing via histone deacetylation in S. cerevisiae.,"Genome-wide studies in S. cerevisiae reveal that the transcriptome includes numerous antisense RNAs as well as intergenic transcripts regulated by the exosome component Rrp6. We observed that upon the loss of Rrp6 function, two PHO84 antisense transcripts are stabilized, and PHO84 gene transcription is repressed. Interestingly, the same phenotype is observed in wild-type cells during chronological aging. Epistasis and chromatin immunoprecipitation experiments indicate that the loss of Rrp6 function is paralleled by the recruitment of Hda1 histone deacetylase to PHO84 and neighboring genes. However, histone deacetylation is restricted to PHO84, suggesting that Hda1 activity depends on antisense RNA. Accordingly, the knockdown of antisense production prevents PHO84 gene repression, even in the absence of Rrp6. Together, our data indicate that the stabilization of antisense transcripts results in PHO84 gene repression via a mechanism distinct from transcription interference and that the modulation of Rrp6 function contributes to gene regulation by inducing RNA-dependent epigenetic modifications.",2007,2007-11-01,10.1016/j.cell.2007.09.014,18022365,,"Camblong J, Iglesias N, Fickentscher C, Dieppois G, Stutz F.",,"Research Support, Non-U.S. Gov't; Journal Article",eng,https://europepmc.org/article/MED/18022365,False,page_0002.json.gz,,True,False,True,3,epigenomics;genomics;transcriptomics,True,True,True,europepmc;pubmed;scopus,2
europepmc,MED:18065623,Effects of ADH2 overexpression in Saccharomyces bayanus during alcoholic fermentation.,"The effect of overexpression of the gene ADH2 on metabolic and biological activity in Saccharomyces bayanus V5 during alcoholic fermentation has been evaluated. This gene is known to encode alcohol dehydrogenase II (ADH II). During the biological aging of sherry wines, where yeasts have to grow on ethanol owing to the absence of glucose, this isoenzyme plays a prominent role by converting the ethanol into acetaldehyde and producing NADH in the process. Overexpression of the gene ADH2 during alcoholic fermentation has no effect on the proteomic profile or the net production of some metabolites associated with glycolysis and alcoholic fermentation such as ethanol, acetaldehyde, and glycerol. However, it affects indirectly glucose and ammonium uptakes, cell growth, and intracellular redox potential, which lead to an altered metabolome. The increased contents in acetoin, acetic acid, and L-proline present in the fermentation medium under these conditions can be ascribed to detoxification by removal of excess acetaldehyde and the need to restore and maintain the intracellular redox potential balance.",2008,2007-12-07,10.1128/aem.01805-07,18065623,PMC2227724,"Maestre O, García-Martínez T, García-Martínez T, Peinado RA, Mauricio JC.",,"Research Support, Non-U.S. Gov't; research-article; Journal Article",eng,https://europepmc.org/article/MED/18065623,False,page_0002.json.gz,,True,False,True,2,metabolomics;proteomics,True,True,True,europepmc;openalex;pubmed;scopus,4
europepmc,MED:18418970,[Effect and mechanism of Epimedium flavanoids for aging retardation from viewpoint of transcriptomics and metabonomics].,"Objective To investigate the effect and its mechanism of Epimedium flavanoids (EF) in retarding aging with different systematic viewpoints. Methods Hypothalamus, pituitary, adrenal and lymphocytes taken from 4-, 10-, 18-, 24-month old rats and from EF treated 24-month old rats were used to measure whole genome mRNA expression by gene array. Serum samples were used for metabonomic assay with high performance liquid chromatography. Using specific gene chip for NF-kappaB signaling pathway to detect the gene expression of the molecule related to that pathway in lymphocytes. Then, a neural network (NN) model was established upon the data obtained to quantitatively evaluate the degree of aging and the efficacy of drug intervention. Results Gene expression of 199 genes showedan age-dependent pattern, most of which were reversed by EF, and the output of NN model showed that EF made the transcriptomics of 24-month old rats to 8-13 months. Seventeen metabolites among the 1,885 peaks detected were identified to have significant age-depending changes, and EF intervention reset the level of metabolites to a younger (18-month) level. The integral level of gene expression for NF-kappaB signaling pathway decreased significantly along with the increasing of age, and was significantly elevated by EF, NN model showed it approached to 10.5-month old. Conclusion Phenotype of aging at different levels demonstrates a common age-dependent trend; EF can reverse this age-dependent change at different levels in a synchronous manner.",2008,2008-01-01,,18418970,,"Huang JH, Shen ZY, Wu B.",,"Research Support, Non-U.S. Gov't; Journal Article; English Abstract",chi,https://europepmc.org/article/MED/18418970,False,page_0002.json.gz,,True,False,True,3,genomics;metabolomics;transcriptomics,True,True,True,europepmc;pubmed;scopus,2
europepmc,MED:18425004,Proteomics: present and future implications in neuro-oncology.,"PROTEOMICS, IN ITS broadest mandate, is the study of proteins and their functions. As the ""workhorses"" of the genome, proteins govern normal cellular structure and function. Protein function is not just a reflection of its expression level; it is also the cumulative result of many post-transcriptional (splicing) and post-translational events that together determine cellular localization, interactions, and longevity. The composition and variability of the proteome is vastly more complex than the corresponding genome. It is this proteome variation that helps define an organism and the unique characteristics that separate one individual from another. Aberrations in protein function, which alter normal cellular structure and function, are the ultimate basis of disease, including cancer. Therefore, an understanding of protein networks through a systems biology approach of proteomics is necessary to understand normal and abnormal cellular function, with the goal of performing rational therapeutic interventions. In this review, we focus on two emerging proteomic technologies: mass spectrometry and bioluminescence resonance energy transfer. In addition to reviewing the principles and potential utilization of these two techniques, we highlight their application in neuro-oncology research.",2008,2008-03-01,10.1227/01.neu.0000317302.85837.61,18425004,,"Micallef J, Gajadhar A, Wiley J, DeSouza LV, Michael Siu KW, Guha A.",,"Research Support, Non-U.S. Gov't; Review; Journal Article",eng,https://europepmc.org/article/MED/18425004,False,page_0002.json.gz,,True,False,True,2,genomics;proteomics,True,True,True,europepmc;pubmed;scopus,2
