document_id,doi,title,record_id,source_format,source_path,source_bytes,source_sha256,retrieval_status
record_85d3e16c4d4ca16d,10.1002/alz.12278,Neuroscience Next 2020 Abstracts,doi:10.1002/alz.12278,txt,data/full_text/v1.1.2_oversized_20k_seek66/agent_recovery/combined/files/85d3e16c4d4ca16d.txt,1198846,d1aef4acce40ad16bda3cb9569caef42277b587a133d4eb02d494d8bba1bdd59,recovered
record_09b5ae7be95a720a,10.1016/j.jid.2019.07.004,Genome-wide association study of acne inversa in a multi-ethnic cohort,doi:10.1016/j.jid.2019.07.004,pdf,data/full_text/v1.1.2_oversized_20k_seek66/agent_recovery/combined/files/09b5ae7be95a720a.pdf,1973800,964c60b387e552a81b0e2f57621ebb652a29ffe03313dc1ce844cef7aec97326,recovered
record_18004e7456e890d9,10.1093/ije/dyaa075,Cohort Profile: The Leipzig Research Center for Civilization Diseases–Heart Study (LIFE-Heart),doi:10.1093/ije/dyaa075,pdf,data/full_text/v1.1.2_oversized_20k_seek66/agent_recovery/combined/files/18004e7456e890d9.pdf,402104,d16e2280626414fd84a4b27cd3cd81303e302e9d87b926f1834f06de29900a21,recovered
record_8102648f6cfdbe49,10.1093/nsr/nwx146,cGAS-STING pathway in senescence-related inflammation,doi:10.1093/nsr/nwx146,pdf,data/full_text/v1.1.2_oversized_20k_seek66/agent_recovery/combined/files/8102648f6cfdbe49.pdf,259802,534122983a203a36f69bb36a69d55a52d8a615260243a9130635227f814b9585,recovered
record_07359190d9dc502e,10.1096/fj.202100317,"The 2020 FASEB virtual Catalyst Conference on Integrative Approach for Complex Diseases Prevention and Management and Beyond, December 16, 2020",doi:10.1096/fj.202100317,pdf,data/full_text/v1.1.2_oversized_20k_seek66/agent_recovery/combined/files/07359190d9dc502e.pdf,586502,98aa0f12b32c8cc9a49b6e2902b781e8e100657f67a199a68730caa324bafe19,recovered
record_be5c487397295f72,10.1097/01.jcma.0001096048.54396.64,Title Index,doi:10.1097/01.jcma.0001096048.54396.64,txt,data/full_text/v1.1.2_oversized_20k_seek66/agent_recovery/combined/files/be5c487397295f72.txt,22833,0dc615724c707201cd6159e43e462788e82ec83d4963bf147ea891b29f5945e9,recovered
record_3c0245b9ab08c2bd,10.1097/hjh.0b013e32834ee23c,Essential hypertension,doi:10.1097/hjh.0b013e32834ee23c,html,data/full_text/v1.1.2_oversized_20k_seek66/agent_recovery/combined/files/3c0245b9ab08c2bd.html,151446,032253f5dc9140a8ff9d388347cfbfbe1f26416ace267ecc271eac6bb3321528,recovered
record_99f473dea3d4752a,10.1111/bjd.21182,P60: Merkel cell cancer: the need to standardize care,doi:10.1111/bjd.21182,txt,data/full_text/v1.1.2_oversized_20k_seek66/agent_recovery/combined/files/99f473dea3d4752a.txt,30425,54501e9fe6525f7b2010a125b4ea4ed2abf7d61967c93ec8821291df10d622cc,recovered
record_bce5e182c440a7ff,10.1111/exd.12771,All is balanced: inter‐ α ‐trypsin inhibitors as unseen extracellular matrix proteins in epidermal morphology and differentiation,doi:10.1111/exd.12771,html,data/full_text/v1.1.2_oversized_20k_seek66/agent_recovery/combined/files/bce5e182c440a7ff.html,97832,c3eae50b3c99a3f13811a6d5ffe6b08e428388a5d4bcb8411cd7439c6f5b075f,recovered
record_6eaf1c42e5741782,10.1111/gbb.12646,Sex differences in mechanisms of disease,doi:10.1111/gbb.12646,html,data/full_text/v1.1.2_oversized_20k_seek66/agent_recovery/combined/files/6eaf1c42e5741782.html,77429,d168b773941ca3ec09360bb4816029b5f474f6005426bc902540ca7fe1d8bf0c,recovered
