record_id,doi,title,normalized_title,source_cohort,publication_form_initial,eligibility_ledger,eligibility_decision,version_candidate_id,provisional_canonical_report,study_id,report_to_study_status,synthesis_inclusion_status
doi:10.1001/jamapsychiatry.2024.1429,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity",major psychiatric disorders substance use behaviors and longevity,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1002/advs.202502249,10.1002/advs.202502249,ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy.,atf3 deficiency exacerbates ageing induced atherosclerosis and clinical intervention strategy,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1002/advs.202514269,10.1002/advs.202514269,Gut-Metabolome-Proteome Interactions in Age-Related Hearing Loss: Insights from Fecal Microbiota Transplantation and Multi-Omics Analyses.,gut metabolome proteome interactions in age related hearing loss insights from fecal microbiota transplantation and multi omics analyses,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1002/advs.202515370,10.1002/advs.202515370,Medicago Sativa L. Saponin‐Driven Lactobacillus Intestinalis Restores Intestinal Stemness in Naturally Aged Mice via the Bile Acid‐FXR‐Wnt Signaling Axis,medicago sativa l saponindriven lactobacillus intestinalis restores intestinal stemness in naturally aged mice via the bile acidfxrwnt signaling axis,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1002/advs.202521633,10.1002/advs.202521633,The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice.,the age dependent resident myonuclear multi omic response to an acute skeletal muscle hypertrophic stimulus in mice,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,version_candidate_001,true,,confirmed_version_group,pending_causal_evidence_extraction
doi:10.1002/ctm2.317,10.1002/ctm2.317,A folate receptor 3 SNP promotes mitochondria‐induced clonogenicity of CML leukemia cells: Implications for treatment free remission,a folate receptor 3 snp promotes mitochondriainduced clonogenicity of cml leukemia cells implications for treatment free remission,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1002/ctm2.70527,10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging,spatiotemporal mapping reveals ccl8hi macrophages as key drivers of testicular inflammaging,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1002/fsn3.71826,10.1002/fsn3.71826,Protocatechuic Acid Alleviates D‐Gal‐Induced Renal Senescence and Injury in Mice by Regulating Taurine Metabolism,protocatechuic acid alleviates dgalinduced renal senescence and injury in mice by regulating taurine metabolism,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1002/imo2.70128,10.1002/imo2.70128,A uterine‐centric view of reproductive senescence: Genetic insights into late‐life performance in laying hens,a uterinecentric view of reproductive senescence genetic insights into latelife performance in laying hens,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
doi:10.1002/imt2.70150,10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9‐mediated R‐loop resolution,hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via dhx9mediated rloop resolution,prior_162_report_flow,publisher_platform_report,analysis/full_text_screening/final_eligibility_v1.5.4/final_eligibility_ledger_158.csv,assessed,,true,,single_report_pending_study_linkage,pending_causal_evidence_extraction
