source,source_record_id,title,abstract,year,publication_date,doi,pmid,pmcid,authors,venue,document_type,language,url,is_preprint,raw_page,query_branches,local_multiomics_match,local_explicit_multiomics_match,local_layer_pair_match,local_omics_layer_count,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match
europepmc,MED:42343471,"Genetic and epigenetic underpinnings of biological aging: a multi-omics study integrating Mendelian randomization, spatial transcriptomics, and drug target discovery.","Inflammaging represents a hallmark of biological aging, yet the causal inflammatory mediators driving multi-dimensional epigenetic aging and their effector genes remain poorly characterized at the genetic level. We developed a four-tier analytical framework integrating causal screening, multi-omics effector gene mapping, spatial transcriptomics, and drug target evaluation. Two-sample Mendelian randomization (MR) of 91 circulating inflammatory proteins against six aging phenotypes identified IL-12B, IFNG, and IL-2 as the most robust pro-aging mediators with consistent effects across independent outcomes. Using multi-omics summary-based MR (SMR) as the core analytical engine, we integrated four-layer whole-blood molecular QTL resources eQTL (eQTLGen, n = 31,684), sQTL (GTEx, n = 755), pQTL (INTERVAL + SCALLOP, n = 34,232), and mQTL (McRae et al., n = 1,980) - with GWAS summary statistics for four epigenetic age acceleration measures. At a stringent threshold (P_SMR < 1×10⁻¹²), seven high-confidence effector genes were identified: NHLRC1, TPMT, SELP, and RIPPLY3 for IEAA; ZNF373A and PLDN for HannumAA; and EDARADD for PhenoAA. The chromosome 6p21 NHLRC1-TPMT locus, overwhelmingly driven by methylation QTL signals (-log₁₀P = 26.06), emerged as the dominant genetic node of epigenetic aging. Spatial projection via gsMap onto a mouse E16.5 embryo atlas (121,767 cells) revealed preferential enrichment in smooth muscle and lung, with EDARADD showing marked specificity in mucosal epithelium. Cross-database drug target mining classified TPMT and SELP as repurposable known targets and NHLRC1 as a high-priority novel druggable candidate. This study provides multi-omics convergent causal evidence for inflammation-driven epigenetic aging and delivers genetically anchored targets for precision anti-aging intervention.",2026,2026-06-24,10.1186/s13148-026-02184-z,42343471,,"Zhang C, Zhang J.",,Journal Article,eng,https://europepmc.org/article/MED/42343471,False,page_0001.json.gz,,True,True,True,2,genomics;transcriptomics,True,True,True
europepmc,MED:42145869,"Deciphering the Causal Links Among Metabolomics, Ageing Phenotypes, and Pathological Scars: A Two-Sample Mendelian Randomization Study.","Background Hypertrophic scars (HS) and keloids represent pathological outcomes following cutaneous injury, characterized by complex pathogenesis and suboptimal therapeutic outcomes. The interplay between metabolomics and ageing may offer novel intervention targets for scar formation. Objective This study aimed to systematically investigate the causal relationships between blood metabolites, ageing phenotypes (telomere length, epigenetic age), and HS/keloids through Two-sample Mendelian randomization (MR) and Two-step Mediation MR analysis. Methods We integrated large-scale GWAS data from European populations, including 1400 blood metabolites (n=8299), telomere length (n=438,351), epigenetic age (n=41,000), HS (2068 cases/465,673 controls), and keloids (4086 cases/1,278,496 controls). Two-sample MR analysis was performed using inverse-variance weighted (IVW) and Wald ratio methods. Steiger's, Cochrane's Q, and MR-Egger tests were applied to exclude reverse causality, heterogeneity, and pleiotropy. Mediation effects of ageing phenotypes were quantified. Results The study identified 30 metabolites significantly associated with HS and 49 with keloids. Among ageing phenotypes, telomere length showed positive correlations with both scar types, whereas PhenoAge exhibited negative correlations. Key metabolites such as Eugenol sulfate and Phenylacetylglutamate regulated scar formation through dual pathways involving telomere length and PhenoAge. Conclusion This study elucidated the causal metabolite-ageing-scar network through genetic evidence, identifying multiple potential therapeutic targets, including Eugenol sulfate and Phenylacetylglutamate. These findings establish a robust foundation for developing targeted metabolic interventions.",2026,2026-05-11,10.2147/ccid.s598554,42145869,PMC13179585,"Wang K, Hou K, Wu M, Wu Y.",,research-article; Journal Article,eng,https://europepmc.org/article/MED/42145869,False,page_0001.json.gz,,True,False,True,2,genomics;metabolomics,True,True,True
europepmc,PPR:PPR1129869,"Integrating AI, CRISPR, and Multi-Omics for Predictive Longevity Research","The pursuit of extending human healthspan and lifespan has become a central focus in modern biomedical research. Aging is a complex, multifactorial process influenced by genetics, epigenetics, environmental factors, and stochastic molecular events. Traditional approaches, relying on observational studies or single-omic analyses, have provided limited mechanistic insights into the determinants of longevity. Recent advances in multi-omics, genome editing, and artificial intelligence (AI) now offer a transformative framework for predictive and personalized longevity research. In particular, the integration of AI-driven computational modeling, CRISPR-based genome engineering, and comprehensive multi-omic datasets holds the promise of elucidating key molecular drivers of aging and informing targeted interventions.",2025,2025-12-02,10.20944/preprints202512.0125.v1,,,Lim LWK.,,Preprint,,https://europepmc.org/article/PPR/PPR1129869,True,page_0001.json.gz,,True,True,False,1,genomics,True,True,True
europepmc,MED:41220585,Investigating the causal role of cellular senescence-related genes in preeclampsia: a multi-omics Mendelian randomization study with differential expression analysis.,"Background The causal role of cellular senescence in preeclampsia pathogenesis is not fully established. This study aimed to systematically prioritize key senescence-related genes potentially driving preeclampsia using a Mendelian randomization (MR) framework. Results We integrated genome-wide association studies (GWAS) of preeclampsia with expression, methylation, and proteomic quantitative trait loci (eQTLs/mQTLs/pQTLs) data for 866 senescence-related genes. Summary-data-based MR (SMR) coupled with the HEIDI (Heterogeneity in Dependent Instruments) test were used to assess causal associations and pleiotropy. Colocalization analysis evaluated shared genetic variants between QTLs and preeclampsia GWAS signals. Significant MR findings were explored for replication in an independent GWAS cohort (GCST90301704). Preliminary experimental support involved RT-PCR analysis of candidate genes in placental tissues from 10 preeclampsia patients and 5 gestational age-matched (34-38 weeks) healthy controls. Integration of SMR/HEIDI tests and colocalization (PPH4 > 0.5) prioritized 12 eQTLs, 62 mQTLs, and 2 pQTLs linked to preeclampsia. mQTL-eQTL analysis implicated methylation-regulated expression of ATG16L1 , PMVK , and MAP3K14 , offering valuable hypotheses for mechanistic studies. Conclusion Placental RT-PCR showed upregulated ATG16L1 and downregulated PMVK , MAP3K14 , NSUN2 , and CDC25A in preeclampsia. Key genes ( ATG16L1 , PMVK , MAP3K14 , NSUN2 , CDC25A ) link cellular senescence to preeclampsia, offering insights for mechanistic studies and therapeutic targeting.",2025,2025-10-27,10.3389/fendo.2025.1661666,41220585,PMC12597756,"Zhu H, Yu Y, Wang J, Wang C, Liu Z, Zhang X, Hu R, Gu W.",,research-article; Journal Article,eng,https://europepmc.org/article/MED/41220585,False,page_0001.json.gz,,True,True,True,2,genomics;proteomics,True,True,True
europepmc,MED:42253424,Longevity Aesthetics: A Conceptual Framework for Integrating Pro-Aging Medicine Into Surgical and Nonsurgical Practice.,"The prevailing paradigm in aesthetic medicine is the ""antiaging"" model, which focuses on correcting and/or reversing visible signs of aging. However, contemporary geroscience reconceptualizes aging as a malleable biological process driven by defined hallmarks, offering an opportunity to align aesthetic practice with the fundamental aging biology. This article explores the concept of ""pro-aging"" or ""longevity aesthetics,"" a framework that prioritizes tissue function, resilience, and biological integrity alongside phenotypic improvement. The skin is presented as an accessible model organ that reflects key hallmarks of aging and their clinical manifestations. Although conventional aesthetic interventions effectively address structural changes, they often do not target upstream biological drivers of tissue aging. Within this framework, certain surgical and nonsurgical modalities may theoretically support tissue resilience through modulation of inflammation, collagen remodeling, and microvascular health. Importantly, some of these strategies, such as biostimulatory injectables including calcium hydroxylapatite and poly-L-lactic acid, as well as combination treatment approaches, are already integrated into clinical practice, whereas others remain in the translational or research domain. Emerging concepts such as multi-omics, defined as the integration of genomics, transcriptomics, proteomics, metabolomics, and epigenomics, may further enable personalized and predictive approaches in the future. Longevity aesthetics, therefore, represents a conceptual evolution from correction to functional preservation. However, direct clinical evidence supporting its biological impact remains limited, and these concepts should currently be interpreted as hypothesis driven. Advancing this framework will require prospective studies integrating biomarkers with long-term clinical outcomes. Ultimately, this approach positions aesthetic medicine to contribute to translational geroscience, provided innovation is guided by methodological rigor and ethical transparency. Level of Evidence: 5 (Therapeutic).",2026,2026-05-14,10.1093/asjof/ojag088,42253424,PMC13240679,"Haykal D, Nahai F.",,research-article; Journal Article,eng,https://europepmc.org/article/MED/42253424,False,page_0001.json.gz,,True,True,True,5,epigenomics;genomics;metabolomics;proteomics;transcriptomics,True,True,True
europepmc,MED:42132992,Structural decomposition enables multi-omics dissection of common and organ-specific aging.,"Aging exhibits both systemic and organ-specific components, yet existing models struggle to disentangle their shared versus distinct biological determinants at the population level. We present a structural decomposition framework that partitions seven organ-based biological age gaps (BAGs) into a Common BAG (CBAG) and seven Organ-Specific BAGs (OSBAGs) in 501,388 UK Biobank participants. This dual-axis model outperforms undecomposed body/organ BAG approaches in predicting lifespan, healthspan, and organ-specific disease risk. A large-scale aging GWAS identifies 747 novel loci, complemented by integrative proteomic and metabolomic analyses that reveal causal and druggable targets, including CST1. Pathway-guided multi-omics demonstrates a modular aging architecture, with CBAG reflecting cross-tissue regulators (e.g., FOXO3) and OSBAGs capturing organ-restricted effectors (e.g., UMOD). Drug-aging profiling uncovers organ-specific pro-aging effects consistent with known toxicities that are largely missed by undecomposed models. Sex-stratified analyses further reveal divergent molecular trajectories between males and females. All findings are integrated into HONOR, the first open-access atlas for structural aging and multi-omics translation.",2026,2026-05-08,10.1007/s11427-025-3242-5,42132992,,"Huang H, Li Y, Song Q, Yuan L, Yang Y, Zhu M, Sun R, Hu Y, Xiong C, Ni T, Liu Y, Ruiz-Linares A, Zhang G, Liu F, Peng Q, Wang S.",,Journal Article,eng,https://europepmc.org/article/MED/42132992,False,page_0001.json.gz,,True,True,True,3,genomics;metabolomics;proteomics,True,True,True
europepmc,MED:42363551,Genetic evidence that advanced COVID-19 accelerates longitudinal brain atrophy: A Mendelian randomization study.,"Coronavirus disease 2019 (COVID-19) was reported to persist long-term in the brain and leave several long-term neurologic sequelae. However, the causal relationship between COVID-19 and brain aging is still unknown. The genome-wide association study (GWAS) data on COVID-19 phenotypes (susceptibility, hospitalization, and severity), involving a total of 5,779,391 participants, were collected from the COVID-19 Host Genetics Initiative. In addition, GWAS data on longitudinal changes in 15 brain structures, assessed via magnetic resonance imaging across the lifespan, were sourced from the ENIGMA Consortium and involved 15,640 participants. Two-sample Mendelian randomization was conducted to infer the causal relationship between COVID-19 and longitudinal brain changes. Multi-trait GWAS meta-analysis, colocalization, and fine-mapping analyses were performed to identify shared genetic etiologies. H3K27me3 ChIP-seq was used to evaluate the regulatory effect of colocalized loci. Two-step Mendelian randomization was applied to explore potential mediating mechanisms across multi-omics layers, including proteomics, metabolomics, and immunomics. Our results showed that COVID-19 hospitalization (β = -262.405, P = .041) and severity (β = -177.676, P = .049) were genetically associated with atrophied volume of total brain during longitudinal change. This suggests that individuals with advanced COVID-19 may be more susceptible to accelerated global brain aging. Caudate was genetically affected by all COVID-19 phenotypes. Seven variants were shared between advanced COVID-19 and global brain aging. rs117169628 was colocalized between advanced COVID-19 and global brain aging, and exerted an inhibitory effect on CDH15 expression, further strengthening the causality. Six metabolites, 1 protein, and 1 immune trait were identified as potential mediators. Our study indicates that advanced COVID-19 might be genetically associated with accelerated brain aging. Brain health should be paid more attention in long COVID-19.",2026,2026-06-01,10.1097/md.0000000000049310,42363551,,"Wen J, Chen Y, Zhang J, Tan Z, Xia Z, Yang S, Liu H.",,Journal Article,eng,https://europepmc.org/article/MED/42363551,False,page_0001.json.gz,,True,True,True,3,genomics;metabolomics;proteomics,True,True,True
europepmc,MED:42179443,The microbiome-gerogene axis: a new frontier in precision geromedicine.,"Aging is increasingly recognized as a biologically heterogeneous process arising from dynamic interactions among genetic programs, environmental exposures, and adaptive physiological responses. Within the geroscience framework, conserved hallmarks, including genomic instability, epigenetic alterations, mitochondrial dysfunction, chronic inflammation, cellular senescence, and dysbiosis, capture the systems-level nature of age-related decline. Parallel to this framework, the concept of gerogenes defines coordinated molecular programs that actively drive biological aging when persistently engaged, counterbalanced by gerosuppressive pathways that preserve resilience. Here, we synthesize evidence supporting a unifying microbiome-gerogene axis in which the gut microbiome functions as an upstream, modifiable regulator of molecular aging trajectories. Age-associated microbial remodeling leads to loss of beneficial metabolic functions, including short-chain fatty acid production, bile acid transformation, and mitochondrial-supportive co-metabolism, with downstream effects on epithelial barrier integrity, immune homeostasis, and tissue repair. Integrated multi-omics studies link these microbial changes to host transcriptional, epigenomic, proteomic, and metabolomic signatures of biological aging, enabling mechanistic insights beyond taxonomic associations. Immune aging represents a major convergence point of microbiome-gerogene crosstalk, as dysbiosis driven barrier dysfunction and microbial translocation reinforce inflammaging, immunosenescence, and senescence-associated signaling networks. In parallel, microbial metabolites interface with epigenetic regulation, mitochondrial quality control, circadian biology, and gut-brain-immune communication, extending microbial influence to systemic and neurodegenerative aging processes. Building on this mechanistic foundation, we propose the microbiome-gerogene axis as an integrative framework for precision geromedicine, linking lifestyle exposures to intracellular aging programs and informing biomarker discovery and personalized interventions aimed at extending healthspan rather than treating late-stage disease.",2026,2026-05-08,10.3389/fragi.2026.1794192,42179443,PMC13194586,"Bautista J, López-Cortés A.",,review-article; Review; Journal Article,eng,https://europepmc.org/article/MED/42179443,False,page_0001.json.gz,,True,True,True,5,epigenomics;genomics;metabolomics;microbiomics;proteomics,True,True,True
europepmc,MED:42412683,Bridging the gap: Multi-omic Insights into Exercise Responses in Post-Menopausal Women.,"Post-menopausal women represent the fastest-growing demographic at risk of sarcopenia and cardiometabolic disease, yet exercise biology research remains disproportionately derived from male or hormone-replete phenotypes. Menopause constitutes a chronic endocrine perturbation characterized by sustained reductions in estrogen and progesterone and altered androgen balance, superimposed on the acute and chronic perturbations induced by exercise. This hormonal shift modifies substrate metabolism, inflammation, redox balance, and recovery capacity, factors that shape molecular responses to exercise across tissues and time. Here, we synthesize current evidence on exercise responses in post-menopausal females across genomics, epigenomics, transcriptomics, proteomics and metabolomics/lipidomics. Across omics layers, direct data in post-menopausal cohorts remain limited, with frequent under-reporting of menopausal status, hormone therapy exposure, circulating hormone concentrations, medication use, and bio sampling timing relative to exercise and hormone dosing. We outline a menopause-aware framework for exercise-omics that prioritizes endocrine stratification, repeated sampling across exercise and recovery, and integrative multi-omics approaches linking molecular responses to functional outcomes. We also outline minimum reporting standards to improve reproducibility, inclusivity, and translational relevance. Advancing menopause-aware exercise-omics will be essential for developing precision exercise strategies that improve healthspan and functional independence in later life.",2026,2026-07-07,10.1152/ajpendo.00172.2026,42412683,,"Kullachanda Aiyanna R, Wang S, Grolaux R, Reisman E, Jones-Freeman B, Eynon N.",,Review; Journal Article,eng,https://europepmc.org/article/MED/42412683,False,page_0001.json.gz,,True,True,True,5,epigenomics;genomics;metabolomics;proteomics;transcriptomics,True,True,True
europepmc,MED:41992042,Organelle resilience as a comparative blueprint for longevity.,"The past decade has defined molecular hallmarks of aging, yet interventions that extend lifespan in short-lived organisms show limited and context-dependent translation to humans. Comparative studies of exceptional longevity remain largely genome-centric, although genomic instability alone cannot comprehensively explain aging-related pathologies. Many age-associated failures emerge at the level of cellular organelles whose stability underpins tissue function. The pathways that sustain these structures operate through proteomic, metabolic, and lipid networks that are insufficiently captured by genomic or transcriptomic analyses. Notably, longer organismal lifespan increases the requirement for sustained organelle functionality and fidelity. This Perspective proposes that the next conceptual advance in geroscience will come from comparative organelle biology. Examining mammals with divergent lifespans, including species evolutionarily closer to humans, can reveal how long-lived lineages evolved organelle-level architecture and resilience mechanisms that support cellular function over decades. I introduce the Comparative Metabolic Longevity Cell Atlas (CMLCA), a cross-mammalian platform integrating standardized cellular systems, organelle-resolved multi-omics, and computational analysis to identify conserved features of resilience and inform next-generation strategies to improve human healthspan.",2026,2026-04-16,10.1038/s44321-026-00428-2,41992042,PMC13179335,Cikes D.,,review-article; Review; Journal Article,eng,https://europepmc.org/article/MED/41992042,False,page_0001.json.gz,,True,True,True,3,genomics;proteomics;transcriptomics,True,True,True
