record_id,title,final_decision,final_exclusion_code,decision_reason,scope_all_fields_exact,causal_evaluated,causal_all_fields_exact,all_evaluated_fields_exact,five_request_route_sequence,five_request_route_exact,disagreement_fields
doi:10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity",assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/advs.202502249,ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy.,assessed,none,five_of_five_same_positive_full_text_causal_basis,False,True,True,False,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,scope_reviewer.layer_candidates
doi:10.1002/advs.202514269,Gut-Metabolome-Proteome Interactions in Age-Related Hearing Loss: Insights from Fecal Microbiota Transplantation and Multi-Omics Analyses.,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/advs.202515370,Medicago Sativa L. Saponin‐Driven Lactobacillus Intestinalis Restores Intestinal Stemness in Naturally Aged Mice via the Bile Acid‐FXR‐Wnt Signaling Axis,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/advs.202521633,The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice.,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/alz.12278,Neuroscience Next 2020 Abstracts,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""manual_review:causal_not_run"", ""manual_review:scope_unresolved"", ""manual_review:causal_not_run"", ""exclude:EC1"", ""exclude:EC1""]",False,scope_reviewer.aging_process_relevance;scope_reviewer.current_report_layer_use;scope_reviewer.layer_candidates;scope_reviewer.multiomics_evidence;scope_reviewer.report_type
doi:10.1002/ccs3.70045,Integrated genomics reveals cellular senescence-driven molecular networks and immune crosstalk in myopia pathogenesis.,manual_review,none,,False,False,False,False,[],False,
doi:10.1002/ctm2.1006,"Metabolic dysregulation in patients with premature ovarian insufficiency revealed by integrated transcriptomic, methylomic and metabolomic analyses",exclude,EC5,five_of_five_same_sufficient_full_text_causal_exclusion,True,True,True,True,"[""exclude:EC5"", ""exclude:EC5"", ""exclude:EC5"", ""exclude:EC5"", ""exclude:EC5""]",True,
doi:10.1002/ctm2.317,A folate receptor 3 SNP promotes mitochondria‐induced clonogenicity of CML leukemia cells: Implications for treatment free remission,assessed,none,five_of_five_same_positive_full_text_causal_basis,False,True,True,False,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,scope_reviewer.layer_candidates
doi:10.1002/ctm2.70395,Customised virus‐like particles: Opening a new chapter for clinical precision gene therapy,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC3"", ""exclude:EC1""]",False,scope_reviewer.current_report_layer_use;scope_reviewer.multiomics_evidence;scope_reviewer.report_type
doi:10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/fsn3.71826,Protocatechuic Acid Alleviates D‐Gal‐Induced Renal Senescence and Injury in Mice by Regulating Taurine Metabolism,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/imo2.70128,A uterine‐centric view of reproductive senescence: Genetic insights into late‐life performance in laying hens,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9‐mediated R‐loop resolution,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/wps.20675,The crossroads of psychiatric epigenomics,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC4""]",False,scope_reviewer.aging_process_relevance;scope_reviewer.report_type
doi:10.1007/s00112-022-01643-0,Abstracts der 96. Wissenschaftlichen Tagung der Gesellschaft für Pädiatrische Onkologie und Hämatologie (GPOH),manual_review,none,,False,False,False,False,[],False,
doi:10.1007/s10753-026-02526-2,Inhibition of MyD88 in Tubular Epithelial Cells Alleviates the Cellular Senescence in Sepsis-Associated Acute Kidney Injury,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1007/s11306-023-02022-w,The metabolic contribution of SKN-1/Nrf2 to the lifespan of Caenorhabditis elegans.,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1007/s13238-021-00894-z,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis.",assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.ccell.2024.09.002,Midkine as a driver of age-related changes and increase in mammary tumorigenesis,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.celrep.2025.116795,Age-independent and targetable transcription factor networks regulating CD8+ T cell senescence in aging humans,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.devcel.2023.05.015,Genetic perturbation of AMP biosynthesis extends lifespan and restores metabolic health in a naturally short-lived vertebrate.,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.exger.2025.112815,Acupuncture modulates ovarian senescence through metabolic reprogramming: A multi-omics investigation in chemotherapy - induced POF model.,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1016/j.jare.2026.07.047,Bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis.,manual_review,none,,False,False,False,False,[],False,
doi:10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,False,False,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,causal_method_reviewer.design_families
