record_id,doi,title,prisma_disposition,reason
doi:10.1002/advs.202411015,10.1002/advs.202411015,Ucp1 Ablation Improves Skeletal Muscle Glycolytic Function in Aging Mice.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1002/advs.202508431,10.1002/advs.202508431,SenExo‐cCCT2 Reprograms Senescence Response and Anti‐Tumor Immunity Following FOLFIRINOX Chemotherapy in Pancreatic Ductal Adenocarcinoma,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1002/advs.202509973,10.1002/advs.202509973,TMEM131‐Mediated Soluble TRAIL Triggered Type II Alveolar Epithelial Cell Senescence in Radiation‐Induced Lung Injury,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1002/advs.202512407,10.1002/advs.202512407,Nortriptyline Inhibits Lysosomal Exocytosis‐Mediated SASP During Gastric Cancer Progression via Targeting HOXA1‐PITX2 Phase Separation,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1002/art.42815,10.1002/art.42815,Predisposal of Interferon Regulatory Factor 1 Deficiency to Accumulate DNA Damage and Promote Osteoarthritis Development in Cartilage.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1002/cam4.1544,10.1002/cam4.1544,Molecular features in young vs elderly breast cancer patients and the impacts on survival disparities by age at diagnosis.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1002/ctm2.1660,10.1002/ctm2.1660,Downregulated SPESP1‐driven fibroblast senescence decreases wound healing in aged mice,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1002/fsn3.2978,10.1002/fsn3.2978,Gut microbiome and metabolome analyses reveal the protective effect of special high-docosahexaenoic acid tuna oil on d-galactose-induced aging in mice.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1002/hep.28563,10.1002/hep.28563,DNMT1 is a required genomic regulator for murine liver histogenesis and regeneration.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1002/jcsm.12644,10.1002/jcsm.12644,Heart and neural crest derivative 2-induced preservation of sympathetic neurons attenuates sarcopenia with aging.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1002/jcsm.70197,10.1002/jcsm.70197,Identifying Susceptibility Genes and Shared Genetic Architecture for Longevity and Muscle Weakness.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1007/s00011-026-02257-y,10.1007/s00011-026-02257-y,"Multivariable genome-wide analysis elucidates the shared genetic architecture, immunosenescence features, and gut-origin therapeutic targets of ulcerative colitis-associated multisystem inflammation",meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1007/s00204-024-03702-9,10.1007/s00204-024-03702-9,Cellular senescence gene TACC3 associated with colorectal cancer risk via genetic and DNA methylated alteration.,report_not_retrieved,Retrieved XML rejected because it identifies DOI 10.1371/journal.pmed.1002194. Correct DOI 10.1007/s00204-024-03702-9 is publisher-gated; user stopped retrieval.
doi:10.1007/s10753-024-02032-3,10.1007/s10753-024-02032-3,Investigation of Metabolic and Inflammatory Disorder in the Aging FGF21 Knockout Mouse.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1007/s11357-012-9485-8,10.1007/s11357-012-9485-8,Effects of Sirt1 on DNA methylation and expression of genes affected by dietary restriction.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1007/s11357-014-9648-x,10.1007/s11357-014-9648-x,Genome-wide age-related changes in DNA methylation and gene expression in human PBMCs.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1007/s11357-024-01126-y,10.1007/s11357-024-01126-y,Repetitive element transcript accumulation is associated with inflammaging in humans.,meets_full_text_eligibility,"The current analysis pools both randomized exercise arms and performs paired pre/post analyses. Therefore the analyzed contrast is an administered human intervention without an untreated randomized contrast. The RE–inflammation association remains correlational, but the report also contains an intervention-effect analysis."
doi:10.1007/s11357-025-01794-4,10.1007/s11357-025-01794-4,Identification of gut microbiota causally associated with aging and longevity and mediation roles of the cerebrospinal fluid proteins: proteomic genetic evidence from Mendelian randomization.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1007/s11357-025-02044-3,10.1007/s11357-025-02044-3,Genetic links between multimorbidity and human aging.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.apsb.2026.02.006,10.1016/j.apsb.2026.02.006,Oridonin as a novel KDM5C inhibitor alleviates clonal hematopoiesis-induced cardiac aging via H3K4me3-dependent SASP suppression,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.cell.2026.01.022,10.1016/j.cell.2026.01.022,Vitamin B2 and B3 nutrigenomics reveals a therapy for NAXD disease,excluded_after_full_text_assessment,five_of_five_unanimous_decisive_criterion_failure
doi:10.1016/j.celrep.2017.06.048,10.1016/j.celrep.2017.06.048,Reduced Circulating Insulin Enhances Insulin Sensitivity in Old Mice and Extends Lifespan.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.celrep.2020.108203,10.1016/j.celrep.2020.108203,The Gene-Regulatory Footprint of Aging Highlights Conserved Central Regulators.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.celrep.2025.116182,10.1016/j.celrep.2025.116182,Age-dependent effect of environmental enrichment on the neural 3D chromatin interactome.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.cmet.2011.05.010,10.1016/j.cmet.2011.05.010,Life span extension via eIF4G inhibition is mediated by posttranscriptional remodeling of stress response gene expression in C. elegans.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.cmet.2023.03.015,10.1016/j.cmet.2023.03.015,Biological age is increased by stress and restored upon recovery.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.cmet.2025.04.002,10.1016/j.cmet.2025.04.002,NAD depletion in skeletal muscle does not compromise muscle function or accelerate aging.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.devcel.2018.09.001,10.1016/j.devcel.2018.09.001,Drug Synergy Slows Aging and Improves Healthspan through IGF and SREBP Lipid Signaling.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.ebiom.2024.105476,10.1016/j.ebiom.2024.105476,Homozygous variant in translocase of outer mitochondrial membrane 7 leads to metabolic reprogramming and microcephalic osteodysplastic dwarfism with moyamoya disease,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.envint.2025.109686,10.1016/j.envint.2025.109686,Mitochondrial metabolism reprogramming-mediated cardiomyocyte senescence involved in arsenic stress-evoked heart failure.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.exer.2022.109219,10.1016/j.exer.2022.109219,Ocular proteomic and transcriptomic changes with aging in a rabbit model of lensectomy with intraocular lens insertion.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.freeradbiomed.2026.01.050,10.1016/j.freeradbiomed.2026.01.050,Glycine ameliorates aging-related dysfunctions associated with Nmdmc-mediated mitochondrial one-carbon metabolism,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.immuni.2021.03.003,10.1016/j.immuni.2021.03.003,The complement system drives local inflammatory tissue priming by metabolic reprogramming of synovial fibroblasts.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.jacbts.2025.01.004,10.1016/j.jacbts.2025.01.004,FNDC4 Prevents Aging-Related Cardiac Dysfunction: By Restoring AMPKα/PPARα-Dependent Mitochondrial Function.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.jare.2024.04.027,10.1016/j.jare.2024.04.027,Tetrahydroxy stilbene glucoside rejuvenates aging hematopoietic stem cells with predilection for lymphoid differentiation via AMPK and Tet2,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.jare.2026.01.063,10.1016/j.jare.2026.01.063,High-protein diet promotes aging by activating the CG6415/AMT gene and disrupting mitochondrial homeostasis,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.jare.2026.01.073,10.1016/j.jare.2026.01.073,Asprosin-driven metabolic-epigenetic rewiring attenuates mesenchymal stem cell senescence with therapeutic benefits for infarcted hearts.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.jare.2026.05.022,10.1016/j.jare.2026.05.022,ProtPhenoAge: Integrating plasma proteomics to predict Aging-Related disease Risks,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.jbc.2025.108400,10.1016/j.jbc.2025.108400,Declining activity of serum response factor in aging aorta in relation to aneurysm progression.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.jbc.2025.111058,10.1016/j.jbc.2025.111058,MRPL47 deficiency drives mitochondrial dysfunction via ROS-p38-p21 signaling in non-small cell lung cancer.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.jgr.2026.101026,10.1016/j.jgr.2026.101026,Ginsenoside Rb1 mitigates senescence-associated hepatic steatosis in mice through enhanced lysine degradation.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.jhep.2024.03.043,10.1016/j.jhep.2024.03.043,Polyploidisation pleiotropically buffers ageing in hepatocytes.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.lfs.2025.123887,10.1016/j.lfs.2025.123887,Fecal microbiota transplantation promotes hair growth through gut microbiome and metabolic regulation.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.mad.2012.05.003,10.1016/j.mad.2012.05.003,Genome-wide expression and methylation profiling in the aged rodent brain due to early-life Pb exposure and its relevance to aging.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.mad.2026.112162,10.1016/j.mad.2026.112162,Metformin-induced longevity is associated with retrotransposon dynamics in yeast chronological aging.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.redox.2025.103695,10.1016/j.redox.2025.103695,IDO1 improves postischemic neovascularization in aged mice by boosting endothelial NAD+ de novo synthesis and curbing endothelial senescence,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.redox.2026.104065,10.1016/j.redox.2026.104065,ERRα-NOS2-mediated citrulline metabolism attenuates tubular epithelial cell senescence in diabetic kidney disease.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.tjnut.2025.05.044,10.1016/j.tjnut.2025.05.044,Late-Life Short-Term Dietary Restriction Improves Intestinal Stem Cell Function and Alters Intestinal Stem Cell Deoxyribonucleic Acid Methylation in Mice.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.xgen.2024.100541,10.1016/j.xgen.2024.100541,Characterization of the genetic determinants of context-specific DNA methylation in primary monocytes.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.xgen.2026.101218,10.1016/j.xgen.2026.101218,Interferon-related inflammaging links epigenetic age acceleration to multimorbidity.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1016/j.ymthe.2026.02.015,10.1016/j.ymthe.2026.02.015,T cell senescence induced by DNMT1 deletion mediates cardiac transplant tolerance via altered CDKN1A methylation.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1038/cddis.2017.48,10.1038/cddis.2017.48,Inactivation of Lsd1 triggers senescence in trophoblast stem cells by induction of Sirt4.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1038/mp.2016.65,10.1038/mp.2016.65,"Mood, stress and longevity: convergence on ANK3.",meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1038/s41368-025-00362-y,10.1038/s41368-025-00362-y,NUP62 alleviates senescence and promotes the stemness of human dental pulp stem cells via NSD2-dependent epigenetic reprogramming.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1038/s41386-020-00884-5,10.1038/s41386-020-00884-5,"Klotho, PTSD, and advanced epigenetic age in cortical tissue.",meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1038/s41418-019-0384-8,10.1038/s41418-019-0384-8,A functional genetic screen defines the AKT-induced senescence signaling network.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1038/s41418-025-01456-0,10.1038/s41418-025-01456-0,Inhibition of ferroptosis counteracts the advanced maternal age-induced oocyte deterioration.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1038/s41419-022-04601-6,10.1038/s41419-022-04601-6,Induction of senescence-associated secretory phenotype underlies the therapeutic efficacy of PRC2 inhibition in cancer.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1038/s41467-021-25728-8,10.1038/s41467-021-25728-8,MAPK-pathway inhibition mediates inflammatory reprogramming and sensitizes tumors to targeted activation of innate immunity sensor RIG-I,excluded_after_full_text_assessment,The report applies bulk and single-cell RNA sequencing. The phrase functional genomics describes functional perturbation/validation and does not establish a second measured molecular omics layer under the frozen inventory rules.
doi:10.1038/s41467-024-52310-9,10.1038/s41467-024-52310-9,"A metabolomic profile of biological aging in 250,341 individuals from the UK Biobank",meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1038/s41467-024-52909-y,10.1038/s41467-024-52909-y,Systems biology approaches identify metabolic signatures of dietary lifespan and healthspan across species.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
doi:10.1038/s41467-024-54130-3,10.1038/s41467-024-54130-3,The de novo design and synthesis of yeast chromosome XIII facilitates investigations on aging.,meets_full_text_eligibility,five_of_five_same_positive_full_text_causal_basis
