record_id,canonical_id,source,provenance_sources,source_record_id,doi,pmid,pmcid,title,abstract,year,publication_date,document_type,language,url,is_preprint,duplicate_count,query_branches,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
doi:10.1002/aro2.70036,doi:10.1002/aro2.70036,semantic_scholar,semantic_scholar,c54d4c17bb46e411d1c09ed1cff34465ad129b96,10.1002/aro2.70036,,,Fasting and Refeeding Mediated Phospholipid Remodeling Plays an Important Role in Improving Meat Quality of Aged Laying Hens,"This study explored fasting‐induced physiological remodeling effects on meat quality in aged laying hens. Fasting for 15 days (F15) significantly reduced abdominal fat, intermuscular fat width, subcutaneous fat thickness, and liver index versus pre‐fasting (F0) ( p 0.7). Fasting upregulated ACSL4/LPCAT, enhancing acyl‐CoA and lipid reacylation to drive phospholipid remodeling, improving meat quality.",2025,2025-10-31,JournalArticle,,https://www.semanticscholar.org/paper/c54d4c17bb46e411d1c09ed1cff34465ad129b96,False,0,,False,False,True,False
doi:10.1002/jcsm.70002,doi:10.1002/jcsm.70002,pubmed,pubmed,40745399,10.1002/jcsm.70002,40745399,PMC12313545,Exogenous Nucleotides Supplementation Attenuates Age-Related Sarcopenia.,"Sarcopenia, an age-related clinical syndrome characterized by reduced skeletal muscle mass and strength, often leads to a loss of physical function. Nucleotides (NTs) supplementation is a potential strategy for preventing age-related sarcopenia as evidence suggests that NTs declined in muscles with aging, and 5'-CMP, 5'-UMP can mitigate muscle atrophy in C2C12 myotubes. This study aimed to investigate the effects of NTs supplementation on sarcopenia and its possible mechanism. Senescence-accelerated mouse prone-8 (SAMP8) mice and C2C12 cells were used to assess the effect of NTs on sarcopenia. We fed an NTs-enriched mixture to SAMP8 mice starting from the age of 3 months for 9 months or 15 months. NTs' effects on H 2 O 2 -induced C2C12 atrophy cells were tested using nucleotide monomers and mixtures. The body composition was measured by EchoMRI analysis meter. Physical performance was tested including grip strength, wire hang, horizontal bar and gait test. The immunofluorescence staining was used to evaluate the cross-sectional area (CSA) or type of muscle fibers and the diameter of myotubes. RT-qPCR, western blot, RNA sequencing (RNA-seq) and targeted metabolomic analyses were conducted to elucidate the underlying mechanisms. The results demonstrated that NTs significantly increased lean mass/body weight (p < 0.01, η 2 = 0.434), the grip strength at 7 (p < 0.0001, η 2 = 0.312), 9 (p < 0.001, η 2 = 0.293) and 11 (p < 0.0001, η 2 = 0.507) months of age and the gait speed of mice (p < 0.0001, η 2 = 0.3861). The immunofluorescence staining results indicated that NTs increased the CSA of muscle fibers (p < 0.0001, η 2 = 0.1081), especially for type IIb fibres. The RNA-seq results showed that NTs significantly downregulated the expression of sarcopenia-related genes (Trim63, Dkk3 and Mt1). The downregulation of Fbxo32, Trim63, Dkk3, Mt1 and p53 genes in NTs intervention group was confirmed by RT-qPCR and/or western blot (p < 0.05). Integrated analyses of RNA-seq and metabolomic showed that NTs could cause changes in metabolites, such as ketoleucine, 3-hydroxylisovalerylcarnitine and 3-methyl-2-oxovaleric acid, which could further regulate sarcopenia-related genes and inhibit protein degradation and promote protein synthesis. In vitro studies confirmed that NTs increased myotubes diameter and decreased expression of sarcopenia-related genes. Our findings reveal the protective role of NTs in improving muscle protein balance during ageing, suggesting they may serve as a conditionally essential nutrient for older individuals. Further research is needed to explore the efficacy and safety of NTs supplementation for sarcopenia in humans.",2025,2025-08-01,Journal Article,eng,https://pubmed.ncbi.nlm.nih.gov/40745399/,False,0,,True,True,True,True
doi:10.1002/ygh2.341,doi:10.1002/ygh2.341,semantic_scholar,semantic_scholar,27159eb99d04c9675bc8809a2a1e9f5db4d11e4b,10.1002/ygh2.341,,,Letter: management of patients with chronic hepatitis C failing repeated courses of interferon‐free DAA combination therapy: a translational research perspective with clinical impact,"EDITORS, Chronic hepatitis C and interrelated hepatic disorders are emerg‐ ing as major public health challenges with significant financial/ psychosocial distress amongst disease‐susceptible population subsets of varying lifestyles/ethnicities; cost‐effective prevention strategies are warranted to precisely dissect the aetiopathogen‐ esis of viral hepatitis/virulence/immunogenicity/subsequent re‐ currence/relapse following single and/or combinatorial treatment modalities/therapies. The recently published study by Kozbial et al in the reputed GastroHep journal critically investigated the clin‐ ical management of chronic hepatitis C patients failing repeated courses of interferon (IFN)‐free DAA combination therapy1; the study was well‐designed with stringent inclusion/exclusion crite‐ ria and core tenets of good clinical practice/bioethics/scientific integrity were followed; briefly, 102 patients completed robust DAA retreatment regimen after repeated virological failures to IFN‐free DAA therapy with a follow‐up of 12 months. With my extensive biomedical/epidemiological research experiences in‐ volving American/Asian Indian patient cohorts, I would like to add that larger sample size would have significantly enhanced overall study power/≥ 80% with relatively lower selection bias/ false positives. Ethnicity is a significant predictor of intra‐indi‐ vidual variability in susceptibility to gastrointestinal/liver dis‐ eases1,2; in this context, incorporating a larger number of patients and age‐matched, disease‐free/healthy controls from random population(s) with subgroup stratification of responders (high/ moderate/poor) vs nonresponders to IFN‐DAA combination therapy would lead to more definitive conclusions; relevant ad‐ justment of potential confounders in retreated chronic hepatitis C patients with age/gender/body mass index‐based subgroup stratification of patient subsets along with systemic/local ad‐ verse effects (diarrhoea/gastrointestinal bleeding/fatigue/numb‐ ness/neuropathy) would provide better insights. Interestingly, 20.6% of patients (mean age 50.0 ± 10.6 years, 18 male/3 female) relapsed after retreatment: (GT1a:8/GT1b:4/GT1c:1/GT3a:7/ GT4:1/cirrhosis:15, and resistance‐associated substitutions (RAS):17/19 with clinically reported patient relapse after:SOF/ SMV:2/3D ± RBV:4/SOF/DCV ± RBV:4/SOF/LDV ± RBV:6/SOF/ VEL:3/SOF/VEL/VOX:1/EBV/GZV:1), thereby highlighting the complex genetic intra‐individual variability to treatment‐related response rates following combinatorial therapy. Electronic health records may be reassessed by the treating physician/clinical re‐ searcher for re‐evaluations of responders (high/moderate/poor)/ nonresponders, thereby predicting better treatment outcomes; tapering the dosing based on age/gender/BMI/concurrent usage of nonsteroidal anti‐inflammatory drugs (COX‐2 inhibitor/Vioxx) at follow‐ups may yield higher therapeutic efficacy with lower recurrence rates/adverse effects, ensuring increased adherence to combinatorial IFN‐free DAA treatment regimens, eventually leading to higher patient satisfaction rates. The findings demonstrated that 17/21 patients completed third DAA therapy: 13 achieved SVR12, three relapsed (cirrhosis:2/SOF/ VEL/RBV:GT3a/SOF/LDV/RBV:GT1a/ EBV/GZV/SOF/RBV:GT1b) while one patient was lost to follow‐up; cirrhotic subgroup data set revealed that one (GT1a/cirrhosis) achieved SVR12 after third re‐therapy with 24 weeks of 3D/SOF/RBV, while one (GT3a/cirrho‐ sis) achieved SVR4 after 24 weeks of glecaprevir/pibrentasvir, but succumbed soon. Furthermore, 95/102 (93.1%) patients achieved SVR12 after ≥1 retreatments; gender, cirrhosis, genotype, RAS or baseline viral loads/cut‐offs were not significantly associated with retreatment failure(s), and 13.7% of patients required multiple retreatments. Family‐based/twin/epidemiological gene polymorphism stud‐ ies with multicentric pooled patient populations of diverse eth‐ nicities utilising high‐throughput pharmacogenetics/genomics/ transcriptomics/metabolomics/electrophysiological/immunodi‐ agnostic imaging modalities coupled with survival analyses and stringent surveillance for relapse(s)/adverse effects are war‐ ranted to provide a better understanding of the relapse trends and response rates amongst genetically disparate populations fol‐ lowing IFN‐free DAA therapy treatment regimens. A global cost‐ effective public health research model needs to be developed with urgent allocation of financial grants/funds for propelling gastro/hepatic research for diminishing the increasing burden of morbidities/mortalities in chronic hepatitis C‐susceptible popula‐ tions worldwide.",2019,2019-05-01,,,https://www.semanticscholar.org/paper/27159eb99d04c9675bc8809a2a1e9f5db4d11e4b,False,0,,True,False,False,False
doi:10.1016/j.ecoenv.2026.119676,doi:10.1016/j.ecoenv.2026.119676,semantic_scholar,semantic_scholar,10b96dc3239cc21f78d0fc840d648a4841af4ec4,10.1016/j.ecoenv.2026.119676,41512780,,Dysregulation of atrazine-associated core gene networks and risk prediction in human cancers: Insights from integrated transcriptomics and network toxicology analyses.,"Atrazine, a widely used chlorotriazine herbicide, persists in aquatic environments and poses potential carcinogenic risks. While epidemiological studies link atrazine exposure to malignancies, its intrinsic molecular mechanisms across organ systems remain incompletely understood. This study employed integrated network toxicology and transcriptomic analyses to clarify atrazine-associated oncogenic pathways in liver hepatocellular carcinoma (LIHC), kidney renal clear cell carcinoma (KIRC), lung adenocarcinoma (LUAD), and sarcoma (SARC). Transcriptomic data from The Cancer Genome Atlas (TCGA) for these cancers were analyzed to identify atrazine-related genes. Protein-protein interaction networks were constructed and analyzed to identify hub genes. Functional enrichment, immune microenvironment analyses, and survival analysis were performed. Molecular docking validated atrazine-target binding, and independent datasets were used for hub gene expression and pan-cancer relevance validation. We identified 92 (LUAD), 136 (LIHC), 137 (KIRC), and 161 (SARC) atrazine-associated targets. Hub genes including CDC6, MCM5/7, UBE2C, FEN1, CDCA8, and VIM were differentially expressed across these cancers. Enrichment analyses revealed atrazine disruption of core pathways, including cell cycle progression and chromosomal instability, epithelial-mesenchymal transition, metabolic reprogramming, and senescence-associated secretory pathways. Molecular docking confirmed high-affinity binding between atrazine and key targets. Pan-cancer validation implicated these hub genes in multiple additional malignancies. Transcription factor analysis nominated HSD17B8 as a key regulatory node. This study demonstrates that atrazine promotes carcinogenesis by dysregulating conserved networks governing genomic stability, cell proliferation, metabolic adaptation, and immune microenvironment remodeling, providing a mechanistic framework linking aquatic atrazine exposure to multi-organ carcinogenesis and nominating HSD17B8-associated pathways for therapeutic intervention. These findings underscore the imperative for enhanced environmental monitoring of atrazine contamination.",2026,2026-01-01,JournalArticle,,https://www.semanticscholar.org/paper/10b96dc3239cc21f78d0fc840d648a4841af4ec4,False,0,,True,False,True,False
doi:10.1016/j.kint.2024.04.017,doi:10.1016/j.kint.2024.04.017,pubmed,pubmed,38782200,10.1016/j.kint.2024.04.017,38782200,PMC11270650,DNA methyltransferase 1 (DNMT1) promotes cyst growth and epigenetic age acceleration in autosomal dominant polycystic kidney disease.,"Alteration of DNA methylation leads to diverse diseases, and the dynamic changes of DNA methylation (DNAm) on sets of CpG dinucleotides in mammalian genomes are termed ""DNAm age"" and ""epigenetic clocks"" that can predict chronological age. However, whether and how dysregulation of DNA methylation promotes cyst progression and epigenetic age acceleration in autosomal dominant polycystic kidney disease (ADPKD) remains elusive. Here, we show that DNA methyltransferase 1 (DNMT1) is upregulated in cystic kidney epithelial cells and tissues and that knockout of Dnmt1 and targeting DNMT1 with hydralazine, a safe demethylating agent, delays cyst growth in Pkd1 mutant kidneys and extends life span of Pkd1 conditional knockout mice. With methyl-CpG binding domain (MBD) protein-enriched genome sequencing (MBD-seq), DNMT1 chromatin immunoprecipitation (ChIP)-sequencing and RNA-sequencing analysis, we identified two novel DNMT1 targets, PTPRM and PTPN22 (members of the protein tyrosine phosphatase family). PTPRM and PTPN22 function as mediators of DNMT1 and the phosphorylation and activation of PKD-associated signaling pathways, including ERK, mTOR and STAT3. With whole-genome bisulfide sequencing in kidneys of patients with ADPKD versus normal individuals, we found that the methylation of epigenetic clock-associated genes was dysregulated, supporting that epigenetic age is accelerated in the kidneys of patients with ADPKD. Furthermore, five epigenetic clock-associated genes, including Hsd17b14, Itpkb, Mbnl1, Rassf5 and Plk2, were identified. Thus, the diverse biological roles of these five genes suggest that their methylation status may not only predict epigenetic age acceleration but also contribute to disease progression in ADPKD.",2024,2024-05-21,"Journal Article; Research Support, N.I.H., Extramural",eng,https://pubmed.ncbi.nlm.nih.gov/38782200/,False,0,,True,True,True,True
doi:10.1016/j.phymed.2026.158183,doi:10.1016/j.phymed.2026.158183,europepmc,europepmc;pubmed;scopus,MED:42034026,10.1016/j.phymed.2026.158183,42034026,,Astragaloside IV delays vascular aging by enhancing mitochondrial fatty acid β-oxidation via the MLXIPL-PPARα/PGC-1α axis.,"Background Mitochondrial dysfunction and the dysregulation of lipid metabolism are significant contributors to vascular aging, which in turn raises the risk of age-related cardiovascular diseases (CVDs). Buyang Huanwu decoction (BHD), a traditional formula widely used for treating CVDs, has not been thoroughly investigated in terms of its active components and the molecular mechanisms by which it may delay vascular aging. Purpose This study aims to investigate the effects and mechanisms of BHD and its primary active component, Astragaloside IV (AS-IV), in mitigating vascular aging, focusing on mitochondrial function and lipid metabolism. Methods Experiments were conducted using naturally aged mice and a D-galactose-induced model of vascular smooth muscle cells (VSMCs) senescence. Vascular aging was evaluated through aortic histopathology, assessment of senescence markers and senescence-associated secretory phenotype (SASP) factors. Transcriptomics and lipidomics analyses were employed to uncover critical pathways and identify differential lipid profiles. Mitochondrial structure and function were examined using transmission electron microscopy (TEM), Mitochondrial DNA (mtDNA) copy number, and mitochondrial membrane potential (MMP). The molecular mechanisms were further validated through molecular biology and MLX Interacting Protein-Like (MLXIPL) knockdown and overexpression techniques. Results Both BHD and AS-IV improved age-related vascular morphological changes, mitigated elastic fiber disruption, diminished collagen deposition, and downregulated senescence markers along with SASP factors. Transcriptomic analysis identified MLXIPL as a key transcription factor, emphasizing the involvement of the peroxisome proliferator-activated receptor (PPAR) signaling pathway and mitochondrial fatty acid β-oxidation as critical processes. Lipidomic profiling indicated reduced serum acylcarnitine levels in aged mice, suggesting compromised fatty acid β-oxidation. Both BHD and AS-IV were found to suppress MLXIPL, activate PPARα, increase mtDNA copy number, enhance MMP, improve mitochondrial ultrastructure, and upregulate the expression of key genes and proteins associated with mitochondrial biogenesis and fatty acid β-oxidation. Co-immunoprecipitation assays confirmed that AS-IV facilitated PPARα-PGC-1α interaction. Functional validation established that MLXIPL knockdown produced a stronger effect than AS-IV, whereas MLXIPL overexpression negated the beneficial effects of AS-IV on mitochondrial function, lipid accumulation, and cellular senescence. Conclusion BHD and its active component AS-IV delay vascular aging by inhibiting MLXIPL, thereby activating the PPARα/PGC-1α signaling pathway to promote mitochondrial fatty acid β-oxidation and reduce lipid accumulation. This elucidates a mechanistic basis for BHD's traditional use and highlights AS-IV as a key active principle with therapeutic potential.",2026,2026-04-15,Journal Article,eng,https://europepmc.org/article/MED/42034026,False,2,,True,True,True,True
doi:10.1038/s41420-026-03036-8,doi:10.1038/s41420-026-03036-8,europepmc,europepmc;openalex;pubmed;scopus;semantic_scholar,MED:41881961,10.1038/s41420-026-03036-8,41881961,PMC13139392,NFATC2-mediated CST1 upregulation drives cholangiocarcinoma growth and metastasis.,"Intrahepatic cholangiocarcinoma (CCA) is a highly aggressive malignancy arising from the intrahepatic biliary epithelium with insidious onset and dismal clinical outcomes. The lack of reliable early diagnostic markers and effective therapeutic targets underscores the urgent need for novel intervention strategies. Integrated evaluation of public transcriptomic datasets and local validation cohort with survival analysis were performed to assess expression pattern and prognostic significance of cystatin SN (CST1) in CCA. Functional characterization was performed via gain- and loss-of-function experiments in HuCCT1 and RBE cells, complemented by murine orthotopic liver implantation and pulmonary metastasis models. We found that CST1 was significantly upregulated in human CCA tissues. Elevated CST1 expression predicted unfavorable prognosis in CCA patients. Subsequently functional studies revealed that overexpression of CST1 suppressed cellular senescence markers, as evidenced by decreased senescence-associated β-galactosidase activity and downregulated senescence-associated secretory phenotype factors (IL-6, CCL20). Concomitantly, CST1 overexpression enhanced cell proliferation, migration, invasion, and in vivo metastatic capacity. Integrated multi-omics profiling identified CST1-mediated suppression of pyrimidine metabolism through TYMS downregulation. However, exogenous thymidine supplementation failed to rescue proliferation defects upon CST1 knockdown, indicating that CST1-promoted tumor growth is independent of pyrimidine metabolism. Mechanistically, NFATC2 transcriptionally activates CST1, which subsequently abrogates senescence through SOX4 stabilization; ectopic SOX4 expression rescues senescence induced by CST1 depletion. These findings establish CST1 as a promising therapeutic target and provide mechanistic insights for CCA intervention strategies.",2026,2026-03-25,research-article; Journal Article,eng,https://europepmc.org/article/MED/41881961,False,4,,True,True,True,True
doi:10.1038/s41598-023-27903-x,doi:10.1038/s41598-023-27903-x,europepmc,europepmc;openalex;pubmed;scopus;semantic_scholar,MED:36707530,10.1038/s41598-023-27903-x,36707530,PMC9883521,Investigation of genetic variants and causal biomarkers associated with brain aging.,"Delta age is a biomarker of brain aging that captures differences between the chronological age and the predicted biological brain age. Using multimodal data of brain MRI, genomics, and blood-based biomarkers and metabolomics in UK Biobank, this study investigates an explainable and causal basis of high delta age. A visual saliency map of brain regions showed that lower volumes in the fornix and the lower part of the thalamus are key predictors of high delta age. Genome-wide association analysis of the delta age using the SNP array data identified associated variants in gene regions such as KLF3-AS1 and STX1. GWAS was also performed on the volumes in the fornix and the lower part of the thalamus, showing a high genetic correlation with delta age, indicating that they share a genetic basis. Mendelian randomization (MR) for all metabolomic biomarkers and blood-related phenotypes showed that immune-related phenotypes have a causal impact on increasing delta age. Our analysis revealed regions in the brain that are susceptible to the aging process and provided evidence of the causal and genetic connections between immune responses and brain aging.",2023,2023-01-27,"Research Support, Non-U.S. Gov't; research-article; Journal Article",eng,https://europepmc.org/article/MED/36707530,False,6,,True,True,True,True
doi:10.1093/jmcb/mjag005,doi:10.1093/jmcb/mjag005,europepmc,europepmc;openalex;pubmed,MED:41770026,10.1093/jmcb/mjag005,41770026,,Sarm1-containing extrachromosomal circular DNA promotes aging-associated cardiac fibrosis via TGF-β/Smad activation.,"Cardiac aging is associated with progressive cardiac fibrosis and dysfunction, yet the underlying mechanisms remain incompletely understood. Extrachromosomal circular DNA (eccDNA) has been reported to participate in tumor and age-related genomic instability, while its role in cardiac fibrosis during aging remains to be fully elucidated. In this study, circular DNA sequencing and RNA seqencing were performed to analyze eccDNA profiles in young and aged cardiac tissues. The number of eccDNAs in the cardiac tissue of aged mice is higher than that in young mice. Combining the annotation of eccDNAs and the key genes related to aging identified in the transcriptome, we identified sterile alpha and TIR motif containing 1 (Sarm1), a key regulator of NAD+ metabolism and neurodegeneration located in eccDNAs, as a novel driver of cardiac aging via pro-fibrotic signaling. In aged mice, Sarm1 knockdown significantly restored cardiac function and reduced fibrosis. Conversely, Sarm1 accelerated cardiac aging phenotypes in young Sarm1-overexpressing transgenic mice. Mechanistically, co-immunoprecipitation combined with mass spectrometry identified TGF-β-Smad2/3 as the dominant pathway, with pharmacological inhibition by SIS3 abolishing Sarm1-driven Smad2/3 phosphorylation. Our findings reveal that Sarm1-containing eccDNA drives cardiac aging by amplifying pro-fibrotic signaling through the TGF-β-Smad2/3 pathway, proposing eccDNAs clearance and Sarm1 inhibition as novel therapeutic strategies for aging-related cardiac fibrosis.",2026,2026-03-02,Journal Article,eng,https://europepmc.org/article/MED/41770026,False,2,,True,True,True,True
doi:10.1093/neuped/wuaf001.003,doi:10.1093/neuped/wuaf001.003,semantic_scholar,semantic_scholar,aaab6b4ed77c6a29715bbcb1e571164807231e6d,10.1093/neuped/wuaf001.003,,,ATRT-03. Targeting nuclear export as a potent therapeutic strategy in atypical teratoid/rhabdoid tumors,"Atypical teratoid/rhabdoid tumor (AT/RT) is an aggressive brain cancer that mostly affects children under age 3. While there have been some improvements in outcomes with multimodal therapy, there remains significant treatment-related toxicities associated with intensive therapy. Thus, improved and less toxic therapies for children with AT/RT are necessary. One strategy to determine novel therapeutic approaches is through the identification of cancer dependencies. Exportin-1 (XPO1) is a nuclear export protein that transports cargo proteins containing a nuclear export signal from the nucleus to the cytoplasm. In other cancers, elevated XPO1 expression has been associated with poor prognosis. We harnessed an integrative approach using functional genomics, in vitro AT/RT models, transcriptomics, drug assays, and in vivo intracranial xenograft models to systematically test the hypothesis that XPO1 is a therapeutic vulnerability in AT/RT. Analysis of RNA-sequencing data across pediatric brain tumor cell lines demonstrates that XPO1 is highly expressed in AT/RT cells. Genetic knockdown of XPO1 using CRISPR-Cas9 in patient-derived AT/RT cells led to profound defects in cell viability and proliferation. Pharmacologic inhibition of XPO1 using six different XPO1 inhibitors in multiple AT/RT cell lines showed as low as 5.05 nM IC50. XPO1 inhibition led to significant apoptosis and on target degradation of XPO1 protein levels. Transcriptomic analysis of AT/RT cells with genetic and pharmacologic inhibition of XPO1 is currently underway. Furthermore, we are harnessing protein fractionation coupled with mass spectrometry to specifically identify XPO1 cargo proteins. Additionally, we have tested combinatorial approaches with gemcitabine and XPO1 inhibition to evaluate synergistic effects. Lastly, we are testing this combination using intracranial xenograft murine models of AT/RT to assess in vivo effects on overall survival. Therefore, we demonstrate that XPO1 is a dependency in AT/RT, and targeting nuclear export in combination with cytotoxic chemotherapy shows high translational potential.",2025,2025-08-01,JournalArticle,,https://www.semanticscholar.org/paper/aaab6b4ed77c6a29715bbcb1e571164807231e6d,False,0,,True,False,True,False
