record_id,doi,title,source,year,original_route,original_reason,original_exclusion_code,criterion_path_route,criterion_path_reason,criterion_path_exclusion_code,manual_triage_queue,design_anchor,multiomics_evidence,aging_title_anchor,scope_all_tracked_5_of_5,causal_all_tracked_5_of_5,abstract
doi:10.1002/oby.23717,10.1002/oby.23717,The gut microbiome and regional fat distribution: Findings from the Baltimore Longitudinal Study of Aging.,europepmc,2023,seek_full_text,scope_unresolved_or_nonunanimous_exclusion,none,exclude,five_of_five_same_scope_exclusion,EC3,retain_for_manual_title_abstract_adjudication,not_assessed,single_or_no_layer,false,false,false,"Objective The aim of this study was to examine associations of gut microbiome diversity and composition with directly measured regional fat distribution, including central fat, in a large community-based cohort. Methods A cross-sectional investigation was conducted in the Baltimore Longitudinal Study of Aging (N = 815, 55.2% female, 65.9% White). The fecal microbiome was assessed using whole-genome shotgun metagenomic sequencing, and trunk and leg fat was measured using dual x-ray absorptiometry. Multivariable-adjusted associations of regional fat measures, BMI, or waist circumference with microbiome alpha diversity metrics, microbiome beta diversity metrics, and species differential abundance (verified using two compositional statistical approaches) were examined. Results Trunk fat, leg fat, BMI, and waist circumference all significantly explained similar amounts of variance in microbiome structure. Differential abundance testing identified 11 bacterial species significantly associated with at least one measure of body composition or anthropometry. Ruminococcus gnavus was strongly and consistently associated with trunk fat mass, which is congruent with prior literature. Conclusions Microbiome diversity and composition, in particular higher abundance of Ruminococcus gnavus, were associated with greater trunk fat, in addition to other measures of obesity. Longitudinal studies are needed to replicate these findings, and if replicated, randomized trials are needed to determine whether interventions targeting microbiome features such as abundance of Ruminococcus gnavus can lead to reductions in trunk fat and its metabolic sequelae."
doi:10.1016/j.fct.2015.11.002,10.1016/j.fct.2015.11.002,A systematic review on the role of environmental toxicants in stem cells aging.,europepmc,2015,seek_full_text,scope_unresolved_or_nonunanimous_exclusion,none,exclude,five_of_five_same_scope_exclusion,EC1,retain_for_manual_title_abstract_adjudication,not_assessed,unclear,false,false,false,"Stem cells are an important target for environmental toxicants. As they are the main source for replenishing of organs in the body, any changes in their normal function could affect the regenerative potential of organs, leading to the appearance of age-related disease and acceleration of the aging process. Environmental toxicants could exert their adverse effect on stem cell function via multiple cellular and molecular mechanisms, resulting in changes in the stem cell differentiation fate and cell transformation, and reduced self-renewal capacity, as well as induction of stress-induced cellular senescence. The present review focuses on the effect of environmental toxicants on stem cell function associated with the aging process. We categorized environmental toxicants according to their preferred molecular mechanism of action on stem cells, including changes in genomic, epigenomic, and proteomic levels and enhancing oxidative stress. Pesticides, tobacco smoke, radiation and heavy metals are well-studied toxicants that cause stem cell dysfunction via induction of oxidative stress. Transgenerational epigenetic changes are the most important effects of a variety of toxicants on germ cells and embryos that are heritable and could affect health in the next several generations. A better understanding of the underlying mechanisms of toxicant-induced stem cell aging will help us to develop therapeutic intervention strategies against environmental aging. Meanwhile, more efforts are required to find the direct in vivo relationship between adverse effect of environmental toxicants and stem cell aging, leading to organismal aging."
doi:10.1093/aje/kwag119,10.1093/aje/kwag119,Longitudinal associations of the gut microbiome with arterial stiffness in US adults: findings from the Baltimore Longitudinal Study of Aging.,europepmc,2026,seek_full_text,scope_unresolved_or_nonunanimous_exclusion,none,exclude,five_of_five_same_scope_exclusion,EC3,retain_for_manual_title_abstract_adjudication,not_assessed,single_or_no_layer,false,false,false,"The gut microbiome affects arterial stiffness in experimental murine models; however, evidence in human longitudinal studies is lacking. In this study, we investigated longitudinal between-person (average) and within-person (change) associations of microbiome features with arterial stiffness. We assessed the fecal microbiome using whole genome metagenomic sequencing, and arterial stiffness using carotid-femoral pulse wave velocity (cfPWV). Our analytic sample consisted of 349 adults from the Baltimore Longitudinal Study of Aging, who contributed 915 visits between 2013-2019. Using linear mixed models, we found higher microbiome evenness and butyrate-producing bacteria were associated with lower cfPWV on average (between-person), but changes in diversity were not associated with changes in cfPWV (within-person). Several potentially pathogenic bacteria were positively associated with cfPWV, both between- and within-person. Butyrate-production pathways were inversely associated with cfPWV between-person and borderline within-person. Trimethylamine-production genes were positively associated with cfPWV between-person and borderline within-person. In addition, changes in other functional pathways including peptidoglycan biosynthesis and L-arginine biosynthesis were associated with changes in cfPWV. In conclusion, cfPWV was associated with both between-person and within-person differences in gut microbiome features, with strength and consistency depending on the feature. These results can inform which microbiome features to target in interventions to improve arterial stiffness."
doi:10.3389/falgy.2026.1789143,10.3389/falgy.2026.1789143,The AhR–TLR4 axis in non-IgE-mediated Cow's milk allergy: a systematic review with integrated multi-omics corroboration,semantic_scholar,2026,seek_full_text,scope_unresolved_or_nonunanimous_exclusion,none,exclude,five_of_five_same_scope_exclusion,EC3,retain_for_manual_title_abstract_adjudication,not_assessed,single_or_no_layer,false,false,false,"Background & aims Non-IgE-mediated cow's milk allergy (non-IgE-CMPA) is the most prevalent form of CMPA in infancy; however, its pathogenesis is still poorly understood, which impedes the development of targeted nutritional strategies. Recent evidence suggests a connection between gut dysbiosis and immune dysregulation. Therefore, this systematic review, incorporating multi-omics corroboration, sought to clarify a pathogenic axis driven by dysbiosis and involving the aryl hydrocarbon receptor (AhR) and Toll-like receptor 4 (TLR4). Furthermore, the review aimed to evaluate related predictive biomarkers and potential therapeutic approaches. Methods We synthesized evidence from 39 studies of infants (0–3 years) with physician-confirmed non-IgE-CMPA, following PRISMA guidelines. To visually corroborate key mechanistic pathways at cellular resolution, we performed an integrative analysis of publicly available single-cell RNA sequencing datasets from pediatric intestinal biopsies. Results Non-IgE-mediated CMPA exhibits a distinct gut dysbiosis signature, characterized by decreased Bifidobacterium and increased Enterobacteriacea. This dysbiosis is associated with reduced microbial AhR ligands and TLR4 pathway in intestinal epithelial cells. A B/E ratio <0.5 at 3 months of age predicted persistent allergy (HR = 1.9, AUC = 0.82). scRNA-seq data confirmed IEC-specific upregulation of TLR4 co-receptors (CD14, LY96), activation of the NLRP3 inflammasome, and reduced expression of intestinal barrier integrity markers. Synbiotic intervention (LGG + HMOs) was associated with a 67% resolution of symptoms. Conclusion Early-life gut dysbiosis may disrupt AhR–TLR4 crosstalk, leading to NLRP3-mediated inflammation and barrier dysfunction in non-IgE-mediated CMPA. Bradford Hill criteria suggest a causal relationship for this pathway. Furthermore, the B/E ratio holds promise for early risk stratification, and synbiotics represent a potential mechanism-guided nutritional strategy for restoring microbial-immune homeostasis. Systematic Review Registration https://www.crd.york.ac.uk/prospero/view/CRD42025104533, PROSPERO CRD420251045333."
doi:10.3389/fimmu.2025.1662942,10.3389/fimmu.2025.1662942,Elevated NK and T cell-associated cytokines in plasma are associated with serological response to influenza vaccination,semantic_scholar,2025,seek_full_text,scope_unresolved_or_nonunanimous_exclusion,none,exclude,five_of_five_same_scope_exclusion,EC3,retain_for_manual_title_abstract_adjudication,not_assessed,single_or_no_layer,false,false,false,"Introduction Numerous pre-vaccination factors are known to be associated with differential responses to influenza vaccination, including age, prior infection, vaccination history, immune cell frequencies, and transcriptomic profiles. However, plasma chemokines and cytokines are relatively unexplored. Given that older individuals have generally higher levels of inflammatory molecules in circulation, termed inflammaging, and also respond poorly to vaccination, plasma immune profiles likely play a role in effective response to influenza vaccination. Methods A cohort of 100 people were sampled pre- (Day 0) and post-vaccination (Day 7) with the inactivated, quadrivalent Fluzone construct in the autumn of 2019 (UGA4). Plasma chemokines and cytokines were quantified by 38-plex Luminex assay, with ultrasensitive quantification of additional analytes by Single Molecule Array Technology (Simoa) assay. Antibodies against individual strains of influenza and serological response to vaccination were determined by Day 0 hemagglutination inhibition (HAI) titer and change in HAI titers from Day 0 to Day 28, respectively. Results Age was strongly associated with pre-vaccination HAI titers and differences in plasma analytes, but not changes in HAI titers post-vaccination. High plasma levels of eotaxin (CCL11) and MDC (CCL22) pre-vaccination were associated respectively with ineffective and effective serological response to vaccination. Increasing plasma levels of IFN-γ, IL-17A, and IL-15 from Day 0 to Day 7 post-vaccination were associated with effective serological response to vaccination. Discussion In conclusion, plasma chemokines and cytokine levels prior to or in the first few days post-influenza vaccination may be predictive of serological responses to vaccination, with changes in IFN-γ, IL-17A, and IL-15 post-vaccination possibly indicative of the activation of cell-mediated immunity. These findings support the need for larger, high-resolution studies exploring the role of plasma proteomics in serological responses to influenza vaccination."
doi:10.1016/j.fertnstert.2018.04.017,10.1016/j.fertnstert.2018.04.017,Skewed X-chromosome inactivation and shorter telomeres associate with idiopathic premature ovarian insufficiency.,pubmed,2018,seek_full_text,scope_unresolved_or_nonunanimous_exclusion,none,exclude,five_of_five_same_scope_exclusion,EC3,retain_for_manual_title_abstract_adjudication,not_assessed,two_or_more_layers,false,false,false,"To analyze whether telomere length, X-chromosome inactivation (XCI), and androgen receptor (AR) GAG polymorphism are related to idiopathic premature ovarian insufficiency (POI). Case-control study. University hospital. A total of 121 women, including 46 nonsyndromic POI and 75 controls. None. Age, weight, height, body mass index (BMI), systolic and diastolic arterial pressure, E 2 , androstenedione, T, and C-reactive protein were assessed. Telomere length was estimated by quantitative real-time polymerase chain reaction, XCI was measured using the Human Androgen Receptor and X-linked retinitis pigmentosa 2 (RP2) methylation assays. AR and FMR1 polymorphism was assessed by quantitative fluorescent polymerase chain reaction and sequencing. Premature ovarian insufficiency women had a higher mean age, weighed less, and exhibited lower C-reactive protein, E 2 , and androstenedione levels. The AR polymorphism did not differ between the groups. Four patients had premutation (55-200 CGG repeats), and none displayed a full mutation in the FMR1 gene. However, patients with POI showed shorter telomere length and higher frequency of skewed XCI. Extreme skewing (≥90%) was observed in 15% of women with POI, and shorter telomeres correlated with XCI skewing in both groups. Skewed XCI and shortened telomere length were associated with idiopathic POI, despite no alterations in the AR and FMR1 genes. Additionally, there is a tendency for women with short telomeres to exhibit skewed XCI."
doi:10.1016/j.kint.2026.04.018,10.1016/j.kint.2026.04.018,Distinct proteomic signatures of urinary extracellular vesicles link to albuminuria and treatment responses in diabetic kidney disease.,semantic_scholar,2026,seek_full_text,scope_unresolved_or_nonunanimous_exclusion,none,exclude,five_of_five_same_scope_exclusion,EC3,retain_for_manual_title_abstract_adjudication,not_assessed,two_or_more_layers,false,false,false,"INTRODUCTION Urinary extracellular vesicles (uEVs) offer a noninvasive approach to gain pathophysiological insight into kidney disease and treatment effects. Our study aimed to investigate the impact of albuminuria and antialbuminuric therapies on the uEV proteome in diabetic kidney disease. METHODS uEVs were isolated from urine samples of 20 patients with diabetes and albuminuria (age 64 years, estimated glomerular filtration rate 85 ml/min per 1.73 m2, urinary albumin creatinine ratio 130 mg/g) who participated in a crossover trial. Participants received telmisartan, empagliflozin, linagliptin, and baricitinib in random order across four 4-week treatment periods. Quantitative proteomics was performed using liquid chromatography-tandem mass spectrometry. Results were compared with two datasets (one single-nucleus, one single-cell) analyzing the effects of proteinuria and sodium-glucose cotransporter 2 inhibition (SGLT2i) on the kidney transcriptome. RESULTS A total of 2,441 proteins were identified in uEVs, of which 355 were significantly associated with albuminuria. Treatment with telmisartan, empagliflozin, linagliptin, and baricitinib resulted in, respectively, 86, 313, 80, and 47 differentially abundant uEV proteins with minimal overlap between treatments. Of the albuminuria-associated uEV proteins, 100 were significantly altered by at least one treatment. The overall proteomic signature was characterized by enrichment of podocyte-associated proteins, complement proteins, serpins, galectins, G-protein coupled receptors, lysosomal proteins, solute carriers, tubular injury proteins, and EV-related proteins such as Rab GTPases and tetraspanins. Comparison with the transcriptomic datasets showed that 15% of the albuminuria-associated uEV proteins and 62% of the sodium-glucose transport protein 2 inhibitor-responsive uEV proteins also exhibited changes at the transcript level in kidney cells, usually in a concordant manner. CONCLUSIONS Our study identified distinct uEV proteomic signatures linked to albuminuria and treatment responses in diabetic kidney disease, with minimal overlap across drugs and substantial concordance with kidney transcriptomic changes. These findings highlight the potential of uEVs as carriers of biomarkers for kidney injury and therapeutic effects."
doi:10.7554/elife.85792,10.7554/elife.85792,Homeodomain-interacting protein kinase maintains neuronal homeostasis during normal Caenorhabditis elegans aging and systemically regulates longevity from serotonergic and GABAergic neurons.,pubmed,2023,seek_full_text,scope_unresolved_or_nonunanimous_exclusion,none,exclude,five_of_five_same_scope_exclusion,EC4,retain_for_manual_title_abstract_adjudication,not_assessed,single_or_no_layer,true,false,false,"Aging and the age-associated decline of the proteome is determined in part through neuronal control of evolutionarily conserved transcriptional effectors, which safeguard homeostasis under fluctuating metabolic and stress conditions by regulating an expansive proteostatic network. We have discovered the Caenorhabditis elegans homeodomain-interacting protein kinase (HPK-1) acts as a key transcriptional effector to preserve neuronal integrity, function, and proteostasis during aging. Loss of hpk-1 results in drastic dysregulation in expression of neuronal genes, including genes associated with neuronal aging. During normal aging hpk-1 expression increases throughout the nervous system more broadly than any other kinase. Within the aging nervous system, hpk-1 induction overlaps with key longevity transcription factors , which suggests that hpk-1 expression mitigates natural age-associated physiological decline. Consistently, pan-neuronal overexpression of hpk-1 extends longevity, preserves proteostasis both within and outside of the nervous system, and improves stress resistance. Neuronal HPK-1 improves proteostasis through kinase activity. HPK-1 functions cell non-autonomously within serotonergic and γ-aminobutyric acid (GABA)ergic neurons to improve proteostasis in distal tissues by specifically regulating distinct components of the proteostatic network. Increased serotonergic HPK-1 enhances the heat shock response and survival to acute stress. In contrast, GABAergic HPK-1 induces basal autophagy and extends longevity, which requires mxl-2 (MLX), hlh-30 (TFEB), and daf-16 (FOXO). Our work establishes hpk-1 as a key neuronal transcriptional regulator critical for preservation of neuronal function during aging. Further, these data provide novel insight as to how the nervous system partitions acute and chronic adaptive response pathways to delay aging by maintaining organismal homeostasis."
doi:10.1101/2022.06.27.497783,10.1101/2022.06.27.497783,Machine Learning Identifies Signatures of Macrophage Reactivity and Tolerance that Predict Disease Outcomes,europepmc,2022,seek_full_text,scope_unresolved_or_nonunanimous_exclusion,none,exclude,five_of_five_same_scope_exclusion,EC3,retain_for_manual_title_abstract_adjudication,not_assessed,single_or_no_layer,false,false,false,"Single-cell transcriptomic studies have greatly improved organ-specific insights into macrophage polarization states are essential for the initiation and resolution of inflammation in all tissues; however, such insights are yet to translate into therapies that can predictably alter macrophage fate. Using machine learning algorithms on human macrophages, here we reveal the continuum of polarization states that is shared across diverse contexts. A path, comprised of 338 genes accurately identified both physiologic and pathologic spectra of “ reactivity ” and “ tolerance ”, and remained relevant across tissues, organs, species and immune cells (> 12,500 diverse datasets). This 338-gene signature identified macrophage polarization states at single-cell resolution, in physiology and across diverse human diseases, and in murine pre-clinical disease models. The signature consistently outperformed conventional signatures in the degree of transcriptome-proteome overlap, and in detecting disease states; it also prognosticated outcomes across diverse acute and chronic diseases, e.g., sepsis, liver fibrosis, aging and cancers. Crowd-sourced genetic and pharmacologic studies confirmed that model-rationalized interventions trigger predictable macrophage fates. These findings provide a formal and universally relevant definition of macrophage states and a predictive framework ( http://hegemon.ucsd.edu/SMaRT ) for the scientific community to develop macrophage-targeted precision diagnostics and therapeutics. One Sentence Summary S ignatures of ma crophage r eactivity and t olerance ( SMaRT ) predict disease outcomes"
doi:10.21203/rs.3.rs-3774978/v1,10.21203/rs.3.rs-3774978/v1,Mendelian Randomization Study: Genetic Prediction of Blood Metabolites and the Risk of Endometrial Cancer,openalex,2023,seek_full_text,scope_unresolved_or_nonunanimous_exclusion,none,exclude,five_of_five_same_scope_exclusion,EC3,retain_for_manual_title_abstract_adjudication,not_assessed,two_or_more_layers,false,false,false,"Abstract Background: Metabolic dysregulation is a hallmark of cancer. However, evidence of a causal relationship between circulating metabolites and the promotion or prevention of colorectal cancer (CRC) is still lacking. We conducted a two-sample Mendelian Randomization (MR) analysis to assess the causal relationship between 1,400 genetically proxied blood metabolites and endometrial cancer. Methods: We extracted metabolite level data from 8,299 participants in the Canadian Longitudinal Study on Aging (CLSA) and conducted a genome-wide association study (GWAS). This study involved 1,091 metabolites and 309 metabolite ratios. We utilized the ebi-a-GCST006464 dataset from the GWAS Catalog database for endometrial cancer. This dataset covered the European population, with 12,906 cases of endometrial cancer and 108,979 controls for preliminary analysis. The primary method for causal analysis was the Inverse Variance Weighted (IVW) method, supplemented by M-R-Egger and weighted median analysis. To validate the robustness, heterogeneity, and pleiotropy of the results, we conducted comprehensive sensitivity analyses, including the Cochran Q test, MR-Egger intercept test, radial MR, and leave-one-out analysis. For the final identification of metabolites, we also performed linkage disequilibrium score regression and colocalization analysis. Results: The results of this study indicated significant associations between nine metabolites and endometrial cancer. These include: 5alpha-androstan-3alpha,17beta-diol monosulfate (1) levels (Odds Ratio [OR] 1.15, 95% Confidence Interval [CI]: 1.09-1.20, p=1.34×10−8), 5alpha-androstan-3beta,17beta-diol monosulfate (2) levels (OR 1.18, 95% CI: 1.08-1.29, p=6.46×10−7), Androstenediol (3beta,17beta) disulfate (1) levels (OR 1.23, 95% CI: 1.12-1.36, p=3.01×10−5), Hexadecanedioate (C16-DC) levels (OR 1.12, 95% CI: 1.06-1.19, p=8.43×10−5), 1-linoleoyl-GPG (18:2) levels (OR 1.13, 95% CI: 1.06-1.21, p=0.0001), Adenosine 5'-diphosphate (ADP) to pantothenate ratio (OR 1.18, 95% CI: 1.08-1.29, p=0.0001), Octadecenedioylcarnitine (C18:1-DC) levels (OR 1.11, 95% CI: 1.05-1.17, p=0.0001), Glutarate (C5-DC) levels (OR 1.18, 95% CI: 1.08-1.28, p=0.0003), X-22509 levels (OR 1.15, 95% CI: 1.06-1.24, p=0.0003). Conclusion: The results of this study reveal potential causal relationships between nine circulating metabolites and endometrial cancer, offering new insights into the biological mechanisms of endometrial cancer. These findings, derived from integrating genomics and metabolomics approaches, not only enhance our understanding of the pathogenesis of endometrial cancer but also have significant implications for the screening, prevention, and treatment strategies of endometrial cancer."
