record_id,source,title,abstract,year,document_type,doi,proposed_design_family
doi:10.1007/s40520-025-02971-3,europepmc,The association between gut microbiota and accelerated aging and frailty: a Mendelian randomization study.,"Background The recent observational studies have unveiled the correlation between the composition and dynamic alterations of the gut microbiome and aging; however, the causal relationship remains uncertain. Aims The objective of this study is to investigate the causal relationship between the gut microbiome and accelerated aging as well as frailty, from a genetic perspective. Methods We obtained data on the gut microbiome, intrinsic epigenetic age acceleration, and Frailty Index from published large-scale genome-wide association studies. A two-sample Mendelian randomization analysis was conducted primarily using inverse variance weighting model. We utilized the MR-Egger intercept analysis, IVW method, the Cochran Q test, and the leave-one-out analysis to assess the robustness of the results. Results IVW analysis indicated a potential association between Peptococcus (OR: 1.231, 95% CI 1.013-1.497, P = 0.037), Dialister (OR: 1.447, 95% CI 1.078-1.941, P = 0.014) and Subdoligranulum (OR: 1.538, 95% CI 1.047-2.257, P = 0.028) with intrinsic epigenetic age acceleration; while Prevotella 7 (OR: 0.792, 95% CI 0.672-0.935, P = 0.006) was associated with a potential protective effect. Allisonella (OR: 1.033, 95% CI 1.005-1.063, P = 0.022), Howardella (OR: 1.026, 95% CI 1.002-1.050, P = 0.031) and Eubacterium coprostanoligenes (OR: 1.037, 95% CI 1.001-1.073, P = 0.042) were associated with an increased risk of frailty; conversely, Flavonifractor (OR: 0.954, 95% CI 0.920-0.990, P = 0.012) and Victivallis (OR: 0.984, 95% CI 0.968-1.000, P = 0.049) appeared to exhibit a potential protective effect against frailty. Conclusion The findings of this study provide further evidence for the genetic correlation between gut microbiota and accelerated aging as well as frailty, enhancing the understanding of the role of gut microbiota in aging-related processes. However, the underlying mechanisms and potential clinical applications require further investigation before any targeted interventions can be developed.",2025,research-article; Journal Article,10.1007/s40520-025-02971-3,genetic_instrument
doi:10.1016/j.jhazmat.2026.142949,europepmc,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome.,"Polypropylene nanoplastics (PP-NPs) are emerging environmental contaminants, but their gestational toxicity and underlying mechanisms remain poorly understood. In this study, we integrated maternal exposure mouse models, HTR8/SVneo trophoblast assays, quantitative proteomics, and phosphoproteomics to delineate the pathogenic basis of PP-NP-induced placental injury. PP-NPs accumulated prominently in the placenta, eliciting placental structural disruption, reduced placental efficiency, impaired fetal growth, and increased embryo loss. In trophoblasts, PP-NPs were readily internalized and impaired viability, proliferation, migration, invasion, and tube formation, accompanied by mitochondrial damage. To decipher the underlying molecular mechanisms, we performed integrated quantitative proteomic and phosphoproteomic analyses. These multi-omics landscapes revealed that cellular senescence is the dominant pathogenic program triggered by PP-NPs, accompanied by extensive phosphorylation remodeling. CDK1 emerged as the top predicted upstream kinase within this senescence-associated network. Notably, although CDK1 abundance was increased after PP-NPs exposure, its canonical cell-cycle-driving activity was not effectively engaged, as evidenced by reduced Thr161 phosphorylation, weakened CDK1-CCNB1 complex formation, and G1-phase arrest. Instead, PP-NPs were associated with increased phosphorylation of senescence-related substrates linked to CDK1-predicted signaling, including RBL2 at Thr 642 , SQSTM1 at Ser 207 , and FOXO3 at Ser 284 , together with activation of DNA damage signaling, the P53-P21/P16 axis, and a SASP-like inflammatory response. Pharmacological inhibition of CDK1 with Ro-3306 attenuated trophoblast senescence, restored trophoblast function, alleviated placental injury, and improved fetal outcomes in vivo, while siRNA-mediated CDK1 knockdown similarly suppressed CDK1-linked phosphorylation and rescued senescence-associated functional defects in trophoblasts. In conclusion, our study demonstrates that PP-NPs drive premature placental ageing through global proteomic and phosphoproteomic reprogramming, providing a new theoretical basis and potential therapeutic targets for environmental pollutant-induced adverse pregnancy outcomes.",2026,Journal Article,10.1016/j.jhazmat.2026.142949,direct_perturbation
doi:10.1038/s41467-024-52967-2,europepmc,Depletion of loss-of-function germline mutations in centenarians reveals longevity genes.,"While previous studies identified common genetic variants associated with longevity in centenarians, the role of the rare loss-of-function (LOF) mutation burden remains largely unexplored. Here, we investigated the burden of rare LOF mutations in Ashkenazi Jewish individuals from the Longevity Genes Project and LonGenity study cohorts using whole-exome sequencing data. We found that centenarians had a significantly lower burden (11-22%) of LOF mutations compared to controls. Similar effects were also observed in their offspring. Gene-level burden analysis identified 35 genes with depleted LOF mutations in centenarians, with 14 of these validated in the UK Biobank. Mendelian randomization and multi-omic analyses on these genes identified RGP1, PCNX2, and ANO9 as longevity genes with consistent causal effects on multiple aging-related traits and altered expression during aging. Our findings suggest that a protective genetic background, characterized by a reduced burden of damaging variants, contributes to exceptional longevity, likely acting in concert with specific protective variants to promote healthy aging.",2024,"research-article; Journal Article; Research Support, N.I.H., Extramural",10.1038/s41467-024-52967-2,genetic_instrument
doi:10.1038/s43587-026-01069-3,europepmc,Estropausal gut microbiota transplant improves measures of ovarian function in adult mice.,"The decline in ovarian function with age affects fertility and is associated with increased risk of age-related diseases, including osteoporosis and dementia. Notably, earlier menopause is linked to shorter lifespan, yet the molecular mechanisms underlying ovarian aging remain poorly understood. Recent evidence suggests the gut microbiota may influence ovarian health. Here we show that ovarian aging is associated with distinct gut microbial profiles in female mice and that the gut microbiome can directly influence ovarian health. Using fecal microbiota transplantation from young or estropausal female mice, we demonstrate that heterochronic microbiota transfer remodels the ovarian transcriptome, reduces inflammation-related gene expression and induces transcriptional features consistent with ovarian rejuvenation. These molecular changes are accompanied by enhanced ovarian health and increased fertility. Integrating metagenomics-based causal mediation analyses with serum untargeted metabolomics, we identify candidate microbial species and metabolites that may contribute to the observed effects. Our findings reveal a direct link between the gut microbiota and ovarian health.",2026,research-article; Journal Article,10.1038/s43587-026-01069-3,formal_mediation
doi:10.1101/2024.07.13.24310153,europepmc,"Proteome-wide Mendelian randomization study implicates inflammaging biomarkers in retinal vasculature, cardiometabolic diseases and longevity","With the increasing proportion of elderly individuals, improving understanding of the biological mechanisms involved in healthy aging is of utmost importance. Retinal vascular complexity obtained from retinal fundus photographs, and evaluated as fractal dimension (ie, Df), a measure of the geometric pattern of the retinal vasculature, has recently emerged as a valuable indicator of diseases and aging processes. The purpose of our study was to elucidate possible mechanisms underlying those relationships. By integrating retinal Df with genomic and plasma proteome biomarkers, we uncovered novel pathways involved in determining Df and its links with cardiometabolic diseases and longevity. First, we performed a genome wide association study (GWAS) of retinal vascular Df by meta-analysing signals from 74,434 participants from three large epidemiological cohorts, the Canadian Longitudinal Study of Aging (CLSA), the Genetics of Diabetes Audit and Research in Tayside Scotland (GoDARTS), and the UK Biobank (UKBB). We replicated four known loci associated with Df, and identified one novel locus within or near DAAM1, as well as found seven suggestive associations within or near CSNK1A1L, MAST4, HIVEP1, LOC283038, FNDC3A, SP100, and SUGP1 genes. GWAS summary statistics confirmed a negative correlation between Df and cardiovascular disease, stroke, and inflammation, but a positive correlation with longevity. Next, employing Mendelian randomization which combined genetic determinants of Df, and cis-protein Quantitative Trait Loci from 1,159 circulating proteins from the Prospective Urban and Rural Epidemiological (PURE) cohort (n=12,066), we identified eight causal mediators for Df, namely IgG Fc receptorIIb, BST1, LILRB2, IL16, MMP12, PON2, ALPP, and PDL2. Notably, MMP12 and IgG Fc receptorIIb have been suggested to connect Df to cardiometabolic outcomes (i.e., coronary artery disease, stroke, peripheral artery disease, and type 2 diabetes) and longevity, respectively. Pathway enrichment analyses highlighted the role of IgG Fc receptorIIb in immune and inflammatory responses to aging processes, referred to as inflammaging. This multi-pronged approach unveils IgG Fc recIIb and MMP12 as key mediators in immune and inflammation pathways, linking lower Df to a higher risk of cardiometabolic diseases and a shorter lifespan. Therefore, retinal Df may be a convenient way to estimate inflammaging, such that lower retinal Df, may indicate a higher inflammaging status. Targeting MMP12 and IgG Fc ReceptorIIb may promote healthy aging and mitigating the occurrence of cardiometabolic diseases in the elderly population.",2024,Preprint,10.1101/2024.07.13.24310153,genetic_instrument
doi:10.1111/acel.70581,europepmc,Urate-Related Genetic Risk Modulates the Anti-Aging Effects of Exogenous Nucleotides: Multi-Omics Evidence From Older Adults.,"Nucleotides-essential substrates for DNA repair, energy metabolism, and redox regulation-are emerging as nutritional modulators of biological aging. Yet, individual responses to exogenous nucleotide (NTs) supplementation remain poorly understood. Given that urate metabolism governs systemic oxidative balance, this study investigated whether genetic variability in urate regulation modifies the anti-aging effects of NTs. In this secondary analysis of the TALENTs randomized controlled trial (121 adults aged 60-70 years; 19-week intervention; NCT05243108), participants were stratified by urate polygenic risk score (UA-PRS) to evaluate genotype-dependent responses in DNA methylation age (DNAmAge) and leukocyte telomere length (LTL). A significant UA-PRS × intervention interaction was observed for ΔDNAmAge (p = 0.0114) and ΔLTL (p = 0.0271). NTs supplementation reduced DNAmAge in the High-PRS group (β = -5.10, p = 0.00013) and preserved telomere length in the Low-PRS group (β = 0.31, p = 0.0043). Multi-omics analyzes revealed that NTs modulated glucose-transport and pentose phosphate pathways in High-PRS individuals, while enhancing immune regulation and reducing GDF15 and IL-1β levels in Low-PRS individuals. These findings suggest that genetic variation in urate metabolism determines whether NTs are preferentially utilized for redox and epigenetic maintenance or for immune and inflammatory regulation, supporting a precision-nutrition model for delaying biological aging.",2026,research-article; Randomized Controlled Trial; Journal Article,10.1111/acel.70581,randomized_intervention
doi:10.1186/s12986-025-00955-8,europepmc,"Causal relationships between metabolic syndrome, plasma metabolites, and female reproductive diseases: insights from a two-step mendelian randomization approach.","Background Female reproductive diseases-including endometriosis (EMs), uterine fibroids (UFs), polycystic ovary syndrome (PCOS), gestational diabetes mellitus (GDM), eclampsia, ectopic pregnancy (EP), infertility, miscarriage, and ovarian aging-pose significant global health challenges. Metabolic syndrome (MetS) is characterized by a series of metabolic irregularities and has been linked to distinct plasma metabolomic profiles. Investigating the etiological connections among MetS, plasma metabolites, and female reproductive diseases is essential for devising effective prevention and treatment strategies. Objective This study sought to evaluate the causal relationships among MetS, plasma metabolites, and female reproductive diseases using a two-step Mendelian randomization (MR) methodology. Methods Initially, MR investigations were conducted to determine the causative impact of MetS on nine female reproductive diseases utilizing genome-wide association study (GWAS) data procured from European-descent populations. Statistically significant associations were identified for five diseases: UF, PCOS, GDM, eclampsia, and miscarriage. One hypothesis is that plasma metabolites may contribute to these associations. Subsequently, comprehensive MR analyses were performed using GWAS data on 233 plasma metabolites to examine causal relationships between these MetS-associated reproductive conditions and eight distinct classes of plasma metabolites. Sensitivity analyses, replication studies, and colocalization assessments were performed to validate the reliability of the outcomes. Results MetS was identified as a causal factor for increased risks of UF, PCOS, GDM, eclampsia, and miscarriage. Further MR analyses revealed that specific plasma metabolites might causally affect the risk of female reproductive diseases: Eclampsia: Protective associations were observed with lipid molecules in large and very large high-density lipoprotein (HDL) particles, including cholesterol esters and total cholesterol. Conversely, triglycerides in large HDL particles and indicators related to small HDL particles were linked to increased risk. PCOS: Risk factors included elevated levels of triglycerides in HDL particles, various very low-density lipoprotein metabolites, acetone, 3-hydroxybutyrate, and conjugated linoleic acid. GDM: Increased glucose levels were associated with increased GDM risk. Conclusions This investigation established that MetS causally elevates the risk of certain female reproductive diseases and identified plasma metabolites that influence these conditions. These findings enhance the understanding of the etiological pathways involved in MetS and reproductive disorders, highlighting plasma metabolites as potential biomarkers or therapeutic targets.",2025,research-article; Journal Article,10.1186/s12986-025-00955-8,genetic_instrument
doi:10.18632/aging.205711,europepmc,"Using genetics and proteomics data to identify proteins causally related to COVID-19, healthspan and lifespan: a Mendelian randomization study.","Background COVID-19 pandemic poses a heavy burden on public health and accounts for substantial mortality and morbidity. Proteins are building blocks of life, but specific proteins causally related to COVID-19, healthspan and lifespan have not been systematically examined. Methods We conducted a Mendelian randomization study to assess the effects of 1,361 plasma proteins on COVID-19, healthspan and lifespan, using large GWAS of severe COVID-19 (up to 13,769 cases and 1,072,442 controls), COVID-19 hospitalization (32,519 cases and 2,062,805 controls) and SARS-COV2 infection (122,616 cases and 2,475,240 controls), healthspan ( n = 300,477) and parental lifespan (~0.8 million of European ancestry). Results We identified 35, 43, and 63 proteins for severe COVID, COVID-19 hospitalization, and SARS-COV2 infection, and 4, 32, and 19 proteins for healthspan, father's attained age, and mother's attained age. In addition to some proteins reported previously, such as SFTPD related to severe COVID-19, we identified novel proteins involved in inflammation and immunity (such as ICAM-2 and ICAM-5 which affect COVID-19 risk, CXCL9, HLA-DRA and LILRB4 for healthspan and lifespan), apoptosis (such as FGFR2 and ERBB4 which affect COVID-19 risk and FOXO3 which affect lifespan) and metabolism (such as PCSK9 which lowers lifespan). We found 2, 2 and 3 proteins shared between COVID-19 and healthspan/lifespan, such as CXADR and LEFTY2, shared between severe COVID-19 and healthspan/lifespan. Three proteins affecting COVID-19 and seven proteins affecting healthspan/lifespan are targeted by existing drugs. Conclusions Our study provided novel insights into protein targets affecting COVID-19, healthspan and lifespan, with implications for developing new treatment and drug repurposing.",2024,research-article; Journal Article,10.18632/aging.205711,genetic_instrument
doi:10.3389/fimmu.2024.1426474,semantic_scholar,Multi-omics analysis and experimental validation of the value of monocyte-associated features in prostate cancer prognosis and immunotherapy,"Background Monocytes play a critical role in tumor initiation and progression, with their impact on prostate adenocarcinoma (PRAD) not yet fully understood. This study aimed to identify key monocyte-related genes and elucidate their mechanisms in PRAD. Method Utilizing the TCGA-PRAD dataset, immune cell infiltration levels were assessed using CIBERSORT, and their correlation with patient prognosis was analyzed. The WGCNA method pinpointed 14 crucial monocyte-related genes. A diagnostic model focused on monocytes was developed using a combination of machine learning algorithms, while a prognostic model was created using the LASSO algorithm, both of which were validated. Random forest and gradient boosting machine singled out CCNA2 as the most significant gene related to prognosis in monocytes, with its function further investigated through gene enrichment analysis. Mendelian randomization analysis of the association of HLA-DR high-expressing monocytes with PRAD. Molecular docking was employed to assess the binding affinity of CCNA2 with targeted drugs for PRAD, and experimental validation confirmed the expression and prognostic value of CCNA2 in PRAD. Result Based on the identification of 14 monocyte-related genes by WGCNA, we developed a diagnostic model for PRAD using a combination of multiple machine learning algorithms. Additionally, we constructed a prognostic model using the LASSO algorithm, both of which demonstrated excellent predictive capabilities. Analysis with random forest and gradient boosting machine algorithms further supported the potential prognostic value of CCNA2 in PRAD. Gene enrichment analysis revealed the association of CCNA2 with the regulation of cell cycle and cellular senescence in PRAD. Mendelian randomization analysis confirmed that monocytes expressing high levels of HLA-DR may promote PRAD. Molecular docking results suggested a strong affinity of CCNA2 for drugs targeting PRAD. Furthermore, immunohistochemistry experiments validated the upregulation of CCNA2 expression in PRAD and its correlation with patient prognosis. Conclusion Our findings offer new insights into monocyte heterogeneity and its role in PRAD. Furthermore, CCNA2 holds potential as a novel targeted drug for PRAD.",2024,JournalArticle,10.3389/fimmu.2024.1426474,genetic_instrument
title:oxr1 stabilizes the retromer to extend lifespan and neuronal health by dietary restriction,europepmc,OXR1 STABILIZES THE RETROMER TO EXTEND LIFESPAN AND NEURONAL HEALTH BY DIETARY RESTRICTION,"Abstract Dietary restriction (DR) delays aging and neurodegeneration, but the mechanisms behind this remain unclear. We reared over 150 fully sequenced fly strains from the Drosophila Genetic Reference Panel under ad libitum feeding or diet-restricted conditions and measured lifespan as well as healthspan to identify new targets for DR-mediated longevity. Through genome-wide association study, we identified genetic variants associated with influencing these traits under each dietary condition. A variant in mustard (mtd, called Oxidation resistance 1, OXR1, in humans), significantly associated with DR-specific lifespan. We demonstrate that mtd/OXR1 in neurons is necessary for DR-mediated lifespan extension. Neuronal knockdown of mtd also accelerates sensory decline, arguing for a specific role of mtd/OXR1 in neuroprotection. We show that mtd is essential for stabilizing the retromer complex, which is necessary for trafficking transmembrane proteins and lipids for reuse. As a result of OXR1 deficiency, the retromer destabilizes and lysosomes become overused. Overexpression of retromer proteins or supplementation with chaperone compound R55 rescues the lifespan defects and neurodegeneration seen in mtd-deficient flies, and R55 is capable of rescuing lysosomal aggregation and OXR1-retromer co-localization in cells from humans with OXR1 deficiency. We further show through multi-omic analyses in flies and humans that mtd/OXR1 associates with accelerated transcriptomic aging and proteins involved in neurodegenerative diseases, including Alzheimer's disease (AD). Overexpression of OXR1 and retromer proteins rescued AD-associated phenotypes in a fly model of AD. Thus, mtd/OXR1 enhances protein recycling in response to DR through the retromer, improving neuronal health and lifespan through mechanisms conserved across species.",2022,Abstract,,direct_perturbation
