source,branch,record_id,title,abstract,year,doi,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match,reviewer_retrieval_relevant,reviewer_aging_relevant,reviewer_multiomics_valid,reviewer_formal_causal_basis,reviewer_design_family,reviewer_notes
springernature,explicit_multiomics,doi:10.1186/s13148-026-02184-z,"Genetic and epigenetic underpinnings of biological aging: a multi-omics study integrating Mendelian randomization, spatial transcriptomics, and drug target discovery","Inflammaging represents a hallmark of biological aging, yet the causal inflammatory mediators driving multi-dimensional epigenetic aging and their effector genes remain poorly characterized at the genetic level. We developed a four-tier analytical framework integrating causal screening, multi-omics effector gene mapping, spatial transcriptomics, and drug target evaluation. Two-sample Mendelian randomization (MR) of 91 circulating inflammatory proteins against six aging phenotypes identified IL-12B, IFNG, and IL-2 as the most robust pro-aging mediators with consistent effects across independent outcomes. Using multi-omics summary-based MR (SMR) as the core analytical engine, we integrated four-layer whole-blood molecular QTL resources eQTL (eQTLGen, n = 31,684), sQTL (GTEx, n = 755), pQTL (INTERVAL + SCALLOP, n = 34,232), and mQTL (McRae et al., n = 1,980) — with GWAS summary statistics for four epigenetic age acceleration measures. At a stringent threshold (P_SMR < 1×10⁻¹²), seven high-confidence effector genes were identified: NHLRC1, TPMT, SELP, and RIPPLY3 for IEAA; ZNF373A and PLDN for HannumAA; and EDARADD for PhenoAA. The chromosome 6p21 NHLRC1–TPMT locus, overwhelmingly driven by methylation QTL signals (−log₁₀P = 26.06), emerged as the dominant genetic node of epigenetic aging. Spatial projection via gsMap onto a mouse E16.5 embryo atlas (121,767 cells) revealed preferential enrichment in smooth muscle and lung, with EDARADD showing marked specificity in mucosal epithelium. Cross-database drug target mining classified TPMT and SELP as repurposable known targets and NHLRC1 as a high-priority novel druggable candidate. This study provides multi-omics convergent causal evidence for inflammation-driven epigenetic aging and delivers genetically anchored targets for precision anti-aging intervention.",2026,10.1186/s13148-026-02184-z,genomics;transcriptomics,True,True,True,,,,,,
springernature,explicit_multiomics,doi:10.1007/s11033-026-12107-z,Multi-omics insights into immunometabolic dysregulation in neonatal sepsis for precision medicine,"Neonatal sepsis remains a major global health challenge, contributing substantially to morbidity and mortality despite many advances. Conventional diagnostics often fail to capture the disease complexity and immune dysregulation, leading to delayed diagnosis and sub-optimal treatment. Recent advances in multiomics, including genomics, transcriptomics, proteomics, metabolomics and metagenomics are transforming molecular understanding by enabling a precise view of host-pathogen interactions. These approaches also provide critical insights into metainflammation, a state of chronic, low-grade immune and metabolic dysregulation, playing a pivotal role in neonatal immune vulnerability. Integrating multi-omics with meta-inflammatory profiling may support future risk stratification, biomarker discovery, and precision-oriented neonatal sepsis care. However, clinical translation requires further validation, platform standardization, and feasibility assessment in NICU settings. Such insights may establish the foundation of P4 medicine by emphasizing prediction, prevention, personalisation, and participation in neonatal care. Multi-omics integration may support endotype identification, and data-driven clinical communication after adequate validation. Overall, this review highlights how multiomics and metainflammation driven frameworks may improve mechanistic understanding of neonatal sepsis and guide future development of clinically feasible precision-medicine approaches. Graphical abstract",2026,10.1007/s11033-026-12107-z,genomics;metabolomics;microbiomics;proteomics;transcriptomics,False,False,False,,,,,,
springernature,explicit_multiomics,doi:10.1007/s11696-026-05337-9,Multi-omics and AI-driven personalized precision skincare: from molecular mechanisms to industrial applications,"Personalized and precision skincare is undergoing a profound transformation from concept to industrial implementation, driven by the deep integration of multi-omics detection technologies and artificial intelligence algorithms. This review systematically organizes the latest advancements and future trends in this field. First, the paper elaborates on a multidimensional skin-typing system based on genomics, proteomics, and metabolomics, revealing the molecular basis of skin phenotypes, dynamic states, and microenvironment characteristics, and providing a scientific rationale for precise interventions that transcend traditional empirical skin classification. Second, it focuses on how artificial intelligence technology empowers the entire chain of personalized skincare: at the data analysis stage, machine learning and deep learning algorithms integrate multi-source heterogeneous data to uncover complex gene-phenotype-environment associations; at the product and service stage, AI-driven intelligent skin condition monitoring, personalized formulation customization, virtual makeup try-on, and outcome prediction achieve a paradigm shift from “one formula fits all” to “one person, one formula”. By analyzing the technology layouts and innovation cases of leading international enterprises, this paper demonstrates the current state of industrialization of the “multi-omics-AI-product” closed-loop system. Finally, the paper discusses the challenges this field faces in data standardization, algorithm interpretability, clinical validation, and regulatory ethics. It outlines future development trends, including integration of skin-organ axes, real-time feedback from wearable devices, and digital twin technology. This review aims to provide a systematic theoretical framework and development pathway reference for academic research, technological innovation, and industrial upgrading in the cosmetics field.",2026,10.1007/s11696-026-05337-9,genomics;metabolomics;proteomics,False,True,False,,,,,,
springernature,explicit_multiomics,doi:10.1038/s41467-026-74961-6,Spatial multi-omics identifies early synaptic pruning and context-specific dopaminergic vulnerability in synucleinopathies,"Parkinson’s disease (PD) is characterized by degeneration of dopaminergic neurons in the substantia nigra pars compacta, but the molecular events preceding neuronal loss remain unclear. Here, we combine spatial transcriptomics, spatial proteomics, and α-synuclein (αSyn) seed amplification assays to profile post-mortem midbrain tissue from controls, incidental Lewy body disease (iLBD), PD, Alzheimer’s disease (AD), and AD with Lewy body pathology (AD + LBP). We find that αSyn seeding activity correlates with dopaminergic neuron loss in PD-spectrum cases but not in AD-associated LBP, indicating disease-context dependent relationships between αSyn pathology and neurodegeneration. In iLBD, before overt substantia nigra Lewy pathology or detectable αSyn aggregation, we detect increased expression of the complement component C1QC together with loss of inhibitory synaptic markers. These findings support early complement-associated remodeling of inhibitory synapses as a potential pathogenic event preceding overt αSyn aggregation and neuronal degeneration in PD. Parkinson’s disease is associated with dopaminergic neuron loss, but the molecular events preceding degeneration remain unclear. Here, the authors show that early complement associated pruning of inhibitory synapses precedes overt α-synuclein aggregation and neuronal loss in prodromal synucleinopathy.",2026,10.1038/s41467-026-74961-6,proteomics;transcriptomics,False,False,False,,,,,,
springernature,explicit_multiomics,doi:10.1186/s40164-026-00796-y,A multimodal single-cell framework for ecosystem-level profiling of circulating tumor and non-tumor cells,"Multimodal profiling of circulating tumor cells (CTCs) and non-tumor circulating cells was performed in six patients with advanced colorectal cancer to identify biological programs beyond enumeration-based analyses. Across all patients, we identified 3,981 CTCs characterized by pronounced EpCAM/L1CAM co-expression, variable PD-L1 expression, and low LGR5 expression, consistent with metastatic-associated phenotypes. Integrated single-cell multi-omics analysis of 1,720 cells revealed genomic instability within EpCAM⁺, L1CAM⁺, LGR5⁺, and PD-L1⁺ CTC subsets, including Y-chromosome loss in male patients and marked intra-patient heterogeneity. In parallel, non-CTCs exhibited upregulation of inflammatory and metabolic dysregulation programs. This hypothesis-generating study highlights the relevance of blood-based multimodal single-cell profiling for interrogating tumor–host states beyond insights from CTC enumeration alone.",2026,10.1186/s40164-026-00796-y,genomics,False,False,False,,,,,,
springernature,explicit_multiomics,doi:10.1186/s13054-026-06169-5,"The molecular ICU: a primer on omics, informatics and the future of precision critical care","Critical care has produced hundreds of neutral randomized trials, in part because therapies have been tested in biologically incoherent populations that dilute meaningful treatment effects. Syndromic diagnoses such as sepsis, acute respiratory distress syndrome, and traumatic brain injury group distinct pathobiological states under a single label, limiting the ability to detect treatment-responsive subgroups. While high-dimensional omics technologies have revealed this biologic heterogeneity, the field lacks a practical framework to translate these insights into clinical trial design and bedside decision-making. This Review addresses the translational gap in precision critical care through a pathway-level framework. We synthesize advances in genomics, transcriptomics, proteomics, and metabolomics, highlighting their roles in capturing susceptibility, host response, effector function, and real-time physiology. We propose pathway-focused biomarkers as clinically translatable signatures that preserve biological mechanisms while enabling practical measurement. We outline how pathway enrichment, network analysis, and multi-omic integration can identify these programs, and how feature selection can derive parsimonious biomarker panels for clinical use. This approach also supports pathway-guided drug repurposing by linking dysregulated molecular programs to existing therapies. Together, these signatures provide a framework for predictive enrichment, aligning patient selection with therapeutic mechanisms and facilitating implementation within adaptive platform trials. This Review serves as a practical primer that outlines the concepts and methods needed to translate omics into clinically actionable tools. By shifting from syndromic classification to pathway-defined biology, it provides a framework for biomarker development, trial design, and precision critical care.",2026,10.1186/s13054-026-06169-5,genomics;metabolomics;proteomics;transcriptomics,False,True,False,,,,,,
springernature,explicit_multiomics,doi:10.1007/s12094-026-04287-8,An interpretable breast cancer risk stratification model via multi-omics integration: multi-method development and cross-cohort validation,"Background Breast cancer remains a formidable global health challenge, and the absence of suitable survival guidance models persists, with most existing models suffering from methodological limitations, inadequate comparisons, and lack of external validation. Methods The data used in this study were obtained from the latest version of The Cancer Genome Atlas (TCGA) database. A total of 1063 samples were randomly divided into a training cohort ( n = 745) and a testing cohort ( n = 318) in a 7:3 ratio. The training cohort was then randomly divided into a training set ( n = 558) and a validation set ( n = 187) in a 3:1 ratio. The training set was used for the model to learn data features, while the validation set was used to evaluate and select optimal hyperparameter combinations. The testing cohort was used to assess the performance of all models and determine the final selection. The ultimately established model was subsequently evaluated in an independent validation cohort and compared with outstanding models from prior studies. Results The final conclusion demonstrates that multi-omics models are superior to single-omics models. Among multi-omics models, multi-kernel learning approaches outperform other single-kernel methods. An independent external validation set demonstrates robust generalization performance when confronted with unseen data. Conclusion The study developed a new risk stratification model for cancer patients based on a multi-omics integration approach. Our work holds promise for supporting stratification, precision therapy, and prognostic prediction in cancer patients.",2026,10.1007/s12094-026-04287-8,genomics,False,False,False,,,,,,
springernature,explicit_multiomics,doi:10.1038/s41467-026-73370-z,AI digital pathology as a key tool providing in-depth understanding of the progression and regression of MASH and fibrosis in male mouse models,"Optimizing murine models for studying Metabolic Dysfunction-Associated Steatohepatitis (MASH) and fibrosis is crucial for understanding disease mechanisms and evaluating therapies. In this study, we characterized diet-induced male murine models of MASH and liver fibrosis using an AI-digital pathology (DP) pipeline for zone-specific analysis and spatial (co)-localization of key MASH features within the liver microarchitecture, providing insights beyond standard histology. Model characterization included an integrative omics-based approach, standard blood-chemistry, and traditional histology. AI-DP revealed previously unknown temporal events leading to MASH, emphasizing the interplay between inflammation and dysmetabolism in disease progression. We also noted distinct morphometric characteristics of granulomas and their correlation with fibrosis. In efficacy studies of clinically-validated treatments, Semaglutide (GLP-1RA), Resmetirom (THRβ-agonist), and MK-4074 (Acetyl-CoA-carboxylase inhibitor), AI-DP demonstrated differential effects on macrosteatosis, microsteatosis, and colocalized fibrosis. Overall, integrating AI enables identification of fit-for-purpose disease models for therapeutic testing, and facilitates robust preclinical study designs for advancing effective therapeutic strategies. AI-driven multimodal pathology enables zone-resolved colocalization and objective reproducible scoring of spatial and treatment-specific effects to improve murine MASH model characterization.",2026,10.1038/s41467-026-73370-z,,False,False,False,,,,,,
springernature,explicit_multiomics,doi:10.1007/s00406-026-02306-x,"Esketamine multi-omic biomarker evaluation in major depressive disorder (EMBER-MDD): concept, objectives and methodologies of a non-clinical investigator-initiated study","Treatment resistance (TR) in major depressive disorder (MDD) affects a substantial minority of patients and is hard to recognize early, delaying intensified care. The Esketamine multi-omic biomarker evaluation in MDD (EMBER-MDD) is a non-interventional, investigator-initiated, in-vitro study within the EU Psych-STRATA programme, analyzing biospecimens collected in the randomized INTENSIFY study and the mirror OBS-TR cohort after participants complete treatment. EMBER-MDD aims to discover individual-omic and integrated multi-omic (hypothesis-free) biomarkers and signatures associated with TR risk, and molecular correlates of clinical response to esketamine nasal spray versus treatment as usual (TAU). Biomaterials will derive from approximately 420 adults with MDD (estimated n = 210 esketamine; n = 210 TAU) and include whole blood, RNA-stabilized whole blood, plasma and serum, sampled at baseline and, when feasible, during and after treatment (up to ~ 5,040 aliquots stored at − 80 °C). Genomics will use baseline DNA genotyping on Illumina Infinium GSA v3.0+MD arrays; epigenomics will profile genome-wide DNA methylation across time points using MethylationEPIC v2.0; transcriptomics will employ mRNA-seq (NovaSeq X/ X Plus); and proteomics/ metabolomics will be generated using high-throughput Olink and/ or Biocrates platforms. Each layer will undergo state-of-the-art preprocessing and analyses (e.g., GWAS/ PRS, EWAS, differential expression, WGCNA, pathway and network analyses), followed by integrative strategies including QTL mapping (meQTL/ eQTL/ pQTL/ mQTL) and intermediate-fusion machine learning with nested cross-validation, explainable AI (SHAP/ LIME) and treatment-effect modelling. All outputs are research-only and will not support individual efficacy, tolerability, or clinical decision-making. The study will deliver robust biosignatures and mechanistic hypotheses to guide future validation and inform stratified, molecularly guided intervention strategies in subsequent prospective trials. Trial registration number: 2023-506617-21–00 and 2025-178-f-S.",2026,10.1007/s00406-026-02306-x,epigenomics;genomics;metabolomics;proteomics;transcriptomics,False,True,False,,,,,,
springernature,explicit_multiomics,doi:10.1007/s44411-026-00728-6,Rescuing Leydig Cell Dysfunction During Aging: Molecular and Cellular Insights,"Background and Problem Declining testosterone levels in aging men represent a growing clinical concern, with late-onset hypogonadism (LOH) affecting an estimated 20–30% of men over 60 years. The principal cellular basis for this decline is progressive impairment of Leydig cells, the primary source of testicular testosterone. Age-related Leydig cell dysfunction leads to reduced fertility, endocrine dysregulation, and associated systemic consequences including metabolic and musculoskeletal morbidity. Mechanisms Oxidative stress is now recognized as a central driver of Leydig cell aging. Excessive reactive oxygen species (ROS), arising from mitochondrial electron transport chain dysfunction, NADPH oxidase activity, endoplasmic reticulum (ER) stress, and chronic low-grade inflammation, disrupt redox homeostasis. This ROS overload impairs luteinizing hormone (LH) signaling, damages key steroidogenic proteins including the steroidogenic acute regulatory (StAR) protein and cytochrome P450 enzymes and triggers cellular senescence and apoptosis. Concurrently, the efficiency of endogenous antioxidant defense systems superoxide dismutases (SODs), catalase, glutathione peroxidases (GPxs), and the thioredoxin/peroxiredoxin network declines with age, amplifying oxidative damage within the testicular microenvironment. Consequences The convergence of increased ROS production and diminished antioxidant capacity impairs mitochondrial integrity, reduces steroidogenic enzyme activity, and accelerates Leydig cell senescence, collectively resulting in decreased testosterone biosynthesis. This contributes to the clinical manifestation of LOH, with downstream effects on spermatogenesis, bone density, muscle mass, metabolic health, and quality of life. Interventions Experimental and transgenic models demonstrate that overexpression of antioxidant enzymes can attenuate oxidative damage and preserve steroidogenic capacity. Pharmacological agents including melatonin, resveratrol, quercetin, coenzyme Q10, and N-acetylcysteine along with metabolic and lifestyle interventions such as moderate physical exercise, caloric restriction, and optimized micronutrient intake, enhance endogenous antioxidant pathways in preclinical settings. While robust human clinical trial data remains limited, these findings provide a mechanistic basis for translational investigation. Conclusions Antioxidant-based strategies represent potentially promising, mechanistically grounded approaches to preserving male reproductive endocrine function during aging. Future priorities include well-designed randomized controlled trials in humans, development of validated Leydig cell aging models, and multi-omics integration to identify precise therapeutic targets and biomarkers of steroidogenic decline.",2026,10.1007/s44411-026-00728-6,,True,True,True,,,,,,
