record_id,trigger,assistant_status,first_failed_criterion,evidence_quote,rationale
doi:10.1016/j.athplu.2026.03.001,preliminary_exclusion_confirmation,exclude,EC3,"We aimed to elucidate the associations between nuclear magnetic resonance (NMR) metabolic biomarkers with site- and sex-specific arterial calcification as well as their causal nature.",The current outcome is arterial calcification; use of a longevity cohort does not make aging a studied process.
doi:10.1016/j.exger.2025.113017,preliminary_exclusion_confirmation,exclude,EC4,"DNA methylation-based EAA measures (PhenoAA, Grim2AA, DunedinPACE) at Wave 5 were included.",The molecular analysis is limited to the DNA-methylation aging layer; clinical metabolic syndrome variables are not a second omics layer.
doi:10.1016/j.gene.2026.150162,preliminary_exclusion_confirmation,exclude,EC4,"Using time-series RNA sequencing across six circadian time points in synchronized HEK293T cells, we observed that FEN1 knockdown was accompanied by notable changes in rhythmic gene expression patterns.",RNA sequencing is the only molecular omics layer described; knockdown and cell assays do not constitute another omics layer.
doi:10.1016/j.stem.2026.05.009,preliminary_exclusion_confirmation,exclude,EC4,"Using a SASP reporter combined with a CRISPR-Cas9 screen targeting active regulatory elements, we identify the zinc-finger protein ZNF512B as a key suppressor of the SASP.",A perturbation screen and targeted chromatin/repair experiments do not establish integration of two distinct molecular omics layers.
doi:10.1038/s41380-026-03735-9,preliminary_exclusion_confirmation,exclude,EC3,"we systematically investigated their shared genetic architecture and potential biological mechanisms.",The report studies schizophrenia and dementia liability; later-life vulnerability is interpretation rather than an analyzed aging process.
doi:10.1038/s41467-025-66217-6,preliminary_exclusion_confirmation,exclude,EC3,"Here we show that ventral hippocampal (vHIP) overexpression of Egr1, an oestrous cycle-dependent transcription factor, induces sex-dependent changes in vHIP neuronal chromatin, gene expression, and structural plasticity",The report studies sex-dependent plasticity and the estrous cycle, not aging.
doi:10.1038/s41467-026-72381-0,preliminary_exclusion_confirmation,exclude,EC4,"Transcriptomic and cellular analyses indicated increased cell division, corroborated in vivo by elevated germline and intestinal stem-cell proliferation.",Only transcriptomics is a molecular omics layer; genetic perturbation and cellular phenotyping are causal support but not a second omics layer.
doi:10.1073/pnas.1720673115,preliminary_exclusion_confirmation,exclude,EC4,"Metabolomic analysis indicates several specific pathways are affected in Sirt4 knockout flies",Metabolomics is the only molecular omics layer; knockout and organismal phenotypes are not another omics layer.
doi:10.1080/17460913.2024.2417608,preliminary_exclusion_confirmation,exclude,EC3,"A Mendelian randomization study was conducted to explore the causal relationship between gut microbiota and transplant failure.",The current outcome is transplant failure; shortened patient lifespan is background motivation rather than an aging process.
doi:10.1111/acel.70418,preliminary_exclusion_confirmation,exclude,EC4,"Combining classical genetic analysis, quantitative trait locus (QTL) mapping and CRISPR-Cas9 allelic recapitulation, we identify skn-1 (Nrf2) and gsy-1 (glycogen synthase) as key host determinants.",The abstract describes genetic mapping and perturbation but no second molecular omics layer or microbiome-wide assay.
doi:10.1186/s12864-026-12546-9,preliminary_exclusion_confirmation,exclude,EC4,"High-throughput transcriptome sequencing of ovarian tissues identified 6,790 differentially expressed genes (DEGs).",Transcriptomics is the sole omics layer; targeted functional experiments do not add another molecular omics layer.
doi:10.1186/s13148-025-01927-8,preliminary_exclusion_confirmation,exclude,EC4,"The statistics for epigenetic age acceleration and allergic diseases were derived from genome-wide association studies (GWAS) of European ancestry.",The current MR uses GWAS summary statistics and does not analyze a distinct epigenomic dataset in addition to genomics.
doi:10.1242/dmm.052810,preliminary_exclusion_confirmation,exclude,EC4,"VAPBP58S brains exhibited age-dependent neuroinflammation, as measured by whole-transcriptome quantitative mRNA sequencing",Transcriptomics is the only omics layer; CRISPR construction and functional perturbations do not constitute another omics layer.
doi:10.18632/aging.100011,preliminary_exclusion_confirmation,exclude,EC3,"Here, we show that SIRT6 forms a macromolecular complex with the DNA double-strand break (DSB) repair factor DNA-PK (DNA-dependent protein kinase) and promotes DNA DSB repair.",The current analysis is targeted DNA-repair biology; aging phenotypes are background evidence rather than a studied aging outcome or trajectory.
doi:10.21203/rs.3.rs-8394751/v1,preliminary_exclusion_confirmation,exclude,EC3,"Lentiviral knockdown of Rasal1 in the DG promoted AHN and neurite growth in middle-aged rats that were otherwise reluctant to run.",Middle age is a cohort condition and the analyzed outcome is neurogenesis rather than aging itself.
doi:10.64898/2026.07.10.735668,preliminary_exclusion_confirmation,exclude,EC3,"we conducted a meta-analysis of 19 mammalian RNA-seq datasets in which Sirt6 levels were perturbed (knockout, knockdown, or overexpression).",The current analysis identifies Sirt6-regulated transcription; lifespan extension is background motivation and no aging outcome is analyzed.
doi:10.64898/2026.07.13.738356,preliminary_exclusion_confirmation,exclude,EC3,"We analyzed the brains of three-month-old Plcg2 wild-type (WT), heterozygous (Het KO) and homozygous knockout (Homo KO) littermate mice",The experiment concerns young-mouse homeostasis; Alzheimer risk and aging are interpretation rather than an analyzed aging process.
doi:10.64898/2026.07.22.740085,preliminary_exclusion_confirmation,exclude,EC4,"Integrative transcriptomic analyses revealed the network of p63-regulated genes in basal cells",Transcriptomics is the only molecular omics layer; overexpression and knockdown are causal experiments but not a second omics layer.
doi:10.7554/elife.30952,preliminary_exclusion_confirmation,exclude,EC3,"we describe sequential protein changes during post-natal development and progressive OXPHOS dysfunction in time course analyses in control mice and a middle lifespan knockout, respectively.",The time course studies mitochondrial dysfunction rather than biological aging; middle lifespan labels the disease model.
doi:10.1002/trc2.70286,preliminary_unclear,exclude,EC3,"To examine associations of inherited chromosomally integrated human herpesvirus 6 (iciHHV-6) with incident dementia and mortality",The current outcomes are dementia and mortality in an older cohort; brain aging is interpretive wording rather than a measured aging construct.
doi:10.1007/s12031-025-02314-x,preliminary_unclear,seek_full_text,none,"Premature ovarian failure (POF) accelerates ovarian aging, leading to menstrual irregularities, reduced fertility, and decreased estrogen levels.",The abstract clearly supports MR and multi-omics but does not resolve whether ovarian aging is analyzed or only used to frame POF.
doi:10.1007/s40520-024-02877-6,preliminary_unclear,include,none,"To assess the causal relationship between gut microbiota and EAA, we applied four different methods of Mendelian Randomization (MR) analysis",Microbiota and epigenetic-age phenotypes provide distinct molecular layers and MR supplies the formal causal design.
doi:10.1038/s44319-026-00791-8,preliminary_unclear,seek_full_text,none,"Increased heterochromatin formation in ISCs and progenitor enteroblasts (EBs) is associated with decreased active epigenetic modifications and global gene repression.",Perturbation and aging relevance are clear but the abstract does not identify whether epigenomic and transcriptomic layers were assayed at omics scale.
doi:10.1101/2020.07.06.20147520,preliminary_unclear,include,none,"Mendelian randomization (MR) analyses also identified circulating proteins and metabolites causally associated with parental lifespan",The report integrates genomic instruments with transcriptomic, proteomic, and metabolomic evidence for lifespan.
doi:10.1101/2025.02.08.25321911,preliminary_unclear,include,none,"we devised a meticulous two-sample Mendelian randomization (MR) analysis",A null MR result remains an assessable causal design; GWAS and pQTL-derived protein abundance provide genomics and proteomics layers.
doi:10.1111/jcpe.14040,preliminary_unclear,include,none,"Mendelian randomization (MR) and multi-omics integration analysis were employed to explore the causal association and potential molecular mechanisms between biological ageing and periodontitis.",The current report explicitly applies multi-omics integration and MR to biological aging.
doi:10.1186/s12933-026-03220-1,preliminary_unclear,exclude,EC5,"we applied genomic structural equation modeling (Genomic-SEM) to integrate genome-wide association data from six traits-coronary artery disease, type 2 diabetes, hypertension, bone mineral density, frailty, and telomere length-to model a shared latent genetic factor ('F' factor).",This SEM estimates a shared latent liability rather than a directed causal hypothesis or identified causal contrast.
