record_id,doi,url,source,access_basis,format
no-doi:40bd6d05bb59fa3d752ad2f2,,https://pmc.ncbi.nlm.nih.gov/articles/PMC4270344/?report=reader,PubMed Central,Public full-text reader page,html
doi:10.1093/plphys/kiaa059,10.1093/plphys/kiaa059,https://pmc.ncbi.nlm.nih.gov/articles/PMC8133539/,PubMed Central,Public full-text article page,html
doi:10.1101/2025.06.19.660635,10.1101/2025.06.19.660635,https://pmc.ncbi.nlm.nih.gov/articles/PMC12262564/,PubMed Central,Public preprint full-text page,html
doi:10.1104/pp.104.900273,10.1104/pp.104.900273,https://pmc.ncbi.nlm.nih.gov/articles/PMC2556840/?report=reader,PubMed Central,Public full-text reader page,html
doi:10.1104/pp.110.161430,10.1104/pp.110.161430,https://pmc.ncbi.nlm.nih.gov/articles/PMC2948995/?report=reader,PubMed Central,Public full-text reader page,html
doi:10.1104/pp.113.900456,10.1104/pp.113.900456,https://pmc.ncbi.nlm.nih.gov/articles/PMC3585577/?report=reader,PubMed Central,Public full-text reader page,html
doi:10.1104/pp.17.00972,10.1104/pp.17.00972,https://pmc.ncbi.nlm.nih.gov/articles/PMC5543943/?report=reader,PubMed Central,Public full-text reader page,html
doi:10.1212/nxg.0000000000000100,10.1212/nxg.0000000000000100,https://pmc.ncbi.nlm.nih.gov/articles/PMC5390739/,PubMed Central,Public full-text article page,html
doi:10.2215/cjn.14931218,10.2215/cjn.14931218,https://pmc.ncbi.nlm.nih.gov/articles/PMC6390924/,PubMed Central,Public full-text article page,html
doi:10.7326/m16-0271,10.7326/m16-0271,https://pmc.ncbi.nlm.nih.gov/articles/PMC5909820/?report=reader,PubMed Central,Public full-text reader page,html
