record_id,title,primary_decision,primary_reason,retry_decision,retry_exclusion_code,retry_reason,retry_manual_review_reason,retry_scope_runs,retry_causal_runs
doi:10.1002/aro2.70036,Fasting and Refeeding Mediated Phospholipid Remodeling Plays an Important Role in Improving Meat Quality of Aged Laying Hens,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1002/jcsm.70002,Exogenous Nucleotides Supplementation Attenuates Age-Related Sarcopenia.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1002/ygh2.341,Letter: management of patients with chronic hepatitis C failing repeated courses of interferon‐free DAA combination therapy: a translational research perspective with clinical impact,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1016/j.ecoenv.2026.119676,Dysregulation of atrazine-associated core gene networks and risk prediction in human cancers: Insights from integrated transcriptomics and network toxicology analyses.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1016/j.kint.2024.04.017,DNA methyltransferase 1 (DNMT1) promotes cyst growth and epigenetic age acceleration in autosomal dominant polycystic kidney disease.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1016/j.phymed.2026.158183,Astragaloside IV delays vascular aging by enhancing mitochondrial fatty acid β-oxidation via the MLXIPL-PPARα/PGC-1α axis.,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1038/s41420-026-03036-8,NFATC2-mediated CST1 upregulation drives cholangiocarcinoma growth and metastasis.,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1038/s41598-023-27903-x,Investigation of genetic variants and causal biomarkers associated with brain aging.,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1093/jmcb/mjag005,Sarm1-containing extrachromosomal circular DNA promotes aging-associated cardiac fibrosis via TGF-β/Smad activation.,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1093/neuped/wuaf001.003,ATRT-03. Targeting nuclear export as a potent therapeutic strategy in atypical teratoid/rhabdoid tumors,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1097/hep.0000000000001304,"CAD manipulates tumor intrinsic DHO/UBE4B/NF-κB pathway and fuels macrophage cross-talk, promoting hepatocellular carcinoma metastasis.",manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1101/2022.07.11.22277435,Systems-level patterns in biological processes are changed under prolongevity interventions and across biological age,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1101/2024.05.06.592653,Functional and multi-omic aging rejuvenation with GLP-1R agonism,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1101/2025.02.28.640792,"Integrating genomic, transcriptomic and epigenetic data to identify phenotypically impactful driver pathways in glioblastoma",manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1136/lupus-2020-eurolupus.147,P103 Aberrant DNA damage response of B cell populations in systemic lupus erythematosus,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1161/circresaha.124.325685,Biophysical and Biochemical Roles of Shear Stress on Endothelium: A Revisit and New Insights.,manual_review,role_execution_failed,exclude,EC1,five_of_five_same_scope_exclusion,,5,0
doi:10.1182/blood-2025-4980,Imputing causality from single-cell transcriptomics in paroxysmal nocturnal hemoglobinuria,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1182/blood-2025-978,Perturbation of iNKT differentiation during clonal hematopoiesis from rewiring of inflammation and lipid presentation,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1186/s12866-026-04987-9,Integrated analysis of the gut mycobiota and plasma metabolome reveals mortality and age-specific characteristics in sepsis,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1186/s13059-017-1185-3,Diverse interventions that extend mouse lifespan suppress shared age-associated epigenetic changes at critical gene regulatory regions.,manual_review,role_execution_failed,exclude,EC4,five_of_five_same_scope_exclusion,,5,0
doi:10.1186/scrt138,From cytogenomic to epigenomic profiles: monitoring the biologic behavior of in vitro cultured human bone marrow mesenchymal stem cells,manual_review,role_execution_failed,exclude,EC5,five_of_five_same_sufficient_causal_exclusion,,5,5
doi:10.29219/fnr.v69.11923,Aged garlic attenuates neuroinflammation via modulating the NF-κB pathway: Insights from multi-omics analyses,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.3389/fpsyt.2025.1730143,Brain imaging data and summary data-based Mendelian randomization analysis reveal the impact of multiorgan aging on schizophrenia.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.3390/nu17223607,Luteolin Alleviates Vascular Senescence Through Retinoic Acid-Peroxisome Proliferator-Activated Receptor Signaling and Lipid Metabolism Remodeling Combined with Multi-Omics Analysis.,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.3760/cma.j.cn501225-20240830-00320,[Multi-omics Mendelian randomization study on the causality between non-ionizing radiation and facial aging].,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.4137/grsb.s13204,Pathway Analysis of ChIP-Seq-Based NRF1 Target Genes Suggests a Logical Hypothesis of their Involvement in the Pathogenesis of Neurodegenerative Diseases.,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.7754/clin.lab.2024.240701,METTL7A as a New Candidate Biomarker in Gastric Cancer by Genomics and Data-Independent Acquisition Proteomic Analysis.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
