record_id,title,primary_decision,primary_reason,retry_decision,retry_exclusion_code,retry_reason,retry_manual_review_reason,retry_scope_runs,retry_causal_runs
doi:10.1002/adfm.202514253,Neodymium‐Modified Molybdenum Blue Nanoclusters Alleviate Polycystic Ovary Syndrome via Radical Scavenging,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1002/aro2.70036,Fasting and Refeeding Mediated Phospholipid Remodeling Plays an Important Role in Improving Meat Quality of Aged Laying Hens,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1002/cam4.4404,Construction and validation of a novel aging-related gene signature and prognostic nomogram for predicting the overall survival in ovarian cancer.,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1002/jcsm.70002,Exogenous Nucleotides Supplementation Attenuates Age-Related Sarcopenia.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1002/jev2.70318,Engineered Nestin + TSPC‐Derived Exosomes Promote Tendon Repair Via Metabolic Reprogramming,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1002/ygh2.341,Letter: management of patients with chronic hepatitis C failing repeated courses of interferon‐free DAA combination therapy: a translational research perspective with clinical impact,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1007/s11357-026-02265-0,A telomere-lipid-immunity axis linking viral integration to autoimmune disease risk.,manual_review,role_execution_failed,seek_full_text,none,scope_unresolved_or_nonunanimous_exclusion,,5,0
doi:10.1016/j.arr.2025.102870,Biomarkers of multimorbidity: A systematic review.,manual_review,role_execution_failed,exclude,EC1,five_of_five_same_scope_exclusion,,5,0
doi:10.1016/j.eclinm.2024.102769,Development and validation of an integrated system for lung cancer screening and post-screening pulmonary nodules management: a proof-of-concept study (ASCEND-LUNG),manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1016/j.ecoenv.2026.119676,Dysregulation of atrazine-associated core gene networks and risk prediction in human cancers: Insights from integrated transcriptomics and network toxicology analyses.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1016/j.jalz.2019.06.3154,P3‐126: FUNCTIONAL DISSECTION OF AN ALZHEIMER'S DISEASE SUSCEPTIBILITY GENE NETWORK,manual_review,role_execution_failed,exclude,EC4,five_of_five_same_scope_exclusion,,5,0
doi:10.1016/j.kint.2024.04.017,DNA methyltransferase 1 (DNMT1) promotes cyst growth and epigenetic age acceleration in autosomal dominant polycystic kidney disease.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1016/j.phymed.2026.158183,Astragaloside IV delays vascular aging by enhancing mitochondrial fatty acid β-oxidation via the MLXIPL-PPARα/PGC-1α axis.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1017/cts.2024.375,"434 Investigating the metabolic-inflammatory mechanisms of cachexia symptoms in head and neck cancer patient plasma via multiomics integration of the metabolome, lipidome, and inflammation cytokines",manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1038/s41420-026-03036-8,NFATC2-mediated CST1 upregulation drives cholangiocarcinoma growth and metastasis.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1038/s41588-021-00898-9,Variably methylated retrotransposons are refractory to a range of environmental perturbations.,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
doi:10.1038/s41598-023-27903-x,Investigation of genetic variants and causal biomarkers associated with brain aging.,manual_review,role_execution_failed,manual_review,,,role_execution_failed,0,0
doi:10.1038/s41598-025-98038-4,Construction of a prognostic model and identification of key genes in liver hepatocellular carcinoma based on multi-omics data.,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1038/s41598-026-48556-6,Oxidative stress promotes the progression of age-related macular degeneration by up-regulating Spp1 to activate the JAK/STAT signaling pathway,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1080/19490976.2022.2070392,Integrative multiomics analysis reveals host-microbe-metabolite interplays associated with the aging process in Singaporeans,manual_review,role_execution_failed,seek_full_text,none,causal_unresolved_or_nonunanimous_exclusion,,5,5
doi:10.1093/bjd/ljaf041,Comprehensive Single-Cell Chromatin and Transcriptomic Profiling of Peripheral Immune Cells in Non-Segmental Vitiligo.,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1093/ecco-jcc/jjac190.0070,DOP30 Identifying dietary factors and metabolites that may promote healthier Crohn Disease microbiome and mucosal transcriptomics signals as future targets using Diet-Omics,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1093/gerona/glaf234,From Mitochondrial Dysfunction to Frailty and Sarcopenia: Genetic Evidence from Multi-Omics Data via Mendelian Randomization and Colocalization.,manual_review,role_execution_failed,exclude,EC3,five_of_five_same_scope_exclusion,,5,0
doi:10.1093/hmg/ddae189,Integrated multi-omics analysis revealed the molecular networks and potential targets of cellular senescence in Alzheimer's disease.,manual_review,role_execution_failed,seek_full_text,none,positive_causal_basis,,5,5
