record_id,title,final_decision,final_exclusion_code,decision_reason,scope_all_fields_exact,causal_evaluated,causal_all_fields_exact,all_evaluated_fields_exact,five_request_route_sequence,five_request_route_exact,disagreement_fields
doi:10.1002/alz.12278,Neuroscience Next 2020 Abstracts,manual_review,none,,False,False,False,False,[],False,
doi:10.1016/j.jid.2019.07.004,Genome-wide association study of acne inversa in a multi-ethnic cohort,exclude,EC3,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",True,
doi:10.1093/ije/dyaa075,Cohort Profile: The Leipzig Research Center for Civilization Diseases–Heart Study (LIFE-Heart),exclude,EC3,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",True,
doi:10.1093/nsr/nwx146,cGAS-STING pathway in senescence-related inflammation,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1096/fj.202100317,"The 2020 FASEB virtual Catalyst Conference on Integrative Approach for Complex Diseases Prevention and Management and Beyond, December 16, 2020",manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC3"", ""exclude:EC1"", ""exclude:EC3"", ""exclude:EC1""]",False,scope_reviewer.report_type
doi:10.1097/01.jcma.0001096048.54396.64,Title Index,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1097/hjh.0b013e32834ee23c,Essential hypertension,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1111/bjd.21182,P60: Merkel cell cancer: the need to standardize care,exclude,EC3,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",True,
doi:10.1111/exd.12771,All is balanced: inter‐ α ‐trypsin inhibitors as unseen extracellular matrix proteins in epidermal morphology and differentiation,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC1""]",False,scope_reviewer.current_report_layer_use;scope_reviewer.layer_candidates;scope_reviewer.multiomics_evidence;scope_reviewer.report_type
doi:10.1111/gbb.12646,Sex differences in mechanisms of disease,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1111/nbu.12575,Vitamin D: One hundred years on,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1113/jp287235,Epigenome–proteome integration in aged skeletal muscle after exercise training,exclude,EC1,five_of_five_same_full_text_scope_exclusion,False,False,False,False,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,scope_reviewer.aging_process_relevance
doi:10.1158/1538-7445.am2025-sy02-01,Abstract SY02-01: Inflammatory memory and selective advantage in human clonal hematopoiesis,exclude,EC3,five_of_five_same_full_text_scope_exclusion,False,False,False,False,"[""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",True,scope_reviewer.layer_candidates
doi:10.4081/ejtm.2026.14960,"Abstract | 009 | Lecture - FES in mice, rats and men: adaptation and recovery in aging rodent muscle",assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.4103/nrr.nrr-d-25-00422,Shuttle and stabilize: H1.2-FUS complex in amyotrophic lateral sclerosis pathogenesis,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC4""]",False,scope_reviewer.aging_process_relevance;scope_reviewer.report_type
doi:10.5281/zenodo.20257527,"ITU and Genomics: A Single-Axiom View of DNA, Human Genome Project, CRISPR Gene Editing, AlphaFold, AI Drug Discovery, Population Genetics, Coalescent Theory, and Ancient DNA — Block B 5/?, Pass-1 Final Tier 1",manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC3"", ""exclude:EC1"", ""exclude:EC3""]",False,scope_reviewer.current_report_layer_use;scope_reviewer.layer_candidates;scope_reviewer.report_type
doi:10.7936/zw5q-8j61,Investigating Biological Mechanisms of Radiation Resistance in Advanced Stage Cervical Cancer,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
