record_id,canonical_id,source,provenance_sources,source_record_id,doi,pmid,pmcid,title,abstract,year,publication_date,document_type,language,url,is_preprint,duplicate_count,query_branches,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
doi:10.1002/ajh.27371,doi:10.1002/ajh.27371,openalex,openalex,https://openalex.org/W4396962343,10.1002/ajh.27371,,,Improving healthspan among people with sickle cell disease: Leveraging precision health in an era of treatments with curative intent,"With the US Food and Drug Administration (FDA) approval of two new cell-based gene therapies (Casgevy, Lyfgenia) for sickle cell disease (SCD) on December 8, 2023,1 gene therapies and hematopoietic stem cell transplantation (HSCT) are heralded as the next era of potentially curative treatments for people born with sickle cell disease (SCD).2, 3 Despite these groundbreaking advances, which have been accelerated by the discovery of clustered regularly interspaced palindromic repeats (CRISPR)-Cas9 gene-editing technology,2, 3 there are still persistent shortcomings that preclude improved quality of life among many people born with SCD.4, 5 Notable examples of remaining challenges include the need for endpoints of functional cure as recently reviewed by Locatelli et al,6 informative surrogate biomarkers of specific severe complications that translate to tailored clinical decisions for each patient, as well as the availability, accessibility, and equity of clinical management and treatments.4, 5, 7 The current utilization of SCD treatments with curative intent is limited, even in higher-income settings.2, 8 HSCT2 is costly, requiring specialized facilities and clinical expertise as well as lengthy in-patient hospitalization. Allogeneic HSCT ideally involves human leukocyte antigen (HLA)-matched hematopoietic stem cells to minimize graft versus host disease risk. HSCT is often only provided to people with severe disease, since transplantation has substantial risks including graft failure, infection, infertility, and death.9, 10 Aside from Casgevy and Lyfgenia, other gene therapies have been evaluated as preclinical models3 and additional clinical trials are ongoing. Most gene therapy protocols require myeloablative conditioning, which increases the risk of secondary malignancies. Second, among people who successfully receive HSCT or gene therapies for the treatment of SCD, there are a host of emergent questions regarding new risks, long-term monitoring, and clinical management (Figure 1). Short-term physiologic questions are to determine the extent that SCD-associated damage to multiple organs is reversible, which will inform clinical management of the risk for specific clinical sequelae from irreversible damage. In the longer-term, there is a need for improved and ongoing risk monitoring across the life span of every individual. Given genetic variability across human populations,20 off-target effects from gene-editing remain an active area of investigation.10 Safety concerns from off-target effects, the unintended alteration of gene expression of other untargeted genes, include genotoxicity and genomic instability due to altered chromosomal rearrangements.10 Recent advances in artificial intelligence (AI)-based predictive modeling21 and data integration tools for multi-omics,22 minimally-invasive biomonitoring via wearable technologies,23, 24 and microfluidic assays for rheological properties of red blood cells and blood accumulation25 could be adapted and jointly leveraged for future personalized clinical management of SCD. Machine-learning and data-driven network approaches can simultaneously account for joint distributions and conditional dependence between multiple disparate data types (e.g., clinical signs and symptoms, laboratory assessments, treatments, comorbidities, omics data, psychosocial and behavioral factors).21, 22 This is advantageous for more accurately reflecting the heterogeneous disease progression, especially acute and chronic complications, among people with SCD. Predictive models, in combination with multi-omics data, have tremendous potential26 for a deep characterization of each SCD patient. The identification of robust biomarker signatures could shed light on the key underlying pathophysiologic pathways of individual treatment responses, leading to improved precision, efficiency, and cost-effectiveness of treatments. Large-scale multivariate data approaches could provide systematic, efficient screening of candidate biomarkers, which are critical—albeit initial—steps. Subsequent steps will include the extensive validation of reproducibility and accuracy in diverse populations, and evaluation of the translation to actionable clinical insights and utility. Other major challenges to fully leverage the potential of AI and multi-omics include the: standardization of collection (e.g., biological samples, SCD symptom and treatment history, timepoints); harmonization of omics assays including genetics; coordination of larger, statistically powered longitudinal studies with longer follow up duration among people with SCD prior to and after receiving potentially curative treatments. Historically, individuals with SCD have faced stigma and discrimination resulting from the improper handling of their personal data.27 Consequently, it is essential for all researchers to prioritize and incorporate current best practices in artificial intelligence ethics, including data privacy, ethical use of data, equitable accessibility of treatments and AI benefits, as well as evaluating and minimizing potential bias of AI models.28 As we enter this next era of SCD treatment, precision health approaches have considerable potential to provide earlier and accurate risk assessment of clinical sequelae, and thereby, an improved capacity for a longer healthspan among people with SCD. The continued expansion of SCD treatment options is providing a long-awaited opportunity to improve our ability to identify the right SCD treatment for the right patient at the right time. All authors (EAY, HUZ, SK, EV) contributed to the conception of and interpretation of previous literature. EAY, HUZ, and EV substantially contributed to the initial manuscript draft. All authors (EAY, HUZ, SK, EV) provided critical revisions, and approved the final version. We thank Dr. Jane Little at the University of North Carolina at Chapel Hill for her review and constructive comments. Figure 1 was created with www.BioRender.com. Author declares no conflict of interest. The work of H.U.Z. was supported by the German Federal Ministry of Education and Research (BMBF) through the e:Med research and funding concept (01ZX1912A).",2024,2024-05-16,article,en,https://openalex.org/W4396962343,False,0,explicit_multiomics,True,True,False,False
doi:10.1002/ijc.30763,doi:10.1002/ijc.30763,pubmed,pubmed,28470669,10.1002/ijc.30763,28470669,PMC5518216,Long-distance interaction of the integrated HPV fragment with MYC gene and 8q24.22 region upregulating the allele-specific MYC expression in HeLa cells.,"Human papillomavirus (HPV) infection is the most important risk factor for cervical cancer development. In HeLa cell line, the HPV viral genome is integrated at 8q24 in one allele of chromosome 8. It has been reported that the HPV fragment integrated in HeLa genome can cis-activate the expression of proto-oncogene MYC, which is located at 500 kb downstream of the integrated site. However, the underlying molecular mechanism of this regulation is unknown. A recent study reported that MYC was highly expressed exclusively from the HPV-integrated haplotype, and a long-range chromatin interaction between the integrated HPV fragment and MYC gene has been hypothesized. In this study, we provided the experimental evidences supporting this long-range chromatin interaction in HeLa cells by using Chromosome Conformation Capture (3C) method. We found that the integrated HPV fragment, MYC and 8q24.22 was close to each other and might form a trimer in spatial location. When knocking out the integrated HPV fragment or 8q24.22 region from chromosome 8 by CRISPR/Cas9 system, the expression of MYC reduced dramatically in HeLa cells. Interestingly, decreased expression was only observed in three from eight cell clones, when only one 8q24.22 allele was knocked out. Functionally, HPV knockout caused senescence-associated acidic β-gal activity in HeLa cells. These data indicate a long-distance interaction of the integrated HPV fragment with MYC gene and 8q24.22 region, providing an alternative mechanism relevant to the carcinogenicity of HPV integration.",2017,2017-05-19,Journal Article,eng,https://pubmed.ncbi.nlm.nih.gov/28470669/,False,0,,True,False,True,False
doi:10.1007/s00011-026-02257-y,doi:10.1007/s00011-026-02257-y,semantic_scholar,europepmc;openalex;pubmed;scopus;semantic_scholar,361d0bba88c1a9b9e856d94f1124c36e839b8e0e,10.1007/s00011-026-02257-y,42096094,13152973,"Multivariable genome-wide analysis elucidates the shared genetic architecture, immunosenescence features, and gut-origin therapeutic targets of ulcerative colitis-associated multisystem inflammation","Background Over 25% of patients with ulcerative colitis (UC) develop extraintestinal manifestations (EIMs), resulting in significant systemic morbidity. We define the shared genetic foundation of these manifestations as the UC-associated Multisystem Inflammatory Genetic Architecture (UC-MIGA). This study aims to identify shared genomic drivers and actionable immunosenescence therapeutic targets across the UC-EIM spectrum. Methods We applied genomic structural equation modeling (SEM) to seven European-ancestry GWAS datasets (UC, deep vein thrombosis, ankylosing spondylitis, primary sclerosing cholangitis, pyoderma gangrenosum, interstitial lung disease, and erythema nodosum) to identify a shared latent genetic factor (F1). Post-SEM analyses included FUMA mapping, SuSIE/FINEMAP fine-mapping, FUSION/FOCUS transcriptome-wide studies, MAGMA enrichment, CELLECT deconvolution, LDSC partitioned heritability, and single-cell eQTL Mendelian randomization (MR). UC exhibited the highest standardized factor loading (0.9801) on F1, justifying its use as a representative proxy for UC-MIGA in downstream analyses. UC-telomere relationships were assessed via tissue-specific eQTL/sQTL enrichment across 49 GTEx tissues, spatial transcriptomics (gsMap), single-cell profiling (GSE214695, GSE163974), hdWGCNA, and colocalization analyses (eCAVIAR, fastENLOC). Results SEM identified substantial genetic overlap (CFI = 1.0, SRMR = 0.17). Within the UC-MIGA framework, we identified 17,005 SNPs (P ≤ 1 × 10⁻2⁰⁰), 2,622 risk loci, and 152 high-confidence effector genes. Pathways implicated Th17/Treg imbalance and inflammasome signaling. Super-enhancer regions showed exceptional heritability enrichment (80.16%, fold = 4.79, p = 0.0007). MR identified 35 causal immune cell-gene associations. UC-telomere analyses revealed convergence in colon-specific DNA repair-mitochondrial energetics-telomere maintenance pathways, with B cells prioritized as the core cell type. Colocalization identified NKX2-3 and LINC01475 as high-confidence shared candidates. Embryonic intestinal enrichment supported the developmental origins of this systemic axis. Conclusion UC-MIGA represents a genetically coherent architecture driven by super-enhancer-mediated epigenetic dysregulation, Th17/Treg imbalance, and immunosenescence features, including telomere dysfunction and B-cell exhaustion. The ‘developmental vulnerability-environmental trigger’ model explains the gut-origin inflammatory cascade underlying extraintestinal manifestations, with UC-telomere analysis providing a genomic foundation for systemic therapeutic strategies targeting the inflammation-aging nexus. Supplementary Information The online version contains supplementary material available at 10.1007/s00011-026-02257-y.",2026,2026-05-07,JournalArticle,,https://www.semanticscholar.org/paper/361d0bba88c1a9b9e856d94f1124c36e839b8e0e,False,4,,True,True,True,True
doi:10.1007/s11357-020-00189-x,doi:10.1007/s11357-020-00189-x,pubmed,pubmed;scopus,32394347,10.1007/s11357-020-00189-x,32394347,PMC7394980,Molecular changes in transcription and metabolic pathways underlying muscle atrophy in the CuZnSOD null mouse model of sarcopenia.,"Mice lacking the superoxide anion scavenger CuZn superoxide dismutase (Sod1 -/- mice) develop a number of age-related phenotypes, including an early progression of muscle atrophy and weakness (sarcopenia) associated with loss of innervation. The purpose of this study was to delineate the early development of sarcopenia in the Sod1 -/- mice and to measure changes in the muscle transcriptome, proteome, and eicosanoid profile at the stage when sarcopenia is markedly induced in this model (7-9 months of age). We found a strong correlation between muscle atrophy and mitochondrial state 1 hydroperoxide production, which was 40% higher in isolated mitochondria from Sod1 -/- mouse gastrocnemius muscle by 2 months of age. The primary pathways showing altered gene expression in Sod1 -/- mice identified by RNA-seq transcriptomic analysis are protein ubiquitination, synaptic long-term potentiation, calcium signaling, phospholipase C signaling, AMPK, and TWEAK signaling. Targeted proteomics shows elevated expression of mitochondrial proteins, fatty acid metabolism enzymes, tricarboxylic acid (TCA) cycle enzymes, and antioxidants, while enzymes involved in carbohydrate metabolism are downregulated in Sod1 -/- mice. LC-MS analysis of lipids in gastrocnemius muscle detected 78 eicosanoids, of which 31 are significantly elevated in muscle from Sod1 -/- mice. These data suggest that mitochondrial hydroperoxide generation is elevated prior to muscle atrophy and may be a potential driving factor of changes in the transcriptome, proteome, and eicosanoid profile of the Sod1 -/- mice. Together, these analyses revealed important molecular events that occur during muscle atrophy, which will pave the way for future studies using new approaches to treat sarcopenia.",2020,2020-05-12,"Journal Article; Research Support, N.I.H., Extramural; Research Support, U.S. Gov't, Non-P.H.S.",eng,https://pubmed.ncbi.nlm.nih.gov/32394347/,False,1,,True,False,False,False
doi:10.1016/j.ahr.2026.100276,doi:10.1016/j.ahr.2026.100276,openalex,openalex;scopus,https://openalex.org/W7133354425,10.1016/j.ahr.2026.100276,,,"Gut microbiota and frailty research (2010–2025): A bibliometric analysis of trends, gaps, and future directions","• First bibliometric analysis (2010–2025) for gut microbiota-frailty. • Clarifies the growth and traits of gut microbiota-frailty research. • Defines research frontiers and new hotspots for gut microbiota-frailty. • Point out the gap in research and provide follow-up research directions. The gut microbiome is increasingly recognized as a key modulator of frailty. a systematic bibliometric assessment of this rapidly evolving research domain has been lacking. This study aimed to conduct a comprehensive bibliometric analysis to map the research landscape, intellectual structure, and thematic trends in the field of gut microbiota and frailty. 1,405 publications indexed in the Web of Science Core Collection(from 2010 to 2025) using bibliometric tools (VOSviewer and CiteSpace). The analysis evaluated annual publication outputs, international collaborations, journal contributions, and thematic evolution, with particular focus on microbiota-specific methodologies (e.g., 16S rRNA sequencing, metagenomics) and interventions (e.g., probiotics, fecal microbiota transplantation). 1405 publications related to gut bacteria and aging have been published. Publication output exhibited exponential growth, increasing from 16 in 2010 to 248 in 2024 (R² = 0.994). The United States(386 papers) and China (n=364 papers) were the most productive countries, whereas European nations—particularly the Netherlands and France—achieved the highest average citation impact. Thematic progression revealed an evolution from early descriptive studies of microbiome composition to mechanistic investigations of host–microbe interactions and, more recently, clinical trials involving dietary and other interventions. Keyword analysis identified central mechanistic themes such as the gut–brain axis, short-chain fatty acids, and inflammatory biomarkers, alongside emerging topics including post-COVID-19 frailty and exercise-based microbiota modulation. Research investigating the association between gut microbiota composition and frailty is expanding rapidly. To advance mechanistic understanding and support clinical translation, future studies should prioritize the integration of multi-omics data and the implementation of rigorously designed randomized controlled trials to establish causal inference and inform evidence-based interventions.",2026,2026-03-01,article,en,https://openalex.org/W7133354425,False,1,explicit_multiomics,True,True,True,True
doi:10.1016/j.cca.2025.120397,doi:10.1016/j.cca.2025.120397,europepmc,europepmc;pubmed;scopus;semantic_scholar,MED:40441344,10.1016/j.cca.2025.120397,40441344,,Emerging blood biomarkers in Alzheimer's disease: a proteomic perspective.,"Early detection of Alzheimer's disease (AD) remains a formidable clinical challenge, but emerging blood-based assays show promise for identifying at-risk individuals long before cognitive symptoms arise. This is the first comprehensive synthesis comparing mass-spectrometry and immunoassay platforms across multiple blood-based AD biomarkers and the first to integrate these findings into a unified roadmap for clinical implementation. In this review, we compare high-throughput mass spectrometry and ultrasensitive immunoassays for quantifying circulating amyloid-β isoforms, phosphorylated tau species (p-tau181, p-tau217), neurofilament light chain (NfL), glial fibrillary acidic protein (GFAP), YKL-40 and selected inflammatory markers. Individual biomarkers demonstrate diagnostic accuracies (AUC) up to 0.90, and integrating these protein signatures with APOE ε4 genotype, brief cognitive assessments and neuroimaging via machine-learning models boosts discrimination of preclinical AD from normal aging to over 80% accuracy. We trace the path from initial discovery through analytical validation to clinical implementation, emphasizing critical hurdles such as variability in sample collection, limited cohort diversity and regulatory requirements. Future work must standardize preanalytical protocols, extend validation across populations, refine ultrasensitive detection techniques, and combine proteomic data with genomics and other ""omics"" layers to move toward routine blood-based screening. These coordinated efforts provide a clear roadmap for transforming early AD diagnosis and enabling timely, personalized interventions.",2025,2025-05-27,Review; Journal Article,eng,https://europepmc.org/article/MED/40441344,False,3,,True,True,True,True
doi:10.1016/j.ebiom.2026.106226,doi:10.1016/j.ebiom.2026.106226,openalex,openalex;pubmed,https://openalex.org/W7139943007,10.1016/j.ebiom.2026.106226,,,PPAR-γ suppresses macrophage senescence and allergic airway inflammation through controlling lipid metabolic pathways,"Background Cellular senescence has emerged as a key contributor to the pathogenesis of chronic lung diseases. Peroxisome proliferator-activated receptor gamma (PPAR-γ), a nuclear transcription factor, regulates senescence across multiple cell types. However, the role of PPAR-γ in allergic airway inflammation, particularly through regulation of macrophage senescence, remains poorly defined. Methods Cellular senescence was evaluated in an allergic asthma mouse model using single-cell RNA sequencing (scRNA-seq). Senescent cells were selectively eliminated with dasatinib and quercetin (D&Q) to assess their contribution to disease pathogenesis. Macrophage-lineage-specific PPAR-γ conditional knockout model (Pparg ΔCD11c ) were generated to define the role of macrophage PPAR-γ in senescence and allergic airway inflammation. PPAR-γ activity was further examined in isolated alveolar macrophages and in vivo using rosiglitazone, including macrophage-targeted delivery via phosphatidylserine-modified liposomes (PSL-ROSI). Findings scRNA-seq analysis revealed enhanced senescence signatures in mononuclear phagocytes (MNPs), characterised by increased SenMayo scores and elevated Cdkn2a (p16) expression. Clearance of senescent cells significantly reduced airway inflammation and Th2 cytokine levels (IL-4, IL-5). Correlation analysis identified PPAR-γ as a key transcriptional regulator inversely associated with cellular senescence. Macrophage-lineage–specific deletion of PPAR-γ ( Pparg ΔCD11c ) exacerbated airway inflammation and increased cellular senescence. In vitro , rosiglitazone reduced allergen-induced senescence and suppressed proinflammatory mediators ( IL-6, ICAM-1, CCL4, CCL5, TIMP-1, TNF-α ) in alveolar macrophages. In vivo , rosiglitazone and inhaled PSL-ROSI attenuated cockroach allergen-induced airway inflammation, with PSL-ROSI effectively bypassing the airway mucus barrier to deliver rosiglitazone to lung macrophages. Integrated chromatin binding and transcriptomic analyses demonstrated that PPAR-γ promotes macrophage lipid metabolic programs (e.g., CD36, Fabp4). Interpretation These findings identify macrophage senescence as a pathogenic driver of allergic airway inflammation and establish PPAR-γ as a critical regulator of macrophage senescence and homoeostasis, highlighting its potential as a therapeutic target for asthma. Funding US National Institutes of Health (NIH) (1R01AI153331 and R01AI141642 to Dr. Gao), Anhui Provincial Key projects of Natural Science Foundation for Colleges and Universities 2025AHGXZK31476 (Dr. Wan).",2026,2026-03-20,article,en,https://openalex.org/W7139943007,False,1,epigenomics_plus_downstream,True,True,True,True
doi:10.1016/j.heares.2026.109691,doi:10.1016/j.heares.2026.109691,pubmed,pubmed,42263393,10.1016/j.heares.2026.109691,42263393,,Chromatin and genomic instability in the cochlea contributing to age-related hearing loss: Insights from in vitro and in vivo models.,"Age-related hearing loss (ARHL) is one of the most common causes of hearing impairment in older adults. However, the cellular and molecular mechanisms underlying ARHL remain unclear. Chromatin and genomic instability, including DNA damage, heterochromatin loss, and telomere attrition, are hallmarks of aging. In the present study, we investigated DNA damage levels, chromatin accessibility, telomere length, and telomerase changes in vitro and in vivo mouse models of ARHL. To further explore changes in outer hair cells (OHCs), one of the prominent auditory sensory cells in the cochlea, we constructed a transgenic mouse model with tdTomato-labeled OHCs and performed single-cell RNA sequencing in vivo. We found increased DNA single-strand breaks, double-strand breaks, and oxidative damage in senescent HEI-OC1 cells and in the aged Corti's Organ, stria vascularis, and spiral ganglion neurons in the cochleae. Loss of constitutive heterochromatin and abnormal formation of facultative heterochromatin, known as senescence-associated heterochromatin foci, were also observed in both models. The cochleae also exhibited shortened telomere length and marked spatiotemporal differences in the distribution of telomerase reverse transcriptase during aging. We further confirmed that OHCs experienced chromatin and genomic instability during aging through single-cell RNA sequencing. In particular, we verified changes in Alpha-thalassemia mental retardation X-linked (ATRX) expression in young and aged OHCs. In conclusion, chromatin and genomic instability participate in cochlear senescence, especially OHC senescence, and relevant genes may represent potential targets for ARHL intervention and treatment.",2026,2026-06-04,Journal Article,eng,https://pubmed.ncbi.nlm.nih.gov/42263393/,False,0,,True,True,True,True
doi:10.1016/j.jep.2025.121055,doi:10.1016/j.jep.2025.121055,semantic_scholar,semantic_scholar,83e5c612fd393c5bb8ed981f3ad3e1a51d805c25,10.1016/j.jep.2025.121055,41412232,,Mailuo Shutong Pill ameliorates diabetic foot ulcers in rats by suppressing ferroptosis induced by lipid peroxidation.,"ETHNOPHARMACOLOGICAL RELEVANCE Diabetic foot ulcer (DFU) is associated with inflammation, imbalance of the oxidation-antioxidation, lipid peroxidation, and ferroptosis. Mailuo Shutong Pill (MLSTP) has significant anti-inflammatory and ferroptosis effects. Clinical research has confirmed that MLSTP promotes the healing of DFU wounds. The precise mechanism of action remains incompletely understood. AIM OF THE STUDY This study investigated the therapeutic efficacy of MLSTP in treating DFU rats and explored underlying mechanisms. MATERIALS AND METHODS The establishment of the DFU model involved creating two 2-cm-diameter skin wounds on the back of diabetic rats. After model establishment, rats received MLSTP or metformin (MET) treatment. The wound healing promotion effect of MLSTP was evaluated through wound healing rate assessment and hematoxylin-eosin (H&E) analysis. The study measured the concentrations of interleukin-4 (IL-4), interleukin-10 (IL-10), transforming growth factor-β1 (TGF-β1), interleukin-1 beta(IL-1β), interleukin-6(IL-6), and tumor necrosis factor-alpha(TNF-α) in skin tissue. The regulatory effect of MLSTP on the redox balance of skin tissue was evaluated by measuring oxidative stress indicators, including malondialdehyde (MDA), glutathione (GSH), catalase (CAT), and superoxide dismutase (SOD). Combining network pharmacology, serum non-targeted metabolomics, and proteomics analysis, we systematically elucidated the multidimensional mechanisms of MLSTP in treating DFU. Finally, the key proteins were verified using Western Blot. RESULTS Histopathology and wound healing rate indicated that MLSTP promotes the healing of DFU wounds. MLSTP can reduce the concentrations of pro-inflammatory factors such as IL-1β, IL-6, and TNF-α, and increase the concentrations of anti-inflammatory factors such as TGF-β, IL-4, and IL-10. Western Blot study revealed that MLSTP inhibits TLR4/MyD88/NF-κB and the NLRP3/Cleaved caspase-1/GSDMD signaling pathway. Results indicate that MLSTP can alleviate the inflammation around the DFU tissue. According to the studies of network pharmacology and non-targeted metabolomics, MLSTP regulates the biosynthesis of unsaturated fatty acids by modulating the AGE-RAGE-SREBP signaling axis. MLSTP improves lipid metabolism disorders by inhibiting the PPARα/γ pathway, reducing lipid deposition in tissues. The proteomics results confirmed that MLSTP can regulate the ferroptosis process in skin tissues. The multi-omics evidence demonstrates that MLSTP regulates fatty acid synthesis metabolism to inhibit both lipid peroxidation and associated ferroptosis, ultimately promoting the healing of DFU-impaired wounds. CONCLUSIONS MLSTP promotes wound healing by regulating the inflammatory microenvironment, improving fatty acid synthesis disorders, and inhibiting ferroptosis mediated by lipid peroxidation and oxidative stress disorders. Research elucidated the mechanism by which MLSTP promotes wound healing in DFU. It also laid an important theoretical basis for future treatment of DFU.",2025,2025-12-16,JournalArticle,,https://www.semanticscholar.org/paper/83e5c612fd393c5bb8ed981f3ad3e1a51d805c25,False,0,,True,False,True,False
doi:10.1016/j.molcel.2019.01.021,doi:10.1016/j.molcel.2019.01.021,europepmc,europepmc;pubmed;scopus,MED:30773298,10.1016/j.molcel.2019.01.021,30773298,PMC6688479,Histone Acetyltransferase p300 Induces De Novo Super-Enhancers to Drive Cellular Senescence.,"Accumulation of senescent cells during aging contributes to chronic inflammation and age-related diseases. While senescence is associated with profound alterations of the epigenome, a systematic view of epigenetic factors in regulating senescence is lacking. Here, we curated a library of short hairpin RNAs for targeted silencing of all known epigenetic proteins and performed a high-throughput screen to identify key candidates whose downregulation can delay replicative senescence of primary human cells. This screen identified multiple new players including the histone acetyltransferase p300 that was found to be a primary driver of the senescent phenotype. p300, but not the paralogous CBP, induces a dynamic hyper-acetylated chromatin state and promotes the formation of active enhancer elements in the non-coding genome, leading to a senescence-specific gene expression program. Our work illustrates a causal role of histone acetyltransferases and acetylation in senescence and suggests p300 as a potential therapeutic target for senescence and age-related diseases.",2019,2019-02-14,"Research Support, Non-U.S. Gov't; research-article; Journal Article; Research Support, N.I.H., Extramural",eng,https://europepmc.org/article/MED/30773298,False,2,,True,True,True,True
