source,branch,record_id,title,abstract,year,doi,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match,reviewer_retrieval_relevant,reviewer_aging_relevant,reviewer_multiomics_valid,reviewer_formal_causal_basis,reviewer_design_family,reviewer_notes
europepmc,layer_pair,MED:42145869,"Deciphering the Causal Links Among Metabolomics, Ageing Phenotypes, and Pathological Scars: A Two-Sample Mendelian Randomization Study.","Background Hypertrophic scars (HS) and keloids represent pathological outcomes following cutaneous injury, characterized by complex pathogenesis and suboptimal therapeutic outcomes. The interplay between metabolomics and ageing may offer novel intervention targets for scar formation. Objective This study aimed to systematically investigate the causal relationships between blood metabolites, ageing phenotypes (telomere length, epigenetic age), and HS/keloids through Two-sample Mendelian randomization (MR) and Two-step Mediation MR analysis. Methods We integrated large-scale GWAS data from European populations, including 1400 blood metabolites (n=8299), telomere length (n=438,351), epigenetic age (n=41,000), HS (2068 cases/465,673 controls), and keloids (4086 cases/1,278,496 controls). Two-sample MR analysis was performed using inverse-variance weighted (IVW) and Wald ratio methods. Steiger's, Cochrane's Q, and MR-Egger tests were applied to exclude reverse causality, heterogeneity, and pleiotropy. Mediation effects of ageing phenotypes were quantified. Results The study identified 30 metabolites significantly associated with HS and 49 with keloids. Among ageing phenotypes, telomere length showed positive correlations with both scar types, whereas PhenoAge exhibited negative correlations. Key metabolites such as Eugenol sulfate and Phenylacetylglutamate regulated scar formation through dual pathways involving telomere length and PhenoAge. Conclusion This study elucidated the causal metabolite-ageing-scar network through genetic evidence, identifying multiple potential therapeutic targets, including Eugenol sulfate and Phenylacetylglutamate. These findings establish a robust foundation for developing targeted metabolic interventions.",2026,10.2147/ccid.s598554,genomics;metabolomics,True,True,True,,,,,,
europepmc,layer_pair,MED:42096094,"Multivariable genome-wide analysis elucidates the shared genetic architecture, immunosenescence features, and gut-origin therapeutic targets of ulcerative colitis-associated multisystem inflammation.","Background Over 25% of patients with ulcerative colitis (UC) develop extraintestinal manifestations (EIMs), resulting in significant systemic morbidity. We define the shared genetic foundation of these manifestations as the UC-associated Multisystem Inflammatory Genetic Architecture (UC-MIGA). This study aims to identify shared genomic drivers and actionable immunosenescence therapeutic targets across the UC-EIM spectrum. Methods We applied genomic structural equation modeling (SEM) to seven European-ancestry GWAS datasets (UC, deep vein thrombosis, ankylosing spondylitis, primary sclerosing cholangitis, pyoderma gangrenosum, interstitial lung disease, and erythema nodosum) to identify a shared latent genetic factor (F1). Post-SEM analyses included FUMA mapping, SuSIE/FINEMAP fine-mapping, FUSION/FOCUS transcriptome-wide studies, MAGMA enrichment, CELLECT deconvolution, LDSC partitioned heritability, and single-cell eQTL Mendelian randomization (MR). UC exhibited the highest standardized factor loading (0.9801) on F1, justifying its use as a representative proxy for UC-MIGA in downstream analyses. UC-telomere relationships were assessed via tissue-specific eQTL/sQTL enrichment across 49 GTEx tissues, spatial transcriptomics (gsMap), single-cell profiling (GSE214695, GSE163974), hdWGCNA, and colocalization analyses (eCAVIAR, fastENLOC). Results SEM identified substantial genetic overlap (CFI = 1.0, SRMR = 0.17). Within the UC-MIGA framework, we identified 17,005 SNPs (P ≤ 1 × 10⁻2⁰⁰), 2,622 risk loci, and 152 high-confidence effector genes. Pathways implicated Th17/Treg imbalance and inflammasome signaling. Super-enhancer regions showed exceptional heritability enrichment (80.16%, fold = 4.79, p = 0.0007). MR identified 35 causal immune cell-gene associations. UC-telomere analyses revealed convergence in colon-specific DNA repair-mitochondrial energetics-telomere maintenance pathways, with B cells prioritized as the core cell type. Colocalization identified NKX2-3 and LINC01475 as high-confidence shared candidates. Embryonic intestinal enrichment supported the developmental origins of this systemic axis. Conclusion UC-MIGA represents a genetically coherent architecture driven by super-enhancer-mediated epigenetic dysregulation, Th17/Treg imbalance, and immunosenescence features, including telomere dysfunction and B-cell exhaustion. The 'developmental vulnerability-environmental trigger' model explains the gut-origin inflammatory cascade underlying extraintestinal manifestations, with UC-telomere analysis providing a genomic foundation for systemic therapeutic strategies targeting the inflammation-aging nexus.",2026,10.1007/s00011-026-02257-y,genomics;transcriptomics,True,True,True,,,,,,
europepmc,layer_pair,PPR:PPR870019,Multiomics mapping and characterization of cellular senescence in aging human skeletal muscle uncovers a novel senotherapeutic for sarcopenia,"Cellular senescence is recognized as a hallmark of organismal aging but how it drives aging particularly in human tissues is not fully understood, partly due to the complex heterogeneous nature of senescence. Here in this study, we leverage single-nucleus multiomics to profile senescence in mononucleated cells of human skeletal muscle and provide the first senescence atlas. We demonstrate the intra-and inter-populational transcriptomic and epigenomic heterogeneity and dynamics of senescence in the cells. We also identify commonalities and variations in senescence-associated secretory phenotypes (SASPs) among the cells and elucidate the function of SASPs in mediating cellular interactions and niche deregulation. Furthermore, we identify targetable SASP factors and demonstrate the possibility of using Maraviroc as a pharmacological senotherapeutic for treating age-associated sarcopenia in muscle. Lastly, we define transcription factors that govern senescence state and SASP induction in aging muscle and elucidate the key function and the underlying mechanism of JUNB in regulating SASP activation in senescent cells. Altogether, our findings demonstrate the prevalence and function of cellular senescence in skeletal muscle and identify a novel pharmacological intervention for sarcopenia.",2024,10.1101/2024.06.20.599817,epigenomics;transcriptomics,True,True,True,,,,,,
europepmc,layer_pair,MED:39526243,Proteome-wide Mendelian randomization provides novel insights into the pathogenesis and druggable targets of osteoporosis.,"Background With the aging population, the prevalence and impact of osteoporosis are expected to rise, and existing anti-osteoporosis agents have limitations due to adverse events. This study aims to discover novel drug targets for osteoporosis. Methods The protein data were obtained from the latest proteome-wide association studies (PWAS) including 54, 219 participants. The osteoporosis data were extracted from a GWAS meta-analysis, characterized by heel bone mineral density (HBMD) comprising 426,824 individuals. Mendelian randomization (MR) was the primary approach used to establish genetic causality between specific traits. Summary-data-based MR (SMR), colocalization analysis, heterogeneity test, and external validation were applied to ensure the findings were reliable. The underlying mechanisms behind these causal associations were investigated by additional analyses. Finally, the druggability of the identified proteins was assessed. Results After Bonferroni correction, a total of 84 proteins were found to have a genetic association with osteoporosis. With strong colocalization evidence, proteins such as ACHE, HS6ST1, LRIG1, and LRRC37A2 were found to negatively influence HBMD, whereas CELSR2, CPE, FN1, FOXO1, and FSHB exhibited a positive association with HBMD. No significant heterogeneity was found. Additionally, CELSR2, FN1, FSHB, HS6ST1, LRIG1, and LRRC37A2 were replicated in the external validation. The effect of FSHB on HBMD was more pronounced in females compared to males. Interestingly, ACHE, LRIG1, FN1, and FOXO1 were observed to partially act on HBMD through BMI. Phewas analysis indicated that CPE and FOXO1 did not have genetic associations with any phenotypes other than osteoporosis. FN1 was highlighted as the most significant protein by protein-protein interaction network analysis. Conclusion In conclusion, this study offers valuable insights into the role of specific proteins in the development of osteoporosis, and underscores potential therapeutic targets. Future studies should emphasize exploring these causal relationships and elucidating their underlying mechanisms.",2024,10.3389/fmed.2024.1426261,genomics;proteomics,True,True,True,,,,,,
europepmc,layer_pair,MED:41605288,High-protein diet promotes aging by activating the CG6415/AMT gene and disrupting mitochondrial homeostasis.,"Introduction Dietary protein has multiple physiological functions. However, high-protein diets have been proven to elevate the risk of all-cause mortality. Aging is a dynamic and complex process, but the impact of dietary protein on aging remains unclear. Objectives To explore the effects of high-protein diets on aging at multiple life stages and the underlying mechanisms. Methods Drosophila were used to assess the effects of diets with 5%, 10%, 15%, 20%, 25%, and 30% protein energy supply on lifespan. Transcriptomic and proteomic analyses at multiple life-stage points screened pathways and key genes consistently affected by high-protein diets. Knockout and overexpression of the key gene CG6415 in Drosophila verified its mediating role in high-protein diets' impact on aging. Based on the insights from the omics data of gene-knockout Drosophila, the mechanism by which the human homologous AMT gene of CG6415 affects aging was verified in the mammalian genetic background using the human embryonic kidney 293T cell. According to the effects of high-protein diets on Drosophila's amino acid profiles, lifespan observations with individual supplementation of 20 amino acids, and verification using CG6415 gene-knockout Drosophila, the amino acids that play key roles in the impact of high-protein diets on aging were identified. Results There is an inverted U-shaped relationship between lifespan and dietary protein energy ranging from 5% to 30%. Glycine, serine, and threonine metabolism pathway and the CG6415 gene can be activated by high-protein diets of various proportions at multiple life-stage points. The CG6415/AMT gene inhibits oxidative phosphorylation, disrupts mitochondrial homeostasis, and subsequently activates the p53-p21 pathway, promoting aging and stress-induced damage. Supplementing isoleucine can partially simulate the role of high-protein diets in regulating CG6415-mediated aging. Conclusions High-protein diet promotes aging, partly via activation of the CG6415/AMT gene and subsequent disruption of mitochondrial homeostasis. Isoleucine plays a relatively key role in this process.",2026,10.1016/j.jare.2026.01.063,proteomics;transcriptomics,True,True,True,,,,,,
europepmc,layer_pair,MED:40856643,"Evaluating the nonlinear effects of sleep duration on biological aging across phenotypic, genomic, and epigenomic data.","Short and long sleep durations have been inconsistently linked to aging and health outcomes, potentially due to underexplored nonlinear associations. Using phenotypic and genomic data from the UK Biobank (n=442,664), we applied multivariable linear regression, restricted cubic splines, and Mendelian randomization (MR) to analyze nonlinear relationships between self-reported sleep duration and biomarkers of accelerated aging: PhenoAge acceleration (PhenoAgeAccel), BioAge acceleration (BioAgeAccel), and leukocyte telomere length (LTL). Functional annotation analyses were performed to assess potential shared biological pathways using epigenomic profiles. Observational analyses supported U-shaped phenotypic associations between sleep duration and PhenoAgeAccel/BioAgeAccel, with optimal sleep around 7 h/d. For LTL, linear models suggested a U-shape, while spline models indicated an inverted reverse J-pattern. MR analyses corroborated the deleterious impacts of insufficient, but not excessive, sleep, by revealing a threshold nonlinear relationship between increasing genetically-predicted sleep duration up to 7 h/d and lower PhenoAgeAccel/BioAgeAccel, and a linear relationship with longer LTL. Cell-type enrichment analyses connected short sleep to BioAgeAccel/LTL through pathways related to muscle maintenance and immune function. These findings suggest that extending sleep may mitigate accelerated aging, though further research is needed to clarify the underlying biological mechanisms and whether excessive sleep also contributes causally to biological aging.",2025,10.18632/aging.206306,epigenomics;genomics,True,True,True,,,,,,
europepmc,layer_pair,MED:42129562,Sleep chart of biological ageing clocks in middle and late life.,"Optimal sleep has a vital role in promoting healthy ageing and enhancing longevity. Here we propose Sleep Chart to assess the relationship between self-reported sleep duration and 23 biological ageing clocks derived from in vivo imaging 1 , plasma proteomics 2 and metabolomics 3 . First, a systemic, U-shaped pattern emerges between sleep duration and biological age gaps across nine brain and body systems and three omics technologies. The sample-specific lowest biological age gaps are achieved between 6.4 and 7.8 h of sleep duration, varying by organ and sex in the UK Biobank (aged 37-84 years). Furthermore, short ( 8 h) sleep duration, compared with a normal sleep duration (6-8 h), are associated with increased risk of systemic diseases beyond the brain and all-cause mortality, with evidence from genetic correlations and time-to-incident survival predictions, such as depression and diabetes. Finally, the pathways by which long and short sleep duration are associated with late-life depression differ: ageing clocks may partially mediate the pathway for long sleep duration, while short sleep duration shows a more direct link. Although Mendelian randomization does not provide strong evidence that disease causally affects sleep, it cannot completely exclude such reverse causality. Our findings suggest a cross-organ, multi-omics U-shaped relationship between sleep duration and biological ageing clocks, highlighting the potential of sleep optimization to promote healthy ageing, lower disease risk and extend longevity.",2026,10.1038/s41586-026-10524-5,metabolomics;proteomics,True,True,True,,,,,,
europepmc,layer_pair,MED:42316995,Dietary purple sweet potato anthocyanin extracts attenuate intestinal barrier decline in naturally aged mice <i>via</i> the microbiota-autophagy-stem cell axis.,"Age-related deterioration of the intestinal epithelial barrier exacerbates systemic metabolic and functional decline, highlighting the gut as a key target for dietary interventions in healthy aging. Here, using naturally aged mice and intestinal organoids, we demonstrate that supplementation with purple sweet potato anthocyanins (PSPAs) alleviates systemic aging phenotypes, including impaired motor coordination, hepatic lipid dysregulation, insulin resistance, and cellular senescence, while concurrently restoring intestinal barrier integrity. PSPAs enhanced tight junction protein expression and epithelial architecture, independently of inflammation resolution, and promoted the proliferative and differentiation capacity of intestinal stem cells (ISCs). Metagenomic profiling revealed that PSPAs remodeled aging-associated gut microbiota composition and functions. Fecal microbiota transplantation established the causal contribution of microbiota remodeling to ISC rejuvenation, while luminal content-organoid assays confirmed the role of microbial metabolites. Integrative metabolomics identified metabolic changes linked to autophagy-related processes, including altered SCFA profiles, while transcriptomic analysis highlighted PI3K-AKT signaling as a major pathway associated with microbial and metabolic remodeling. Collectively, this multi-omics study establishes a mechanistic framework in which PSPAs alleviate aging-associated barrier decline through a ""microbiota-autophagy-stem cell"" axis, providing important insights into polyphenol-based strategies for gut-centered healthy aging.",2026,10.1039/d6fo00039h,metabolomics;microbiomics;transcriptomics,True,True,True,,,,,,
europepmc,layer_pair,MED:40207397,Comparative Analysis of Primary Sarcopenia and End-Stage Renal Disease-Related Muscle Wasting Using Multi-Omics Approaches.,"Background Age-related primary sarcopenia and end-stage renal disease (ESRD)-related muscle wasting are discrete entities; however, both manifest as a decline in skeletal muscle mass and strength. The etiological pathways differ, with aging factors implicated in sarcopenia and a combination of uremic factors, including haemodialysis, contributing to ESRD-related muscle wasting. Understanding these molecular nuances is imperative for targeted interventions, and the integration of proteomic and metabolomic data elucidate these intricate processes. Methods We generated detailed clinical data and multi-omics data (plasma proteomics and metabolomics) for 78 participants to characterise sarcopenia (n = 28; mean age, 72.6 ± 7.0 years) or ESRD (n = 22; 61.6 ± 5.5 years) compared with controls (n = 28; 69.3 ± 5.7 years). Muscle mass was measured using bioelectrical impedance analysis and handgrip strength. Five-times sit-to-stand test performance was measured for all participants. Sarcopenia was diagnosed in accordance with the 2019 Consensus Guidelines from the Asian Working Group for Sarcopenia. An abundance of 234 metabolites and 722 protein groups was quantified in all plasma samples using liquid chromatography with tandem mass spectrometry. Results Muscle mass, handgrip strength and lower limb muscle function significantly lower in the sarcopenia group and the ESRD group compared with those in the control group. Metabolomics revealed altered metabolites, highlighting exclusive differences in ESRD-related muscle wasting. Metabolite set enrichment analysis revealed the involvement of numerous metabolic intermediates associated with urea cycle, amino acid metabolism and nucleic acid metabolism. Catecholamines, including epinephrine, dopamine and serotonin, are significantly elevated in the plasma of patients within the ESRD group. Proteomics data exhibited a clearer distinction among the three groups compared with the metabolomics data, particularly in distinguishing the control group from the sarcopenia group. The ciliary neurotrophic factor receptor was top-ranked in terms of the variable importance of projection scores. Plasma AHNAK protein levels was higher in the sarcopenia group but was lower in the ESRD group. Proteomic set enrichment analysis revealed enrichment of several pathways related to sarcopenia, such as hemopexin, defence response and cell differentiation, in sarcopenia group. Multi-omic integration analysis revealed associations between relevant metabolites, including catecholamines, and a group of annotated proteins in extracellular exosomes. Conclusions We identified distinct multi-omic signatures in individuals with ESRD or sarcopenia, providing new insights into the mechanisms underlying ESRD-related muscle wasting, which differ from primary sarcopenia. These findings may support interventions for context-dependent muscle loss and contribute to the development of targeted treatments and preventive strategies for muscle wasting.",2025,10.1002/jcsm.13749,metabolomics;proteomics,True,True,True,,,,,,
europepmc,layer_pair,MED:41745844,Size-Dependent Disruption of Lipid Metabolism by Polystyrene Micro- and Nanoplastics in <i>Caenorhabditis elegans</i> Revealed Through Multi-Omics and Functional Genetic Validation.,"Microplastics (MPs) are pervasive contaminants that enter the food chain and cause health issues. However, the size-dependent effects of MPs on lipid metabolism remain inadequately characterized. Using Caenorhabditis elegans ( C. elegans ), we investigated the size-dependent toxicity of polystyrene (PS)-MPs as model contaminants with sizes of 100 nm and 1 μm, respectively. We evaluated multiple phenotypic endpoints, including lifespan, growth (body length and width), locomotion (head thrashes and body bends), reproduction, and intestinal lipofuscin. The expression of representative lipid metabolism-related transcripts was validated by quantitative PCR. Untargeted metabolomics profiling detected 831 differential metabolites (451down-regulated and 380 up-regulated) across both PS particle exposure groups, with over-representation of lipid metabolic pathways. Integration of multi-omics (transcriptomics and metabolomics) highlighted acdh-1 , ech-6 , hach-1 , and sur-5 as core lipid-metabolism genes; RNA interference confirmed that knockdown of these target genes abolished the size-dependent differences in fat accumulation induced by MPs. Notably, it revealed elevated linoleic acid and taurocholic acid, signature metabolites indicative of disrupted lipid turnover by our metabolomic profiling. Collectively, our findings demonstrate that exposure to PS-MPs disrupts lipid homeostasis in C. elegans by perturbing mitochondrial function and key metabolic pathways, which in turn impairs growth, development, feeding, and reproductive capacity. Critically, these disruptive effects exhibit a strong size dependency, with 100 nm PS particles inducing more severe perturbations than the 1 μm particles, and provide novel mechanistic insight into MP-induced metabolic abnormalities, underscoring the importance of considering particle size in assessing the environmental and health risks of MP contamination.",2026,10.3390/toxics14020170,metabolomics;transcriptomics,True,True,True,,,,,,
