source,branch,record_id,title,abstract,year,doi,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match,reviewer_retrieval_relevant,reviewer_aging_relevant,reviewer_multiomics_valid,reviewer_formal_causal_basis,reviewer_design_family,reviewer_notes
scopus,layer_pair,SCOPUS_ID:85033693517,"Impact of dietary resistant starch on the human gut Microbiome, Metaproteome, and Metabolome",,2017,10.1128/mbio.01343-17,metabolomics;microbiomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:77955015475,Robust target gene discovery through transcriptome perturbations and genome-wide enhancer predictions in drosophila uncovers a regulatory basis for sensory specification,,2010,10.1371/journal.pbio.1000435.g001,genomics;transcriptomics,False,True,False,,,,,,
scopus,layer_pair,SCOPUS_ID:33751255671,"Metabolomic, proteomic and biophysical analyses of Arabidopsis thaliana cells exposed to a caesium stress. Influence of potassium supply",,2006,10.1016/j.biochi.2006.03.013,metabolomics;proteomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85118477384,Phage-delivered CRISPR-Cas9 for strain-specific depletion and genomic deletions in the gut microbiome,,2021,10.1016/j.celrep.2021.109930,genomics;microbiomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85045327964,Transcriptome-wide association study of schizophrenia and chromatin activity yields mechanistic disease insights,,2018,10.1038/s41588-018-0092-1,epigenomics;transcriptomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:33646262570,New perspectives on host-parasite interplay by comparative transcriptomic and proteomic analyses of Schistosoma japonicum,,2006,10.1371/journal.ppat.0020029,proteomics;transcriptomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85045189722,Metabolomics and proteomics reveal drought-stress responses of leaf tissues from spring-wheat,,2018,10.1038/s41598-018-24012-y,metabolomics;proteomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85110399397,Genomic diversity and ecology of human-associated Akkermansia species in the gut microbiome revealed by extensive metagenomic assembly,,2021,10.1186/s13059-021-02427-7,genomics;microbiomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85064702161,Critical function of DNA methyltransferase 1 in tomato development and regulation of the DNA methylome and transcriptome,,2019,10.1111/jipb.12778,epigenomics;transcriptomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85056083396,Proteome and transcriptome reveal involvement of heat shock proteins and indoleacetic acid metabolism process in lentinula edodes thermotolerance,,2018,10.1159/000494784,proteomics;transcriptomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85194900416,Gut microbiome remodeling and metabolomic profile improves in response to protein pacing with intermittent fasting versus continuous caloric restriction,,2024,10.1038/s41467-024-48355-5,metabolomics;microbiomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85074925895,An integrated fecal microbiome and metabolome in the aged mice reveal anti-aging effects from the intestines and biochemical mechanism of FuFang zhenshu TiaoZhi(FTZ),,2020,10.1016/j.biopha.2019.109421,metabolomics;microbiomics,True,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85036509904,Transcriptomic and proteomic landscape of mitochondrial dysfunction reveals secondary coenzyme Q deficiency in mammals,,2017,10.7554/elife.30952,proteomics;transcriptomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85091612505,Analysis of wild tomato introgression lines elucidates the genetic basis of transcriptome and metabolome variation underlying fruit traits and pathogen response,,2020,10.1038/s41588-020-0690-6,metabolomics;transcriptomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85023609617,Proteomics and metabolomics in ageing research: From biomarkers to systems biology,,2017,10.1042/ebc20160083,metabolomics;proteomics,True,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85023177342,Impacts of Early Life Stress on the Methylome and Transcriptome of Atlantic Salmon,,2017,10.1038/s41598-017-05222-2,epigenomics;transcriptomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85078282425,Dysregulation of multiple metabolic networks related to brain transmethylation and polyamine pathways in Alzheimer disease: A targeted metabolomic and transcriptomic study,,2020,10.1371/journal.pmed.1003012,metabolomics;transcriptomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85075814063,"Temporal evolution of the microbiome, immune system and epigenome with disease progression in ALS mice",,2020,10.1242/dmm.041947,epigenomics;microbiomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:84871914714,Genomic and proteomic profiling reveals reduced mitochondrial function and disruption of the neuromuscular junction driving rat sarcopenia,,2013,10.1128/mcb.01036-12,genomics;proteomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:84964374813,Metabolomics-assisted proteomics identifies succinylation and SIRT5 as important regulators of cardiac function,,2016,10.1073/pnas.1519858113,metabolomics;proteomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85070196486,Nicotinamide Riboside Augments the Aged Human Skeletal Muscle NAD+ Metabolome and Induces Transcriptomic and Anti-inflammatory Signatures,,2019,10.1016/j.celrep.2019.07.043,metabolomics;transcriptomics,False,False,False,,,,,,
scopus,layer_pair,SCOPUS_ID:85121400401,Muribaculaceae Genomes Assembled from Metagenomes Suggest Genetic Drivers of Differential Response to Acarbose Treatment in Mice,,2021,10.1128/msphere.00851-21,genomics;microbiomics,False,False,False,,,,,,
