source,source_record_id,title,abstract,year,publication_date,doi,pmid,pmcid,authors,venue,document_type,language,url,is_preprint,raw_page,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
springernature,doi:10.1007/s11357-026-02402-9,Micronutrients and omega-3 PUFAs to promote healthy ageing: informing a physiology-based complementation strategy,"Global population ageing is increasing the burden of chronic disease, functional decline, and loss of independence. For most organs, decline in function starts during the 5th decade of life. Micronutrient (MN) insufficiencies/deficiencies are common and may accelerate biological ageing. MNs are required to support multiple physiologic processes, including mitochondrial homeostasis. Age-related declines in organ function are tightly linked to mitochondrial dysfunction, oxidative stress, inflammageing, and immunosenescence. Selected MNs (vitamins B, C, D, E, iron, selenium, zinc) are critical cofactors for mitochondrial function, antioxidant defence, immunity, and resolution of inflammation. Inadequate MN intakes require specific repletion strategies beyond diet for correction. Low intake, (patho)physiological changes, and common medications jointly contribute to compromised MN status. Emerging trials suggest that correcting MN deficiency may restore mitochondrial function and thereby promote healthy ageing. Optimizing intake over the lifespan represents another means to support healthy ageing. Nevertheless, MNs do not work individually but as a web, and may behave differently in different individuals. Further, low status of the n-3 polyunsaturated fatty acids eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) is common in older adults, which favours inflammation and functional decline. EPA+DHA work in combination with MNs on inflammation containment. Routine risk assessment, selected biomarker measurement from midlife onwards, and well-designed trials are needed to complement an insufficient status. MN and EPA+DHA optimization should be integral to healthy ageing strategies.",2026,2026-07-23,10.1007/s11357-026-02402-9,,,"Berger, Mette M.; Blaauw, Renée; D’Amelio, Patrizia; Ehrhart, Nicole; Gombart, Adrian F.; Gramlich, Leah; Kressig, Reto W.; Calder, Philip C.",GeroScience,OriginalPaper; OPINION PAPER,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11357-026-02402-9,False,page_0001.json.gz,False,True,False,False
springernature,doi:10.1007/s11831-026-10743-z,"Generative Artificial Intelligence in Bioinformatics: A Systematic Review of Models, Applications, and Methodological Advances","Generative artificial intelligence (GenAI) has become a transformative approach in bioinformatics that often enables advancements in genomics, proteomics, transcriptomics, structural biology, and drug discovery. To systematically identify and evaluate these growing developments, this review proposes six research questions (RQs), according to the preferred reporting items for systematic reviews and meta-analysis methods. The objective is to evaluate influential GenAI strategies with respect to methodological advancement, predictive performance, and specialization, and to identify promising approaches for advanced modeling, data-intensive discovery, and integrative biological analysis. RQ1 highlights diverse applications across multiple bioinformatics subfields (sequence analysis, molecular design, and integrative data modeling), which demonstrate superior performance over traditional methods through pattern recognition and output generation. RQ2 reveals that adapted specialized model architectures outperformed general-purpose models, an advantage attributed to targeted pretraining and context-aware strategies. RQ3 identifies significant benefits in the bioinformatics domains, focusing on molecular analysis and data integration, that improves accuracy and reduces errors in complex analysis. RQ4 indicates improvements in structural modeling, functional prediction, and synthetic data generation, validated by established benchmarks. RQ5 suggests the main constraints, such as lack of scalability and biases in data that impact generalizability, and proposes future directions focused on robust evaluation and biologically grounded modeling. RQ6 examines that molecular datasets (such as UniProtKB and ProteinNet12), cellular datasets (such as CELLxGENE and GTEx), and textual resources (such as PubMedQA and OMIM) broadly support the training and generalization of GenAI models. This review highlights the potential of GenAI to progress computational biology by addressing recent advances in bioinformatics.",2026,2026-07-23,10.1007/s11831-026-10743-z,,,"Karim, Wasimul; Alvi, Riasad; Zaman, Sayeem Been; Abian, Arefin Ittesafun; Raiaan, Mohaimenul Azam Khan; Mukta, Saddam; Rashid, Md Rafi Ur; Islam, Md Rafiqul; Sebastian, Yakub; Azam, Sami",Archives of Computational Methods in Engineering,ReviewPaper; Review,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11831-026-10743-z,False,page_0001.json.gz,False,False,False,False
springernature,doi:10.1038/s41586-026-10612-6,Acquired genetic and cell-state changes in IDH-mutant glioma progression,"Gliomas with mutant isocitrate dehydrogenase (IDH) are malignant brain tumours that typically arise in early to mid-adulthood and nearly always recur following treatment^ 1 , 2 . However, the genetic and cellular-state changes that drive IDH-mutant glioma progression under treatment remain incompletely understood. Here we integrated single-nucleus transcriptomic profiles, chromatin accessibility profiles and bulk DNA and RNA sequencing from 75 temporally separated gliomas across 35 patients comprising both the oligodendroglioma and astrocytoma IDH-mutant glioma tumour types. We show that malignant cell states transcriptionally resemble stages of normal glial–neuronal lineage development or a reactive mesenchymal-like state, mirroring states previously described in IDH wild-type glioblastoma^ 3 , 4 . Malignant cell states displayed distinct chromatin accessibility profiles that were comparable between both IDH-mutant glioma types. The abundance of less differentiated malignant cells increased with grade and with genetic alterations such as PDGFRA amplification. Longitudinal analysis highlighted two major malignant cell-state transition patterns. First, reduced lineage differentiation and increased proliferative malignant cells at recurrence were enriched in gliomas that acquired recurrence-associated genetic events. These included treatment-associated hypermutation, increased copy number changes and cell cycle alterations. Second, increased mesenchymal-like-state abundance occurred independently of acquired genetic alterations and instead coincided with elevated macrophage expression. Overall, our findings provide an integrative model that traces the cell intrinsic and extrinsic factors that shape cellular states during IDH-mutant glioma disease progression. Longitudinal transcriptomic, chromatin and genomic analyses of the two types of IDH-mutant glioma reveal in detail how disease progression is influenced by interdependent genetic, epigenetic and microenvironmental factors.",2026,2026-07-23,10.1038/s41586-026-10612-6,,,"Johnson, Kevin C.; Spitzer, Avishay; Varn, Frederick S.; Nomura, Masashi; Garofano, Luciano; Chowdhury, Tamrin; Lipsa, Anuja; Zhang, Linbin; Fernández, Ester Calvo; Barak, Tanyeri; Gulhan Ercan-Sencicek, A.; Peksen, Ayse Buket; Anderson, Kevin J.; Tesileanu, C. Mircea S.; Amin, Samirkumar B.; Kocakavuk, Emre; Zhao, Dacheng; D’Angelo, Fulvio; Migliozzi, Simona; Bussema, Lillian; Gritsch, Simon; Moon, Hyo-Eun; Paek, Sun Ha; Bielle, Franck; Laurenge, Alice; Stefano, Anna Luisa; Mathon, Bertrand; Picca, Alberto; Sanson, Marc; Hau, Ann-Christin; Hertel, Frank; Grzyb, Kamil; Zhao, Zheng; Wang, Qianghu; Jiang, Tao; Miller, Julie J.; Wakimoto, Hiroaki; Cahill, Daniel P.; Moliterno, Jennifer; Günel, Murat; Hermes, Beth; Sanai, Nader; Golebiewska, Anna; Niclou, Simone P.; Huse, Jason; Alfred Yung, W. K.; Lasorella, Anna; Suvà, Mario L.; Iavarone, Antonio; Tirosh, Itay; Verhaak, Roel G. W.",Nature,OriginalPaper; Article,en,https://www.nature.com/articles/s41586-026-10612-6,False,page_0001.json.gz,False,False,False,False
springernature,doi:10.1007/s10522-026-10476-3,"From matrix to nucleus: CD44 as a central regulator of inflammaging, autophagy, and tissue homeostasis","Aging is characterized by a progressive decline in cellular and tissue function, shaped in part by disruptions in communication between the extracellular matrix (ECM) and intracellular signaling networks. The cell surface receptor CD44 functions as a molecular hub, integrating signals from a remodeled ECM to regulate core aging programs including senescence, inflammation, and metabolic balance. This review synthesizes evidence that CD44, through its structural domains, isoform diversity, and proteolytic processing, integrates extracellular cues to modulate key pathways such as STAT3, NF-κB, and the class III PI3K complex. Mechanistically, HA-fragment engagement of CD44 activates the CD44-STAT3 axis in vascular tissue, suppressing autophagic flux and promoting endothelial senescence. Concurrently, ECM-derived ligand binding to CD44 drives NF-κB signaling that amplifies chronic inflammation in a tissue and context-dependent manner, contributing to inflammaging. Functional outcomes are context-dependent, shaped by isoform switching and γ-secretase-mediated release of CD44-ICD, which may drive degeneration or support repair and proteostasis. Emerging single-cell and spatial transcriptomics reveal spatiotemporal CD44 dysregulation across vasculature, brain, adipose tissue, kidney, and liver. This review establishes CD44 as a mechanistic link connecting ECM remodeling to nuclear responses in aging and outlines therapeutic strategies including ligand competition, antibody blockade, and γ-secretase modulation to mitigate age-related pathology and extend health span. These insights provide a coherent framework for understanding aging biology and guiding future translational interventions targeting CD44 signaling pathways effectively.",2026,2026-07-22,10.1007/s10522-026-10476-3,,,"Ali, Syeda Ayesha; Qiang, Pengfei; Zhou, Xiaojun; Yang, Xiaoting; Li, Shang; Shen, Yunpeng; Chen, Zhiqiang; Zhang, Lu",Biogerontology,ReviewPaper; Review Article,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10522-026-10476-3,False,page_0001.json.gz,False,True,True,False
springernature,doi:10.1038/s44320-026-00228-3,Complex assembly and activity states as multifaceted protein attributes explaining phenotypic variability,"A multi-omics framework infers protein activities from co-fractionation, phosphoproteomic, and transcriptomic data. Applied to a panel of HeLa cell lines, it reveals how protein complex assembly buffers genetic variation and drives phenotypic divergence. A multi-omics framework infers protein activities from co-fractionation, phosphoproteomic, and transcriptomic data. Applied to a panel of HeLa cell lines, it reveals how protein complex assembly buffers genetic variation and drives phenotypic divergence. Physical separation of monomeric and assembled protein fractions by SEC-SWATH-MS provides direct evidence that complex assembly buffers gene copy number and transcriptional variation. Orthogonal validation using CRISPR gene dependency scores, subcellular localization data, and Let7 perturbation responses confirms that inferred protein activities capture functional regulation inaccessible from abundance data alone. Network diffusion across three complementary activity layers (protein complex dynamics, kinase/phosphatase signaling, and transcription factor activity) identifies a WIPF1/WIPF2–Arp2/3 cytoskeletal axis governing invadopodium formation and Salmonella infection susceptibility. Differential proteasome complex stoichiometry reveals an immunoproteasome switch linked to immune adaptation and antigen presentation. The state of a cell depends not only on protein abundance, but also on the biochemical and cellular activities of proteins, which are largely invisible to abundance profiling alone. Here, we introduce a multi-omics framework that infers context-specific protein activities from transcriptomic, phosphoproteomic, and protein correlation-based protein-protein interaction data, integrating modality-specific algorithms via network diffusion. Applying it to a panel of phenotypically diverse HeLa cell lines, whose genetic drift provides a natural perturbation system, we make three findings. First, physical separation of monomeric and assembled protein fractions by protein correlation profiling provides direct evidence that complex assembly buffers variation in gene copy number and transcription, a mechanism previously only inferred from bulk measurements. Second, using Let7 perturbation data, CRISPR gene dependency scores, and subcellular localization, we orthogonally validate that inferred protein activities capture functional regulation linked to cellular phenotypes inaccessible from abundance data alone. Third, differential analysis of context-specific activity profiles identifies molecular mechanisms underlying phenotypic divergence, including a WIPF1/WIPF2--Arp2/3 axis governing invadopodium formation and infection susceptibility, and an immunoproteasome switch linked to immune adaptation.",2026,2026-07-22,10.1038/s44320-026-00228-3,,,"Rosenberger, George; Xue, Peng; Bludau, Isabell; Martelli, Claudia; Williams, Evan; Collins, Ben C; Califano, Andrea; Liu, Yansheng; Aebersold, Ruedi",Molecular Systems Biology,OriginalPaper; Article,en,http://link.springer.com/openurl/fulltext?id=doi:10.1038/s44320-026-00228-3,False,page_0001.json.gz,True,False,True,False
springernature,doi:10.1007/s11103-026-01740-8,Non-coding RNAs as central regulators of phytohormone signaling in plant abiotic stress responses,"ncRNA-mediated phytohormone signaling coordinates stress-responsive regulatory networks, providing a promising strategy to enhance plant resilience under abiotic stress. Plants are continuously exposed to a wide range of abiotic stresses, including drought, salinity, temperature extremes, nutrient deficiency, and heavy metal toxicity, which severely constrain growth and productivity. To cope with these challenges, plants have evolved sophisticated regulatory networks involving phytohormones and non-coding RNAs (ncRNAs). This review provides a comprehensive overview of the biogenesis and functional roles of major ncRNA classes’ microRNAs (miRNAs), long non-coding RNAs (lncRNAs), and circular RNAs (circRNAs) and their dynamic interplay with phytohormonal signaling pathways under stress conditions. We highlight how ncRNAs modulate key hormonal pathways, including abscisic acid, auxin, jasmonic acid, ethylene, and gibberellins, to fine-tune stress-responsive gene expression and maintain cellular homeostasis. Special emphasis is placed on nutrient stress and heavy metal toxicity, where ncRNA-mediated regulation influences ion transport, autophagy, reactive oxygen species detoxification, and metabolic reprogramming. Emerging evidence on circRNAs as miRNA sponges further reveals an additional regulatory layer linking developmental processes with stress adaptation. The review also integrates recent advances in high-throughput sequencing, multi-omics approaches, and bioinformatics tools that have enabled large-scale identification and functional annotation of stress-responsive ncRNAs. Furthermore, the application of artificial intelligence and machine learning models in predicting ncRNA target interactions and regulatory networks is discussed as a transformative approach in plant stress biology. Collectively, this synthesis provides a systems-level understanding of ncRNA-phytohormone cross-talk and underscores its potential in developing climate-resilient crops through advanced molecular and computational strategies.",2026,2026-07-22,10.1007/s11103-026-01740-8,,,"Shah, Sajid Ali; Chowhan, Alisa; Aslam, Saima",Plant Molecular Biology,ReviewPaper; Review,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11103-026-01740-8,False,page_0001.json.gz,True,False,True,False
springernature,doi:10.1038/s41594-026-01830-7,PLA2G2F suppresses ferroptosis through phospholipid remodeling,"Hu et al. identify the secretory phospholipase PLA2G2F as an endoplasmic reticulum-resident ferroptosis suppressor in bladder cancer and provide evidence that PLA2G2F acts on ether-linked phospholipids containing polyunsaturated fatty acids, reducing the pool of these peroxidation-prone phospholipids. Ferroptosis is an iron-dependent form of regulated cell death driven by phospholipid peroxidation, and it has emerged as a potential therapeutic vulnerability of cancer. Here we identify the secretory phospholipase PLA2G2F (phospholipase A_2 group IIF) as a ferroptosis suppressor in bladder cancer and elucidate its regulation and mechanism of action. PLA2G2F functions through an intracellular mechanism by localizing to the endoplasmic reticulum to inhibit ferroptosis. Our genetic and pharmacological analyses reveal that peroxisome proliferator-activated receptor γ (PPARG), a nuclear hormone receptor and transcription factor previously implicated in ferroptosis regulation, upregulates PLA2G2F and that PPARG-mediated ferroptosis resistance is largely dependent on PLA2G2F in bladder cancer. Further, lipidomic profiling suggests that PLA2G2F preferentially acts on ether-linked phospholipids containing polyunsaturated fatty acids, thereby reducing the pool of peroxidation-prone polyunsaturated fatty acid-containing phospholipids. Together, our findings establish PLA2G2F as an endoplasmic reticulum-resident ferroptosis suppressor regulated by PPARG and show that inhibiting PPARG signaling or PLA2G2F activity can sensitize bladder cancer cells to ferroptosis induction.",2026,2026-07-22,10.1038/s41594-026-01830-7,,,"Hu, Yingying; Csuka, Joleen; Rajbhandari, Presha; Huang, Penghsuan; Carbone, Nicholas; Liang, Deguang; Gu, Wei; Ordureau, Alban; Stockwell, Brent R.; Jiang, Xuejun",Nature Structural & Molecular Biology,OriginalPaper; Article,en,https://www.nature.com/articles/s41594-026-01830-7,False,page_0001.json.gz,False,False,True,False
springernature,doi:10.1007/s00431-026-07191-z,"Genetic and biological mechanisms of pediatric enuresis: integrating pathophysiology, GWAS associations, and multi-omics research","Pediatric enuresis is a common developmental disorder involving involuntary nocturnal voiding. This review synthesizes current evidence on its neurodevelopmental, renal, circadian, and genetic underpinnings. Traditional classification into monosymptomatic and non-monosymptomatic forms guides treatment but does not fully capture underlying biological heterogeneity. Genome-wide association studies have identified risk loci on chromosomes 6 and 13, implicating pathways in neuronal signaling, circadian regulation, and renal water handling, though these represent associations rather than proven causal variants. Multi-omics data, including urinary aquaporin-2 levels and neurotransmitter-related metabolites, further highlight disruptions in the brain–bladder–kidney axis. Persistent enuresis beyond school age, especially treatment refractory cases, likely reflects distinct biological endotypes beyond simple maturational delay. Integrating GWAS findings with transcriptomic, proteomic, and metabolomic approaches, alongside advanced computational methods such as polygenic risk scoring, offers promise for precision pediatrics. Future studies should stratify by age, severity, and persistence while combining population-based and clinical cohorts to advance targeted therapies. What is Known: • Pediatric enuresis is a common developmental disorder characterized by involuntary nocturnal urination in children aged ≥ 5 years. • The condition is clinically classified into monosymptomatic nocturnal enuresis (MNE) and non-monosymptomatic nocturnal enuresis (NMNE), which differ in associated lower urinary tract symptoms and treatment approaches. • Existing evidence indicates that enuresis is strongly influenced by neurodevelopmental delay, circadian dysregulation, impaired nocturnal arginine vasopressin (AVP) secretion, altered bladder function, and elevated arousal thresholds during sleep. • Family and twin studies have demonstrated substantial heritability, supporting an important genetic contribution to disease susceptibility. What is New: • This review provides the first comprehensive integration of pediatric enuresis pathophysiology with recent GWAS findings (particularly risk loci on chromosomes 6 and 13) and emerging multi-omics data, framing the disorder within a systems biology “brain–bladder–kidney axis” model. • We highlight biological heterogeneity beyond the classic maturational delay hypothesis, emphasizing that persistent, severe, or treatment refractory enuresis after age 7 likely represents distinct endotypes driven by genetic susceptibility, impaired circadian regulation, and altered neuronal signaling rather than simple developmental lag. • By synthesizing candidate gene studies, GWAS results, neuroimaging, circadian biology, and renal physiology while stressing the need for age- and severity-stratified analyses, this work lays the conceptual foundation for precision pediatrics approaches, including polygenic risk scoring and targeted multi-omics-guided therapies. • We underscore critical methodological gaps in existing literature (e.g., small samples, lack of developmental stratification, and recruitment bias) and propose a unified framework to guide future research combining population-based, family, and tertiary cohorts.",2026,2026-07-22,10.1007/s00431-026-07191-z,,,"Wu, Pei; Chen, Jia; Chen, Zhu",European Journal of Pediatrics,ReviewPaper; REVIEW,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s00431-026-07191-z,False,page_0001.json.gz,True,False,True,False
springernature,doi:10.1186/s43162-026-00678-z,"The gut mycobiome in endocrine and metabolic disorders: mechanistic insights and clinical implications in obesity, insulin resistance, and PMOS: a narrative review","Background The gut microbiome has long been recognized as a critical regulator of host metabolism, yet the fungal component the mycobiome remains comparatively understudied. Emerging evidence implicates gut fungi in endocrine and metabolic homeostasis through distinct mechanisms including bile acid modification, immune modulation, and cross-kingdom interactions with bacteria. Objective This narrative review synthesizes current evidence on the role of the gut mycobiome in obesity, insulin resistance (IR), and polyendocrine metabolic ovarian syndrome (PMOS), with emphasis on mechanistic pathways, clinical implications, and therapeutic potential. Key Findings The healthy gut mycobiome is characterized by dominance of Candida , Saccharomyces , Cladosporium , and Malassezia genera, though considerable variability exists based on geography, diet, age, and sex. Fungal dysbiosis typically manifesting as reduced diversity and overgrowth of pro-inflammatory taxa such as Candida albicans has been consistently documented in obesity, IR, and PMOS. Mechanistically, fungi influence host metabolism through: (1) production of bioactive metabolites (short-chain fatty acids, tryptophan derivatives); (2) modulation of bile acid pools and farnesoid X receptor (FXR) signaling; (3) immune priming via β-glucan-mediated Th17 responses; and (4) regulation of gut barrier integrity through fungal-bacterial crosstalk. In PMOS specifically, mycobiome alterations correlate with hyperandrogenemia, insulin resistance, and chronic inflammation, with emerging evidence implicating the gut-brain-ovary axis. Therapeutic strategies under investigation include probiofungals ( Saccharomyces boulardii ), dietary modulation, and selective antifungal interventions. Conclusion The gut mycobiome represents a novel, modifiable determinant of metabolic health with particular relevance to obesity, IR, and PMOS. Future research priorities include longitudinal cohort studies, mechanistic validation in gnotobiotic models, and randomized controlled trials of mycobiome-targeted interventions. Integration of mycobiome assessment into clinical practice may enable personalized approaches to metabolic disease management.",2026,2026-07-21,10.1186/s43162-026-00678-z,,,"Abady, Eslam; AbuEl-Enien, Hazem; Saleem, Noor ul Ain; Albarari, Shams Samih Ahmad; Karam, Karrar Naem; Samadi, Yahya; Lohano, Gaaitri; Yasin, Zarqa",The Egyptian Journal of Internal Medicine,ReviewPaper; Review,en,http://link.springer.com/openurl/fulltext?id=doi:10.1186/s43162-026-00678-z,False,page_0001.json.gz,False,False,True,False
springernature,doi:10.1007/s11540-026-10099-8,"Physiological Ageing of Potato Seed Tubers: Mechanisms, Assessment Challenges, and Emerging Omics-Based Solutions","Physiological age (p-age) in potato seed tubers is a complex and dynamic biochemical process that strongly influences plant vigour, canopy development and final yield. Consequently, p-age is a major concern for both seed producers and growers because it directly affects seed quality and subsequent crop performance. Extensive research has characterised the physiological, biochemical, and hormonal mechanisms underlying tuber ageing, and several approaches have been developed to estimate p-age. However, most existing methods are labour intensive, time-consuming, and insufficiently robust for rapid decision making under commercial conditions, creating a clear need for reliable, fast, and practical tools to assess p-age before planting. In parallel, omics-based technologies, including proteomics and metabolomics, have emerged as potentially powerful approaches for studying seed ageing and identifying biomarkers associated with disease, stress response and tuber quality traits in potato and other crops. This review synthesises current understanding of the physiological and molecular basis of tuber ageing, critically evaluates the strengths and limitations of current p-age assessment methods and explores the potential of omics technologies to enable rapid and accurate measurement of p-age. A clearer understanding of these mechanisms and methodological gaps will support the development of robust diagnostic tools to improve seed management and crop performance.",2026,2026-07-17,10.1007/s11540-026-10099-8,,,"Wagle, Pramila; Swarts, Nigel; Wilson, Calum; Tivendale, Nathan D.",Potato Research,ReviewPaper,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11540-026-10099-8,False,page_0001.json.gz,False,True,False,False
