record_id,doi,title,graph_root,graph_path,docling_markdown_path,source_path,graph_candidate_count,aging_construct_nodes,omics_layer_nodes,causal_analysis_nodes
doi:10.1001/jamapsychiatry.2024.1429,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity",data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_def153153292e09c/def153153292e09c_xml_20260809_023916/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_def153153292e09c/def153153292e09c_xml_20260809_023916/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/def153153292e09c.xml,2,11,6,3
doi:10.1002/advs.202502249,10.1002/advs.202502249,ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_26612e7f7d589ab5/26612e7f7d589ab5_pdf_20260809_024146/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_26612e7f7d589ab5/26612e7f7d589ab5_pdf_20260809_024146/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/26612e7f7d589ab5.pdf,2,8,7,8
doi:10.1002/advs.202514269,10.1002/advs.202514269,Gut-Metabolome-Proteome Interactions in Age-Related Hearing Loss: Insights from Fecal Microbiota Transplantation and Multi-Omics Analyses.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_5704cf32dffbadcf/doi_5704cf32dffbadcf_docling_json_20260809_030057/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_5704cf32dffbadcf/doi_5704cf32dffbadcf_docling_json_20260809_030057/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/5704cf32dffbadcf.pdf,2,8,4,2
doi:10.1002/advs.202515370,10.1002/advs.202515370,Medicago Sativa L. Saponin‐Driven Lactobacillus Intestinalis Restores Intestinal Stemness in Naturally Aged Mice via the Bile Acid‐FXR‐Wnt Signaling Axis,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_3f3aeee2c0542606/doi_3f3aeee2c0542606_docling_json_20260809_030149/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_3f3aeee2c0542606/doi_3f3aeee2c0542606_docling_json_20260809_030149/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/3f3aeee2c0542606.pdf,2,5,5,6
doi:10.1002/advs.202521633,10.1002/advs.202521633,The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_e58973540cb0858a/doi_e58973540cb0858a_docling_json_20260809_030258/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_e58973540cb0858a/doi_e58973540cb0858a_docling_json_20260809_030258/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/e58973540cb0858a.pdf,2,8,5,2
doi:10.1002/ctm2.317,10.1002/ctm2.317,A folate receptor 3 SNP promotes mitochondria‐induced clonogenicity of CML leukemia cells: Implications for treatment free remission,data/full_text_graph/v1.1.0_oversized_20k_seek65_luna_light,data/full_text_graph/v1.1.0_oversized_20k_seek65_luna_light/artifacts/record_2c267368c3e80777/record_2c267368c3e80777_docling_json_20260811_174016/docling_graph/graph.json,data/full_text_graph/v1.1.0_oversized_20k_seek65_luna_light/artifacts/record_2c267368c3e80777/record_2c267368c3e80777_docling_json_20260811_174016/docling/document.md,data/full_text/v1.1.2_oversized_20k_seek66/files/2c267368c3e80777.pdf,1,3,4,1
doi:10.1002/ctm2.70527,10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_64f83a5a55d8c29d/doi_64f83a5a55d8c29d_docling_json_20260809_030454/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_64f83a5a55d8c29d/doi_64f83a5a55d8c29d_docling_json_20260809_030454/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/64f83a5a55d8c29d.pdf,2,9,4,1
doi:10.1002/fsn3.71826,10.1002/fsn3.71826,Protocatechuic Acid Alleviates D‐Gal‐Induced Renal Senescence and Injury in Mice by Regulating Taurine Metabolism,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_0fdf1fe178e02028/doi_0fdf1fe178e02028_docling_json_20260809_030535/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_0fdf1fe178e02028/doi_0fdf1fe178e02028_docling_json_20260809_030535/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/0fdf1fe178e02028.pdf,2,4,2,1
doi:10.1002/imo2.70128,10.1002/imo2.70128,A uterine‐centric view of reproductive senescence: Genetic insights into late‐life performance in laying hens,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_df9c04fe3eee2ae2/df9c04fe3eee2ae2_html_20260809_024601/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_df9c04fe3eee2ae2/df9c04fe3eee2ae2_html_20260809_024601/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/df9c04fe3eee2ae2.html,2,4,5,1
doi:10.1002/imt2.70150,10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9‐mediated R‐loop resolution,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_532149ab73857cb9/doi_532149ab73857cb9_docling_json_20260809_030615/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_532149ab73857cb9/doi_532149ab73857cb9_docling_json_20260809_030615/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/532149ab73857cb9.html,2,6,4,3
doi:10.1007/s10753-026-02526-2,10.1007/s10753-026-02526-2,Inhibition of MyD88 in Tubular Epithelial Cells Alleviates the Cellular Senescence in Sepsis-Associated Acute Kidney Injury,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_aa95b1781951b0d0/doi_aa95b1781951b0d0_docling_json_20260809_030717/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_aa95b1781951b0d0/doi_aa95b1781951b0d0_docling_json_20260809_030717/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/aa95b1781951b0d0.pdf,2,3,2,2
doi:10.1007/s11306-023-02022-w,10.1007/s11306-023-02022-w,The metabolic contribution of SKN-1/Nrf2 to the lifespan of Caenorhabditis elegans.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_1567b42f384d1b6b/doi_1567b42f384d1b6b_docling_json_20260809_030756/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_1567b42f384d1b6b/doi_1567b42f384d1b6b_docling_json_20260809_030756/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/1567b42f384d1b6b.html,2,5,2,1
doi:10.1007/s13238-021-00894-z,10.1007/s13238-021-00894-z,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis.",data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_24094b90a58a9e3c/doi_24094b90a58a9e3c_docling_json_20260809_030923/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_24094b90a58a9e3c/doi_24094b90a58a9e3c_docling_json_20260809_030923/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/24094b90a58a9e3c.pdf,1,5,5,4
doi:10.1016/j.ccell.2024.09.002,10.1016/j.ccell.2024.09.002,Midkine as a driver of age-related changes and increase in mammary tumorigenesis,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_d6b8a2976255b1df/doi_d6b8a2976255b1df_docling_json_20260809_030916/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_d6b8a2976255b1df/doi_d6b8a2976255b1df_docling_json_20260809_030916/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/d6b8a2976255b1df.pdf,1,8,7,4
doi:10.1016/j.celrep.2024.115099,10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_32772415017189df/doi_32772415017189df_docling_json_20260809_031026/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_32772415017189df/doi_32772415017189df_docling_json_20260809_031026/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/32772415017189df.html,1,7,6,5
doi:10.1016/j.celrep.2025.116795,10.1016/j.celrep.2025.116795,Age-independent and targetable transcription factor networks regulating CD8+ T cell senescence in aging humans,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_d31ae414f9d4401c/doi_d31ae414f9d4401c_docling_json_20260809_030913/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_d31ae414f9d4401c/doi_d31ae414f9d4401c_docling_json_20260809_030913/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/d31ae414f9d4401c.pdf,1,7,6,4
doi:10.1016/j.cels.2021.09.005,10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.,data/full_text_graph/v1.0.0_luna_light,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_d83dc5cb41628ad5/doi_d83dc5cb41628ad5_docling_json_20260809_031025/docling_graph/graph.json,data/full_text_graph/v1.0.0_luna_light/artifacts/doi_d83dc5cb41628ad5/doi_d83dc5cb41628ad5_docling_json_20260809_031025/docling/document.md,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/d83dc5cb41628ad5.pdf,1,13,5,2
