doi,publisher,stable_publisher_url,visible_access_result,classification
10.1016/j.archger.2025.105765,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0167494325000238,Article preview with Purchase PDF and access through organization,publisher_paywall_confirmed
10.1016/j.drup.2026.101415,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S136876462600066X,Article preview with Purchase PDF and access through organization,publisher_paywall_confirmed
10.1016/j.freeradbiomed.2025.08.053,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0891584925009402,Article preview with Purchase PDF and access through organization,publisher_paywall_confirmed
10.1016/j.jhazmat.2025.140429,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0304389425033497,Article preview with Purchase PDF and access through organization,publisher_paywall_confirmed
10.1016/j.phymed.2026.158628,ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S0944711326008597,Article preview with Purchase PDF and access through organization,publisher_paywall_confirmed
10.1039/d4fo01156b,Royal Society of Chemistry,https://pubs.rsc.org/fo/article-abstract/15/15/7920/850913/Longevity-extension-in-rats-via-improved-redox,Available to Purchase and no current content access,publisher_paywall_confirmed
10.1039/d6fo00039h,Royal Society of Chemistry,https://pubs.rsc.org/fo/article-abstract/17/13/6227/1264784/Dietary-purple-sweet-potato-anthocyanin-extracts,Available to Purchase and no current content access,publisher_paywall_confirmed
10.1080/15548627.2026.2711595,Taylor & Francis,https://www.tandfonline.com/doi/full/10.1080/15548627.2026.2711595,Get Access with institutional and paid PDF options,publisher_paywall_confirmed
10.1093/cvr/cvag165,Oxford Academic,https://academic.oup.com/cardiovascres/advance-article-abstract/doi/10.1093/cvr/cvag165/8748244,Abstract page with Get Access controls,publisher_paywall_confirmed
10.1093/jxb/erag169,Oxford Academic,https://academic.oup.com/jxb/article-abstract/77/14/4546/8654137,Abstract page with Get Access controls,publisher_paywall_confirmed
10.1093/plcell/koag095,Oxford Academic,https://academic.oup.com/plcell/article-abstract/38/4/koag095/8544711,Abstract page with Get Access controls,publisher_paywall_confirmed
10.1093/plphys/kiag184,Oxford Academic,https://academic.oup.com/plphys/article-abstract/201/3/kiag184/8659721,Abstract page with Get Access controls,publisher_paywall_confirmed
