source,branch,record_id,title,abstract,year,doi,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match,reviewer_retrieval_relevant,reviewer_aging_relevant,reviewer_multiomics_valid,reviewer_formal_causal_basis,reviewer_design_family,reviewer_notes
springernature,layer_pair,doi:10.1038/s41380-026-03544-0,Identifying genetic contributions of 6q21 loci and PPAR pathway to antipsychotic-induced metabolic syndrome: a Sex-Stratified Multi-Omics study,"Antipsychotics-induced metabolic syndrome (APs-induced MetS) is a common side-effect of antipsychotics, significantly increasing the risk of cardiovascular diseases and mortality. However, the genetic risk factors underlying APs-induced MetS remain poorly understood. Thus, we conducted a sex-stratified genome-wide association study (GWAS) in 3067 patients from Schizophrenia In Non-Occidental participants (SINO) trial, and significant results were validated in an independent cohort (all samples = 200) and proteomic data. Post-GWAS analyses were used to further explore the genetic mechanisms involved in APs-induced MetS. Multi-omics prediction incorporating both polygenic risk and proteomic markers was conducted. After quality control, 1956 patients (965 males, 991 females) were included. We identified significant genetic variants (rs73762168; P = 1.77 × 10^−8) on chromosome 6q21, associated with three highly linked genes, NR2E1 , SNX3 and AFG1L/LACE1 , which were correlated with APs-induced MetS in male patients. Top SNP genotype was validated in independent cohort, showing associations with increased weight and waist circumference. Enrichment analyses across genetic and proteomic data consistently highlighted the PPAR signaling pathway involved in oxidative stress and fatty acid metabolism as a key contributor to APs-induced MetS development. Proteomic analyses confirmed baseline SNX3 protein levels associated with weight gain ( P = 0.03) and increased waist circumference ( P = 8.87 × 10^−3) following six-week antipsychotic treatment. The multi-omics prediction ( R ^ 2 = 0.18) yielded better prediction of APs-induced metabolic side effects than using either marker alone( R ^ 2 = 0.13 or 0.07). This study provides novel genetic insights into the development of APs-induced MetS, particularly in males. The identified genetic variants and pathways offer potential targets for early risk prediction and personalized treatment strategies.",2026,10.1038/s41380-026-03544-0,genomics;proteomics,False,False,False,,,,,,
springernature,layer_pair,doi:10.1038/s41467-026-73729-2,Single-cell map of the healthy human immune system across the lifespan reveals unique infant immune signatures,"The human immune system undergoes dynamic remodeling from infancy through old age. We profiled PBMCs from 167 healthy individuals (ages 2 months to 105 years): infants ( n = 36), children ( n = 26), adolescents ( n = 20), young adults ( n = 24), middle‑aged ( n = 16), older adults ( n = 33) and oldest old ( n = 12) using scRNA‑seq and snATAC‑seq ( n = 23). MAIT and γδ T cells showed a “rise and fall” pattern, rising in childhood, peaking in young adulthood, and declining with age. Conventional CD8⁺ T cells were most profoundly altered with age, with decreasing naïve and increasing GZMK⁺ and TEMRA cells. The oldest old had increased TEMRA, adaptive NK, and KLRF1⁺ γδ T cells. Infants showed increased CD16⁺ monocytes and pDCs, constitutive interferon‑stimulated gene expression, and expanded SOX4⁺ naïve T cells. Inflammatory and stress‑response pathways increased with age, while interferon pathways declined. This map provides insights into human immune system dynamics across the human lifespan, emphasizing unique features of the infant immune system. Immune cell populations change across human lifespan. Here the authors use single-cell RNA sequencing and chromatin accessibility profiling of PBMCs from individuals spanning 2 months to 105 years of age. The study indicates distinct immune signatures at both extremes of life — in infants and in the oldest participants — that may underlie their shared vulnerability to infections and diminished responses to vaccination.",2026,10.1038/s41467-026-73729-2,epigenomics;transcriptomics,True,False,False,,,,,,
springernature,layer_pair,doi:10.1038/s41598-026-52974-x,Gut microbiome signatures associate with DNA methylation-based biological aging,"Recent advances in machine learning have applied novel tools to aging research, yet the relationship between the gut microbiome and epigenetic aging remains underexplored. This proof-of-concept study investigates whether gut microbial composition is associated with biological aging pace independent of chronological age. Using paired 16S rRNA gene sequencing and DNA methylation data from 123 monocyte-enriched samples in a cohort including Native Hawaiian and Pacific Islander participants, we developed “EpiBiome” models to predict epigenetic age acceleration residuals and DunedinPACE, a DNA methylation biomarker that estimates the instantaneous pace of biological aging. Models predicting residuals of traditional clocks (Horvath, Levine, GrimAge2) showed no predictive signal at either taxonomic rank. By contrast, the EpiBiome-Accel model for DunedinPACE reached statistical significance at both the species level (R^2 = 0.152, Spearman ρ = 0.408, p = 0.012; permutation p < 0.001) and the genus level (R^2 = 0.099, permutation p = 0.036). Adding chronological age as a feature did not improve performance (ΔR^2 = − 0.046 at species level), indicating age-independence. SHAP analysis of the species-level ElasticNet model identified Bifidobacterium adolescentis as the dominant contributor and the strongest predictor of decelerated aging, with Succinivibrio dextrinosolvens showing the strongest association with accelerated aging. These findings reveal specific gut taxa as hypothesis-generating candidates for mechanistic follow-up, rather than as individual-level diagnostic markers.",2026,10.1038/s41598-026-52974-x,epigenomics;microbiomics,True,False,False,,,,,,
springernature,layer_pair,doi:10.1186/s12964-026-03019-3,A microprotein encoded by FERMT3 modulates endothelial cell protein catabolism and induces cell cycle arrest and senescence,"Background Endothelial cells express numerous microproteins (miPs) encoded by small open reading frames (smORFs), yet the biological function of most remains unknown. This study set out to characterize a novel 69 amino acid miP encoded within the FERM domain containing kindlin-3 transcript (miP-FERMT3), which is upregulated under inflammatory conditions. Methods Confocal microscopy was used to determine miP-FERMT3 localization, and its interaction partners were determined by mass spectrometry and immunoblotting. RNA sequencing and quantitative mass spectrometry were performed to assess transcriptional and proteomic alterations. Cell proliferation and cell cycle progression were examined by live cell imaging, EdU incorporation and flow cytometry, while senescence was determined by β-galactosidase staining, live cell imaging and RT-qPCR-based analysis of telomere length. Results In endothelial cells, miP-FERMT3 localized mainly to centriole subdistal appendages, where it colocalized with ninein and CEP170 and induced centrosome amplification. The expression of miP-FERMT3 caused cell cycle arrest and DNA damage, evidenced by γ-H2AX foci and nuclear p53 accumulation. Consistent with this, miP-FERMT3-expressing endothelial cells exhibited downregulation of genes required for cell-cycle progression and upregulation of genes involved in cell cycle inhibition and senescence. However, canonical p53 target genes were not induced and cell cycle arrest occurred independently of p53. Mechanistically, miP-FERMT3 interacted with proteins involved in ubiquitin/proteasome-dependent protein catabolism, including PSMD9, CUL2 and TRIM8, and its expression increased protein ubiquitination, centrosomal neddylation and proteasomal activity. Notably, enhanced proteasomal turnover of p21 in miP-FERMT3-expressing endothelial cells resulted in replication stress, as evidenced by increased CHK1 phosphorylation. These alterations culminated in rapid induction of cellular senescence, characterized by enlarged cell size, β-galactosidase activity, telomere shortening and a paracrine pro-inflammatory activation of naïve endothelial cells. Analyses of independent murine and human transcriptomic and proteomic aging datasets further revealed that FERMT3 expression and protein abundance increase with age. Conclusions miP-FERMT3 is a novel regulator of protein catabolism that promotes p21 degradation, replication stress and p53-independent cell cycle arrest and senescence in endothelial cells. Given the aging-associated upregulation of FERMT3 in mouse and human endothelial cells, increased miP-FERMT3 expression may contribute to the onset of vascular senescence as a hallmark of aging. A large number of previously uncharacterized small proteins, known as microproteins, have recently been identified in endothelial cells, the cells that line blood vessels. In this study, we investigated a microprotein that is more abundant in endothelial cells under inflammatory conditions linked to cardiovascular disease. We named this microprotein miP-FERMT3 because it is produced by non-canonical translation of the FERMT3 transcript. In endothelial cells, miP-FERMT3 localized mainly to the centrosome, a structure involved in organizing cell division. Increased levels of miP-FERMT3 altered the centrosome, caused DNA damage and prevented endothelial cells from progressing normally through the cell cycle. As a result, the cells stopped proliferating and developed features consistent with cellular senescence, a state in which cells remain alive but no longer divide and can promote inflammation. We also found that miP-FERMT3 interacted with the cellular machinery responsible for protein breakdown and increased its activity. This led to increased loss of p21 and other proteins needed for normal control of the cell-cycle, providing a possible explanation for the growth arrest and cellular senescence in miP-FERMT3-expressing endothelial cells. Finally, expression of the FERMT3 transcript was higher in endothelial cells from old mice and humans. As blood vessels are among the first tissues to show signs of aging, miP-FERMT3 may represent a link between inflammation and vascular aging.",2026,10.1186/s12964-026-03019-3,proteomics;transcriptomics,True,False,False,,,,,,
springernature,layer_pair,doi:10.1007/s11030-026-11566-7,BCAT1 mediates the carcinogenic effects of environmental bisphenol exposure: mechanistic discoveries in osteosarcoma and pan-cancer analysis,"Bisphenols (including BPA, BPF, BPS, BPAF and TBBPA) are ubiquitous environmental endocrine disruptors linked to increased risk of multiple malignancies, yet their carcinogenic mechanisms remain poorly understood. To address this gap, the present study aimed to elucidate how bisphenols drive osteosarcoma initiation and progression, identify core mediating targets, and explore their pan-cancer relevance. We integrated network toxicology with osteosarcoma transcriptome datasets to screen hub genes, validated candidates via independent cohorts and machine learning, and pinpointed the core target through combined SHapley Additive Explanations (SHAP) and Weighted Gene Co-expression Network Analysis (WGCNA). Using data from The Cancer Genome Atlas (TCGA), we analyzed the target’s association with osteosarcoma patient survival, while reverse transcription quantitative polymerase chain reaction (RT-qPCR), RNA sequencing (RNA-seq), and Western blotting confirmed its differential expression in osteosarcoma cell lines versus normal osteoblasts. Additionally, we performed simulated BCAT1 gene knockout using scTenifoldKnk to investigate its regulatory effects on downstream gene networks. Molecular docking and all-atom molecular dynamics simulations assessed bisphenol-target binding affinity, complemented by comprehensive pan-cancer analyses of public omics databases. Bioinformatic analyses identified branched-chain amino acid transaminase 1 (BCAT1) as the key regulatory gene, with experimental validation confirming its marked upregulation in osteosarcoma cells. All five bisphenols exhibited high binding affinity for BCAT1 in structural simulations, and pan-cancer analysis revealed BCAT1 overexpression in multiple solid tumors, correlating with unfavorable clinical outcomes. Collectively, these findings suggest that bisphenols may act as potential regulators of BCAT1, with implications for tumor progression, though further experimental validation is required to confirm the actual enzymatic activity modulation and carcinogenic effects. Graphical abstract BCAT1 is the core mediator of osteosarcoma caused by environmental bisphenol compounds, a potential broad-spectrum carcinogenic marker and intervention target.",2026,10.1007/s11030-026-11566-7,genomics;transcriptomics,False,True,False,,,,,,
springernature,layer_pair,doi:10.1038/s43587-026-01159-2,Modulating IL-11-dependent matrix stiffness to delay ovarian aging,"The ovarian stroma becomes increasingly stiff with age, impairing ovarian function. The mechanisms that underlie this process are only partly understood. Here, the authors show that IL-11, which is elevated in aging ovaries of mice, rats and humans, activates fibroblasts to secrete extracellular matrix, increasing ovarian stiffness. Targeting IL-11 mitigates ovarian aging. Recent studies have highlighted the crucial role of mechanical properties in the ovarian microenvironment for ovarian function. However, the mechanisms that cause ovarian matrix stiffening during aging remain incompletely understood. Here we utilized atomic force microscopy (AFM) to demonstrate that human ovarian matrix stiffness increases with aging and in pathophysiological conditions, such as chemotherapy-induced premature ovarian insufficiency (POI), polycystic ovary syndrome (PCOS) and ovarian endometriosis. By integrating proteomic analysis of human ovarian tissue with transcriptomic profiling of human ovarian fibroblasts, we identified that IL-11, which is elevated in aging ovaries of mice, rats and humans, activates fibroblasts to secrete extracellular matrix (ECM), thereby increasing ovarian matrix stiffness. Genetic deletion of Il11ra1 in mice mitigated the increase in ovarian matrix stiffness and the decline in ovarian function associated with aging, chemotherapy-induced POI and PCOS. Single-nuclei RNA sequencing (snRNA-seq) revealed that blocking Il11r a 1 reduces the proportion of activated fibroblasts. Furthermore, administration of si Il11 nanoparticles to aged mice and rats enhanced fertility and reduced ovarian matrix stiffness. Together, these findings highlight the pro-inflammatory factor IL-11 in regulating ovarian matrix stiffness. We propose that anti-IL-11 therapy represents a promising translational strategy for delaying ovarian aging.",2026,10.1038/s43587-026-01159-2,proteomics;transcriptomics,True,False,False,,,,,,
springernature,layer_pair,doi:10.1007/s12602-026-11124-5,"Targeting the Gut–Heart Axis in Atherosclerosis: Microbial Metabolites, Molecular Mechanisms, and Precision Therapeutics","Despite advances in lipid-lowering and anti-inflammatory medications, atherosclerotic cardiovascular disease (ASCVD) continues to be the leading cause of morbidity and mortality worldwide. Recent studies have identified the gut microbiota as a key modulator of cardiovascular health via the gut-heart axis. This review investigates the molecular processes by which microbial metabolites affect atherogenesis. Proatherogenic substances like trimethylamine-N-oxide (TMAO), which are produced from dietary precursors through gut microbial and hepatic metabolism, aggravate foam cell production, platelet aggregation, and vascular inflammation. Short chain fatty acids (SCFAs), such as butyrate and propionate, have been shown to protect against atherosclerosis by activating G-protein-coupled receptors, regulating gene expression, and improving endothelial function. Additionally, secondary bile acids, tryptophan derivatives, and phenylacetylglutamine have emerged as important microbial metabolites involved in vascular disease. The review also summarizes various therapeutic strategies such as use of probiotics, prebiotics, postbiotics, precision microbiome editing (using bacteriophages and CRISPR-Cas systems), and fecal microbiota transplantation (FMT) for targeting gut-heart axis. Multi-omic systems combined with artificial intelligence can now detect disease-specific microbial signatures, improving risk stratification and paving the way for precision microbiome-based therapeutics. However, challenges such as determining causality, regulatory intricacies, and inter-individual variability in host-microbiome interactions remain. Despite these obstacles, the gut-heart axis provides a disruptive paradigm in preventive cardiology by emphasizing tailored microbiome therapies as a complement to traditional ASCVD care.",2026,10.1007/s12602-026-11124-5,metabolomics;microbiomics;transcriptomics,False,True,False,,,,,,
springernature,layer_pair,doi:10.1038/s41583-026-01066-w,Microglial states revisited: from homeostasis to disease,"Transcriptomic microglial states are shaped by development, ageing, genetics, environment and disease. In this Review, Eggen and Kooistra discuss how the formation of so-called hidden immune-memory states in microglia following stimulus exposure might contribute to the variability in neurological disease outcomes. Microglia, the resident macrophages of the CNS parenchyma, are recognized as highly plastic, transcriptionally diverse cells whose phenotypes are moulded by development, region, sex, age, genotype and environment. Advances in single-cell and single-nucleus transcriptomics, chromatin accessibility profiling, and spatial multi-omics have negated binary frameworks of ‘resting versus activated’ or ‘M1 (pro-inflammatory) versus M2 (anti-inflammatory)’ and revealed a multidimensional state space that supports brain development, homeostasis and adaptive responses to perturbation. Building on the foundational concepts of the microglial sensome, homeostatic and disease-associated signatures, microglia exhibit transcriptomic state transitions in neurodegeneration, demyelination, infection and systemic inflammation. Moreover, a mechanistic framework for more ‘hidden’ microglial states has emerged, in which latent programmes that appear homeostatic at baseline are revealed by challenges and are instructed through innate immune training or tolerance. We argue that these covert reprogrammed states, which are shaped by ageing, genotype, sex, location and prior exposures such as sepsis or viral infection, help explain interindividual variability in disease trajectories. We conclude by outlining priorities for unifying state annotation across species and modalities, and for translating state-resolved insights into biomarkers and interventions.",2026,10.1038/s41583-026-01066-w,epigenomics;transcriptomics,True,True,True,,,,,,
springernature,layer_pair,doi:10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy,"Cellular senescence is a key driver of kidney aging, leading to functional decline and increased susceptibility to chronic kidney disease. While the senolytic combination of dasatinib and quercetin (D + Q) has shown promise in mitigating age-related pathologies, its long-term effects and underlying multi-level systemic mechanisms in the aging kidney remain poorly defined. Here, we systematically evaluated the long-term effects of D + Q in naturally aged mice using multi-omics approaches. We show that D + Q treatment reduces senescence markers (p16, p21, SA-β-gal), restores the anti-aging protein Klotho, and attenuates renal fibrosis and inflammation. Proteomic profiling reveals that D + Q enhances apoptotic clearance of senescent cells and promotes proliferative and regenerative pathways. Moreover, D + Q reactivates PPARα signaling, improves fatty acid oxidation, and reduces lipid accumulation in aged kidneys. Single-cell transcriptomics further demonstrates that D + Q reverses transcriptional aging signatures across multiple renal cell types and remodels cell-type-specific pathways associated with metabolism, inflammation, and fibrosis. Cell-cell communication analysis reveals that D + Q normalizes the hyperconnected intercellular network in aged kidneys, particularly by modulating inflammation-related signaling. Our findings offer a comprehensive, systems-level understanding of how senolytic therapy restores renal homeostasis, emphasizing its potential as a multifaceted intervention to combat kidney aging.",2026,10.1038/s41536-026-00490-x,proteomics;transcriptomics,True,True,True,,,,,,
springernature,layer_pair,doi:10.1186/s12864-026-13109-8,Multi-omics analysis identifies loci associated with pyrethroid resistance across sister species in the Anopheles gambiae species complex,"Background The Anopheles gambiae species complex comprises about nine sibling species, including An. gambiae , An. coluzzii , and An. arabiensis , three of the four major malaria vector species across Africa. Insecticide-based vector control remains the most critical tool in the fight against malaria, with a heavy reliance on pyrethroid insecticides. However, widespread pyrethroid resistance jeopardises the effectiveness of these methods. Currently, the number of diagnostic markers available to track pyrethroid resistance in endemic settings is limited, focusing mainly on changes at the insecticide target site. Results Genetic analysis of seven insecticide-resistant populations from West Africa, a region with intense insecticide resistance, reveals shared loci associated with pyrethroid resistance among the sister species An. gambiae , An. coluzzii , and An. arabiensis including kdr , GSTE1-8 and the CYP6P region. Notably, a mutation in the voltage-gated sodium channel, I1527T, previously identified in An. coluzzii and An. gambiae , was detected in wild-caught An. arabiensis from Burkina Faso. Additionally, a mutation, L207I, in GSTE7 common to An. coluzzii and An. arabiensis , significantly increases survivorship to deltamethrin. With the additional integration of RNAseq and data from the Anopheles gambiae 1000 genomes project, we were able to identify putative eQTLs associated with the expression of major insecticide resistance-related transcripts, such as CYP6P3 , CYP9K1 and CYP6AA1 . Conclusion This study reveals several potential diagnostic markers of resistance that can be implemented in endemic settings and identifies putative introgression between An. arabiensis and An. coluzzii in Burkina Faso.",2026,10.1186/s12864-026-13109-8,genomics;transcriptomics,False,False,False,,,,,,
