record_id,doi,title,abstract_chars,within_new_maximum
doi:10.1001/jama.2012.9516,10.1001/jama.2012.9516,APC Gene testing for Familial Adenomatosis Polyposis,8108,True
doi:10.1002/1097-0215(20000901)87:5 3.0.co;2-i,10.1002/1097-0215(20000901)87:5 3.0.co;2-i,Seventh Japanese-German workshop on molecular and cellular aspects of carcinogenesis,20706,False
doi:10.1002/1097-0215(20000901)87:5 3.3.co;2-9,10.1002/1097-0215(20000901)87:5 3.3.co;2-9,Seventh Japanese–German workshop on molecular and cellular aspects of carcinogenesis,20706,False
doi:10.1002/1873-3468.13043,10.1002/1873-3468.13043,The Nordic EMBL Partnership – a paragon of collaboration,20593,False
doi:10.1002/ajh.27371,10.1002/ajh.27371,Improving healthspan among people with sickle cell disease: Leveraging precision health in an era of treatments with curative intent,6196,True
doi:10.1002/alz.12278,10.1002/alz.12278,Neuroscience Next 2020 Abstracts,18497,True
doi:10.1002/aps3.11471,10.1002/aps3.11471,Methodologies in gametophyte biology,16001,True
doi:10.1002/art.39759,10.1002/art.39759,Review: Long Noncoding RNAs in the Regulation of Inflammatory Pathways in Rheumatoid Arthritis and Osteoarthritis,20739,False
doi:10.1002/bes2.70072,10.1002/bes2.70072,Symposium Review: Wild Animal Welfare is in Our Backyards,19920,True
doi:10.1002/ctm2.1006,10.1002/ctm2.1006,"Metabolic dysregulation in patients with premature ovarian insufficiency revealed by integrated transcriptomic, methylomic and metabolomic analyses",7832,True
doi:10.1002/ctm2.1430,10.1002/ctm2.1430,Predictive value of DOT1L mutations for clinical outcomes in non‐small‐cell lung cancer patients receiving immune checkpoint inhibitor therapy,14199,True
doi:10.1002/ctm2.1608,10.1002/ctm2.1608,From intestinal metabolites to the brain: Investigating the mysteries of Long COVID,9694,True
doi:10.1002/ctm2.317,10.1002/ctm2.317,A folate receptor 3 SNP promotes mitochondria‐induced clonogenicity of CML leukemia cells: Implications for treatment free remission,7920,True
doi:10.1002/ctm2.70395,10.1002/ctm2.70395,Customised virus‐like particles: Opening a new chapter for clinical precision gene therapy,8694,True
doi:10.1002/ctm2.70625,10.1002/ctm2.70625,A population‐scale multi‐omics blueprint of immune gene regulation,8179,True
doi:10.1002/ctm2.70693,10.1002/ctm2.70693,Envisioning population‐scale immune multi‐omics atlas projects,9945,True
doi:10.1002/ddr.21854,10.1002/ddr.21854,Personalized treatments in neuropsychiatric disorders,6185,True
doi:10.1002/dvdy.21737,10.1002/dvdy.21737,"Annual Drosophila Research Conference, 2008",23878,False
doi:10.1002/dvdy.23806,10.1002/dvdy.23806,"Annual Drosophila Research Conference, 2012",22694,False
doi:10.1002/ehf2.14139,10.1002/ehf2.14139,Distinct Gut Microbiota Composition Among Older Adults with Myocardial Ageing,6102,True
doi:10.1002/ejhf.10,10.1002/ejhf.10,Meeting Highlights from the 2013 European Society of Cardiology Heart Failure Association Winter Meeting on Translational Heart Failure Research,22047,False
doi:10.1002/ejhf.1169,10.1002/ejhf.1169,"Acute Heart Failure: Lessons Learned, Roads Ahead",21225,False
doi:10.1002/ejhf.2246,10.1002/ejhf.2246,"Omics, machine learning, and personalized medicine in heart failure with preserved ejection fraction: promising future or false hope?",10354,True
doi:10.1002/hcs2.69,10.1002/hcs2.69,Development trends of etiological research contents and methods of noncommunicable diseases,18382,True
doi:10.1002/hep.27581,10.1002/hep.27581,Sofosbuvir modulates the intimate relationship between hepatitis C virus and lipids,15396,True
doi:10.1002/hon.2950,10.1002/hon.2950,Differential transcriptomic profiling in ibrutinib‐naïve versus ibrutinib‐resistant Richter syndrome,5309,True
doi:10.1002/humu.22757,10.1002/humu.22757,Germline & Somatic Mosaicism: The 2014 Annual Scientific Meeting of the Human Genome Variation Society,21146,False
doi:10.1002/imo2.70097,10.1002/imo2.70097,Beyond “you are what you eat”: Unlocking gut microbiota‐mediated biotransformation of dietary phytochemicals,25671,False
doi:10.1002/j.1939-4640.2003.tb03146.x,10.1002/j.1939-4640.2003.tb03146.x,Synopsis: 2003 Annual Meeting of the American Society of Andrology,17081,True
doi:10.1002/mco2.209,10.1002/mco2.209,Single‐cell transcriptome analysis of the mouse and primate ovaries reveals oocyte‐specific expression patterns of risk genes in ovarian aging,9091,True
doi:10.1002/mco2.682,10.1002/mco2.682,Time – The fourth dimension of immune cells,9074,True
doi:10.1002/mef2.101,10.1002/mef2.101,Unlocking longevity: How blocking IL‐11 signaling could extend healthspan and lifespan,7434,True
doi:10.1002/mrd.23722,10.1002/mrd.23722,"Sperm, eggs, pollen, and gelato, oh my!",19174,True
doi:10.1002/nbm.4127,10.1002/nbm.4127,Cancer metabolism and metabolomics,5598,True
doi:10.1002/pmic.201570213,10.1002/pmic.201570213,Proteomics in Marine Organisms,16181,True
doi:10.1002/pmic.202200535,10.1002/pmic.202200535,Post‐translational modification and phenotype,12795,True
doi:10.1002/prca.201470024,10.1002/prca.201470024,Proteomics and the Eye,6030,True
doi:10.1002/pul2.70023,10.1002/pul2.70023,The 7th International Leh Symposium: Lungs at High Altitude: Molecular Mechanisms and Therapeutics of Hypoxic Lung,25480,False
doi:10.1002/sctm.21-0138,10.1002/sctm.21-0138,IFSC 2020 Meeting Report,23126,False
doi:10.1002/wps.20675,10.1002/wps.20675,The crossroads of psychiatric epigenomics,8345,True
doi:10.1007/s00038-016-0828-6,10.1007/s00038-016-0828-6,Public Health Genomics: the essential part for good governance in public health,8068,True
doi:10.1007/s00112-022-01643-0,10.1007/s00112-022-01643-0,Abstracts der 96. Wissenschaftlichen Tagung der Gesellschaft für Pädiatrische Onkologie und Hämatologie (GPOH),9731,True
doi:10.1007/s11689-009-9005-z,10.1007/s11689-009-9005-z,Foreword for inaugural issue of Journal of Neurodevelopmental Disorders,6354,True
doi:10.1007/s12603-022-1808-6,10.1007/s12603-022-1808-6,A Golden Age of Aging Biomarker Discovery,5439,True
doi:10.1007/s13238-016-0347-5,10.1007/s13238-016-0347-5,The rising young scientist stars in China,10871,True
doi:10.1007/s13238-019-0617-0,10.1007/s13238-019-0617-0,Basic and translational aging research in China: present and future,22452,False
doi:10.1007/s13238-020-00805-8,10.1007/s13238-020-00805-8,"Roles of Tet2 in meiosis, fertility and reproductive aging",22886,False
doi:10.1007/s13337-022-00787-7,10.1007/s13337-022-00787-7,"Abstracts of the papers presented in the international conference of Indian Virological Society, VIROCON 2021 on “Emerging and Re-emerging Viral Diseases – Climate Change Impacts and Mitigation”, during March 26–28, 2022, at AIIMS, Hyderabad, India (Virtual Mode)",10000,True
doi:10.1007/s13539-012-0061-y,10.1007/s13539-012-0061-y,Recent developments in the treatment of cachexia: highlights from the 6th Cachexia Conference,20131,False
doi:10.1016/j.ard.2025.06.824,10.1016/j.ard.2025.06.824,POS1480-HPR EXPLORING THE CAUSAL RELATIONSHIP BETWEEN AGING AND AUTOIMMUNE DISEASES: A BIDIRECTIONAL MENDELIAN RANDOMIZATION STUDY,5312,True
