doi,prisma_disposition,reason,evidence_url,verified_on,notes
10.1016/j.archger.2025.105765,report_not_retrieved,publisher_access_controls,https://www.sciencedirect.com/science/article/abs/pii/S0167494325000238,2026-08-08,Publisher page displayed Purchase PDF and organizational access controls
10.1016/j.drup.2026.101415,report_not_retrieved,publisher_access_controls,https://www.sciencedirect.com/science/article/abs/pii/S136876462600066X,2026-08-08,Publisher page displayed Purchase PDF and organizational access controls
10.1016/j.freeradbiomed.2025.08.053,report_not_retrieved,publisher_access_controls,https://www.sciencedirect.com/science/article/abs/pii/S0891584925009402,2026-08-08,Publisher page displayed Purchase PDF and organizational access controls
10.1016/j.ijbiomac.2026.151713,report_not_retrieved,publisher_access_controls,https://www.sciencedirect.com/science/article/abs/pii/S0141813026016399,2026-08-08,Publisher page displayed Purchase PDF and organizational access controls despite resolver OA metadata
10.1016/j.intimp.2026.116452,report_not_retrieved,publisher_access_controls,https://www.sciencedirect.com/science/article/abs/pii/S1567576926002961,2026-08-08,Publisher page displayed Purchase PDF and organizational access controls despite resolver OA metadata
10.1016/j.jhazmat.2025.140429,report_not_retrieved,publisher_access_controls,https://www.sciencedirect.com/science/article/abs/pii/S0304389425033497,2026-08-08,Publisher page displayed Purchase PDF and organizational access controls
10.1016/j.phymed.2026.158628,report_not_retrieved,publisher_access_controls,https://www.sciencedirect.com/science/article/abs/pii/S0944711326008597,2026-08-08,Publisher page displayed Purchase PDF and organizational access controls
10.1039/d4fo01156b,report_not_retrieved,publisher_access_controls,https://pubs.rsc.org/fo/article-abstract/15/15/7920/850913/Longevity-extension-in-rats-via-improved-redox,2026-08-08,Publisher page displayed Available to Purchase and no current content access
10.1039/d6fo00039h,report_not_retrieved,publisher_access_controls,https://pubs.rsc.org/fo/article-abstract/17/13/6227/1264784/Dietary-purple-sweet-potato-anthocyanin-extracts,2026-08-08,Publisher page displayed Available to Purchase and no current content access
10.1080/15548627.2026.2711595,report_not_retrieved,publisher_access_controls,https://www.tandfonline.com/doi/full/10.1080/15548627.2026.2711595,2026-08-08,Publisher page displayed Get Access with institutional and paid PDF options
10.1093/cvr/cvag165,report_not_retrieved,publisher_access_controls,https://academic.oup.com/cardiovascres/advance-article-abstract/doi/10.1093/cvr/cvag165/8748244,2026-08-08,Publisher page displayed an abstract and Get Access controls
10.1093/jxb/erag169,report_not_retrieved,publisher_access_controls,https://academic.oup.com/jxb/article-abstract/77/14/4546/8654137,2026-08-08,Publisher page displayed an abstract and Get Access controls
10.1093/plcell/koag095,report_not_retrieved,publisher_access_controls,https://academic.oup.com/plcell/article-abstract/38/4/koag095/8544711,2026-08-08,Publisher page displayed an abstract and Get Access controls
10.1093/plphys/kiag184,report_not_retrieved,publisher_access_controls,https://academic.oup.com/plphys/article-abstract/201/3/kiag184/8659721,2026-08-08,Publisher page displayed an abstract and Get Access controls
10.1111/jcpe.14040,report_not_retrieved,publisher_access_controls,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jcpe.14040,2026-08-08,Publisher page displayed institutional login and paid PDF access despite resolver PDF metadata
10.1093/ajrccm/aamag162.1185,excluded_before_report_retrieval,abstract_only_report,https://doi.org/10.1093/ajrccm/aamag162.1185,2026-08-08,Journal supplement conference abstract rather than a full research report
10.1093/jimmun/vkag141.260,excluded_before_report_retrieval,abstract_only_report,https://doi.org/10.1093/jimmun/vkag141.260,2026-08-08,Journal supplement conference abstract rather than a full research report
10.1158/1538-7445.am2026-2074,excluded_before_report_retrieval,abstract_only_report,https://doi.org/10.1158/1538-7445.am2026-2074,2026-08-08,Conference abstract rather than a full research report
10.1161/circ.148.suppl_1.13364,excluded_before_report_retrieval,abstract_only_report,https://doi.org/10.1161/circ.148.suppl_1.13364,2026-08-08,Journal supplement conference abstract rather than a full research report
10.1161/circ.150.suppl_1.4141726,excluded_before_report_retrieval,abstract_only_report,https://doi.org/10.1161/circ.150.suppl_1.4141726,2026-08-08,Journal supplement conference abstract rather than a full research report
10.1182/blood-2025-3244,excluded_before_report_retrieval,abstract_only_report,https://doi.org/10.1182/blood-2025-3244,2026-08-08,Journal supplement conference abstract rather than a full research report
