record_id,canonical_id,source,provenance_sources,source_record_id,doi,pmid,pmcid,title,abstract,year,publication_date,document_type,language,url,is_preprint,duplicate_count,query_branches,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
doi:10.1002/adfm.202514253,doi:10.1002/adfm.202514253,semantic_scholar,scopus;semantic_scholar,def13f4b17265776fe34589641b0495686eaed92,10.1002/adfm.202514253,,,Neodymium‐Modified Molybdenum Blue Nanoclusters Alleviate Polycystic Ovary Syndrome via Radical Scavenging,"Polycystic ovary syndrome (PCOS) is an endocrine and metabolic disorder characterized by hyperandrogenism, ovulatory dysfunction, and polycystic ovarian morphology. Chronic inflammation and oxidative stress are key contributors to its pathogenesis, yet effective and safe therapeutic strategies remain limited. In this study, a neodymium‐modified molybdenum blue (MoNd) nanocluster is evaluated as a therapeutic strategy for PCOS, featuring excellent biocompatibility and ROS scavenging capacity. In a DHEA‐induced PCOS mouse model, MoNd treatment significantly improved ovarian morphology, restored ovulatory function, and alleviated metabolic abnormalities. Metabolomic analysis indicated that MoNd nanoclusters significantly improved hepatic antioxidant capacity and redox balance. Transcriptomic analysis revealed that MoNd modulates key pathways associated with PCOS, particularly those related to oxidative stress and inflammation. Moreover, significant regulatory effects are observed on the PI3K‐AKT and p53 signaling pathways following MoNd treatment, which are implicated in cell death processes such as ferroptosis and cellular senescence, respectively. Specifically, MoNd nanoclusters effectively preserved granulosa cell viability by counteracting ROS‐induced ferroptotic and senescent responses, and attenuated the pro‐inflammatory polarization of macrophages. Collectively, the findings highlight MoNd nanocluster as a potent nanotherapeutic agent capable of ameliorating both reproductive and metabolic features of PCOS, paving the way for its future application in clinical interventions for PCOS.",2025,2025-11-17,JournalArticle,,https://www.semanticscholar.org/paper/def13f4b17265776fe34589641b0495686eaed92,False,1,,True,True,True,True
doi:10.1002/aro2.70036,doi:10.1002/aro2.70036,semantic_scholar,semantic_scholar,c54d4c17bb46e411d1c09ed1cff34465ad129b96,10.1002/aro2.70036,,,Fasting and Refeeding Mediated Phospholipid Remodeling Plays an Important Role in Improving Meat Quality of Aged Laying Hens,"This study explored fasting‐induced physiological remodeling effects on meat quality in aged laying hens. Fasting for 15 days (F15) significantly reduced abdominal fat, intermuscular fat width, subcutaneous fat thickness, and liver index versus pre‐fasting (F0) ( p 0.7). Fasting upregulated ACSL4/LPCAT, enhancing acyl‐CoA and lipid reacylation to drive phospholipid remodeling, improving meat quality.",2025,2025-10-31,JournalArticle,,https://www.semanticscholar.org/paper/c54d4c17bb46e411d1c09ed1cff34465ad129b96,False,0,,False,False,True,False
doi:10.1002/cam4.4404,doi:10.1002/cam4.4404,europepmc,europepmc;pubmed;scopus,MED:34825509,10.1002/cam4.4404,34825509,PMC8683552,Construction and validation of a novel aging-related gene signature and prognostic nomogram for predicting the overall survival in ovarian cancer.,"Background Ovarian cancer (OC) is the most lethal gynecological malignancy. The objective of this study was to establish and validate an individual aging-related gene signature and a clinical nomogram that can powerfully predict independently the overall survival rate of patients with ovarian cancer. Methods Data on transcriptomic profile and relevant clinical information were retrieved from The Cancer Genome Atlas (TCGA) database as a training group, and the same data from three public Gene Expression Omnibus (GEO) databases as validation groups. Univariate Cox regression analysis, lasso regression analysis, and multiple multivariate Cox analysis were analyzed sequentially to select the genes to be included in the aging-associated signature. A risk scoring model was established and verified, the predictive value of the model was evaluated, and a clinical nomogram was established. Results We found eight genes that were most relevant to prognosis and constructed an eight-mRNA signature. Based on the model, each OC patient's risk score was able to be calculated and patients were split into groups of low and high risks with a distinct outcome. Survival analysis confirmed that the outcome of patients in the high-risk group was dramatically shorter than that of those in the low-risk group, and the eight-mRNA signature can be considered as a powerful and independent predictor that could predict the outcome of OC patient. Additionally, the risk score and age can be used to construct a clinical nomogram as a simpler tool for predicting prognosis. We also explored the association between the risk score and immunity and drug sensitivity. Conclusion This study suggested that the aging-related gene signature could be used as an intervention point and latent prognostic predictor in OC, which may provide new perceptions for postoperative treatment strategies.",2021,2021-11-25,"Research Support, Non-U.S. Gov't; research-article; Journal Article",eng,https://europepmc.org/article/MED/34825509,False,2,,True,True,True,True
doi:10.1002/jcsm.70002,doi:10.1002/jcsm.70002,pubmed,pubmed,40745399,10.1002/jcsm.70002,40745399,PMC12313545,Exogenous Nucleotides Supplementation Attenuates Age-Related Sarcopenia.,"Sarcopenia, an age-related clinical syndrome characterized by reduced skeletal muscle mass and strength, often leads to a loss of physical function. Nucleotides (NTs) supplementation is a potential strategy for preventing age-related sarcopenia as evidence suggests that NTs declined in muscles with aging, and 5'-CMP, 5'-UMP can mitigate muscle atrophy in C2C12 myotubes. This study aimed to investigate the effects of NTs supplementation on sarcopenia and its possible mechanism. Senescence-accelerated mouse prone-8 (SAMP8) mice and C2C12 cells were used to assess the effect of NTs on sarcopenia. We fed an NTs-enriched mixture to SAMP8 mice starting from the age of 3 months for 9 months or 15 months. NTs' effects on H 2 O 2 -induced C2C12 atrophy cells were tested using nucleotide monomers and mixtures. The body composition was measured by EchoMRI analysis meter. Physical performance was tested including grip strength, wire hang, horizontal bar and gait test. The immunofluorescence staining was used to evaluate the cross-sectional area (CSA) or type of muscle fibers and the diameter of myotubes. RT-qPCR, western blot, RNA sequencing (RNA-seq) and targeted metabolomic analyses were conducted to elucidate the underlying mechanisms. The results demonstrated that NTs significantly increased lean mass/body weight (p < 0.01, η 2 = 0.434), the grip strength at 7 (p < 0.0001, η 2 = 0.312), 9 (p < 0.001, η 2 = 0.293) and 11 (p < 0.0001, η 2 = 0.507) months of age and the gait speed of mice (p < 0.0001, η 2 = 0.3861). The immunofluorescence staining results indicated that NTs increased the CSA of muscle fibers (p < 0.0001, η 2 = 0.1081), especially for type IIb fibres. The RNA-seq results showed that NTs significantly downregulated the expression of sarcopenia-related genes (Trim63, Dkk3 and Mt1). The downregulation of Fbxo32, Trim63, Dkk3, Mt1 and p53 genes in NTs intervention group was confirmed by RT-qPCR and/or western blot (p < 0.05). Integrated analyses of RNA-seq and metabolomic showed that NTs could cause changes in metabolites, such as ketoleucine, 3-hydroxylisovalerylcarnitine and 3-methyl-2-oxovaleric acid, which could further regulate sarcopenia-related genes and inhibit protein degradation and promote protein synthesis. In vitro studies confirmed that NTs increased myotubes diameter and decreased expression of sarcopenia-related genes. Our findings reveal the protective role of NTs in improving muscle protein balance during ageing, suggesting they may serve as a conditionally essential nutrient for older individuals. Further research is needed to explore the efficacy and safety of NTs supplementation for sarcopenia in humans.",2025,2025-08-01,Journal Article,eng,https://pubmed.ncbi.nlm.nih.gov/40745399/,False,0,,True,True,True,True
doi:10.1002/jev2.70318,doi:10.1002/jev2.70318,openalex,europepmc;openalex;pubmed;scopus,https://openalex.org/W7164993915,10.1002/jev2.70318,,,Engineered Nestin + TSPC‐Derived Exosomes Promote Tendon Repair Via Metabolic Reprogramming,"ABSTRACT Tendon repair remains a substantial clinical problem with limited treatment options. While Nestin + tendon stem/progenitor cells (TSPCs) are known to regulate tendon healing, their clinical translation faces challenges. Here, we show that exosomes derived from engineered Nestin‐overexpressing TSPCs (Nes‐EVs) significantly ameliorate tendinopathy in multiple mouse models. We isolated Nes‐EVs following lentiviral Nestin overexpression and demonstrated their capacity to reduce cellular senescence and promote tenogenic differentiation in vitro. In collagenase‐induced (WT and Nes‐Cre ERT2 ;iDTR ) and naturally aged murine tendinopathy models, Nes‐EVs robustly restored motor function, improved tissue architecture, reduced senescence markers and restored collagen homeostasis. Integrated transcriptomic and metabolomic profiling revealed a hallmark enrichment of the pantothenate and CoA biosynthesis pathway in both Nestin + TSPCs and their exosomes. Mechanistically, Nes‐EVs enhanced mitochondrial function in tenocytes, increasing ATP production and diminishing oxidative stress thereby revitalizing cellular metabolism in damaged tendons. Our findings unveil a fundamental mechanism where Nes‐EVs coordinate tendon metabolism and homeostasis, offering a promising acellular therapeutic strategy for tendinopathy.",2026,2026-06-01,article,en,https://openalex.org/W7164993915,False,3,transcriptomics_plus_downstream,True,True,True,True
doi:10.1002/ygh2.341,doi:10.1002/ygh2.341,semantic_scholar,semantic_scholar,27159eb99d04c9675bc8809a2a1e9f5db4d11e4b,10.1002/ygh2.341,,,Letter: management of patients with chronic hepatitis C failing repeated courses of interferon‐free DAA combination therapy: a translational research perspective with clinical impact,"EDITORS, Chronic hepatitis C and interrelated hepatic disorders are emerg‐ ing as major public health challenges with significant financial/ psychosocial distress amongst disease‐susceptible population subsets of varying lifestyles/ethnicities; cost‐effective prevention strategies are warranted to precisely dissect the aetiopathogen‐ esis of viral hepatitis/virulence/immunogenicity/subsequent re‐ currence/relapse following single and/or combinatorial treatment modalities/therapies. The recently published study by Kozbial et al in the reputed GastroHep journal critically investigated the clin‐ ical management of chronic hepatitis C patients failing repeated courses of interferon (IFN)‐free DAA combination therapy1; the study was well‐designed with stringent inclusion/exclusion crite‐ ria and core tenets of good clinical practice/bioethics/scientific integrity were followed; briefly, 102 patients completed robust DAA retreatment regimen after repeated virological failures to IFN‐free DAA therapy with a follow‐up of 12 months. With my extensive biomedical/epidemiological research experiences in‐ volving American/Asian Indian patient cohorts, I would like to add that larger sample size would have significantly enhanced overall study power/≥ 80% with relatively lower selection bias/ false positives. Ethnicity is a significant predictor of intra‐indi‐ vidual variability in susceptibility to gastrointestinal/liver dis‐ eases1,2; in this context, incorporating a larger number of patients and age‐matched, disease‐free/healthy controls from random population(s) with subgroup stratification of responders (high/ moderate/poor) vs nonresponders to IFN‐DAA combination therapy would lead to more definitive conclusions; relevant ad‐ justment of potential confounders in retreated chronic hepatitis C patients with age/gender/body mass index‐based subgroup stratification of patient subsets along with systemic/local ad‐ verse effects (diarrhoea/gastrointestinal bleeding/fatigue/numb‐ ness/neuropathy) would provide better insights. Interestingly, 20.6% of patients (mean age 50.0 ± 10.6 years, 18 male/3 female) relapsed after retreatment: (GT1a:8/GT1b:4/GT1c:1/GT3a:7/ GT4:1/cirrhosis:15, and resistance‐associated substitutions (RAS):17/19 with clinically reported patient relapse after:SOF/ SMV:2/3D ± RBV:4/SOF/DCV ± RBV:4/SOF/LDV ± RBV:6/SOF/ VEL:3/SOF/VEL/VOX:1/EBV/GZV:1), thereby highlighting the complex genetic intra‐individual variability to treatment‐related response rates following combinatorial therapy. Electronic health records may be reassessed by the treating physician/clinical re‐ searcher for re‐evaluations of responders (high/moderate/poor)/ nonresponders, thereby predicting better treatment outcomes; tapering the dosing based on age/gender/BMI/concurrent usage of nonsteroidal anti‐inflammatory drugs (COX‐2 inhibitor/Vioxx) at follow‐ups may yield higher therapeutic efficacy with lower recurrence rates/adverse effects, ensuring increased adherence to combinatorial IFN‐free DAA treatment regimens, eventually leading to higher patient satisfaction rates. The findings demonstrated that 17/21 patients completed third DAA therapy: 13 achieved SVR12, three relapsed (cirrhosis:2/SOF/ VEL/RBV:GT3a/SOF/LDV/RBV:GT1a/ EBV/GZV/SOF/RBV:GT1b) while one patient was lost to follow‐up; cirrhotic subgroup data set revealed that one (GT1a/cirrhosis) achieved SVR12 after third re‐therapy with 24 weeks of 3D/SOF/RBV, while one (GT3a/cirrho‐ sis) achieved SVR4 after 24 weeks of glecaprevir/pibrentasvir, but succumbed soon. Furthermore, 95/102 (93.1%) patients achieved SVR12 after ≥1 retreatments; gender, cirrhosis, genotype, RAS or baseline viral loads/cut‐offs were not significantly associated with retreatment failure(s), and 13.7% of patients required multiple retreatments. Family‐based/twin/epidemiological gene polymorphism stud‐ ies with multicentric pooled patient populations of diverse eth‐ nicities utilising high‐throughput pharmacogenetics/genomics/ transcriptomics/metabolomics/electrophysiological/immunodi‐ agnostic imaging modalities coupled with survival analyses and stringent surveillance for relapse(s)/adverse effects are war‐ ranted to provide a better understanding of the relapse trends and response rates amongst genetically disparate populations fol‐ lowing IFN‐free DAA therapy treatment regimens. A global cost‐ effective public health research model needs to be developed with urgent allocation of financial grants/funds for propelling gastro/hepatic research for diminishing the increasing burden of morbidities/mortalities in chronic hepatitis C‐susceptible popula‐ tions worldwide.",2019,2019-05-01,,,https://www.semanticscholar.org/paper/27159eb99d04c9675bc8809a2a1e9f5db4d11e4b,False,0,,True,False,False,False
doi:10.1007/s11357-026-02265-0,doi:10.1007/s11357-026-02265-0,europepmc,europepmc;pubmed;scopus,MED:42053910,10.1007/s11357-026-02265-0,42053910,,A telomere-lipid-immunity axis linking viral integration to autoimmune disease risk.,"Autoimmune diseases rise steeply with biological aging, reflecting progressive failure of immune regulation. Inherited chromosomally integrated human herpesvirus 6 (iciHHV-6) represents a unique lifelong viral exposure in which the viral genome is embedded within host telomeres, potentially altering leukocyte telomere length (LTL), a core biomarker of immune aging. Circulating metabolites may further modify these viral-telomeric interactions. We analyzed 156,927 UK Biobank participants free of autoimmune disease at baseline. Baseline iciHHV-6 carrier status, LTL, and plasma metabolomic profiles were related to incident autoimmune disease during follow-up. Mediation and interaction models were used to test whether LTL and various metabolomic pathways mediated or modified viral effects. Over follow-up, 7.8% of participants developed autoimmune disease and 1.3% were iciHHV-6 carriers. iciHHV-6 was not directly associated with autoimmune disease despite higher baseline comorbidity. Longer LTL was independently protective overall, especially for rheumatoid arthritis, although it was positively associated with multiple sclerosis. iciHHV-6 carriers had longer LTL, yielding a small but significant indirect protective effect on autoimmune risk. LTL also modified viral effects, with stronger protection among iciHHV-6-positive individuals, suggesting telomere length buffers adverse viral-immune interactions. Metabolomic analyses showed that triglyceride-rich lipoproteins and proinflammatory lipids were associated with shorter LTL and higher autoimmune risk, whereas omega-3 fatty acids, albumin, and HDL phospholipids were protective. Lipidomic pathways mediated a substantial portion of the LTL-autoimmune association and modified viral effects. These findings identify a telomere-lipid-immunity axis linking lifelong viral integration, metabolic aging, and autoimmune susceptibility, highlighting biological aging pathways as targets for autoimmune disease prevention.",2026,2026-04-29,Journal Article,eng,https://europepmc.org/article/MED/42053910,False,2,,True,True,True,True
doi:10.1016/j.arr.2025.102870,doi:10.1016/j.arr.2025.102870,europepmc,europepmc;pubmed;scopus,MED:40816451,10.1016/j.arr.2025.102870,40816451,,Biomarkers of multimorbidity: A systematic review.,"The development of multiple chronic diseases in the same individual (i.e., multimorbidity) results from the loss of homeostasis across several biological systems. Identifying pathophysiological pathways common to multiple diseases, using accessible biomarkers, could increase our understanding of multimorbidity and improve its prognostication and management. We conducted a systematic review of peer-reviewed articles published till September 2024 that investigated biomarkers of multimorbidity. Due to study heterogeneity, a synthesis without meta-analysis was performed on 43 studies employing harvest plots based on direction of effect, sample size and study quality. Findings highlight how inflammatory and metabolic biomarkers, such as interleukin-6 (IL-6) and glycated haemoglobin (HbA1c) especially, but also triglycerides, low-density lipoprotein (LDL) cholesterol and kidney and liver markers, along with markers of neurodegeneration including Neurofilament Light Chain (NfL) and Phospho-Tau 217 (p-tau 217), were directly associated with multimorbidity. Nonetheless, evidence for hormonal and vascular activation markers, as well as more novel geroscience biomarkers, remains limited. These markers could have a key role in identifying individuals at high risk of developing or worsening multimorbidity. The review also highlights how methodological challenges, including heterogeneity in study design, populations, and multimorbidity definitions, impact on comparability and generalizability of findings. Addressing these gaps through standardized, longitudinal studies and multi-omics approaches is crucial to improve our understanding of the pathophysiological mechanisms of multimorbidity. In summary, this review outlines the independent association of diverse biomarkers with multimorbidity, opening to the possibility of identifying specific pathophysiological pathways for risk stratification and possible target of future personalized interventions.",2025,2025-08-13,Systematic Review; Journal Article,eng,https://europepmc.org/article/MED/40816451,False,2,,True,True,True,True
doi:10.1016/j.eclinm.2024.102769,doi:10.1016/j.eclinm.2024.102769,semantic_scholar,semantic_scholar,549389cc40eb224fe14d9bccbfe795a8e5db4034,10.1016/j.eclinm.2024.102769,39165498,11334824,Development and validation of an integrated system for lung cancer screening and post-screening pulmonary nodules management: a proof-of-concept study (ASCEND-LUNG),"Summary Background In order to address the low compliance and dissatisfied specificity of low-dose computed tomography (LDCT), efficient and non-invasive approaches are needed to complement its limitations for lung cancer screening and management. The ASCEND-LUNG study is a prospective two-stage case–control study designed to evaluate the performance of a liquid biopsy-based comprehensive lung cancer screening and post-screening pulmonary nodules management system. Methods We aimed to develop a comprehensive lung cancer system called Peking University Lung Cancer Screening and Management System (PKU-LCSMS) which comprises a lung cancer screening model to identify specific populations requiring LDCT and an artificial intelligence-aided (AI-aided) pulmonary nodules diagnostic model to classify pulmonary nodules following LDCT. A dataset of 465 participants (216 cancer, 47 benign, 202 non-cancer control) were used for the two models’ development phase. For the lung cancer screening model development, cancer participants were randomly split at a ratio of 1:1 into the train and validation cohorts, and then non-cancer controls were age-matched to the cancer cases in a 1:1 ratio. Similarly, for the AI-aided pulmonary nodules model, cancer and benign participants were also randomly divided at a ratio of 2:1 into the train and validation cohorts. Subsequently, during the model validation phase, sensitivity and specificity were validated using an independent validation cohort consisting of 291 participants (140 cancer, 25 benign, 126 non-cancer control). Prospectively collected blood samples were analyzed for multi-omics including cell-free DNA (cfDNA) methylation, mutation, and serum protein. Computerized tomography (CT) images data was also obtained. Paired tissue samples were additionally analyzed for DNA methylation, DNA mutation, and messenger RNA (mRNA) expression to further explore the potential biological mechanisms. This study is registered with ClinicalTrials.gov, NCT04817046. Findings Baseline blood samples were evaluated for the whole screening and diagnostic process. The cfDNA methylation-based lung cancer screening model exhibited the highest area under the curve (AUC) of 0.910 (95% CI, 0.869–0.950), followed by the protein model (0.891 [95% CI, 0.845–0.938]) and lastly the mutation model (0.577 [95% CI, 0.482–0.672]). Further, the final screening model, which incorporated cfDNA methylation and protein features, achieved an AUC of 0.963 (95% CI, 0.942–0.984). In the independent validation cohort, the multi-omics screening model showed a sensitivity of 99.2% (95% CI, 0.957–1.000) at a specificity of 56.3% (95% CI, 0.472–0.652). For the AI-aided pulmonary nodules diagnostic model, which incorporated cfDNA methylation and CT images features, it yielded a sensitivity of 81.1% (95% CI, 0.732–0.875), a specificity of 76.0% (95% CI, 0.549–0.906) in the independent validation cohort. Furthermore, four differentially methylated regions (DMRs) were shared in the lung cancer screening model and the AI-aided pulmonary nodules diagnostic model. Interpretation We developed and validated a liquid biopsy-based comprehensive lung cancer screening and management system called PKU-LCSMS which combined a blood multi-omics based lung cancer screening model incorporating cfDNA methylation and protein features and an AI-aided pulmonary nodules diagnostic model integrating CT images and cfDNA methylation features in sequence to streamline the entire process of lung cancer screening and post-screening pulmonary nodules management. It might provide a promising applicable solution for lung cancer screening and management. Funding This work was supported by Science, Science, Technology & Innovation Project of Xiongan New Area, Beijing Natural Science Foundation, CAMS Innovation Fund for Medical Sciences (CIFMS), Clinical Medicine Plus X-Young Scholars Project of 10.13039/501100007937Peking University, the 10.13039/501100012226Fundamental Research Funds for the Central Universities, Research Unit of Intelligence Diagnosis and Treatment in Early Non-small Cell Lung Cancer, 10.13039/501100005150Chinese Academy of Medical Sciences, 10.13039/501100001809National Natural Science Foundation of China, Peking University People's Hospital Research and Development Funds, 10.13039/501100012166National Key Research and Development Program of China, and the fundamental research funds for the central universities.",2024,2024-08-03,JournalArticle,,https://www.semanticscholar.org/paper/549389cc40eb224fe14d9bccbfe795a8e5db4034,False,0,,True,False,False,False
doi:10.1016/j.ecoenv.2026.119676,doi:10.1016/j.ecoenv.2026.119676,semantic_scholar,semantic_scholar,10b96dc3239cc21f78d0fc840d648a4841af4ec4,10.1016/j.ecoenv.2026.119676,41512780,,Dysregulation of atrazine-associated core gene networks and risk prediction in human cancers: Insights from integrated transcriptomics and network toxicology analyses.,"Atrazine, a widely used chlorotriazine herbicide, persists in aquatic environments and poses potential carcinogenic risks. While epidemiological studies link atrazine exposure to malignancies, its intrinsic molecular mechanisms across organ systems remain incompletely understood. This study employed integrated network toxicology and transcriptomic analyses to clarify atrazine-associated oncogenic pathways in liver hepatocellular carcinoma (LIHC), kidney renal clear cell carcinoma (KIRC), lung adenocarcinoma (LUAD), and sarcoma (SARC). Transcriptomic data from The Cancer Genome Atlas (TCGA) for these cancers were analyzed to identify atrazine-related genes. Protein-protein interaction networks were constructed and analyzed to identify hub genes. Functional enrichment, immune microenvironment analyses, and survival analysis were performed. Molecular docking validated atrazine-target binding, and independent datasets were used for hub gene expression and pan-cancer relevance validation. We identified 92 (LUAD), 136 (LIHC), 137 (KIRC), and 161 (SARC) atrazine-associated targets. Hub genes including CDC6, MCM5/7, UBE2C, FEN1, CDCA8, and VIM were differentially expressed across these cancers. Enrichment analyses revealed atrazine disruption of core pathways, including cell cycle progression and chromosomal instability, epithelial-mesenchymal transition, metabolic reprogramming, and senescence-associated secretory pathways. Molecular docking confirmed high-affinity binding between atrazine and key targets. Pan-cancer validation implicated these hub genes in multiple additional malignancies. Transcription factor analysis nominated HSD17B8 as a key regulatory node. This study demonstrates that atrazine promotes carcinogenesis by dysregulating conserved networks governing genomic stability, cell proliferation, metabolic adaptation, and immune microenvironment remodeling, providing a mechanistic framework linking aquatic atrazine exposure to multi-organ carcinogenesis and nominating HSD17B8-associated pathways for therapeutic intervention. These findings underscore the imperative for enhanced environmental monitoring of atrazine contamination.",2026,2026-01-01,JournalArticle,,https://www.semanticscholar.org/paper/10b96dc3239cc21f78d0fc840d648a4841af4ec4,False,0,,True,False,True,False
