group_id,representative_index,duplicate_index,match_reason,representative_title,duplicate_title
1,0,1839,doi,Applied proteomics: mitochondrial proteins and effect on function.,Applied Proteomics
1,0,3017,doi,Applied proteomics: mitochondrial proteins and effect on function.,Applied proteomics: mitochondrial proteins and effect on function.
1,0,5147,doi,Applied proteomics: mitochondrial proteins and effect on function.,Applied proteomics: Mitochondrial proteins and effect on function
2,1,3024,doi,"Aging of oocyte, ovary, and human reproduction.","Aging of oocyte, ovary, and human reproduction."
2,1,5150,doi,"Aging of oocyte, ovary, and human reproduction.","Aging of oocyte, ovary, and human reproduction"
3,2,3027,doi,Mitochondria as a target for early detection and diagnosis of cancer.,Mitochondria as a target for early detection and diagnosis of cancer.
3,2,5157,doi,Mitochondria as a target for early detection and diagnosis of cancer.,Mitochondria as a target for early detection and diagnosis of cancer
4,3,3029,doi,Expression profiling in the aging brain: a perspective.,Expression profiling in the aging brain: a perspective.
4,3,5155,doi,Expression profiling in the aging brain: a perspective.,Expression profiling in the aging brain: A perspective
4,3,9275,doi,Expression profiling in the aging brain: a perspective.,Expression profiling in the aging brain: a perspective.
5,4,3031,doi,The daily timing of gene expression and physiology in mammals.,The daily timing of gene expression and physiology in mammals.
5,4,5174,pmid,The daily timing of gene expression and physiology in mammals.,The daily timing of gene expression and physiology in mammals
6,5,3038,doi,Aging and cardioprotection.,Aging and cardioprotection.
6,5,5176,doi,Aging and cardioprotection.,Aging and cardioprotection
7,6,3040,doi,Antisense RNA stabilization induces transcriptional gene silencing via histone deacetylation in S. cerevisiae.,Antisense RNA stabilization induces transcriptional gene silencing via histone deacetylation in S. cerevisiae.
7,6,5175,doi,Antisense RNA stabilization induces transcriptional gene silencing via histone deacetylation in S. cerevisiae.,Antisense RNA Stabilization Induces Transcriptional Gene Silencing via Histone Deacetylation in S. cerevisiae
8,7,1860,doi,Effects of ADH2 overexpression in Saccharomyces bayanus during alcoholic fermentation.,Effects of ADH2 Overexpression in Saccharomyces bayanus during Alcoholic Fermentation
8,7,1888,doi,Effects of ADH2 overexpression in Saccharomyces bayanus during alcoholic fermentation.,The UbuntuShop treasure trove
8,7,3041,doi,Effects of ADH2 overexpression in Saccharomyces bayanus during alcoholic fermentation.,Effects of ADH2 overexpression in Saccharomyces bayanus during alcoholic fermentation.
8,7,5179,doi,Effects of ADH2 overexpression in Saccharomyces bayanus during alcoholic fermentation.,Effects of ADH2 overexpression in Saccharomyces bayanus during alcoholic fermentation
9,8,3042,pmid,[Effect and mechanism of Epimedium flavanoids for aging retardation from viewpoint of transcriptomics and metabonomics].,[Effect and mechanism of Epimedium flavanoids for aging retardation from viewpoint of transcriptomics and metabonomics].
9,8,5178,pmid,[Effect and mechanism of Epimedium flavanoids for aging retardation from viewpoint of transcriptomics and metabonomics].,Effect and mechanism of Epimedium flavanoids for aging retardation from viewpoint of transcriptomics and metabonomics
10,9,3044,doi,Proteomics: present and future implications in neuro-oncology.,Proteomics: present and future implications in neuro-oncology.
10,9,5181,doi,Proteomics: present and future implications in neuro-oncology.,Proteomics: Present and future implications in neuro-oncology
11,10,3049,doi,A genome wide analysis of the response to uncapped telomeres in budding yeast reveals a novel role for the NAD+ biosynthetic gene BNA2 in chromosome end protection.,A genome wide analysis of the response to uncapped telomeres in budding yeast reveals a novel role for the NAD+ biosynthetic gene BNA2 in chromosome end protection.
11,10,5187,doi,A genome wide analysis of the response to uncapped telomeres in budding yeast reveals a novel role for the NAD+ biosynthetic gene BNA2 in chromosome end protection.,A genome wide analysis of the response to uncapped telomeres in budding yeast reveals a novel role for the NAD+ biosynthetic gene BNA2 in chromosome end protection
12,11,3050,doi,Modulation of genomic and postgenomic alterations in noncancer diseases and critical periods of life.,Modulation of genomic and postgenomic alterations in noncancer diseases and critical periods of life.
12,11,5199,doi,Modulation of genomic and postgenomic alterations in noncancer diseases and critical periods of life.,Modulation of genomic and postgenomic alterations in noncancer diseases and critical periods of life
13,3067,12,doi,An 8-week high-fat diet induces obesity and insulin resistance with small changes in the muscle transcriptome of C57BL/6J mice.,An 8-week high-fat diet induces obesity and insulin resistance with small changes in the muscle transcriptome of C57BL/6J mice.
13,3067,5220,title_year,An 8-week high-fat diet induces obesity and insulin resistance with small changes in the muscle transcriptome of C57BL/6J mice.,An 8-Week high-fat diet induces obesity and insulin resistance with small changes in the muscle transcriptome of C57BL/6J mice
14,13,3058,doi,Methusaleh's Zoo: how nature provides us with clues for extending human health span.,Methusaleh's Zoo: how nature provides us with clues for extending human health span.
14,13,5205,doi,Methusaleh's Zoo: how nature provides us with clues for extending human health span.,Methusaleh's Zoo: How Nature provides us with Clues for Extending Human Health Span
15,14,3060,doi,Overexpression of the CBF2 transcriptional activator in Arabidopsis delays leaf senescence and extends plant longevity.,Overexpression of the CBF2 transcriptional activator in Arabidopsis delays leaf senescence and extends plant longevity.
15,14,5204,doi,Overexpression of the CBF2 transcriptional activator in Arabidopsis delays leaf senescence and extends plant longevity.,Overexpression of the CBF2 transcriptional activator in Arabidopsis delays leaf senescence and extends plant longevity
16,15,3063,doi,Nutritional developmental epigenomics: immediate and long-lasting effects.,Nutritional developmental epigenomics: immediate and long-lasting effects.
16,15,5215,doi,Nutritional developmental epigenomics: immediate and long-lasting effects.,Symposium 2: Modern approaches to nutritional research challenges Nutritional developmental epigenomics: Immediate and long-lasting effects
17,16,3065,doi,Functional genomics of endothelial cells treated with anti-angiogenic or angiopreventive drugs.,Functional genomics of endothelial cells treated with anti-angiogenic or angiopreventive drugs.
17,16,5221,doi,Functional genomics of endothelial cells treated with anti-angiogenic or angiopreventive drugs.,Functional genomics of endothelial cells treated with anti-angiogenic or angiopreventive drugs
18,17,3070,doi,Perspective on sleep and aging.,Perspective on sleep and aging.
18,17,5228,doi,Perspective on sleep and aging.,Perspective on sleep and aging
18,17,9336,doi,Perspective on sleep and aging.,Perspective on Sleep and Aging
