record_id,doi,title,assistant_final_status,assistant_primary_design_family,openalex_indexed,openalex_has_abstract,query_match,matched_branches,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
doi:10.1001/jamapsychiatry.2024.1429,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity.",include,genetic_instrument,True,True,True,epigenomics_plus_downstream;explicit_multiomics;genomics_plus_other;transcriptomics_plus_downstream,True,True,True,True
doi:10.1002/brb3.70937,10.1002/brb3.70937,Longevity Code: Lipidome Associations and Mediated Metabolite Effects.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
doi:10.1002/imt2.70150,10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9-mediated R-loop resolution.,include,direct_perturbation,True,True,True,explicit_multiomics,True,True,True,True
doi:10.1007/s00406-025-02170-1,10.1007/s00406-025-02170-1,Cell senescence-related pathogenic genes in sleep disorders: a multi-omics Mendelian randomization study.,include,genetic_instrument,True,True,True,explicit_multiomics;genomics_plus_other,True,True,True,True
doi:10.1007/s10522-025-10372-2,10.1007/s10522-025-10372-2,Association of plasma metabolites with epigenetic age acceleration: a two-sample Mendelian randomization study.,include,genetic_instrument,True,False,False,,False,True,True,False
doi:10.1007/s10522-026-10475-4,10.1007/s10522-026-10475-4,Genetic evidence links hypertension to accelerated brain aging.,include,genetic_instrument,True,False,False,,False,True,False,False
doi:10.1007/s11357-025-01794-4,10.1007/s11357-025-01794-4,Identification of gut microbiota causally associated with aging and longevity and mediation roles of the cerebrospinal fluid proteins: proteomic genetic evidence from Mendelian randomization.,include,genetic_instrument,True,False,False,,False,True,True,False
doi:10.1007/s11357-025-02033-6,10.1007/s11357-025-02033-6,A multi-omics analysis of human fibroblasts overexpressing an Alu transposon reveals widespread disruptions in aging-associated pathways.,include,direct_perturbation,True,True,True,explicit_multiomics;genomics_plus_other;transcriptomics_plus_downstream,True,True,True,True
doi:10.1007/s12031-025-02314-x,10.1007/s12031-025-02314-x,Identification of Therapeutic Targets for Premature Ovarian Failure Through Mendelian Randomization and Colocalization Analysis Using Human Plasma Proteomics.,seek_full_text,unclear,True,False,False,,False,False,True,False
doi:10.1007/s40520-024-02877-6,10.1007/s40520-024-02877-6,Gut microbiota and epigenetic age acceleration: a bi-directional Mendelian randomization study.,include,genetic_instrument,True,True,True,genomics_plus_other,True,True,True,True
