record_id,title,strict_final_decision,manual_review_reason,strict_causal_evidence_level,five_run_level_sequence,five_run_level_signature_exact,five_run_level_exact,five_run_stable_level,disagreement_fields
doi:10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity",manual_review,five_run_decisive_criterion_disagreement,,"[3, 3, 3, 3, 3]",True,True,3,eligibility_reviewer.aging_role;eligibility_reviewer.integration_mode
doi:10.1002/advs.202502249,ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy.,manual_review,five_run_decisive_criterion_disagreement,,"[3, 3, 3, 3, 3]",True,True,3,causal_evidence_reviewer.supporting_design_families
doi:10.1002/advs.202514269,Gut-Metabolome-Proteome Interactions in Age-Related Hearing Loss: Insights from Fecal Microbiota Transplantation and Multi-Omics Analyses.,manual_review,five_run_decisive_criterion_disagreement,,"[3, 3, 3, 3, 3]",True,True,3,causal_evidence_reviewer.primary_design_family;causal_evidence_reviewer.supporting_design_families
doi:10.1002/advs.202515370,Medicago Sativa L. Saponin‐Driven Lactobacillus Intestinalis Restores Intestinal Stemness in Naturally Aged Mice via the Bile Acid‐FXR‐Wnt Signaling Axis,manual_review,five_run_decisive_criterion_disagreement,,"[3, 3, 2, 3, 3]",False,False,,causal_evidence_reviewer.estimand_complete;causal_evidence_reviewer.supporting_design_families;eligibility_reviewer.aging_role
doi:10.1002/advs.202521633,The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice.,manual_review,five_run_decisive_criterion_disagreement,,"[3, 3, 3, 3, 3]",True,True,3,causal_evidence_reviewer.supporting_design_families;causal_evidence_reviewer.validation_strength;eligibility_reviewer.aging_role
doi:10.1002/ccs3.70045,Integrated genomics reveals cellular senescence-driven molecular networks and immune crosstalk in myopia pathogenesis.,manual_review,five_run_decisive_criterion_disagreement,,"[0, 0, 0, 0, 0]",True,True,0,causal_evidence_reviewer.estimand_complete;causal_evidence_reviewer.validation_strength
doi:10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging,manual_review,five_run_decisive_criterion_disagreement,,"[0, 0, 0, 0, 0]",True,True,0,causal_evidence_reviewer.supporting_design_families;eligibility_reviewer.aging_role;eligibility_reviewer.integration_mode
doi:10.1002/fsn3.71826,Protocatechuic Acid Alleviates D‐Gal‐Induced Renal Senescence and Injury in Mice by Regulating Taurine Metabolism,manual_review,five_run_decisive_criterion_disagreement,,"[3, 3, 3, 3, 3]",True,True,3,eligibility_reviewer.aging_role
doi:10.1002/imo2.70128,A uterine‐centric view of reproductive senescence: Genetic insights into late‐life performance in laying hens,manual_review,five_run_decisive_criterion_disagreement,,"[null, 2, null, null, null]",False,False,,causal_evidence_reviewer.assumptions_assessable;eligibility_reviewer.aging_role;eligibility_reviewer.first_failed_criterion;eligibility_reviewer.full_text_sufficient;eligibility_reviewer.integration_mode
doi:10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9‐mediated R‐loop resolution,manual_review,five_run_decisive_criterion_disagreement,,"[2, 2, 2, 2, 2]",True,True,2,causal_evidence_reviewer.primary_design_family;causal_evidence_reviewer.supporting_design_families
doi:10.1007/s10753-026-02526-2,Inhibition of MyD88 in Tubular Epithelial Cells Alleviates the Cellular Senescence in Sepsis-Associated Acute Kidney Injury,manual_review,five_run_decisive_criterion_disagreement,,"[3, 2, 3, 3, 3]",False,False,,causal_evidence_reviewer.estimand_complete
doi:10.1007/s11306-023-02022-w,The metabolic contribution of SKN-1/Nrf2 to the lifespan of Caenorhabditis elegans.,manual_review,five_run_decisive_criterion_disagreement,,"[null, null, null, null, null]",True,False,,causal_evidence_reviewer.design_role;causal_evidence_reviewer.identification_status;eligibility_reviewer.aging_role
doi:10.1007/s13238-021-00894-z,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis.",manual_review,five_run_decisive_criterion_disagreement,,"[2, 2, 3, 2, 2]",False,False,,causal_evidence_reviewer.estimand_complete;causal_evidence_reviewer.supporting_design_families
doi:10.1016/j.ccell.2024.09.002,Midkine as a driver of age-related changes and increase in mammary tumorigenesis,assessed,,3,"[3, 3, 3, 3, 3]",True,True,3,
doi:10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.,manual_review,five_run_decisive_criterion_disagreement,,"[3, 3, 3, 3, 3]",True,True,3,causal_evidence_reviewer.validation_strength
doi:10.1016/j.celrep.2025.116795,Age-independent and targetable transcription factor networks regulating CD8+ T cell senescence in aging humans,manual_review,role_execution_failed,,[],False,False,,
doi:10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.,manual_review,five_run_decisive_criterion_disagreement,,"[3, 3, 4, 3, 2]",False,False,,causal_evidence_reviewer.estimand_complete;causal_evidence_reviewer.supporting_design_families;causal_evidence_reviewer.validation_strength;eligibility_reviewer.aging_role
doi:10.1016/j.devcel.2023.05.015,Genetic perturbation of AMP biosynthesis extends lifespan and restores metabolic health in a naturally short-lived vertebrate.,manual_review,five_run_decisive_criterion_disagreement,,"[3, 3, 3, 3, 3]",True,True,3,causal_evidence_reviewer.supporting_design_families;eligibility_reviewer.integration_mode
