record_id,doi,title,proposed_design_family,ai_empirical_primary,ai_bio_health_scope,ai_aging_eligible,ai_multiomics_eligible,ai_causal_method_eligible,ai_preliminary_status,ai_first_failed_criterion,model_route,model_exclusion_code,report_type_consensus,aging_relevance_consensus,multiomics_evidence_consensus,current_layer_use_consensus,layer_candidates_consensus,causal_basis_consensus,design_families_consensus,causal_information_sufficiency_consensus,scope_all_tracked_5_of_5,causal_all_tracked_5_of_5,all_assessed_fields_5_of_5,evidence_spans_json,human_expert_status
doi:10.1001/jama.2012.9516,10.1001/jama.2012.9516,APC Gene testing for Familial Adenomatosis Polyposis,,unclear,unclear,unclear,unclear,unclear,preliminary_unclear,none,seek_full_text,none,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,none,not_assessed,false,[],pending
doi:10.1001/jamacardio.2024.4115,10.1001/jamacardio.2024.4115,"Pitavastatin, Procollagen Pathways, and Plaque Stabilization in Patients With HIV: A Secondary Analysis of the REPRIEVE Randomized Clinical Trial.",,yes,yes,no,yes,unclear,preliminary_exclude,EC3,exclude,EC3,empirical_primary,no,two_or_more_layers,yes,disagreement,not_assessed,not_assessed,not_assessed,true,not_assessed,true,"[{""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""This was a post hoc analysis of the double-blind, placebo-controlled, REPRIEVE randomized clinical trial.""}, {""criterion"": ""bio_health_scope"", ""source"": ""title"", ""quote"": ""Patients With HIV""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""mean [SD] age, 51 [6] years""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""targeted discovery proteomics and transcriptomics approaches""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""plasma protein analysis, and transcriptomic analysis""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""plasma protein analysis, and transcriptomic analysis at baseline and 2-year follow-up.""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""Relative change in plasma proteomics, transcriptomics, and noncalcified plaque volume""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""plasma protein analysis, and transcriptomic analysis at baseline and 2-year follow-up""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""This was a post hoc analysis""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""Relative change in plasma proteomics, transcriptomics, and noncalcified plaque volume""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""plasma protein analysis, and transcriptomic analysis""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""Relative change in plasma proteomics, transcriptomics""}]",pending
doi:10.1001/jamadermatol.2024.0257,10.1001/jamadermatol.2024.0257,Guselkumab for Pityriasis Rubra Pilaris and Dysregulation of IL-23/IL-17 and NFkB Signaling: A Nonrandomized Trial.,,yes,yes,no,yes,unclear,preliminary_exclude,EC3,exclude,EC3,empirical_primary,no,two_or_more_layers,yes,disagreement,not_assessed,not_assessed,not_assessed,true,not_assessed,true,"[{""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""This single-arm, investigator-initiated nonrandomized trial""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""participants with PRP""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""mean (SD) age of 56.5 (18.7) years""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""proteomic and transcriptomic studies""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""Proteomics and gene expression profiles identified dysregulation""}, {""criterion"": ""report_type"", ""source"": ""title"", ""quote"": ""A Nonrandomized Trial.""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""Age-matched and sex-matched healthy controls""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""A per-protocol analysis was performed""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""14 adults with moderate to severe PRP were enrolled""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""Proteomics and gene expression profiles""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""skin and blood""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""mean (SD) age of 56.5""}]",pending
doi:10.1001/jamanetworkopen.2021.44279,10.1001/jamanetworkopen.2021.44279,Effect of Urolithin A Supplementation on Muscle Endurance and Mitochondrial Health in Older Adults: A Randomized Clinical Trial.,,yes,yes,no,no,unclear,preliminary_exclude,EC3,exclude,EC3,empirical_primary,no,single_or_no_layer,yes,metabolomics,not_assessed,not_assessed,not_assessed,true,not_assessed,true,"[{""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""significantly improved muscle endurance""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""randomized clinical trial in adults""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""adults aged 65 to 90 years""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""plasma metabolomics""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""plasma metabolomics""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""Results A total of 66 participants were randomized""}, {""criterion"": ""bio_health_scope"", ""source"": ""title"", ""quote"": ""in Older Adults""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""The primary end point was change from baseline in the 6-minute walk distance and change from baseline to 4 months in maximal ATP production in the hand skeletal muscle.""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""Cellular health biomarkers were investigated via plasma metabolomics.""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""Cellular health biomarkers were investigated via plasma metabolomics.""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""This randomized clinical trial found""}, {""criterion"": ""bio_health_scope"", ""source"": ""title"", ""quote"": ""Muscle Endurance and Mitochondrial Health in Older Adults""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""This double-blind, placebo-controlled randomized clinical trial""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""in adults aged 65 to 90 years""}]",pending
doi:10.1001/jamanetworkopen.2022.23285,10.1001/jamanetworkopen.2022.23285,Analysis of Epigenetic Age Acceleration and Healthy Longevity Among Older US Women.,,yes,yes,yes,no,unclear,preliminary_exclude,EC4,exclude,EC4,empirical_primary,yes,single_or_no_layer,yes,epigenomics,not_assessed,not_assessed,not_assessed,true,not_assessed,true,"[{""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""We investigated associations""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""among older women""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""epigenetic age acceleration (EAA)""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""genome-wide DNA methylation data""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""genome-wide DNA methylation data""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""The odds of surviving to age 90 years with intact mobility were lower for every 1 SD increase in EAA""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""Among 1813 women""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""This cohort study was a secondary analysis""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""older women""}]",pending
doi:10.1001/jamanetworkopen.2023.44015,10.1001/jamanetworkopen.2023.44015,Deficit Accumulation Index and Biological Markers of Aging in Survivors of Childhood Cancer.,,yes,yes,yes,yes,no,preliminary_exclude,EC5,exclude,EC5,empirical_primary,yes,two_or_more_layers,yes,epigenomics;genomics,association_or_prediction_only,,sufficient,true,true,true,"[{""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""This cross-sectional study analyzed data""}, {""criterion"": ""bio_health_scope"", ""source"": ""title"", ""quote"": ""Survivors of Childhood Cancer""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""epigenetic age acceleration (EAA)""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""Genome-wide DNA methylation was generated""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""whole-genome sequencing data""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""Genome-wide DNA methylation was generated""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""Survivors of childhood cancer""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""Genome-wide DNA methylation""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""Genome-wide DNA methylation""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""epigenetic age acceleration""}, {""criterion"": ""causal_basis"", ""source"": ""abstract"", ""quote"": ""To examine the associations between the DAI and epigenetic age acceleration (EAA) and mean leukocyte telomere length (LTL).""}, {""criterion"": ""causal_information_sufficiency"", ""source"": ""abstract"", ""quote"": ""This cross-sectional study analyzed data""}, {""criterion"": ""current_report_application"", ""source"": ""abstract"", ""quote"": ""This cross-sectional study analyzed data from the St Jude Lifetime Cohort""}, {""criterion"": ""causal_information_sufficiency"", ""source"": ""abstract"", ""quote"": ""This cross-sectional study analyzed data from the St Jude Lifetime Cohort""}, {""criterion"": ""current_report_application"", ""source"": ""abstract"", ""quote"": ""To examine the associations between the DAI and epigenetic age acceleration (EAA) and mean leukocyte telomere length (LTL).""}, {""criterion"": ""causal_basis"", ""source"": ""abstract"", ""quote"": ""This cross-sectional study of survivors of childhood cancer showed that the DAI was associated with EAA""}, {""criterion"": ""current_report_application"", ""source"": ""abstract"", ""quote"": ""There were no associations between mean LTL residual and the DAI.""}]",pending
doi:10.1001/jamaneurol.2023.5387,10.1001/jamaneurol.2023.5387,Multiomic Analysis of Neuroinflammation and Occult Infection in Sudden Infant Death Syndrome.,,yes,yes,no,yes,unclear,preliminary_exclude,EC3,exclude,EC3,empirical_primary,no,explicit_multiomics,yes,metagenomics;transcriptomics,not_assessed,not_assessed,not_assessed,true,not_assessed,true,"[{""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""mNGS detected human parechovirus 3""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""sudden infant death syndrome""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""age-matched controls""}, {""criterion"": ""multiomics_evidence"", ""source"": ""title"", ""quote"": ""Multiomic Analysis""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""metagenomic next-generation sequencing""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""single-nucleus RNA sequencing""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""mNGS was performed""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""snRNAseq was performed""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""Results A cohort of 71 SIDS cases""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""postmortem fluids from SIDS cases and controls""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""metagenomic next-generation sequencing (mNGS)""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""single-nucleus RNA sequencing (snRNAseq)""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""mNGS was performed on liver, CSF, brain, and brainstem tissue""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""In this case-control study""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""sudden infant death syndrome (SIDS)""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""mNGS was performed on liver, CSF, brain, and brainstem tissue.""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""Brainstem tissue""}, {""criterion"": ""current_report_layer_use"", ""source"": ""title"", ""quote"": ""Multiomic Analysis""}]",pending
doi:10.1001/jamaoto.2025.2816,10.1001/jamaoto.2025.2816,Oral Lachnoanaerobaculum Levels and Survival in Patients With Head and Neck Cancer.,,yes,yes,no,yes,unclear,preliminary_exclude,EC3,exclude,EC3,empirical_primary,no,two_or_more_layers,yes,disagreement,not_assessed,not_assessed,not_assessed,true,not_assessed,true,"[{""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""This prognostic study analyzed saliva samples""}, {""criterion"": ""bio_health_scope"", ""source"": ""title"", ""quote"": ""Patients With Head and Neck Cancer""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""mean [SD] age, 61.1 [7.9] years""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""Oral microbiome composition was assessed using 16S rRNA gene sequencing.""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""Transcriptomic analyses in The Cancer Genome Atlas cohort""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""Transcriptomic analyses in The Cancer Genome Atlas cohort""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""This prognostic study analyzed saliva samples from patients with HNSCC""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""patients with head and neck squamous cell carcinoma (HNSCC)""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""Oral microbiome composition was assessed using 16S rRNA gene sequencing.""}]",pending
doi:10.1001/jamapsychiatry.2024.1429,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity",,yes,yes,yes,yes,yes,preliminary_include,none,seek_full_text,none,empirical_primary,yes,explicit_multiomics,yes,genomics;transcriptomics;proteomics,named_causal_effect_design,genetic_instrument,sufficient,true,true,true,"[{""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""This 2-sample mendelian randomization (MR) study assessed associations""}, {""criterion"": ""bio_health_scope"", ""source"": ""title"", ""quote"": ""Major Psychiatric Disorders, Substance Use Behaviors, and Longevity""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""health span, lifespan, and exceptional longevity""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""Multiomics analyses were performed""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""gene expression, and proteomic data""}, {""criterion"": ""report_type"", ""source"": ""abstract"", ""quote"": ""Results: Findings from multivariable MR models""}, {""criterion"": ""bio_health_scope"", ""source"": ""title"", ""quote"": ""Major Psychiatric Disorders""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""The main outcome encompassed aspects of health span, lifespan, and exceptional longevity.""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""genome-wide association study (GWAS) data""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""gene expression""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""proteomic data""}, {""criterion"": ""current_report_layer_use"", ""source"": ""abstract"", ""quote"": ""Multiomics analyses were performed""}, {""criterion"": ""multiomics_evidence"", ""source"": ""abstract"", ""quote"": ""summary-level genome-wide association study (GWAS) data, gene expression, and proteomic data""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""major psychiatric disorders""}, {""criterion"": ""bio_health_scope"", ""source"": ""abstract"", ""quote"": ""health span, lifespan, and exceptional longevity""}, {""criterion"": ""aging_process_relevance"", ""source"": ""abstract"", ""quote"": ""Additional outcomes were epigenetic age acceleration (EAA) clocks.""}, {""criterion"": ""current_report_application"", ""source"": ""abstract"", ""quote"": ""This 2-sample mendelian randomization (MR) study""}, {""criterion"": ""causal_basis"", ""source"": ""abstract"", ""quote"": ""2-sample mendelian randomization (MR)""}, {""criterion"": ""design_family"", ""source"": ""abstract"", ""quote"": ""2-sample mendelian randomization (MR)""}, {""criterion"": ""causal_information_sufficiency"", ""source"": ""abstract"", ""quote"": ""Design, Settings, and Participants:""}, {""criterion"": ""causal_basis"", ""source"": ""abstract"", ""quote"": ""This 2-sample mendelian randomization (MR) study""}, {""criterion"": ""design_family"", ""source"": ""abstract"", ""quote"": ""mendelian randomization (MR) study""}, {""criterion"": ""design_family"", ""source"": ""abstract"", ""quote"": ""This 2-sample mendelian randomization (MR) study""}, {""criterion"": ""causal_information_sufficiency"", ""source"": ""abstract"", ""quote"": ""Design, Settings, and Participants: This 2-sample mendelian randomization (MR) study assessed associations between psychiatric disorders, substance use behaviors, and longevity using single-variable and multivariable models.""}]",pending
doi:10.1002/1097-0215(20000901)87:5 3.0.co;2-i,10.1002/1097-0215(20000901)87:5 3.0.co;2-i,Seventh Japanese-German workshop on molecular and cellular aspects of carcinogenesis,,unclear,unclear,unclear,unclear,unclear,preliminary_unclear,none,seek_full_text,none,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,not_assessed,none,not_assessed,false,[],pending
