source,source_record_id,title,abstract,year,publication_date,doi,pmid,pmcid,authors,venue,document_type,language,url,is_preprint,raw_page,query_branches,local_multiomics_match,local_explicit_multiomics_match,local_layer_pair_match,local_omics_layer_count,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match
pubmed,42539031,Human Myometrial Cell Fate under Chronic Oxidative Stress for Leiomyomagenesis.,"Uterine Leiomyoma are the most common benign tumors in women of reproductive age. Studies show that both leiomyoma and surrounding myometrium exist in a state of high oxidative stress, characterized by reactive oxygen species (ROS) production and impaired antioxidant defenses including defects of manganese superoxide dismutase (MnSOD). Oxidative stress has been proposed as a driver of leiomyoma initiation by promoting oxidative DNA damage leading to mutations in MED12 and leiomyoma growth. We hypothesize that chronic oxidative stress in human myometrial cells induces cellular remodeling and genomic alterations that promote adaptation and contribute to early events in leiomyoma development. To test this hypothesis, we generated stable human myometrial cell lines (Myo-hTERT) of wild type, MnSOD 68K and mutant MnSOD 68Q that impairs MnSOD antioxidant activity thereby imposing sustained oxidative stress. Experiments were performed both in vitro using three-dimensional spheroid cultures and in vivo using xenograft models in immunocompromised mice, with some studies extending up to 10 months to model chronic oxidative stress. Cells were exposed to the oxidative inducer paraquat (PQ) and analyzed using cellular and molecular approaches including spatial transcriptomics and MED12 mutational analysis. Cells expressing MnSOD 68Q exhibited increased intracellular ROS and oxidative DNA damage, as indicated by accumulation of 8-hydroxy-deoxyguanosine (8-OHdG). Transcriptomic analysis revealed activation of pathways associated with oxidative stress responses including collagen/extracellular matrix, cellular senescence and IGF/AKT signaling. Xenografts of primary myometrial cells subjected to prolonged oxidative stress demonstrated similar molecular responses and showed an increased frequency of MED12 mutations. These changes were accompanied by modest increases in cell proliferation with minimal induction of cell death. Together, these findings provide mechanistic evidence that sustained oxidative stress can drive molecular and genomic changes in myometrial cells and support a causal role for chronic redox imbalance in the initiation of uterine leiomyomas.",2026,2026-07-20,10.21203/rs.3.rs-9323630/v1,42539031,PMC13419577,Jianjun Wei; Matthew Schipma; Yue Feng; Wenan Qiang; David Gius; J Julie Kim,Research square,Journal Article; Preprint,eng,https://pubmed.ncbi.nlm.nih.gov/42539031/,True,page_0001.xml.gz,,True,False,True,2,genomics;transcriptomics,True,True,True
pubmed,42535507,Multi-omic profiling of cardiomyocyte ageing and functional decline.,"Ageing is the strongest risk factor for heart failure, yet the molecular mechanisms underlying cardiomyocyte (CM) ageing remain unclear. We aimed to map the transcriptomic and epigenomic landscape of CM ageing and to test whether DNA hypermethylation is a causal driver of diastolic dysfunction. We performed single-nucleus multiomics (concurrent snRNA-seq and snATAC-seq) on 4- and 28-month-old ventricular myocardium of C57BL/6J mice. Aged CMs showed widespread chromatin remodelling, with 28,324 regions having greater accessibility compared to only 2 with reduced accessibility. 1963 genes were differentially expressed in aged ventricular CMs, with 78.5% neighbouring differentially accessible regions. Promoter accessibility positively associated with expression. Reduced-representation bisulphite sequencing of ventricular CM nuclei identified 1422 regions associated with genes that were hypermethylated in aged CMs, compared to only 167 that were hypomethylated. CpG hypermethylation inversely correlated with differential gene expression. Multi-omic integration revealed ageing signatures shared across cell types, and identified the long non-coding RNA Gm12381 as a CM-selective ageing marker. To test whether DNA hypermethylation is associated with ageing phenotypes, we used cardiotropic MyoAAV to overexpress Dnmt3a in adult hearts. Dnmt3a overexpression induced CM hypermethylation, causing cardiac hypertrophy and diastolic dysfunction, key ageing phenotypes, and altering the transcriptome profile toward that of aged CMs. Gain of chromatin accessibility and CpG hypermethylation associated with transcriptomic reprogramming characterize CM ageing. Experimental elevation of DNA methylation is sufficient to induce diastolic dysfunction and hypertrophy, supporting DNMT3A-mediated hypermethylation as a mechanistic driver. Further work should test whether attenuating methylation prevents or reverses age-related cardiac dysfunction.",2026,2026-07-31,10.1093/cvr/cvag165,42535507,,Dogacan Yucel; Michael A Trembley; Qingen Ke; Zexuan Wu; Durgesh Bonde; Peter Kang; William T Pu,Cardiovascular research,Journal Article,eng,https://pubmed.ncbi.nlm.nih.gov/42535507/,False,page_0001.xml.gz,,True,True,True,2,epigenomics;transcriptomics,True,True,True
pubmed,42531833,Poricoic acid a ameliorates ulcerative colitis via AMPK/PPARγ pathway-dependent cellular senescence inhibition and concomitant gut microbiota-metabolome modulation.,"Ulcerative colitis (UC) is an intractable inflammatory bowel disorder characterized by persistent intestinal inflammation and impaired gut barrier integrity. Its pathogenesis is multifactorial, involving gut microbiota dysbiosis, metabolic dysfunction, and cellular senescence. Current therapeutic regimens remain limited, underscoring an urgent need for innovative agents that target these interrelated pathological cascades. This study aimed to evaluate the pharmacological effects of poricoic acid A (PAA) on DSS-induced senescence in intestinal epithelial cells and in a murine model of ulcerative colitis (UC), as well as the underlying molecular mechanisms. We established a DSS-stimulated senescent intestinal epithelial cell model and a DSS-induced UC mouse model. Multi-omics and bioinformatics strategies, including network pharmacology, transcriptome profiling, gut metagenomics, and intestinal targeted metabolomics, were combined with molecular docking to predict candidate signaling axes. Subsequent pharmacological inhibition and siRNA-mediated silencing assays were performed to validate core pathways functionally. PAA robustly suppressed DSS-induced senescence and inflammatory responses in intestinal epithelial cells. In vivo assays verified that PAA alleviated UC-related manifestations, including body weight loss, rectal hemorrhage, and colonic histological injury. Joint network pharmacology and transcriptomic screening identified the AMPK/PPARγ as the core pathway mediating PAA's bioactivity. Mechanistic experiments confirmed that PAA directly bound and activated PPAR, further functionally triggering downstream AMPK/SirT1/PGC1α signaling. Blockade of AMPK via pharmaceutical antagonists or siRNA largely abolished PAA's anti-senescence and anti-inflammatory capacities; PPARγ suppression, in turn, secondary deactivated the AMPK and its downstream functional effectors. In mouse models, AMPK inhibition drastically compromised PAA's protective effects against UC. Moreover, PAA treatment of UC is closely associated with remodeling of the gut microbiome-metabolome axis and restoration of intestinal homeostasis. PAA exerts potent anti-senescence, anti-inflammatory, and colon-protective effects in UC via activating the AMPK/PPARγ signaling pathway. Such beneficial activity may be associated with the normalization of gut microbiota-metabolome homeostasis. This work identifies novel molecular targets and a promising lead compound for the intervention of ulcerative colitis.",2026,2026-07-22,10.1016/j.phymed.2026.158628,42531833,,Yongchang Wang; Zhenlin Liu; Qinran Hou; Yaxing Xu; Wenyan Chen; Mengting Chen; Jiayu Liu; Jiaying Tang; Yaping Wang; Min Zhou; Xiaojian Wu; Xiaobo Wang,Phytomedicine : international journal of phytotherapy and phytopharmacology,Journal Article,eng,https://pubmed.ncbi.nlm.nih.gov/42531833/,False,page_0001.xml.gz,,True,True,True,3,metabolomics;microbiomics;transcriptomics,True,True,True
pubmed,42530810,Oral LNAD+ rapidly elevates whole blood intracellular NAD and metabolic flux without elevating plasma NAD: evidence from a randomized controlled trial.,"Declines in nicotinamide adenine dinucleotide (NAD+) are linked to metabolic stress accompanying aging and disease. While precursor-based approaches elevate systemic NAD, their clinical translation can be constrained by biosynthetic bottlenecks and first-pass metabolism. RENEWAL-NAD+ (ClinicalTrials.gov NCT07336836; retrospectively registered 01/04/2026) was a double-blind, randomized, placebo-controlled Phase 0/1b trial in healthy adults aged 45-75 years (60 randomized; primary analysis n = 50) evaluating 5 days of oral LathMized® NAD+ (LNAD+), a physicochemically modulated formulation that alters the supramolecular organization and solution behavior of NAD+ while preserving its native molecular structure. The primary endpoints were change in intracellular NAD (icNAD), measured in whole blood, and circulating NAD (cirNAD), measured in separated plasma, relative to baseline. LNAD+ produced a rapid and pronounced increase in icNAD, with a 53% elevation versus placebo at Day 6 (p = 5.48e -14 ; Hedges' g = 3.66), while cirNAD was unchanged (p = 0.60), demonstrating compartment-selective augmentation. Plasma NAD catabolites increased substantially (1-methyl-nicotinamide, MeNAM p = 5.39e -13 ; N1-methyl-2-pyridone-5-carboxamide, 2PY p = 2.95e -16 ), consistent with downstream engagement of NAD metabolic flux. Exploratory analyses identified non-overlapping correlates for the two compartments (cirNAD tracking inflammatory and metabolic markers, icNAD tracking red blood cell indices and NAM). Treatment was very well tolerated: symptom incidence was comparable between groups (p = 0.68), only one mild adverse event (nausea, Grade 1) occurred in the LNAD+ arm, and no secondary clinical, vital-sign, wellbeing, or wearable-derived endpoint survived multiplicity correction. These data demonstrate rapid intracellular NAD augmentation after oral LNAD+ dosing with pharmacodynamic evidence of downstream metabolism, compartment-specific physiological signatures, and a favorable short-term safety profile, with exploratory multi-omic analyses ongoing.",2026,2026-07-30,10.1007/s11357-026-02399-1,42530810,4487780,Sergey A Kornilov; Waylon J Hastings; Lynne Fahey McGrath; Michael Leitz-Langan; Andrew T Magis; Steve M Coppess; Wendy Komac,GeroScience,Journal Article,eng,https://pubmed.ncbi.nlm.nih.gov/42530810/,False,page_0001.xml.gz,,True,True,False,0,,True,True,True
pubmed,42529830,Targeting chaperone-mediated autophagy by nutritional interventions mitigates age-related cardiac fibrosis and diastolic dysfunction.,"Cardiac fibrosis, a major pathological hallmark of aging that leads to heart failure, is characterized by excessive collagen deposition. Our knowledge of what sustains collagen synthesis in the aging heart is still very preliminary. Here, we uncover a central role for chaperone-mediated autophagy (CMA), a selective lysosomal degradation pathway, in this process. We demonstrate that CMA is suppressed in the aging heart, which promotes collagen overproduction in fibroblasts, whereas enhancing CMA activity ameliorates fibrosis and diastolic dysfunction. Mechanistically, we identify SHMT2 (serine hydroxymethyltransferase 2) as a CMA substrate whose accumulation with aging drives collagen synthesis by increasing glycine availability. Integrative omics revealed a systemic downregulation of the ketone body β-hydroxybutyrate (BHB) in aged mice. BHB supplementation - via a cyclic ketogenic diet - restored CMA, attenuated fibrosis, and improved cardiac function. This recovery was mediated through BHB-induced activation of the HCAR2 receptor and subsequent phosphorylation of HSPA8/HSC70, which systemically reactivates the CMA machinery. Furthermore, we show that Lycium barbarum polysaccharide (LBP) rejuvenates hepatic ketogenesis and mimics the benefits of BHB. Our findings establish a BHB-HCAR2-CMA-SHMT2 regulatory axis as a critical mechanism driving aging-related cardiac fibrosis and highlight nutritional strategies that target CMA as promising therapies against cardiac aging.",2026,2026-07-30,10.1080/15548627.2026.2711595,42529830,,Ziwen Wang; Ziyuan Zhang; Zheng Ping; Xin Zheng; Ting Wang; Zhongyong Jiang; Ge Yang; Xiaoli Zhang; Zhaochuan Liu; Bo Wu; Haimei Sun; Shu Yang; Deshan Zhou; Tingyi Sun; Xuebin Cao,Autophagy,Journal Article,eng,https://pubmed.ncbi.nlm.nih.gov/42529830/,False,page_0001.xml.gz,,True,True,False,0,,True,True,True
pubmed,42528649,The interplay between recovery and immunity in infectious and non-communicable diseases.,"The interplay between recovery and immune responses is increasingly recognized but remains under-integrated in clinical and research frameworks. Recovery extends beyond physiological repair to include restoration of function, psychological adaptation, and social reintegration, while immunity provides dynamic protection and regulation. Emerging evidence suggests that recovery trajectories shape immune competence and long-term resilience. This review synthesizes evidence on bidirectional recovery-immunity interactions across infectious and non-communicable diseases (NCDs). We examine immune- linked mechanisms of inflammation resolution, tissue repair/regeneration, and functional restoration, and discuss how recovery states feedback to immune competence. Illustrative contexts include viral, bacterial, parasitic, and fungal infections, as well as cancer, autoimmune, metabolic, cardiovascular, and neurodegenerative disorders. Shared pathways connecting recovery and immunity include cytokine signaling, macrophage polarization, and regenerative programs. Recovery outcomes are further modified by host and contextual factors such as genetics, aging, nutrition, comorbidities, and psychosocial stress. Clinical and translational approaches, such as immunotherapy, rehabilitation, vaccination, and precision medicine, offer practical ways to support recovery, but they must be applied with careful attention to the immune trade-offs they may introduce. Advances in biomarkers, multi- omics profiling, and AI-enabled modeling offer promising tools to quantify recovery phenotypes and predict immune resilience. Positioning recovery as an active immunological state enables more coherent frameworks for understanding disease trajectories and guiding interventions. Integrating recovery biology with immune regulation may enhance patient outcomes and support durable, resilient health across diverse disease settings.",2026,2026-07-15,10.3389/fcimb.2026.1745649,42528649,PMC13414210,Songlin Li; Ning Zhang; Xueting Jiang; Chunhong San; Xiaoxi Jiang; Ruiping Zhang,Frontiers in cellular and infection microbiology,Journal Article; Review,eng,https://pubmed.ncbi.nlm.nih.gov/42528649/,False,page_0001.xml.gz,,False,False,False,0,,True,True,False
pubmed,42523387,Conserved Transcriptomic Signatures of Sirt6 Activity: A Cross-Species RNA-seq Meta-analysis.,"The NAD + -dependent histone deacetylase Sirt6 regulates transcription of multiple classes of genes, including those involved in metabolism, immune response, oxidative stress response, and development. Defining the Sirt6-regulated transcriptome is relevant to understanding the various important physiological roles of Sirt6, such as extending lifespan, maintaining metabolic health, and tumor suppression. Numerous studies have identified Sirt6 target genes, using both targeted and genome-wide approaches; however, consensus is limited and there has yet to be a systematic analysis of gene expression changes induced by altering Sirt6 levels. In the present study, we conducted a meta-analysis of 19 mammalian RNA-seq datasets in which Sirt6 levels were perturbed (knockout, knockdown, or overexpression). Our analyses included Gene Set Enrichment Analysis, pathway analysis of differentially expressed genes, and identification of individual differentially expressed genes. Our analysis identified consistent gene expression changes associated with lowering Sirt6 levels, including increased expression of immune response and ribosomal protein genes and reduced expression of lipid oxidation and oxidative phosphorylation genes. Extracellular Matrix and E2F target genes also had consistently increased expression upon Sirt6 reduction, highlighting novel regulation by Sirt6. To determine the conservation of gene regulation by Sirt6, we performed additional RNA-Seq meta-analysis on tissues from Drosophila melanogaster with Sirt6 deletion and overexpression. The fly datasets produced similar results to the mammal results, except for lipid oxidation genes, which were found to increase in Sirt6-low conditions. These results provide consensus about conserved and novel pathways transcriptionally regulated by Sirt6.",2026,2026-07-13,10.64898/2026.07.10.735668,42523387,PMC13405160,Arjun Khanna; Roja Sharma; Samira Xhaferi; Ullas Kolthur-Seetharam; Peng Jiang; Jackson Taylor,bioRxiv : the preprint server for biology,Journal Article; Preprint,eng,https://pubmed.ncbi.nlm.nih.gov/42523387/,True,page_0001.xml.gz,,True,False,True,2,genomics;transcriptomics,True,True,True
pubmed,42523338,PLCγ2 deficiency compromises systemic immune tolerance and erodes myelin homeostasis while enhancing oxidative metabolism in the mouse brain.,"Phospholipase C gamma-2 (PLCγ2) catalyzes the hydrolysis of the membrane phosphatidylinositol-4,5-bisphosphate (PIP 2 ) to form diacylglycerol (DAG) and inositol trisphosphate (IP 3 ), feeding into diverse downstream signaling pathways. PLCG2 polymorphisms have been associated with reduced and/or increased risk of Alzheimer's disease (AD) and related dementias, longevity, autoinflammation, and immune disorders. In the brain, PLCγ2 is expressed in microglia, and other neuroimmune and vascular interface populations, yet its role in brain homeostasis remains incompletely defined. We analyzed the brains of three-month-old Plcg2 wild-type (WT), heterozygous (Het KO) and homozygous knockout (Homo KO) littermate mice modeling human PLCG2 loss-of-function risk alleles linked to AD risk using a multiomic approach that included lipidomics, metabolomics, proteomics, and transcriptomics, together with immunofluorescence, as well as flow-cytometric profiling of peripheral and brain-draining immune compartments. Plcg2 deficiency substantially impaired early survival and produced splenomegaly without increasing total spleen cellularity, instead shifting spleen composition toward myeloid/innate-enriched cells and away from B cells, with expansion of age-associated B-cell (ABC-like) subsets and parallel reductions in CD4 and CD8 regulatory T cells in spleen and cervical lymph nodes. Brain lipidomics revealed selective depletion of PIP 2 , despite very low bulk PLCγ2 protein abundance relative to other PLC family members. PLCγ2 loss led to significant reductions in myelin-enriched lipid classes and myelin/paranode-associated proteins, accompanied by compensatory upregulation of oligodendrocyte/myelin genes, and modest shifts in microglial, lysosomal, complement, and oxidative metabolism pathways by NanoString and DIA-MS. Targeted acylcarnitine profiling demonstrated reprogramming of brain oxidative metabolism, with increased short-, medium-, and long-chain acylcarnitines and enrichment of mitochondrial matrix fatty-acid and amino-acid catabolic enzymes in Homo KO brains. Loss of PLCγ2 installs a coordinated program that compromises systemic immune tolerance and subtly erodes central myelin and phosphoinositide homeostasis while enhancing brain oxidative metabolism, effects that extend beyond microglial phagocytic signaling and may underlie increased vulnerability to AD pathology and aging, providing a mechanistic framework for how PLCG2 variation may link systemic immune regulation, white-matter integrity, and neurodegenerative risk. Because constitutive Plcg2 Homo KO mice display high early mortality and intestinal vascular abnormalities, observed phenotypes may reflect developmental compensation and may not fully recapitulate protective human PLCG2 variants.",2026,2026-07-14,10.64898/2026.07.13.738356,42523338,PMC13405013,Eduardo Gutierrez-Kuri; Juliet Lynn Marie Garcia-Rogers; Jaid Perez; Sabrina Smith; Matthew R Kenwood; Kahealani S Archuleta; Yangming Xiao; Gabriela Campos; Savannah Barannikov; Hu Wang; Sammy Pardo; Trevor B Romsdahl; Henry Miller; Ann M Stowe; Russell William; Mark Goldberg; Xianlin Han; Kevin F Bieniek; Susan T Weintraub; Ann V Griffith; Sarah C Hopp; Juan Pablo Palavicini,bioRxiv : the preprint server for biology,Journal Article; Preprint,eng,https://pubmed.ncbi.nlm.nih.gov/42523338/,True,page_0001.xml.gz,,True,True,True,3,metabolomics;proteomics;transcriptomics,True,True,True
pubmed,42521028,From primates to people: Mapping host-microbiome-health relationships in aging.,"The human microbiome profoundly influences host physiology, metabolism, and immune function. A balanced microbial ecosystem supports immune homeostasis and health, whereas dysbiosis contributes to diverse diseases, including metabolic, autoimmune, neurodegenerative, and infectious disorders. Aging, the greatest risk factor for chronic disease, is characterized by hallmarks such as mitochondrial dysfunction, genomic instability, and ""inflammaging,"" a state of chronic low-grade inflammation. Emerging evidence links age-associated microbial dysbiosis to inflammaging and systemic decline, as microbial shifts promote gut barrier dysfunction, increased permeability, and immune activation through translocated microbial metabolites and endotoxins. While most research has focused on the gut, the microbiomes of other tissues, including pulmonary sites, also undergo age-related changes that may influence systemic and neuroinflammatory pathways. However, causality and mechanisms remain unclear. Human studies are limited by ethical and logistical barriers to longitudinal aging studies, and rodent models are limited by microbiomes and immune profiles dissimilar to humans. Nonhuman primates (NHPs), particularly marmosets and macaques, may provide a translational bridge given their evolutionary, physiological, and microbiome similarities to humans. Comparative studies demonstrate greater overlap of gut microbial taxa and shared age-associated microbial trajectories between humans and NHPs as compared to rodents. Moreover, controlled NHP models allow for precise manipulation of diet, environment, and infection to evaluate microbiome-immune-aging interactions. Despite substantial progress, key knowledge gaps persist, including limited longitudinal data, small cohort sizes, lack of standardized methods, and insufficient integration of multi-omic and host phenotypic data. While some supporting evidence already exists, future NHP research should determine if NHP models better recapitulate human age-associated microbial trajectories, immune and inflammatory phenotypes, microbial metabolites, and prediction of intervention responses compared to rodent models. These efforts will inform microbiome-targeted interventions to promote resilience and extend healthspan in aging populations.",2026,2026-07-28,10.1016/j.arr.2026.103278,42521028,,Angélica Olmo-Fontánez; Kelly R Reveles; Riti Sharan; Ian Cheeseman; Kimberley A Phillips; Kolbi L Wolford; Corinna N Ross,Ageing research reviews,Journal Article; Review,eng,https://pubmed.ncbi.nlm.nih.gov/42521028/,False,page_0001.xml.gz,,True,True,True,3,genomics;metabolomics;microbiomics,True,True,True
pubmed,42517028,Epigenetic regulation in osteoarthritis: recent updates and emerging mechanisms.,"Osteoarthritis (OA) is a common chronic degenerative joint disease characterized by progressive cartilage destruction, synovial inflammation, subchondral bone remodeling, and functional decline. Current treatments remain largely symptomatic and are unable to effectively halt or reverse disease progression. Increasing evidence indicates that epigenetic regulation provides a critical link between genetic susceptibility, mechanical loading, inflammation, aging, metabolic abnormalities, and pathological gene expression in OA. This review summarizes recent advances in OA epigenetics, with a particular focus on studies published over the past 2 years. We discuss classical mechanisms, including DNA methylation, histone modifications, and non-coding RNA-mediated regulation, and further highlight emerging epigenomic layers such as chromatin accessibility, enhancer and super-enhancer remodeling, three-dimensional genome organization, tissue-specific regulation, and the integration of genetics with single-cell and spatial multi-omics. These mechanisms contribute to inflammatory activation, chondrocyte metabolic imbalance, extracellular matrix degradation, programmed cell death, cellular senescence, oxidative stress, and abnormal inter-tissue crosstalk. Epigenetic biomarkers and epigenetic-based interventions, including extracellular vesicle-mediated delivery, engineered RNA therapeutics, and small-molecule epigenetic drugs, may offer new opportunities for early diagnosis, disease stratification, and precision therapy. However, current studies are limited by model heterogeneity, sample variability, insufficient causal validation, limited reproducibility, and translational challenges related to delivery and safety. Overall, epigenetic regulation provides a systematic framework for understanding OA heterogeneity and progression and may promote the development of disease-modifying therapeutic strategies.",2026,2026-07-14,10.3389/fgene.2026.1862466,42517028,PMC13405534,Yujin Zhao; Xianwen Liu,Frontiers in genetics,Journal Article; Review,eng,https://pubmed.ncbi.nlm.nih.gov/42517028/,False,page_0001.xml.gz,,True,True,True,3,epigenomics;genomics;transcriptomics,True,True,True
