report_id,work_unit_id,repeat,left_analysis_count,right_analysis_count,both_empty,at_least_one_nonempty,analysis_count_exact,closed_field_multiset_exact,scientific_field_multiset_exact,evidence_atom_union_exact,evidence_atom_jaccard,closed_plus_grounding_exact,all_fields_plus_grounding_exact
doi:10.1007/s11306-023-02022-w,analysis-window-001,1,2,3,False,True,False,False,False,False,0.25,False,False
doi:10.1007/s11306-023-02022-w,analysis-window-001,2,3,3,False,True,True,True,False,False,0.8666666666666667,False,False
doi:10.1007/s11306-023-02022-w,analysis-window-002,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1007/s11306-023-02022-w,analysis-window-002,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1007/s11306-023-02022-w,analysis-window-003,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1007/s11306-023-02022-w,analysis-window-003,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1007/s11306-023-02022-w,analysis-window-004,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1007/s11306-023-02022-w,analysis-window-004,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1016/j.ccell.2024.09.002,analysis-window-001,1,4,3,False,True,False,False,False,False,0.5555555555555556,False,False
doi:10.1016/j.ccell.2024.09.002,analysis-window-001,2,5,4,False,True,False,False,False,False,0.625,False,False
doi:10.1016/j.ccell.2024.09.002,analysis-window-002,1,5,4,False,True,False,False,False,False,0.5,False,False
doi:10.1016/j.ccell.2024.09.002,analysis-window-002,2,6,6,False,True,True,True,False,False,0.5263157894736842,False,False
doi:10.1016/j.ccell.2024.09.002,analysis-window-003,1,2,7,False,True,False,False,False,False,0.5454545454545454,False,False
doi:10.1016/j.ccell.2024.09.002,analysis-window-003,2,2,2,False,True,True,True,False,False,0.75,False,False
doi:10.1016/j.ccell.2024.09.002,analysis-window-004,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1016/j.ccell.2024.09.002,analysis-window-004,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1016/j.ccell.2024.09.002,analysis-window-005,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1016/j.ccell.2024.09.002,analysis-window-005,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1016/j.ccell.2024.09.002,analysis-window-006,1,2,3,False,True,False,False,False,False,0.5454545454545454,False,False
doi:10.1016/j.ccell.2024.09.002,analysis-window-006,2,7,3,False,True,False,False,False,False,0.7272727272727273,False,False
doi:10.1016/j.ccell.2024.09.002,analysis-window-007,1,5,3,False,True,False,False,False,False,0.5,False,False
doi:10.1016/j.ccell.2024.09.002,analysis-window-007,2,6,6,False,True,True,True,False,False,0.5294117647058824,False,False
doi:10.1038/s41413-025-00422-3,analysis-window-001,1,6,8,False,True,False,False,False,False,0.48148148148148145,False,False
doi:10.1038/s41413-025-00422-3,analysis-window-001,2,8,8,False,True,True,True,False,False,0.46875,False,False
doi:10.1038/s41413-025-00422-3,analysis-window-002,1,5,10,False,True,False,False,False,False,0.23809523809523808,False,False
doi:10.1038/s41413-025-00422-3,analysis-window-002,2,7,6,False,True,False,False,False,False,0.46875,False,False
doi:10.1038/s41413-025-00422-3,analysis-window-003,1,3,3,False,True,True,True,False,False,0.5,False,False
doi:10.1038/s41413-025-00422-3,analysis-window-003,2,2,1,False,True,False,False,False,False,0.3333333333333333,False,False
doi:10.1038/s41413-025-00422-3,analysis-window-004,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1038/s41413-025-00422-3,analysis-window-004,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1038/s41413-025-00422-3,analysis-window-005,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1038/s41413-025-00422-3,analysis-window-005,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-001,1,3,3,False,True,True,True,False,False,0.75,False,False
doi:10.1126/sciadv.adu2294,analysis-window-001,2,2,3,False,True,False,False,False,False,0.75,False,False
doi:10.1126/sciadv.adu2294,analysis-window-002,1,4,2,False,True,False,False,False,True,1.0,False,False
doi:10.1126/sciadv.adu2294,analysis-window-002,2,4,4,False,True,True,True,False,True,1.0,True,False
doi:10.1126/sciadv.adu2294,analysis-window-003,1,3,5,False,True,False,False,False,False,0.25,False,False
doi:10.1126/sciadv.adu2294,analysis-window-003,2,3,3,False,True,True,False,False,False,0.7272727272727273,False,False
doi:10.1126/sciadv.adu2294,analysis-window-004,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-004,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-005,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-005,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-006,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-006,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-007,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-007,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-008,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-008,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-009,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1126/sciadv.adu2294,analysis-window-009,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1186/s12967-026-07766-2,analysis-window-001,1,1,3,False,True,False,False,False,False,0.1875,False,False
doi:10.1186/s12967-026-07766-2,analysis-window-001,2,5,3,False,True,False,False,False,False,0.6,False,False
doi:10.1186/s12967-026-07766-2,analysis-window-002,1,4,8,False,True,False,False,False,False,0.625,False,False
doi:10.1186/s12967-026-07766-2,analysis-window-002,2,4,5,False,True,False,False,False,False,0.4583333333333333,False,False
doi:10.1186/s12967-026-07766-2,analysis-window-003,1,5,4,False,True,False,False,False,False,0.5714285714285714,False,False
doi:10.1186/s12967-026-07766-2,analysis-window-003,2,6,5,False,True,False,False,False,False,0.9285714285714286,False,False
doi:10.1186/s12967-026-07766-2,analysis-window-004,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.1186/s12967-026-07766-2,analysis-window-004,2,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.2147/jir.s545622,analysis-window-001,1,2,2,False,True,True,True,False,False,0.45454545454545453,False,False
doi:10.2147/jir.s545622,analysis-window-001,2,2,2,False,True,True,True,False,False,0.5,False,False
doi:10.2147/jir.s545622,analysis-window-002,1,4,5,False,True,False,False,False,False,0.75,False,False
doi:10.2147/jir.s545622,analysis-window-002,2,6,6,False,True,True,False,False,False,0.8888888888888888,False,False
doi:10.2147/jir.s545622,analysis-window-003,1,3,3,False,True,True,False,False,False,0.5,False,False
doi:10.2147/jir.s545622,analysis-window-003,2,3,3,False,True,True,False,False,False,0.45454545454545453,False,False
doi:10.2147/jir.s545622,analysis-window-004,1,0,0,True,False,True,True,True,True,1.0,True,True
doi:10.2147/jir.s545622,analysis-window-004,2,0,0,True,False,True,True,True,True,1.0,True,True
