source,source_record_id,title,abstract,year,publication_date,doi,pmid,pmcid,authors,venue,document_type,language,url,is_preprint,raw_page,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
google_scholar,wu5fjdNTvnEJ,Multi-omic underpinnings of epigenetic aging and human longevity,"… , we use multi-omic methods to comparatively analyze EAA and a multivariate, longevity-… 
Next, we perform cis-instrument Mendelian randomization (MR) of the druggable genome 19 …",2023,2023-01-01,10.1038/s41467-023-37729-w,,,"LA Mavromatis, DB Rosoff, AS Bell, J Jung… - Nature …, 2023","LA Mavromatis, DB Rosoff, AS Bell, J Jung… - Nature …, 2023 - nature.com",,,https://www.nature.com/articles/s41467-023-37729-w,False,google_scholar/page_0001.json.gz,True,True,True,True
google_scholar,3eXGTuUVZ6sJ,"Refining the generation, interpretation and application of multi-organ, multi-omics biological aging clocks","… Phenome-wide BAGs (PhenoBAGs) and ProtBAGs represent two essential aspects of human 
aging and disease causal pathways, connecting genetics→transcriptomics→proteomics (…",2025,2025-01-01,10.1038/s43587-025-00928-9,,,"J Wen - Nature Aging, 2025","J Wen - Nature Aging, 2025 - nature.com",,,https://www.nature.com/articles/s43587-025-00928-9,False,google_scholar/page_0001.json.gz,True,True,True,True
google_scholar,gtfaGJWedm0J,Causal relationship between gut microbiota and ageing: A multi-omics Mendelian randomization study,"… This study aimed to use bidirectional two-sample Mendelian randomization (TSMR) … seven 
aging phenotypes revealed 44 causal relationships between the gut microbiota and aging. …",2025,2025-01-01,,,,"G Zhang, Y Lu, Z Wang, R Ma, H Jin, J Zhang… - Archives of Gerontology …, 2025","G Zhang, Y Lu, Z Wang, R Ma, H Jin, J Zhang… - Archives of Gerontology …, 2025 - Elsevier",,,https://www.sciencedirect.com/science/article/pii/S0167494325000238,False,google_scholar/page_0001.json.gz,True,True,True,True
google_scholar,bZPr4_OYMncJ,Multi-omics interpretation of anti-aging mechanisms for ω-3 fatty acids,"… underlying anti-aging mechanisms of ω-3 … multi-omics data, we performed methylation 
analysis, transcriptome analysis and Mendelian randomization analysis to interpret the anti-aging …",2021,2021-01-01,,,,"SH Xie, H Li, JJ Jiang, Y Quan, HY Zhang - Genes, 2021","SH Xie, H Li, JJ Jiang, Y Quan, HY Zhang - Genes, 2021 - mdpi.com",,,https://www.mdpi.com/2073-4425/12/11/1691,False,google_scholar/page_0001.json.gz,True,True,True,True
google_scholar,hkvf-zBK9JcJ,Multi-omic underpinnings of heterogeneous aging across multiple organ systems,"… Using the SMR and HEIDI analytical framework, we systematically revealed causal interaction 
networks among DNAm sites, gene expression, and protein levels, all of which showed …",2025,2025-01-01,,,,"J Xiong, X Zhu, Y Guo, H Tang, C Dong, B Wang, M Liu… - Cell Genomics, 2025","J Xiong, X Zhu, Y Guo, H Tang, C Dong, B Wang, M Liu… - Cell Genomics, 2025 - cell.com",,,https://www.cell.com/cell-genomics/fulltext/S2666-979X(25)00288-5,False,google_scholar/page_0001.json.gz,True,True,True,True
google_scholar,kUN7ZPz-9DwJ,The emerging role of multiomics in aging research,"… , clarifying how developmental epigenetic insults manifest as age-related disease decades 
later – and how early intervention can delay or even reset biological aging trajectories. …",2025,2025-01-01,10.1080/17501911.2025.2533111,,,"DM Ruden - Epigenomics, 2025","DM Ruden - Epigenomics, 2025 - Taylor & Francis",,,https://www.tandfonline.com/doi/abs/10.1080/17501911.2025.2533111,False,google_scholar/page_0001.json.gz,True,True,True,True
google_scholar,WU8jcyLa8jIJ,"Genetic and epigenetic underpinnings of biological aging: a multi-omics study integrating Mendelian randomization, spatial transcriptomics, and drug target …","… This study provides multi-omics convergent causal evidence for inflammation-driven epigenetic 
aging … To prioritize putative causal genes underlying the genetic associations with aging …",2026,2026-01-01,10.1186/s13148-026-02184-z_reference.pdf,,,"C Zhang, J Zhang - Clinical Epigenetics, 2026","C Zhang, J Zhang - Clinical Epigenetics, 2026 - Springer",,,https://link.springer.com/content/pdf/10.1186/s13148-026-02184-z_reference.pdf,False,google_scholar/page_0001.json.gz,True,True,True,True
google_scholar,OWFZMHgyI9AJ,Multiomics of aging and aging-related diseases,"… Aging, ie, the progressive and irreversible decline in the function of multiple cells and 
tissues… of several diseases through the lens of multiomics: from genome instability and somatic …",2024,2024-01-01,,,,"OI Kiseleva, VA Arzumanian, YA Ikhalaynen… - International Journal of …, 2024","OI Kiseleva, VA Arzumanian, YA Ikhalaynen… - International Journal of …, 2024 - mdpi.com",,,https://www.mdpi.com/1422-0067/25/24/13671,False,google_scholar/page_0001.json.gz,True,True,False,False
google_scholar,skOOvxC7jW0J,Urate-Related Genetic Risk Modulates the Anti-Aging Effects of Exogenous Nucleotides: Multi-Omics Evidence From Older Adults.,"… in aging surveillance and intervention research, providing quantitative measures for assessing 
the anti- aging … DNAmAge and LTL holds great potential for delaying biological aging. …",2026,2026-01-01,,,,"R Fu, S Wang, Y Wu, X Qin, T Huang, Y Li, M Xu - Aging Cell, 2026","R Fu, S Wang, Y Wu, X Qin, T Huang, Y Li, M Xu - Aging Cell, 2026 - europepmc.org",,,https://europepmc.org/article/med/42265534,False,google_scholar/page_0001.json.gz,True,True,True,True
google_scholar,z_a1eSWwq9gJ,Multi-omic deep learning identifies exercise-responsive ageing pathways in humans,"… connect genetic associations to causal, system-level pathways. We introduce the first deep 
learning, multi-omic framework for exercise genomics, unifying causal inference, molecular …",2026,2026-01-01,10.64898/2025.12.26.25343061.abstract,,,"CG Juan, L Ntasis - medRxiv, 2026","CG Juan, L Ntasis - medRxiv, 2026 - medrxiv.org",,,https://www.medrxiv.org/content/10.64898/2025.12.26.25343061.abstract,False,google_scholar/page_0001.json.gz,True,True,True,True
