source,branch,record_id,title,abstract,year,doi,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match,reviewer_retrieval_relevant,reviewer_aging_relevant,reviewer_multiomics_valid,reviewer_formal_causal_basis,reviewer_design_family,reviewer_notes
pubmed,explicit_multiomics,42193482,Multimodal Factor Analysis Reveals Five Robust Phenotypes of Healthy Aging in a Russian Population Cohort.,"Background/Objectives: Population aging necessitates a shift from disease-focused paradigms to a holistic characterization of biological aging processes. While chronological age remains the primary metric, it poorly captures inter-individual variability in physiological resilience and health trajectories. This study aimed to identify robust, multidimensional aging phenotypes independent of chronological age and sex using integrative factor analysis of heterogeneous biomedical data from a Russian cohort-a population underrepresented in aging research. Methods: We analyzed data from 1201 conditionally healthy adults (aged 18-99 years) enrolled in the RUSS AGE study. A comprehensive dataset comprising 118 variables across 11 modalities-including biochemical markers, anthropometry, physical function, cognitive-emotional assessments, lifestyle factors, and psychosocial indicators-was integrated using Multi-Omics Factor Analysis v2 (MOFA2). Following the extraction of 16 latent factors and residualization for demographic confounders, consensus clustering was performed to identify distinct aging phenotypes. Phenotype stability was internally recapitulated using gradient-boosting classifiers (XGBoost, CatBoost) in a stratified five-fold cross-validation and on a held-out test set. Results: MOFA2 identified 16 stable latent factors, explaining 21.3% of the total variance and capturing coordinated variation across metabolic, inflammatory, cardiovascular, cognitive, and behavioral domains. Consensus clustering revealed five reproducible phenotypes-Anemic (n = 82), Metabolically Subcompensated (n = 99), Metabolically Decompensated (n = 304), Overloaded (n = 302), and Balanced (n = 414)-characterized by distinct multisystem profiles independent of age ( p > 0.05 after FDR correction) and sex. Supervised classification achieved high discriminative performance (macro F1-score = 0.75, OvR ROC-AUC = 0.93 on the held-out test set), quantifying the internal reconstructability of the phenotype labels from the original feature space rather than external generalization to an independent cohort. Conclusions: This study demonstrates the feasibility of data-driven, biologically coherent phenotyping of healthy aging using integrative factor analysis. The identified phenotypes represent stable configurations of physiological, functional, and psychosocial characteristics that transcend chronological age, providing a foundation for the future development of risk-stratification tools, preventive interventions, and biological-age calculators, subject to subsequent validation in longitudinal and independent external cohorts.",2026,10.3390/biomedicines14051158,,True,True,True,,,,,,
pubmed,explicit_multiomics,42249421,"Multi-omics and experimental evidence in human chondrocytes identify caspase-8 as a non-apoptotic regulator of inflammatory, senescent, and fibrotic signaling in osteoarthritis.","Osteoarthritis (OA) is characterized by chronic inflammation, cellular senescence, and progressive cartilage remodeling, yet effective disease-modifying therapeutic targets remain limited. Caspase-8 has classically been regarded as a key initiator of the extrinsic apoptotic pathway; however, accumulating evidence suggests that it exerts broad non-apoptotic regulatory functions in a highly context- and cellular state-dependent manner. Here, we systematically investigated the role of caspase-8 in OA pathogenesis and its therapeutic potential. We integrated bulk RNAseq, single-cell RNAseq, and spatial transcriptomics databases, in vitro genetic knockdown, inhibitor titration, caspase activity assays and functional assays, quantitative proteomics, in silico protein-protein docking analysis and population-level causal inference using two-sample Mendelian randomization (MR) and SMR/HEIDI analyses to construct and validate a caspase-8-centered regulatory network in human OA chondrocytes. Across two independent transcriptomic cohorts (GSE168505 and GSE246425), the Death-Inducing Signaling Complex (DISC)-caspase-8 axis and a caspase-8 activation signature were significantly upregulated in osteoarthritic cartilage and in senescent (late passage) OA chondrocytes, and were strongly associated with inflammatory and senescence-related programs. Additional analyses of aging, murine destabilization of the medial meniscus (DMM), and spatial transcriptomic datasets (GSE287861, GSE26475, and GSE254844) highlighted context-dependent CASP8 patterns, including senescence- but not inflammation-associated CASP8 elevation in naturally aged cartilage, no consistent CASP8 expression or activation-score increase after DMM surgery, and regionally heterogeneous CASP8 distribution across cartilage zones. Single-cell RNA sequencing (GSE255460) localized these signatures to OA-expanded inflammatory and fibrocartilage-like chondrocyte subpopulations, in which high CASP8 gene expression defined a distinct transcriptional state characterized by suppression of hyaline cartilage matrix and metabolic programs, together with enrichment of TNFα/interferon and TGF-β-associated inflammatory-fibrotic signaling. CASP8-high chondrocytes also displayed altered inferred ligand-receptor communication, particularly involving extracellular matrix-, adhesion-, and growth factor-related interactions. Stratification by caspase-8 activation potential recapitulated these transcriptional features and revealed induction of senescence-associated secretory phenotype (SASP) programs across multiple chondrocyte lineages. Functionally, pharmacological inhibition of caspase-8 with Z-IETD-FMK improved metabolic activity, reduced cellular senescence and MMP-13 secretion without inducing apoptosis, and partially restored proliferation and migration in OA chondrocytes under inflammatory conditions, with less effects in non-OA cells and no effects in siRNA mediated CASP8 knocked down cells. Quantitative proteomics demonstrated that caspase-8 inhibition attenuated inflammatory, senescence, and canonical NF-κB signaling without suppressing apoptosis, while reshaping proteostasis-chromatin regulatory networks and dampening fibrocartilage-like matrix remodeling. In silico protein-protein docking further showed favorable predicted binding affinities between caspase-8 and selected proteomically altered candidates, such as TGF-β3 and MMP13. Finally, MR and SMR/HEIDI analyses supported CASP8 as a causal risk regulator for knee OA, influenced by multi-tissue expression and epigenetic regulation. Collectively, our findings identify caspase-8 as a central non-apoptotic signaling hub that couples inflammatory-senescence circuits with fibrotic remodeling in chondrocytes. Consequently, caspase-8 represents a promising genetic and pharmacological therapeutic target, warranting further drug development and translational investigation.",2026,10.1186/s12964-026-02985-y,epigenomics;proteomics;transcriptomics,True,True,True,,,,,,
pubmed,explicit_multiomics,41709913,"15 years of longitudinal genetic, clinical, cognitive, imaging, and biochemical measures in DIAN.","The Dominantly Inherited Alzheimer Network Observational Study (DIAN Obs) is a longitudinal, global cohort study investigating brain aging and autosomal dominant Alzheimer's disease (ADAD), a rare monogenic form of Alzheimer's disease (AD). Established in 2008 with support from the National Institute on Aging (NIA), DIAN Obs is designed to collect comprehensive and uniform data with the aim to characterize brain biology and clinical trajectory of individuals at risk for ADAD. Mutations in the amyloid protein precursor ( APP ), presenilin 1 ( PSEN1 ), or presenilin 2 ( PSEN2 ) genes cause ADAD with virtually full penetrance and a predictable age at symptomatic onset. Participants, both mutation carriers and non-carriers from affected families, undergo longitudinal clinical and cognitive assessments, neurologic and physical examinations, structural and functional neuro-imaging, and amyloid and tau positron emission tomography (PET). Biospecimens include cerebrospinal fluid, plasma, serum, and whole blood for biochemical, genetic and multi-omic analyses, with brain donation upon death. This dataset enables one of the most detailed longitudinal examinations of the human brain across the continuum from presymptomatic to symptomatic AD. The extensive DIAN Obs data and biospecimen repository provides a globally accessible resource to advance understanding of AD pathophysiology, aging, and the development of preventive and therapeutic interventions.",2026,10.1038/s44400-025-00047-7,,True,True,True,,,,,,
pubmed,explicit_multiomics,41716845,Hydrogen Sulfide: A Multitarget Therapeutic for Neuroinflammation in Neurodegenerative Diseases.,"Neurodegenerative diseases (NDDs) are characterized by the progressive degeneration of specific neuronal populations, remain incurable, and impose an escalating global health burden due to aging populations. While therapeutic options had expanded in recent years, their overall efficacy remained limited. Neuroinflammation emerged as a central factor in the pathogenesis of NDDs. Hydrogen sulfide (H 2 S), an endogenous gasotransmitter known for its potent anti-inflammatory properties, gained attention as a potential therapeutic agent. This review provided a comprehensive overview of the role of neuroinflammation in NDDs, elucidated the molecular mechanisms through which H 2 S exerted its anti-inflammatory effects, and discussed recent advancements and potential clinical applications. Special emphasis was placed on the modulation of glial activity, disruption of the blood-brain barrier, regulation of the gut-brain axis, and the interplay between mitochondria and inflammasomes. Furthermore, the review integrated preclinical data on dose-exposure-response relationships to define the therapeutic window of various H 2 S donors. It also explored the potential of spatial multiomics and microbiota-targeted approaches to facilitate more precise H 2 S-based interventions. These insights provide important scientific merit for elucidating the mechanisms of NDDs and hold urgent practical relevance for developing novel therapeutics to mitigate disease progression.",2026,10.34133/research.1107,,True,True,True,,,,,,
pubmed,explicit_multiomics,41508505,From mechanism to application: Harnessing oxidative stress signaling for innovative food design.,"As a central pathological process in aging and chronic diseases, oxidative stress (OS) stems from redox imbalance and propagates cellular damage through tightly linked signaling networks. Traditional functional food approaches, which focus on single-pathway interventions, fail to counter the complex crosstalk and compensatory adaptations seen in OS-related pathologies. In this article, we provide a systematic analysis of six key signaling pathways, namely Nrf2/ARE, FOXO, NF-κB, p53, SIRT1, and AMPK, and delineate their hierarchical structure and functional interactions in modulating antioxidant defense, metabolic reprogramming, and cell fate. We advocate for a multi-pathway synergistic strategy, rooted in rational systemic nutrition, to achieve coordinated control over redox balance, inflammatory responses, and metabolic homeostasis, thereby delivering efficacy beyond conventional single-target paradigms. To tackle persistent challenges such as nonlinear dose responses and interspecies metabolic variation, we propose a data-driven design framework that combines computational prediction, physiologically based pharmacokinetic modeling, and spatiotemporally precise nutrient delivery systems. Integrated with deep learning and human-relevant validation platforms, for instance organ-on-a-chip technology and multi-omics profiling, this framework accelerates the creation of personalized functional foods suited to individual physiological requirements. Our findings establish a theoretical basis for network-based nutritional design, driving the evolution of functional foods from empirical recipes to precision tools for systemic health restoration.",2025,10.1016/j.foodres.2025.118093,,True,True,True,,,,,,
pubmed,explicit_multiomics,41843355,Gut Microbiota Resilience and Environmental Stressors: A Hidden Key to Lifespan Optimization?,"Gut microbiota resilience, the capacity of intestinal microbial communities to resist, adapt, and recover from perturbations has emerged as a critical determinant of human health and longevity. Environmental stressors such as antibiotics, pollutants, poor diet, infections, and psychosocial stress challenge this resilience, often leading to dysbiosis (a sustained disruption of microbial community structure and/or function), impaired metabolism, chronic inflammation, and increased disease susceptibility across the lifespan. While dysbiosis has been extensively studied, the resilience dimension remains underexplored, particularly in the context of cumulative and repeated stress exposures. This narrative review explores microbial resilience, identifying environmental disruptors, and their manifestation at life stages, highlighting its hidden yet crucial role in optimizing lifespan. We critically evaluate the consequences of reduced resilience for chronic disease, frailty, and therapeutic response, while emphasizing the protective roles of diversity, functional redundancy, and host-microbe feedback loops. Translational strategies including dietary modulation, microbial therapeutics, behavioral interventions, and precision tools such as multi-omics and biosensors, are assessed for their potential to strengthen resilience and promote healthy aging. By reframing gut microbiota resilience as both a biological property and a public health target, this work advances a novel perspective: that fostering resilience may mitigate environmental insults, personalize interventions, and extend healthspan.",2026,10.1007/s12602-026-10976-1,microbiomics,True,True,True,,,,,,
pubmed,explicit_multiomics,42102994,Multi-omics identification of aging-related diagnostic genes and therapeutic targets in renal fibrosis.,"Renal fibrosis is a pathological hallmark of progressive chronic kidney disease, partly driven by aging-related molecular alterations. However, clinically relevant diagnostic biomarkers and therapeutic targets remain limited. We integrated four GEO datasets (GSE76882, GSE65326, GSE22459, GSE7392) to identify aging-related differentially expressed genes (DE-ARGs) in renal fibrosis. Functional enrichment, GSEA, and GSVA were performed to explore biological pathways. A total of 108 machine learning models were constructed to identify optimal diagnostic signatures. Immune infiltration (CIBERSORT), single-cell RNA sequencing (GSE269062), drug-target enrichment, molecular docking, and Mendelian randomization (MR) were used to evaluate key genes. Experimental validation was conducted using RT-PCR and immunohistochemistry in the UUO-induced renal fibrosis mouse model. We identified 84 DE-ARGs enriched in inflammatory, senescence-related, and transcriptional pathways. A 7-gene diagnostic model (MMP7, AGR2, RASSF5, AHR, HIF1A, AXL, PTTG1), constructed using Random Forest and Elastic Net, showed strong predictive performance (AUC = 0.790-0.917). These genes were significantly associated with T cells and macrophages. Single-cell analysis revealed cell-type specificity, such as MMP7 in collecting duct cells and AHR in macrophages. Drug-target analysis identified 1-(5-deoxypentofuranosyl)-5-fluoropyrimidine-2,(1H,3H)-dione as a potential multitarget agent. Molecular docking confirmed stable binding. RT-PCR and IHC confirmed significant upregulation of model genes, especially LCN2. MR further supported LCN2 as a causal plasma protein for renal fibrosis. We identified and validated a robust aging-related diagnostic gene signature for renal fibrosis using integrated bioinformatics and experimental approaches, offering novel insights and actionable targets for future intervention.",2026,10.1016/j.cca.2026.121058,transcriptomics,True,True,True,,,,,,
pubmed,explicit_multiomics,42163256,The tissue-specific effects of glucose-lowering drug targets on aging mediated through DNA methylation: a multi-omics genetic study.,"DNA methylation plays a key role in mediating the anti-aging effects of glucose-lowering drugs. This study aims to systematically explore the potential anti-aging effects of target genes of FDA-approved glucose-lowering drugs and the underlying epigenetic mediators. We conducted a two-sample Mendelian randomization (MR) study to investigate the putative causal relationships between the gene expression levels of glucose-lowering drug targets and 10 aging-related phenotypes, followed by a two-step MR to estimate the mediation effect of DNA methylation. Drug candidates were selected according to the latest review of clinical drug use for type 2 diabetes, and their target genes were obtained from the DGIdb. Tissue-specific cis-expression quantitative trait loci (eQTLs) from GTEx Consortium were selected as genetic instruments to proxy the expression level of drug-target genes. Glycemic phenotypes were used as positive controls to validate the instruments. The cis- and trans-methylation QTLs of Cytosine-phosphate-Guanine sites near the drug target genes were obtained from GoDMC Consortium. Additionally, we performed enrichment analyses focused on tissue specificity and aging pathways to further corroborate our findings. We obtained 194 target genes interacting with 36 FDA-approved anti-diabetic drugs, of which the tissue-specific eQTLs were used to proxy the drug target effects. MR showed strong evidence that nine interacting genes of six glucose-lowering drugs showed anti-aging potential on one or more aging-related phenotypes mediated by DNA methylation: EHMT2, HSPA4, IGF2BP2, IRS1, LPL, NDUFAF1, NDUFS3, SLC22A3, and TCF7L2. These genes were distributed in 17 tissues, especially in the central nervous system, suggesting a potential neural component in their anti-aging effects. For instance, expression of EHMT2 in several brain basal ganglia regions, where the gene interacted with Tolazamide, showed a protective effect on frailty (odds ratio (OR) in caudate = 1.02, 95%CI = 1.01-1.04, FDR adjusted P = 1.69 × 10 -2 ; OR in putamen = 1.02, 95% CI = 1.01-1.03, P FDR = 3.37 × 10 -2 , OR in nucleus accumbens = 1.02, 95% CI = 1.01-1.04, P FDR = 3.37 × 10 -2 ). These associations were externally validated by searching literature evidence in existing EWAS and TWAS studies, as well as evidence from enrichment analyses. This study prioritizes nine glucose-lowering genes as anti-aging drug targets in specific tissues and prioritizes their epigenetic regulation through DNA methylation for future drug development.",2026,10.1186/s12916-026-04869-x,epigenomics;genomics;transcriptomics,True,True,True,,,,,,
pubmed,explicit_multiomics,41694382,Molecular mechanisms of skeletal muscle fibrosis and potential targeted therapeutic strategies.,"Skeletal muscle fibrosis is a pathological process characterized by excessive deposition of extracellular matrix (ECM). It commonly occurs in various diseases such as muscular dystrophy, aging, cancer cachexia, and muscle injury. This condition leads to destruction of muscle structure, loss of function, and impaired regeneration, significantly affecting patients' quality of life. This review systematically summarizes the molecular mechanisms underlying skeletal muscle fibrosis. Key signaling pathways include transforming growth factor-beta (TGF-β)/Smad, yes-associated protein/transcriptional coactivator with PDZ-binding motif (YAP/TAZ), inflammation and immune regulation, oxidative stress, and microRNA-mediated regulation. The roles of fibro/adipogenic progenitors (FAPs), macrophages, and myofibroblasts in this process are also discussed. Among these, the TGF-β/Smad pathway acts as a central driver of fibrosis by promoting the differentiation of FAPs into myofibroblasts and stimulating ECM synthesis. YAP/TAZ integrates mechanical and biochemical signals, further amplifying the fibrotic response. Inflammation, oxidative stress, and epigenetic regulators such as miRNAs and lncRNAs also contribute through complex networks. Regarding therapeutic strategies, this article highlights various interventions including pharmacological inhibition (e.g., TGF-β inhibitors, angiotensin-converting enzyme inhibitors/angiotensin II receptor blockers (ACEIs/ARBs), antioxidants), gene- and RNA-targeting therapies (e.g., miRNA mimics or inhibitors), cell-based therapies (e.g., Mesenchymal Stem Cells (MSCs)), biological agents (e.g., anti-connective tissue growth factor (CTGF) antibodies), as well as physical and nutritional interventions (e.g., electroacupuncture, magnetic stimulation, natural compounds). These approaches demonstrate strong anti-fibrotic potential by modulating ECM metabolism, the immune microenvironment, and cellular behaviors. However, current research still faces challenges such as disease heterogeneity, optimal treatment timing, drug delivery issues, and long-term safety concerns. Therefore, future studies should focus on developing highly specific targeted therapies, integrating multi-omics technologies and imaging assessments, and advancing personalized combination strategies to ultimately achieve effective prevention and treatment of skeletal muscle fibrosis.",2026,10.3389/fimmu.2026.1714238,,True,True,True,,,,,,
pubmed,explicit_multiomics,41665703,Integration of Multi-Omics and Machine Learning Identifies TGFB1 and SERPINE1 as Biomarkers of Vascular Smooth Muscle Cell Senescence in Intracranial Aneurysms.,"Intracranial aneurysms (IAs) are severe cerebrovascular disorders lacking effective gene therapy or pharmacological interventions. Vascular smooth muscle cell (VSMC) senescence has been associated with various cardiovascular and cerebrovascular diseases; however, its role in IA pathogenesis remains unexplored, and the key regulatory genes remain unidentified. By integrating multi-omics data, machine learning, and experimental validation, we identified two senescence-associated genes (SAGs) that may serve as VSMC senescence biomarkers in IAs. We integrated single-cell RNA sequencing data from a mouse elastase-induced IA model (GSE193533) with human bulk RNA sequencing and microarray datasets to investigate VSMC senescence in IA. Our analyses included cell clustering, cell-cell communication, differential expression, functional enrichment, pseudotime trajectory inference, and high-dimensional weighted gene co-expression network analysis (hdWGCNA). Machine learning identified candidate SAGs, which were validated using external datasets and immunohistochemical analysis of human IA tissues. Single-cell analysis of the mouse IA model revealed 26 clusters across 10 cell types, with IA samples showing VSMC depletion, immune cell enrichment, and fibroblast expansion. VSMCs were categorized into five subsets (VSMC1-5), with the extracellular matrix remodeling and synthetic-inflammatory subtype (VSMC1) significantly increased. Differential expression analysis of VSMCs intersecting with senescence-associated genes from the Aging Atlas database identified 159 SAGs enriched in inflammatory and apoptotic pathways. Integrating hdWGCNA and bulk transcriptomics identified 45 key SAGs. TGFB1 and SERPINE1 emerged as robust biomarkers of senescence-associated VSMCs, showing high diagnostic accuracy (AUC > 0.75) and upregulation in IA tissues. Our study provides new insights into the pathological mechanisms of intracranial aneurysms. VSMC senescence may contribute to IA progression. TGFB1 and SERPINE1 may serve as biomarkers and promising therapeutic targets for VSMC senescence in IA. However, their specific mechanisms require further investigation and validation.",2026,10.1007/s12975-026-01419-8,transcriptomics,True,True,True,,,,,,
