source,source_record_id,title,abstract,year,publication_date,doi,pmid,pmcid,authors,venue,document_type,language,url,is_preprint,raw_page,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
europepmc,MED:42343471,"Genetic and epigenetic underpinnings of biological aging: a multi-omics study integrating Mendelian randomization, spatial transcriptomics, and drug target discovery.","Inflammaging represents a hallmark of biological aging, yet the causal inflammatory mediators driving multi-dimensional epigenetic aging and their effector genes remain poorly characterized at the genetic level. We developed a four-tier analytical framework integrating causal screening, multi-omics effector gene mapping, spatial transcriptomics, and drug target evaluation. Two-sample Mendelian randomization (MR) of 91 circulating inflammatory proteins against six aging phenotypes identified IL-12B, IFNG, and IL-2 as the most robust pro-aging mediators with consistent effects across independent outcomes. Using multi-omics summary-based MR (SMR) as the core analytical engine, we integrated four-layer whole-blood molecular QTL resources eQTL (eQTLGen, n = 31,684), sQTL (GTEx, n = 755), pQTL (INTERVAL + SCALLOP, n = 34,232), and mQTL (McRae et al., n = 1,980) - with GWAS summary statistics for four epigenetic age acceleration measures. At a stringent threshold (P_SMR < 1×10⁻¹²), seven high-confidence effector genes were identified: NHLRC1, TPMT, SELP, and RIPPLY3 for IEAA; ZNF373A and PLDN for HannumAA; and EDARADD for PhenoAA. The chromosome 6p21 NHLRC1-TPMT locus, overwhelmingly driven by methylation QTL signals (-log₁₀P = 26.06), emerged as the dominant genetic node of epigenetic aging. Spatial projection via gsMap onto a mouse E16.5 embryo atlas (121,767 cells) revealed preferential enrichment in smooth muscle and lung, with EDARADD showing marked specificity in mucosal epithelium. Cross-database drug target mining classified TPMT and SELP as repurposable known targets and NHLRC1 as a high-priority novel druggable candidate. This study provides multi-omics convergent causal evidence for inflammation-driven epigenetic aging and delivers genetically anchored targets for precision anti-aging intervention.",2026,2026-06-24,10.1186/s13148-026-02184-z,42343471,,"Zhang C, Zhang J.",,Journal Article,eng,https://europepmc.org/article/MED/42343471,False,page_0001.json.gz,True,True,True,True
europepmc,MED:42129562,Sleep chart of biological ageing clocks in middle and late life.,"Optimal sleep has a vital role in promoting healthy ageing and enhancing longevity. Here we propose Sleep Chart to assess the relationship between self-reported sleep duration and 23 biological ageing clocks derived from in vivo imaging 1 , plasma proteomics 2 and metabolomics 3 . First, a systemic, U-shaped pattern emerges between sleep duration and biological age gaps across nine brain and body systems and three omics technologies. The sample-specific lowest biological age gaps are achieved between 6.4 and 7.8 h of sleep duration, varying by organ and sex in the UK Biobank (aged 37-84 years). Furthermore, short ( 8 h) sleep duration, compared with a normal sleep duration (6-8 h), are associated with increased risk of systemic diseases beyond the brain and all-cause mortality, with evidence from genetic correlations and time-to-incident survival predictions, such as depression and diabetes. Finally, the pathways by which long and short sleep duration are associated with late-life depression differ: ageing clocks may partially mediate the pathway for long sleep duration, while short sleep duration shows a more direct link. Although Mendelian randomization does not provide strong evidence that disease causally affects sleep, it cannot completely exclude such reverse causality. Our findings suggest a cross-organ, multi-omics U-shaped relationship between sleep duration and biological ageing clocks, highlighting the potential of sleep optimization to promote healthy ageing, lower disease risk and extend longevity.",2026,2026-05-13,10.1038/s41586-026-10524-5,42129562,,"MULTI Consortium, O'Toole CK, Song Z, Anagnostakis F, Yang Z, Tian YE, Duggan MR, Zou C, Leng Y, Cai Y, Bai W, Fu CHY, Rafii MS, Aisen P, Wang G, De Jager PL, Zeng J, Oh HS, Zhou X, Walker KA, Belsky DW, Zalesky A, Simonsick EM, Resnick SM, Ferrucci L, Davatzikos C, Wen J.",,Journal Article,eng,https://europepmc.org/article/MED/42129562,False,page_0001.json.gz,True,True,True,True
europepmc,MED:41992042,Organelle resilience as a comparative blueprint for longevity.,"The past decade has defined molecular hallmarks of aging, yet interventions that extend lifespan in short-lived organisms show limited and context-dependent translation to humans. Comparative studies of exceptional longevity remain largely genome-centric, although genomic instability alone cannot comprehensively explain aging-related pathologies. Many age-associated failures emerge at the level of cellular organelles whose stability underpins tissue function. The pathways that sustain these structures operate through proteomic, metabolic, and lipid networks that are insufficiently captured by genomic or transcriptomic analyses. Notably, longer organismal lifespan increases the requirement for sustained organelle functionality and fidelity. This Perspective proposes that the next conceptual advance in geroscience will come from comparative organelle biology. Examining mammals with divergent lifespans, including species evolutionarily closer to humans, can reveal how long-lived lineages evolved organelle-level architecture and resilience mechanisms that support cellular function over decades. I introduce the Comparative Metabolic Longevity Cell Atlas (CMLCA), a cross-mammalian platform integrating standardized cellular systems, organelle-resolved multi-omics, and computational analysis to identify conserved features of resilience and inform next-generation strategies to improve human healthspan.",2026,2026-04-16,10.1038/s44321-026-00428-2,41992042,PMC13179335,Cikes D.,,review-article; Review; Journal Article,eng,https://europepmc.org/article/MED/41992042,False,page_0001.json.gz,True,True,True,True
europepmc,MED:42295090,Integrating AI and Causal Genetics to Prioritize Therapeutic Targets for Aging and Age-Related Diseases.,"Aging is increasingly viewed as a pathological process and a principal driver of diverse age-related diseases (ARDs). Framing aging as a disease offers an opportunity to identify therapeutic targets capable of modifying multiple chronic disorders simultaneously. Here, we developed an artificial intelligence (AI)-driven target discovery framework that integrates large-scale multi-omic datasets to prioritize therapeutic targets shared between aging and 12 ARDs spanning four major disease areas: neurological, inflammatory, metabolic, and fibrotic disorders. We identified 29 high-confidence and 16 previously unrecognized aging-associated targets implicated across the selected disease areas, together with convergent pathway perturbations characterized by robust upregulation of interferon and inflammatory signaling, alongside coordinated downregulation of MYC-driven proliferative programs, consistent with heightened inflammatory activation and reduced anabolic activity during aging. Age-dependent transcriptomic alterations across tissues were observed for all identified target genes. Hallmarks of aging assessment revealed chronic inflammation as the most enriched hallmark across aging and ARDs. Mendelian randomization analyses provided genetic causal support for IL6, IL6R, NLRP3, NOS2, TLR4, and GLP1R in aging-related traits and multiple ARDs, highlighting potential opportunities for drug repurposing. Co-localization analyses suggested that the same genetic variants influencing IL6R expression are also associated with parental survival, a proxy for human lifespan, supporting a role for IL-6 signaling in longevity, and indicated a shared genetic signal at the NOS2 locus associated with rheumatoid arthritis risk. Together, our findings outline a scalable AI-guided multi-omic framework for identifying causal and repurposable therapeutic targets for aging and ARDs.",2026,2026-06-12,10.14336/ad.2026.0356,42295090,,"Leung GHD, Chen J, Ergun IA, Izumchenko E, Aliper A, Ren F, Pun FW, Zhavoronkov A.",,Journal Article,eng,https://europepmc.org/article/MED/42295090,False,page_0001.json.gz,True,True,True,True
europepmc,MED:42394776,Genetic and biological determinants of pulmonary embolism: Insights from Mendelian randomization studies.,"Pulmonary embolism (PE) is a common and potentially fatal thromboembolic disease contributing to a major global public health burden. Its pathogenesis involves multiple hemodynamic, inflammatory, metabolic, and genetic factors. The multifactorial nature of PE makes it difficult to infer the direct effects of risk factors using conventional statistical approaches because of potential confounding and reverse causality. Mendelian randomization (MR) uses genetic variants as instrumental variables to strengthen causal inference. This narrative review synthesizes the available MR literature concerning potential causative factors of PE, with particular emphasis on genetic and biological pathways. MR evidence suggests that matrix metalloproteinases (MMP)-19 may be associated with increased PE susceptibility, whereas MMP-12 may be associated with decreased susceptibility. Impaired kidney function showed a positive association with PE risk, and reduced HLA-DR + NK cell traits were linked to PE pathogenesis. Among gut microbiota, Clostridium innocuum was associated with increased PE risk, whereas Butyricicoccus and Actinobacteria showed protective associations. No consistent causal associations were identified for type 2 diabetes, atrial fibrillation, or epigenetic age acceleration. Larger multiethnic studies integrating multi-omics data are needed to clarify mechanisms underlying PE pathogenesis.",2026,2026-06-20,10.5493/wjem.v16.i2.121046,42394776,,"Desai R, Patel D, Prasad A, Mandalapu N, Nagarajan J, Guddeti A, Khatri S, Shahnawaz W, Aleem A, Mohammed AS, Yasmeen U, Ghani MU.",,Review; Journal Article,eng,https://europepmc.org/article/MED/42394776,False,page_0001.json.gz,True,True,True,True
europepmc,MED:42218715,StackAge: an ensemble-based clock for precise quantification of biological age using multi-omics data.,"Accurate quantification of biological age is essential for early risk stratification and intervention of chronic diseases. Here, we present StackAge, an ensemble-based biological aging clock that integrates large-scale plasma proteomic and metabolomic profiles from 30 376 participants in the UK Biobank. StackAge demonstrated high accuracy in age prediction (Pearson r ≈ 0.93 with chronological age) and substantially enhanced risk prediction for 12 chronic diseases, achieving AUCs exceeding 0.90 for type 2 diabetes, Alzheimer's disease, and chronic kidney disease. Notably, the incorporation of estimated aging rates consistently improved disease prediction beyond conventional omics and demographic features. Feature interpretation and pathway enrichment analyses revealed that aging-associated biomarkers were enriched in inflammation, metabolic stress, and extracellular matrix remodeling pathways. Mediation analysis further indicated that modifiable lifestyle factors may accelerate biological aging, thereby increasing susceptibility to cardiovascular, neurological, immune, and musculoskeletal disorders. Together, these findings establish a robust multi-omics framework for quantifying individual aging trajectories and highlight biological age as a clinically actionable indicator for precision prevention and health management of age-related diseases.",2026,2026-05-01,10.1093/bib/bbag271,42218715,PMC13222527,"Jiang Y, Jia L, Fei Y, Li X, Zheng X, Qin Y.",,research-article; Journal Article,eng,https://europepmc.org/article/MED/42218715,False,page_0001.json.gz,True,True,True,True
europepmc,PPR:PPR1258280,Causally-anchored multi-omic deep learning recovers exercise-responsive and ageing-causal genes from human physical activity,"Physical activity is among the most robust epidemiological correlates of reduced mortality and multi-morbidity, yet the molecular mechanisms through which exercise exerts these effects in humans remain incompletely resolved. This study combines causally-anchored multi-omic Mendelian Randomisation (MR) with graph-based deep learning for gene prioritisation in human exercise-ageing biology, using accelerometer-derived vigorous physical activity (VPA) in the UK Biobank as exposure. Combining multi-omic MR across five molecular layers, it asks whether causal inference and deep learning can recover exercise-responsive and potentially ageing-causal genes that were independently identified in prior studies. Enrichment for experimentally exercise-responsive genes was undetectable in the raw MR signal (p = 0.97) yet was recovered by the graph model (p = 0.007, reproducible across all initialisations); and the convergence between VPA MR-anchored and ageing-causal genes (significant on its own at 1.6-fold; p = 0.023) was likewise recovered by the graph model where p-value and effect-size ranking could not. The model further reproduced established acute exercise-responsive immune and lipid-metabolic programmes, supporting its recovery of genuine signal. Extending the prioritised genes to formal causal testing, systematic cis-MR with colocalisation across the eight convergent genes and four ageing outcomes identified cathepsin F ( CTSF ) as causally associated with exceptional longevity, with concordant positive estimates in the protein and LD-clumped expression arms and colocalisation support at the protein level. The contribution is therefore twofold: a model-free, like-for-like convergence between exercise-anchored and ageing-causal genes; and a graph-based method that recovers this convergence, together with exercise-responsive biology, beyond the reach of per-gene MR ranking. Abstract Figure Graphical abstract This study introduces a causally-anchored deep learning approach to integrating multi-omic human data. The analytical pipeline begins with an exome-wide association study (ExWAS) and Mendelian randomisation (MR) with vigorous activity as exposure and omics markers as outcomes. MR serves as a causal anchor to prioritise genes from features derived across five molecular layers: CpG methylation, bulk and single-cell gene expression, protein levels, and glycan traits. These causally-anchored priors are unified within a supervised graph attention network (GAT) that integrates a protein-protein interaction network to learn a systems-level representation of the exercise-ageing axis. The model’s prioritised genes are then tested for statistical overlap with two independently derived reference sets: exercise-responsive genes (from an independent multi-omic human exercise study) and potentially ageing-causal genes (CpGs causal for ageing by epigenome-wide MR, mapped to genes). The analysis demonstrates that the graph model recovers enrichment for both reference sets that is not detectable in the raw MR signal. Created with Biorender.co",2026,2026-01-05,10.64898/2025.12.26.25343061,,,"Juan CG, Ntasis L.",,Preprint,,https://europepmc.org/article/PPR/PPR1258280,True,page_0001.json.gz,True,True,True,True
europepmc,MED:41220585,Investigating the causal role of cellular senescence-related genes in preeclampsia: a multi-omics Mendelian randomization study with differential expression analysis.,"Background The causal role of cellular senescence in preeclampsia pathogenesis is not fully established. This study aimed to systematically prioritize key senescence-related genes potentially driving preeclampsia using a Mendelian randomization (MR) framework. Results We integrated genome-wide association studies (GWAS) of preeclampsia with expression, methylation, and proteomic quantitative trait loci (eQTLs/mQTLs/pQTLs) data for 866 senescence-related genes. Summary-data-based MR (SMR) coupled with the HEIDI (Heterogeneity in Dependent Instruments) test were used to assess causal associations and pleiotropy. Colocalization analysis evaluated shared genetic variants between QTLs and preeclampsia GWAS signals. Significant MR findings were explored for replication in an independent GWAS cohort (GCST90301704). Preliminary experimental support involved RT-PCR analysis of candidate genes in placental tissues from 10 preeclampsia patients and 5 gestational age-matched (34-38 weeks) healthy controls. Integration of SMR/HEIDI tests and colocalization (PPH4 > 0.5) prioritized 12 eQTLs, 62 mQTLs, and 2 pQTLs linked to preeclampsia. mQTL-eQTL analysis implicated methylation-regulated expression of ATG16L1 , PMVK , and MAP3K14 , offering valuable hypotheses for mechanistic studies. Conclusion Placental RT-PCR showed upregulated ATG16L1 and downregulated PMVK , MAP3K14 , NSUN2 , and CDC25A in preeclampsia. Key genes ( ATG16L1 , PMVK , MAP3K14 , NSUN2 , CDC25A ) link cellular senescence to preeclampsia, offering insights for mechanistic studies and therapeutic targeting.",2025,2025-10-27,10.3389/fendo.2025.1661666,41220585,PMC12597756,"Zhu H, Yu Y, Wang J, Wang C, Liu Z, Zhang X, Hu R, Gu W.",,research-article; Journal Article,eng,https://europepmc.org/article/MED/41220585,False,page_0001.json.gz,True,True,True,True
europepmc,MED:42204731,Multi-omics pleiotropic association analyses reveal functionally relevant genes and druggable pathways for ovarian aging.,"Background Ovarian aging, marked by the gradual decline in both the number and quality of oocytes, significantly impacts women's reproductive lifespan and overall health. However, the biological mechanisms driving ovarian aging remain poorly understood and current treatment strategies are limited. Results We perform an integrative analysis using multi-omics summary data and genome-wide association studies for ovarian aging to identify molecular traits linked to ovarian aging. By applying Mendelian randomization and cross-omics association approaches, we prioritize key proteins, gene expressions, splicing events, and metabolites. Our analysis identifies conservation of key genes across species and cell types, with the mismatch repair gene MSH6 (MutS Homolog 6) emerging as a consistently prioritized candidate. Experimental validation shows that targeting DNA repair through PD-L1 (Programmed Death-Ligand 1) blockade may offer a potential therapeutic strategy to delay ovarian aging. Conclusions This study uncovers the multi-layered genetic and molecular architecture underlying ovarian aging. The identified molecular traits provide promising candidates for functional studies and suggest new avenues for developing therapies aimed at preserving ovarian function and preventing age-related decline.",2026,2026-05-28,10.1186/s13059-026-04118-7,42204731,,"Lian X, Song S, Lou C, Zhu M, Li Y, Li W, Jiang X, Wang G, Yang H, Wang L, He L, Ma Y, Dong X, Chen Y, Chang HM, Zhu W, Wang J, Yu Y, Wu Y, Zhao Y, Mu L.",,Journal Article,eng,https://europepmc.org/article/MED/42204731,False,page_0001.json.gz,True,True,True,True
europepmc,PPR:PPR1129869,"Integrating AI, CRISPR, and Multi-Omics for Predictive Longevity Research","The pursuit of extending human healthspan and lifespan has become a central focus in modern biomedical research. Aging is a complex, multifactorial process influenced by genetics, epigenetics, environmental factors, and stochastic molecular events. Traditional approaches, relying on observational studies or single-omic analyses, have provided limited mechanistic insights into the determinants of longevity. Recent advances in multi-omics, genome editing, and artificial intelligence (AI) now offer a transformative framework for predictive and personalized longevity research. In particular, the integration of AI-driven computational modeling, CRISPR-based genome engineering, and comprehensive multi-omic datasets holds the promise of elucidating key molecular drivers of aging and informing targeted interventions.",2025,2025-12-02,10.20944/preprints202512.0125.v1,,,Lim LWK.,,Preprint,,https://europepmc.org/article/PPR/PPR1129869,True,page_0001.json.gz,True,True,True,True
