record_id,doi,title,baseline_decision,final_decision,final_exclusion_code,decision_reason,pending_reason,prisma_disposition,decision_source,scope_valid_repeats,causal_valid_repeats,human_adjudication_applied,record_audit
doi:10.1002/advs.202411015,10.1002/advs.202411015,Ucp1 Ablation Improves Skeletal Muscle Glycolytic Function in Aging Mice.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_a1948fe24b36fa51.json
doi:10.1002/advs.202508431,10.1002/advs.202508431,SenExo‐cCCT2 Reprograms Senescence Response and Anti‐Tumor Immunity Following FOLFIRINOX Chemotherapy in Pancreatic Ductal Adenocarcinoma,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_3a102cb38542c6fc.json
doi:10.1002/advs.202509973,10.1002/advs.202509973,TMEM131‐Mediated Soluble TRAIL Triggered Type II Alveolar Epithelial Cell Senescence in Radiation‐Induced Lung Injury,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_f9998f9a45bb73dc.json
doi:10.1002/advs.202512407,10.1002/advs.202512407,Nortriptyline Inhibits Lysosomal Exocytosis‐Mediated SASP During Gastric Cancer Progression via Targeting HOXA1‐PITX2 Phase Separation,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_d3b8aa55c36715ad.json
doi:10.1002/art.42815,10.1002/art.42815,Predisposal of Interferon Regulatory Factor 1 Deficiency to Accumulate DNA Damage and Promote Osteoarthritis Development in Cartilage.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_0372a1405ec5ab3c.json
doi:10.1002/cam4.1544,10.1002/cam4.1544,Molecular features in young vs elderly breast cancer patients and the impacts on survival disparities by age at diagnosis.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_071b89a679424259.json
doi:10.1002/ctm2.1660,10.1002/ctm2.1660,Downregulated SPESP1‐driven fibroblast senescence decreases wound healing in aged mice,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_3488f8032b893052.json
doi:10.1002/fsn3.2978,10.1002/fsn3.2978,Gut microbiome and metabolome analyses reveal the protective effect of special high-docosahexaenoic acid tuna oil on d-galactose-induced aging in mice.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_e2e4ec40c51a62ae.json
doi:10.1002/hep.28563,10.1002/hep.28563,DNMT1 is a required genomic regulator for murine liver histogenesis and regeneration.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_b034fafa7f7057cb.json
doi:10.1002/jcsm.12644,10.1002/jcsm.12644,Heart and neural crest derivative 2-induced preservation of sympathetic neurons attenuates sarcopenia with aging.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_71681074c195cc02.json
doi:10.1002/jcsm.70197,10.1002/jcsm.70197,Identifying Susceptibility Genes and Shared Genetic Architecture for Longevity and Muscle Weakness.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_50cd8582d1b7cc75.json
doi:10.1007/s00011-026-02257-y,10.1007/s00011-026-02257-y,"Multivariable genome-wide analysis elucidates the shared genetic architecture, immunosenescence features, and gut-origin therapeutic targets of ulcerative colitis-associated multisystem inflammation",assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_a2e37b7f81317b69.json
doi:10.1007/s10753-024-02032-3,10.1007/s10753-024-02032-3,Investigation of Metabolic and Inflammatory Disorder in the Aging FGF21 Knockout Mouse.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_2ba6810e935b65fe.json
doi:10.1007/s11357-012-9485-8,10.1007/s11357-012-9485-8,Effects of Sirt1 on DNA methylation and expression of genes affected by dietary restriction.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_ac706b01112a3bac.json
doi:10.1007/s11357-014-9648-x,10.1007/s11357-014-9648-x,Genome-wide age-related changes in DNA methylation and gene expression in human PBMCs.,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_f11fdd56818b5690.json
doi:10.1007/s11357-024-01126-y,10.1007/s11357-024-01126-y,Repetitive element transcript accumulation is associated with inflammaging in humans.,manual_review,assessed,none,"The current analysis pools both randomized exercise arms and performs paired pre/post analyses. Therefore the analyzed contrast is an administered human intervention without an untreated randomized contrast. The RE–inflammation association remains correlational, but the report also contains an intervention-effect analysis.",,meets_full_text_eligibility,assistant_curated_source_evidence_pending_expert_confirmation,5,5,False,analysis/full_text_screening/curated24_2026-09-19/cases/case_02.json
doi:10.1007/s11357-025-01794-4,10.1007/s11357-025-01794-4,Identification of gut microbiota causally associated with aging and longevity and mediation roles of the cerebrospinal fluid proteins: proteomic genetic evidence from Mendelian randomization.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,targeted_recovery_with_cached_runs,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_d59e3d233335569a.json
doi:10.1007/s11357-025-02044-3,10.1007/s11357-025-02044-3,Genetic links between multimorbidity and human aging.,manual_review,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,v1.6.3_targeted_automatic_five_run_route,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.3_easy_auto/records/record_f89cc384c473f6f2.json
doi:10.1016/j.apsb.2026.02.006,10.1016/j.apsb.2026.02.006,Oridonin as a novel KDM5C inhibitor alleviates clonal hematopoiesis-induced cardiac aging via H3K4me3-dependent SASP suppression,assessed,assessed,none,five_of_five_same_positive_full_text_causal_basis,,meets_full_text_eligibility,offline_revalidated_baseline,5,5,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_7c059fb273f7cd0b.json
doi:10.1016/j.cell.2026.01.022,10.1016/j.cell.2026.01.022,Vitamin B2 and B3 nutrigenomics reveals a therapy for NAXD disease,manual_review,exclude,EC3,five_of_five_unanimous_decisive_criterion_failure,,excluded_after_full_text_assessment,targeted_recovery_with_cached_runs,5,0,False,analysis/full_text_screening/prisma_slice_v1.6.1/records/record_2e12d92a7e7152cc.json
