doi,url,source,access_basis,discovery_method,format
10.1016/j.devcel.2023.05.015,https://harel-lab.com/wp-content/uploads/2024/02/DevCell.pdf,Harel Lab,Public full-text PDF hosted by a corresponding author's laboratory site; licence not stated,Exact DOI web search,pdf
10.1038/s43587-023-00460-8,https://chem.yonsei.ac.kr/~mhmoon/pdf/Papers3/NatureAging2023resized3mb.pdf,Yonsei University Chemistry author page,Public full-text PDF hosted on a coauthor's university page; licence not stated,Exact DOI web search,pdf
10.1186/s13578-026-01594-z,https://link.springer.com/article/10.1186/s13578-026-01594-z,Springer Nature Link,Official publisher page visibly labelled Open access and full access; complete rendered article HTML archived after the PDF endpoint returned non-PDF HTML,Official publisher page inspection,html
10.1016/j.celrep.2024.115099,https://www.cell.com/cell-reports/fulltext/S2211-1247(24)01450-5,Cell Press,Official publisher page visibly labelled Open Access; complete rendered article HTML archived,Official publisher page inspection,html
10.1002/imo2.70128,https://onlinelibrary.wiley.com/doi/10.1002/imo2.70128,Wiley Online Library,Official publisher page visibly labelled Open Access; complete rendered article HTML archived,Official publisher page inspection,html
10.1016/j.ymthe.2025.12.035,https://www.cell.com/molecular-therapy-family/molecular-therapy/fulltext/S1525-0016(25)01058-5,Cell Press,Official publisher page displayed the complete article without login; complete rendered article HTML archived,Official publisher page inspection,html
10.1007/s11306-023-02022-w,https://link.springer.com/article/10.1007/s11306-023-02022-w,Springer Nature Link,Official publisher page displayed the complete article without login; complete rendered article HTML archived,Official publisher page inspection,html
10.1038/s42255-020-0200-2,https://www.nature.com/articles/s42255-020-0200-2,Nature.com,Official publisher page displayed the complete article without login; complete rendered article HTML archived,Official publisher page inspection,html
10.1038/s43587-026-01100-7,https://www.nature.com/articles/s43587-026-01100-7,Nature.com,Official publisher page displayed the complete article without login; complete rendered article HTML archived,Official publisher page inspection,html
10.1038/s42255-026-01515-x,https://www.nature.com/articles/s42255-026-01515-x,Nature.com,Official publisher page displayed the complete article without login; complete rendered article HTML archived,Official publisher page inspection,html
