record_id,assistant_primary_design_family,assistant_supporting_design_families,evidence_quote,rationale
doi:10.1002/imt2.70150,direct_perturbation,nonrandomized_intervention,"Functional validation revealed that DHX9 knockdown or introduction of the T419A point mutation markedly attenuated the anti-senescence and pro-decidualization effects of hyperoside.",Targeted genetic disruption tests the proposed mediator; hyperoside treatment provides supporting intervention evidence.
doi:10.1007/s00406-025-02170-1,genetic_instrument,,"We conducted a multi-stage Mendelian randomization (SMR) study.",SMR with mQTL eQTL and pQTL instruments is the formal identification design.
doi:10.1016/j.archger.2025.105765,genetic_instrument,nonrandomized_intervention,"This study aimed to use bidirectional two-sample Mendelian randomization (TSMR) analysis to explore the causal relationship between gut microbiota and aging.",MR is the primary identification design and the C. elegans microbial exposure is supporting experimental evidence.
doi:10.1016/j.drup.2026.101415,direct_perturbation,,"Functional studies employed conditioned medium assays, transwell co-culture systems with ferroptosis induction and chemosensitivity testing, FerroOrange-based intracellular Fe²⁺ quantification, genetic perturbation (shRNA/siRNA), pharmacological NF-κB inhibition, and subcutaneous xenograft models.",Genetic and pharmacological perturbations directly test the RELA-FTH1 mechanism.
doi:10.1016/j.jhazmat.2025.140429,genetic_instrument,formal_mediation,"we applied propensity score matching (PSM) to balance baseline characteristics across exposure groups, and conducted Mendelian randomization (MR) using NO₂-associated genetic instruments.",MR supplies the primary causal contrast while biological-aging mediation is a supporting design.
doi:10.1016/j.jhazmat.2026.142949,nonrandomized_intervention,direct_perturbation,"Pharmacological inhibition of CDK1 with Ro-3306 attenuated trophoblast senescence, restored trophoblast function, alleviated placental injury, and improved fetal outcomes in vivo, while siRNA-mediated CDK1 knockdown similarly suppressed CDK1-linked phosphorylation and rescued senescence-associated functional defects in trophoblasts.",Controlled exposure and rescue establish the intervention contrast with direct perturbation support.
doi:10.1016/j.redox.2026.104065,direct_perturbation,nonrandomized_intervention,"TECs-specific knockout of ERRα led to reduced NOS2 expression and decreased citrulline levels, exacerbating TECs injury and senescence.",Cell-specific knockout and knock-in directly test the ERRα-NOS2 mechanism; supplementation is supporting intervention evidence.
doi:10.1038/s41467-024-52909-y,nonrandomized_intervention,genetic_instrument;direct_perturbation,"We analyzed data from Drosophila Genetic Reference Panel (DGRP) strains raised under AL and DR conditions, combining metabolomic, phenotypic, and genome-wide information.",Dietary restriction is the primary experimental contrast with human MR and metabolite supplementation as supporting evidence.
doi:10.1038/s41593-025-01889-3,direct_perturbation,nonrandomized_intervention,"increasing PUFA levels specifically in neurons of C9 ALS/FTD flies, by overexpressing fatty acid desaturase enzymes, led to a substantial extension of lifespan.",Targeted neuronal overexpression directly tests the lipid mechanism; feeding experiments provide supporting intervention evidence.
doi:10.1038/s43587-026-01069-3,nonrandomized_intervention,formal_mediation,"Using fecal microbiota transplantation from young or estropausal female mice, we demonstrate that heterochronic microbiota transfer remodels the ovarian transcriptome",Heterochronic microbiota transfer is the primary intervention and metagenomics-based mediation is supporting analysis.
