checkpoint,doi,title,legacy_frozen_candidates,neo4j_causal_analysis_nodes,legacy_to_graph_count_ratio,legacy_discovery_grounding_failures,legacy_discovery_technical_failures,legacy_inventory_path
A,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity",76,3,25.333,1,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_def153153292e09c/candidate_inventory.json
A,10.1002/imo2.70128,A uterine‐centric view of reproductive senescence: Genetic insights into late‐life performance in laying hens,25,1,25.000,0,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_df9c04fe3eee2ae2/candidate_inventory.json
A,10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.,39,2,19.500,0,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_d83dc5cb41628ad5/candidate_inventory.json
A,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity,87,5,17.400,3,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_c1b7e582e69cfca7/candidate_inventory.json
A,10.1038/s41536-026-00490-x,Multi-omics profiling reveals systemic rejuvenation of the aged kidney through senolytic therapy.,64,1,64.000,2,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_8ba1a47eb43c7c7a/candidate_inventory.json
A,10.1038/s43587-023-00451-9,Multi-omic rejuvenation and lifespan extension upon exposure to youthful circulation,157,1,157.000,1,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_48e3a065d7269ec5/candidate_inventory.json
A,10.1038/s43587-026-01100-7,Multiomic single-cell perturbation screens reveal critical lncRNA regulators of senescence.,68,4,17.000,0,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_ed7083b490beff1d/candidate_inventory.json
A,10.1093/bib/bbag271,StackAge: an ensemble-based clock for precise quantification of biological age using multi-omics data,15,1,15.000,0,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_3095090048b86d78/candidate_inventory.json
A,10.1093/eurheartj/ehad361,Subclinical atherosclerosis and accelerated epigenetic age mediated by inflammation: a multi-omics study,26,2,13.000,3,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_4d8760b707f819ef/candidate_inventory.json
A,10.1111/acel.70064,Aged Gut Microbiota Contributes to Cognitive Impairment and Hippocampal Synapse Loss in Mice,46,4,11.500,6,0,data/causal_extraction/v0.1.1-rc1/checkpoint_A_15_run1/frozen_candidates/doi_682a64714ac9f395/candidate_inventory.json
