scope,information_need,method_a,method_b,reports_a,reports_b,intersection,union,jaccard,a_only,b_only
eligible_101,assigned_intervention,frozen_profile_structured,deterministic_docling_lexical,51,86,48,89,0.539326,3,38
eligible_101,assigned_intervention,frozen_profile_structured,neo4j_graph_text,51,37,29,59,0.491525,22,8
eligible_101,assigned_intervention,neo4j_graph_text,deterministic_docling_lexical,37,86,36,87,0.413793,1,50
eligible_101,assigned_intervention,neo4j_structured,deterministic_docling_lexical,51,86,48,89,0.539326,3,38
eligible_101,assigned_intervention,neo4j_structured,frozen_profile_structured,51,51,51,51,1.000000,0,0
eligible_101,assigned_intervention,neo4j_structured,neo4j_graph_text,51,37,29,59,0.491525,22,8
eligible_101,directed_or_temporal_model,frozen_profile_structured,deterministic_docling_lexical,8,3,2,9,0.222222,6,1
eligible_101,directed_or_temporal_model,frozen_profile_structured,neo4j_graph_text,8,0,0,8,0.000000,8,0
eligible_101,directed_or_temporal_model,neo4j_graph_text,deterministic_docling_lexical,0,3,0,3,0.000000,0,3
eligible_101,directed_or_temporal_model,neo4j_structured,deterministic_docling_lexical,8,3,2,9,0.222222,6,1
eligible_101,directed_or_temporal_model,neo4j_structured,frozen_profile_structured,8,8,8,8,1.000000,0,0
eligible_101,directed_or_temporal_model,neo4j_structured,neo4j_graph_text,8,0,0,8,0.000000,8,0
eligible_101,formal_mediation,frozen_profile_structured,deterministic_docling_lexical,5,60,5,60,0.083333,0,55
eligible_101,formal_mediation,frozen_profile_structured,neo4j_graph_text,5,17,4,18,0.222222,1,13
eligible_101,formal_mediation,neo4j_graph_text,deterministic_docling_lexical,17,60,15,62,0.241935,2,45
eligible_101,formal_mediation,neo4j_structured,deterministic_docling_lexical,5,60,5,60,0.083333,0,55
eligible_101,formal_mediation,neo4j_structured,frozen_profile_structured,5,5,5,5,1.000000,0,0
eligible_101,formal_mediation,neo4j_structured,neo4j_graph_text,5,17,4,18,0.222222,1,13
eligible_101,genetic_instrument,frozen_profile_structured,deterministic_docling_lexical,14,16,13,17,0.764706,1,3
eligible_101,genetic_instrument,frozen_profile_structured,neo4j_graph_text,14,14,13,15,0.866667,1,1
eligible_101,genetic_instrument,neo4j_graph_text,deterministic_docling_lexical,14,16,14,16,0.875000,0,2
eligible_101,genetic_instrument,neo4j_structured,deterministic_docling_lexical,14,16,13,17,0.764706,1,3
eligible_101,genetic_instrument,neo4j_structured,frozen_profile_structured,14,14,14,14,1.000000,0,0
eligible_101,genetic_instrument,neo4j_structured,neo4j_graph_text,14,14,13,15,0.866667,1,1
eligible_101,targeted_perturbation,frozen_profile_structured,deterministic_docling_lexical,66,81,59,88,0.670455,7,22
eligible_101,targeted_perturbation,frozen_profile_structured,neo4j_graph_text,66,57,53,70,0.757143,13,4
eligible_101,targeted_perturbation,neo4j_graph_text,deterministic_docling_lexical,57,81,56,82,0.682927,1,25
eligible_101,targeted_perturbation,neo4j_structured,deterministic_docling_lexical,66,81,59,88,0.670455,7,22
eligible_101,targeted_perturbation,neo4j_structured,frozen_profile_structured,66,66,66,66,1.000000,0,0
eligible_101,targeted_perturbation,neo4j_structured,neo4j_graph_text,66,57,53,70,0.757143,13,4
historical_30,assigned_intervention,deterministic_docling_lexical,legacy_llm_candidate_text,25,23,22,26,0.846154,3,1
historical_30,assigned_intervention,neo4j_graph_text,deterministic_docling_lexical,11,25,11,25,0.440000,0,14
historical_30,assigned_intervention,neo4j_graph_text,legacy_llm_candidate_text,11,23,10,24,0.416667,1,13
historical_30,assigned_intervention,neo4j_structured,deterministic_docling_lexical,14,25,13,26,0.500000,1,12
historical_30,assigned_intervention,neo4j_structured,legacy_llm_candidate_text,14,23,11,26,0.423077,3,12
historical_30,assigned_intervention,neo4j_structured,neo4j_graph_text,14,11,8,17,0.470588,6,3
historical_30,directed_or_temporal_model,deterministic_docling_lexical,legacy_llm_candidate_text,3,1,1,3,0.333333,2,0
historical_30,directed_or_temporal_model,neo4j_graph_text,deterministic_docling_lexical,0,3,0,3,0.000000,0,3
