claim_id,opus_decision_field_change,primary_cross_audit,v0_2_reviewer_assessment,v0_2_derived_level,required_action
jamapsych_2024_smoking_longevity_mr,no,accept_with_correction,effect_assessable,3,"Correct SVMR/MVMR estimand attribution; exhaustive extraction later adds distinct null claims"
imo2_2026_uterus_weight_mediation,no,accept_with_correction,formal_hypothesis_only,2,"Code temporal ordering as violated and drop genetic_instrument supporting method for this link"
cels_2021_stabilized_regression_edges,no,accept_with_correction,formal_hypothesis_only,2,"Use invariance_or_environment_based_model and remove unsupported metabolomics role"
cels_2021_asp4_lifespan_perturbation,no,partly_reject,effect_assessable,3,"Keep independent data for a distinct repeat but partially independent experiment; exhaustive mode adds st-7 and epistasis claims"
natcom_2023_twas_focus_prioritization,yes,accept,no_identification,1,"Recode author type to prioritization and variation source to inherited genetic variation"
natcom_2023_metabolite_longevity_mr,no,accept_with_correction,effect_assessable,3,"Complete all MR assumption domains; exhaustive mode adds the EAA null"
npjaging_2026_dq_kidney_aging,no,accept_with_correction,effect_assessable,3,"Narrow or split endpoint families and code multiplicity domain"
nataging_2023_parabiosis_lifespan,no,accept_with_correction,effect_assessable,3,"Keep lifespan claim; extract epigenetic-age effect separately and code mock attachment control"
nataging_2026_hotairm1_crispri_senescence,yes,accept,unclear,manual_review,"Source is a paywalled preview; retrieve full text before splitting CRISPRi siRNA and AAV operations"
stackage_2026_lifestyle_aging_mediation,no,accept_with_correction,formal_hypothesis_only,2,"Use mediation_analysis as primary and SEM as supporting; omics are composite-index inputs"
pesa_2023_inflammation_mediation,no,accept_with_correction,formal_hypothesis_only,2,"Sequential ignorability was addressed but remains unconvincing; record MESA validation as nonqualifying"
agingcell_2025_aged_fmt_cognition,yes,accept_with_modification,effect_assessable,3,"Split behavioral and synaptic endpoints; code antibiotic comparator integrity unclear rather than definitely violated"
agingcell_2025_tpe_epigenetic_clocks,no,accept,effect_assessable,3,"Retain Level 3; add contradictory allocation wording and outcome multiplicity evidence"
agingcell_2026_losartan_dose_metabolome,no,accept_with_correction,effect_claim_not_assessable,2,"Derive Level 2 from intervention design and set contrast components complete despite invalid dose attribution"
msystems_2025_iaa_lifespan,no,accept_with_correction,effect_assessable,3,"Restrict deterministic evidence to male flies"
msystems_2025_iaa_ahr_sirt2_epistasis,no,accept,effect_assessable,3,"Split Ahr mutant Sirt2 mutant and Sirt2 RNAi operations; use effect_modification_or_epistasis"
cellcommsig_2026_casp8_inhibitor_senescence,no,accept_with_correction,effect_assessable,3,"Code matched control unclear and retain off-target limitation; extract non-OA null separately in exhaustive mode"
cellcommsig_2026_casp8_sirna_senescence,no,accept_with_correction,effect_assessable,3,"Replace polarity-losing fragment with full sentence and assess functional target engagement"
fshw_2026_cordycepin_lifespan,no,partly_reject,effect_assessable,3,"Retain positive 0.1-0.5 mg/mL claim; extract high-dose harm separately rather than making this scoped claim mixed"
fshw_2026_cordycepin_daf2_target,no,accept,no_identification,1,"Normalize to candidate prioritization rather than a direct-target assertion the report disclaims"
