candidate_id,doi,title,year,sources,proposed_design_family,omics_layers,explicit_multiomics_match,layer_pair_match,formal_method_evidence,aging_evidence,algorithmic_score,candidate_status,expert_1_empirical_primary,expert_1_aging_eligible,expert_1_multiomics_eligible,expert_1_causal_method_eligible,expert_1_overall,expert_2_empirical_primary,expert_2_aging_eligible,expert_2_multiomics_eligible,expert_2_causal_method_eligible,expert_2_overall,adjudicated_empirical_primary,adjudicated_aging_eligible,adjudicated_multiomics_eligible,adjudicated_causal_method_eligible,adjudicated_status,adjudicated_design_family,adjudication_notes
doi:10.1101/2025.07.11.664466,10.1101/2025.07.11.664466,A multi-omics analysis of human fibroblasts overexpressing an Alu transposon reveals widespread disruptions in aging-associated pathways,2025,europepmc,direct_perturbation,genomics;proteomics;transcriptomics,True,True,"Here, we show that overexpression of an AluJb transposon in human primary IMR-90 fibroblasts leads to large-scale alterations across the transcriptome, cellular proteome, and secretome.","ABSTRACT During aging and cellular senescence, repetitive elements are frequently transcriptionally derepressed across species and cell types.",8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1007/s11357-025-02033-6,10.1007/s11357-025-02033-6,A multi-omics analysis of human fibroblasts overexpressing an Alu transposon reveals widespread disruptions in aging-associated pathways.,2026,europepmc;pubmed,direct_perturbation,genomics;proteomics;transcriptomics,True,True,"Here, we show that overexpression of an AluJb transposon in human primary IMR-90 fibroblasts leads to large-scale alterations across the transcriptome, cellular proteome, and secretome.","During aging and cellular senescence, repetitive elements are frequently transcriptionally derepressed across species and cell types.",8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1371/journal.pone.0018512,10.1371/journal.pone.0018512,Absence of Ataxin-3 Leads to Enhanced Stress Response in C. elegans,2011,semantic_scholar,direct_perturbation,proteomics;transcriptomics,False,True,elegans ataxin-3 (ATX-3) knockout animals.,"The improved thermotolerancein ATX-3 mutants is independent of heat shock factor 1, the maestro of the heat shock response, but fully dependent on DAF-16, a critical stress responsive transcription factor involved in longevity and stress resistance.",5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.64898/2026.01.20.700435,10.64898/2026.01.20.700435,"Acetyl-CoA availability regulates neuronal metabolism, growth, and synaptic activity.",2026,pubmed,direct_perturbation,metabolomics;proteomics;transcriptomics,False,True,"Here, we show that AT-1 overexpression in primary neurons impacts diverse phenotypes related to neuronal function and plasticity.","At the gene level, AT-1 induces brain aging signatures, and key differences in ribosomal and synaptic processes were identified in both the transcriptome and the proteome.",6,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.3390/biology15050441,10.3390/biology15050441,Age-Dependent Alterations in Intestinal Barrier Function: Involvement of Microbiota and TLR4 Signaling.,2026,pubmed,direct_perturbation,microbiomics;transcriptomics,False,True,"This study investigated age-related changes in barrier function and the role of TLR4 using C57BL/6J and TLR4 knockout (TLR4 -/- ) mice across key developmental stages: pups (postnatal day 9), adults (2-4 months), middle-aged (7-9 months), and old (16-19 months).","The intestinal barrier undergoes profound changes with age, impacting local immunity and systemic health, yet the mechanisms coordinating immune and microbial dynamics across the lifespan remain incompletely understood.",5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1038/s41467-026-72381-0,10.1038/s41467-026-72381-0,"An antagonistically pleiotropic gene regulates vertebrate growth, maturity, and lifespan.",2026,europepmc;pubmed,direct_perturbation,genomics;transcriptomics,False,True,"Here, combining genetic perturbation with longitudinal phenotyping in the turquoise killifish (Nothobranchius furzeri), we identify vestigial-like 3 (vgll3), previously linked by GWAS to age at maturity in humans and male Atlantic salmon, as a gene with antagonistically pleiotropic effects.","An antagonistically pleiotropic gene regulates vertebrate growth, maturity, and lifespan..",8,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1161/jaha.125.047447,10.1161/jaha.125.047447,Cardiomyocyte-Specific Plakophilin-2 Loss Is Sufficient to Induce Aging and Senescence of Nonmyocytes: Relevance to Arrhythmogenic Cardiomyopathy.,2026,europepmc;pubmed,direct_perturbation,proteomics;transcriptomics,False,True,"Senescence-associated heterochromatin foci and increased epigenetic age were not found in cardiomyocytes from cardiomyocyte-specific conditional knockout of plakophilin-2 hearts, although we observed structural features associated with premature aging.",This is the first study to intersect cellular senescence and premature aging with desmosomal arrhythmogenic cardiomyopathies.,5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.64898/2026.07.10.735668,10.64898/2026.07.10.735668,Conserved Transcriptomic Signatures of Sirt6 Activity: A Cross-Species RNA-seq Meta-analysis,2026,europepmc;pubmed,direct_perturbation,genomics;transcriptomics,False,True,"In the present study, we conducted a meta-analysis of 19 mammalian RNA-seq datasets in which Sirt6 levels were perturbed (knockout, knockdown, or overexpression).","Defining the Sirt6-regulated transcriptome is relevant to understanding the various important physiological roles of Sirt6, such as extending lifespan, maintaining metabolic health, and tumor suppression.",5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1016/j.redox.2026.104065,10.1016/j.redox.2026.104065,ERRα-NOS2-mediated citrulline metabolism attenuates tubular epithelial cell senescence in diabetic kidney disease.,2026,pubmed,direct_perturbation,epigenomics;transcriptomics,False,True,"TECs-specific knockout of ERRα led to reduced NOS2 expression and decreased citrulline levels, exacerbating TECs injury and senescence.","Furthermore, overexpression of NOS2 and supplementation with citrulline ameliorated renal dysfunction and cellular senescence in diabetic mice, underscoring the importance of this metabolic axis.",5,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
doi:10.1038/s41467-025-66217-6,10.1038/s41467-025-66217-6,"Egr1 is a sex-dependent regulator of neuronal chromatin, structural plasticity, and behaviour.",2025,pubmed,direct_perturbation,epigenomics;genomics;transcriptomics,False,True,"Importantly, Egr1 overexpression and knockdown partially mimic the vHIP chromatin state associated with the high and low-oestrogenic phase of the oestrous cycle, respectively.",A major source of brain sex differences is differential secretion of steroid hormones from the gonads across the lifespan.,6,unreviewed_candidate_not_gold,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,pending,,
