record_id,title,final_decision,final_exclusion_code,decision_reason,scope_all_fields_exact,causal_evaluated,causal_all_fields_exact,all_evaluated_fields_exact,five_request_route_sequence,five_request_route_exact,disagreement_fields
doi:10.1002/ctm2.1006,"Metabolic dysregulation in patients with premature ovarian insufficiency revealed by integrated transcriptomic, methylomic and metabolomic analyses",manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC3"", ""manual_review:causal_not_run"", ""manual_review:causal_not_run"", ""manual_review:causal_not_run"", ""manual_review:causal_not_run""]",False,scope_reviewer.aging_process_relevance
doi:10.1002/ctm2.317,A folate receptor 3 SNP promotes mitochondria‐induced clonogenicity of CML leukemia cells: Implications for treatment free remission,assessed,none,five_of_five_same_positive_full_text_causal_basis,False,True,True,False,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,scope_reviewer.layer_candidates
doi:10.1002/ctm2.70395,Customised virus‐like particles: Opening a new chapter for clinical precision gene therapy,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1002/wps.20675,The crossroads of psychiatric epigenomics,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC4"", ""exclude:EC1"", ""exclude:EC1""]",False,scope_reviewer.aging_process_relevance;scope_reviewer.report_type
doi:10.1007/s00112-022-01643-0,Abstracts der 96. Wissenschaftlichen Tagung der Gesellschaft für Pädiatrische Onkologie und Hämatologie (GPOH),manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC3"", ""exclude:EC1"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",False,scope_reviewer.current_report_layer_use;scope_reviewer.layer_candidates;scope_reviewer.multiomics_evidence;scope_reviewer.report_type
doi:10.1093/lifemedi/lnac018,The secret of youth: how is systemic rejuvenation achieved at the single cell level?,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1093/lifemedi/lnac022,When spermatogenesis meets human aging and elevated body mass,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC4"", ""exclude:EC1"", ""exclude:EC1""]",False,scope_reviewer.report_type
doi:10.1093/lifemedi/lnae020,Unlocking heart anti-aging potential: the SIRT2-STAT3-CDKN2B pathway as a bridge between fiction and reality,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1093/neuonc/noab260,Long telomeres in need of a SNP: Germline contributions of telomere maintenance to glioma,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1093/neuonc/noy148.258,COMP-03. TUMOR CONNECTOME: INSIGHT INTO THE IMPACT OF CNS NEOPLASIA AND THERAPY ON THE BRAIN NETWORK,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC1"", ""exclude:EC3"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",False,scope_reviewer.report_type
doi:10.1093/nsr/nwy136,Genome tagging project: tag every protein in mice through ‘artificial spermatids’,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC3"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",False,scope_reviewer.report_type
doi:10.1093/plphys/kiaa059,On the Inside,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1101/2025.06.19.660635,Downregulation of LATS1/2 Drives Endothelial Senescence-Associated Stemness (SAS) and Atherothrombotic Lesion Formation,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,True,True,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1104/pp.104.900273,On the Inside,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1104/pp.110.161430,Flavonoids and Isoflavonoids: From Plant Biology to Agriculture and Neuroscience,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1104/pp.113.900456,On the Inside,exclude,EC1,five_of_five_same_full_text_scope_exclusion,False,False,False,False,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,scope_reviewer.aging_process_relevance
doi:10.1104/pp.17.00972,On the Inside,exclude,EC1,five_of_five_same_full_text_scope_exclusion,True,False,False,True,"[""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1"", ""exclude:EC1""]",True,
doi:10.1111/1751-7915.12181,Silent clusters – speak up!,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,False,False,False,"[""exclude:EC3"", ""exclude:EC1"", ""exclude:EC3"", ""exclude:EC3"", ""exclude:EC3""]",False,scope_reviewer.report_type
