document_id,doi,title,record_id,source_format,source_path,source_bytes,source_sha256,retrieval_status
doi_def153153292e09c,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity",doi:10.1001/jamapsychiatry.2024.1429,xml,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/def153153292e09c.xml,140785,8a8ad4b3a542bc67629a2de6a2da5c6290d812c78ffa6c8b9243886d742efeb1,downloaded_xml
doi_26612e7f7d589ab5,10.1002/advs.202502249,ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy.,doi:10.1002/advs.202502249,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/26612e7f7d589ab5.pdf,13874940,6adecc27564c20cca3a9449257950887271321a4901093e511606164333c059a,downloaded_pdf
doi_5704cf32dffbadcf,10.1002/advs.202514269,Gut-Metabolome-Proteome Interactions in Age-Related Hearing Loss: Insights from Fecal Microbiota Transplantation and Multi-Omics Analyses.,doi:10.1002/advs.202514269,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/5704cf32dffbadcf.pdf,12414655,1f92cc047f3f783654cddb97dcd10905c0a48a61df0ff4adbfcfaf63bc45bfc0,downloaded_pdf
doi_3f3aeee2c0542606,10.1002/advs.202515370,Medicago Sativa L. Saponin‐Driven Lactobacillus Intestinalis Restores Intestinal Stemness in Naturally Aged Mice via the Bile Acid‐FXR‐Wnt Signaling Axis,doi:10.1002/advs.202515370,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/3f3aeee2c0542606.pdf,8225075,1f7d58c65a247806f06bb0b166aa1bacf18a3354d4732b1351a071f769900090,downloaded_pdf
doi_e58973540cb0858a,10.1002/advs.202521633,The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice.,doi:10.1002/advs.202521633,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/e58973540cb0858a.pdf,5423488,eafbef14ed4b24c7d56007be9655165c82be7276adc6b2fce8d25d99591a2c6a,downloaded_pdf
doi_8403d59885abe958,10.1002/ccs3.70045,Integrated genomics reveals cellular senescence-driven molecular networks and immune crosstalk in myopia pathogenesis.,doi:10.1002/ccs3.70045,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/8403d59885abe958.pdf,6597084,41179dc3ff55d42894f3396ed0cf978d3d497128a7567af8c57de5678ef9956b,downloaded_pdf
doi_64f83a5a55d8c29d,10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging,doi:10.1002/ctm2.70527,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/64f83a5a55d8c29d.pdf,8131848,d48f91d31a17c65a42eb27839ef053bcd376ee4fe4975c18b70e89ffe8f370da,downloaded_pdf
doi_0fdf1fe178e02028,10.1002/fsn3.71826,Protocatechuic Acid Alleviates D‐Gal‐Induced Renal Senescence and Injury in Mice by Regulating Taurine Metabolism,doi:10.1002/fsn3.71826,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/0fdf1fe178e02028.pdf,2658945,3470b6be6adbb930c7dbb9be33e905a7b6d9cc4b639c33042e242fca8253b5b1,downloaded_pdf
doi_df9c04fe3eee2ae2,10.1002/imo2.70128,A uterine‐centric view of reproductive senescence: Genetic insights into late‐life performance in laying hens,doi:10.1002/imo2.70128,html,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/df9c04fe3eee2ae2.html,142036,d4721159be89c060be4a2f2a3e35c4647d6a2d37bd3c41212878549981853c69,downloaded_html
doi_532149ab73857cb9,10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9‐mediated R‐loop resolution,doi:10.1002/imt2.70150,html,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/532149ab73857cb9.html,308800,49a0a456ddbfbe953bc7cb3933ea6ca1313b3522a535ca5df8cb37a193cf3576,downloaded_html
doi_aa95b1781951b0d0,10.1007/s10753-026-02526-2,Inhibition of MyD88 in Tubular Epithelial Cells Alleviates the Cellular Senescence in Sepsis-Associated Acute Kidney Injury,doi:10.1007/s10753-026-02526-2,pdf,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/aa95b1781951b0d0.pdf,2978980,a8025dabad08dda9d46e6ea3c27c608f30596d33d2b9e9a789c834398ccd64ed,downloaded_pdf
doi_1567b42f384d1b6b,10.1007/s11306-023-02022-w,The metabolic contribution of SKN-1/Nrf2 to the lifespan of Caenorhabditis elegans.,doi:10.1007/s11306-023-02022-w,html,data/full_text/v1.1.2_priority_1_nonpreprint_119/files/1567b42f384d1b6b.html,408373,f4e0e7f7f687db97207dc0958f9a86908fc1eb2934763c32576262ecada3d9e4,downloaded_html
