source,source_record_id,title,abstract,year,publication_date,doi,pmid,pmcid,authors,venue,document_type,language,url,is_preprint,raw_page,local_multiomics_match,local_aging_match,local_causal_anchor_match,local_three_block_match
scopus,SCOPUS_ID:85164040686,Multi-omics profiling for health,,2023,2023-01-01,10.1016/j.mcpro.2023.100561,37119971,,Babu M.,Molecular and Cellular Proteomics,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85164040686&origin=inward,False,page_0001.json.gz,True,False,False,False
scopus,SCOPUS_ID:85099427252,Aging Atlas: A multi-omics database for aging biology,,2021,2021-01-08,10.1093/nar/gkaa894,33119753,,Liu G.H.,Nucleic Acids Research,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85099427252&origin=inward,False,page_0001.json.gz,True,True,False,False
scopus,SCOPUS_ID:85085328714,Untangling Determinants of Enhanced Health and Lifespan through a Multi-omics Approach in Mice,,2020,2020-07-07,10.1016/j.cmet.2020.04.018,32413334,,Aon M.A.,Cell Metabolism,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85085328714&origin=inward,False,page_0001.json.gz,True,True,False,False
scopus,SCOPUS_ID:85128799421,Multi-omic rejuvenation of human cells by maturation phase transient reprogramming,,2022,2022-04-01,10.7554/elife.71624,35390271,,Gill D.,Elife,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85128799421&origin=inward,False,page_0001.json.gz,True,True,False,False
scopus,SCOPUS_ID:85166395199,Subclinical atherosclerosis and accelerated epigenetic age mediated by inflammation: a multi-omics study,,2023,2023-08-01,10.1093/eurheartj/ehad361,37339167,,Sánchez-Cabo F.,European Heart Journal,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85166395199&origin=inward,False,page_0001.json.gz,True,True,True,True
scopus,SCOPUS_ID:85165921647,Multi-omic rejuvenation and life span extension on exposure to youthful circulation,,2023,2023-08-01,10.1038/s43587-023-00451-9,,,Zhang B.,Nature Aging,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85165921647&origin=inward,False,page_0001.json.gz,True,True,False,False
scopus,SCOPUS_ID:85091680314,Promising biomarkers of human aging: In search of a multi-omics panel to understand the aging process from a multidimensional perspective,,2020,2020-12-01,10.1016/j.arr.2020.101164,32977058,,Rivero-Segura N.A.,Ageing Research Reviews,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85091680314&origin=inward,False,page_0001.json.gz,True,True,False,False
scopus,SCOPUS_ID:85125548620,A multiomic study uncovers a bZIP23-PER1A–mediated detoxification pathway to enhance seed vigor in rice,,2022,2022-03-01,10.1073/pnas.2026355119,35217598,,Wang W.Q.,Proceedings of the National Academy of Sciences of the United States of America,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85125548620&origin=inward,False,page_0001.json.gz,True,False,True,False
scopus,SCOPUS_ID:85056207239,Sex-biased hippocampal pathology in the 5XFAD mouse model of Alzheimer's disease: A multi-omic analysis,,2019,2019-02-01,10.1002/cne.24551,30291623,,Bundy J.L.,Journal of Comparative Neurology,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85056207239&origin=inward,False,page_0001.json.gz,True,False,False,False
scopus,SCOPUS_ID:85121757753,Integrated multi-omics for novel aging biomarkers and antiaging targets,,2022,2022-01-01,10.3390/biom12010039,35053186,,Wu L.,Biomolecules,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85121757753&origin=inward,False,page_0001.json.gz,True,True,False,False
scopus,SCOPUS_ID:85149739793,Multiomics reveals glutathione metabolism as a driver of bimodality during stem cell aging,,2023,2023-03-07,10.1016/j.cmet.2023.02.001,36854304,,Benjamin D.I.,Cell Metabolism,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85149739793&origin=inward,False,page_0001.json.gz,True,True,False,False
