record_id,doi,title,full_text_retrieval_status,original_model_decision,original_model_exclusion_code,amended_decision,amended_exclusion_code,amended_reason,route_changed_by_python_amendment,human_adjudication_applied,human_reviewer_id,human_decision,human_exclusion_code,human_rationale,supporting_section_ids,final_decision,final_exclusion_code,final_decision_source,final_decision_reason,prisma_disposition,protocol_disposition_code
doi:10.1001/jamapsychiatry.2024.1429,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity",retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1002/advs.202502249,10.1002/advs.202502249,ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1002/advs.202514269,10.1002/advs.202514269,Gut-Metabolome-Proteome Interactions in Age-Related Hearing Loss: Insights from Fecal Microbiota Transplantation and Multi-Omics Analyses.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1002/advs.202515370,10.1002/advs.202515370,Medicago Sativa L. Saponin‐Driven Lactobacillus Intestinalis Restores Intestinal Stemness in Naturally Aged Mice via the Bile Acid‐FXR‐Wnt Signaling Axis,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1002/advs.202521633,10.1002/advs.202521633,The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice.,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1002/alz.12278,10.1002/alz.12278,Neuroscience Next 2020 Abstracts,retrieved,manual_review,none,manual_review,none,full_text_scope_route_disagreement_or_unresolved,false,true,user_adjudicator,exclude,EC1,Conference-abstract compilation containing multiple unrelated studies; evidence cannot be combined across embedded abstracts as one primary report.,chunk:0005;chunk:0049;chunk:0063,exclude,EC1,human_adjudication,Conference-abstract compilation containing multiple unrelated studies; evidence cannot be combined across embedded abstracts as one primary report.,excluded_after_full_text_assessment,EC1
doi:10.1002/ccs3.70045,10.1002/ccs3.70045,Integrated genomics reveals cellular senescence-driven molecular networks and immune crosstalk in myopia pathogenesis.,retrieved,manual_review,none,manual_review,none,,false,true,user_adjudicator,exclude,EC4,The current molecular dataset is RNA-seq; predicted miRNA/TF interactions do not constitute a second measured or analytically used omics layer.,chunk:0007;chunk:0012;chunk:0015,exclude,EC4,human_adjudication,The current molecular dataset is RNA-seq; predicted miRNA/TF interactions do not constitute a second measured or analytically used omics layer.,excluded_after_full_text_assessment,EC4
doi:10.1002/ctm2.1006,10.1002/ctm2.1006,"Metabolic dysregulation in patients with premature ovarian insufficiency revealed by integrated transcriptomic, methylomic and metabolomic analyses",retrieved,exclude,EC5,exclude,EC5,five_of_five_same_sufficient_full_text_causal_exclusion,false,false,,,,,,exclude,EC5,ai_five_run_route,five_of_five_same_sufficient_full_text_causal_exclusion,excluded_after_full_text_assessment,EC5
doi:10.1002/ctm2.317,10.1002/ctm2.317,A folate receptor 3 SNP promotes mitochondria‐induced clonogenicity of CML leukemia cells: Implications for treatment free remission,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
doi:10.1002/ctm2.70395,10.1002/ctm2.70395,Customised virus‐like particles: Opening a new chapter for clinical precision gene therapy,retrieved,manual_review,none,exclude,EC3,five_of_five_unanimous_decisive_criterion_failure,true,false,,,,,,exclude,EC3,deterministic_python_amendment,five_of_five_unanimous_decisive_criterion_failure,excluded_after_full_text_assessment,EC3
doi:10.1002/ctm2.70527,10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging,retrieved,assessed,none,assessed,none,five_of_five_same_positive_full_text_causal_basis,false,false,,,,,,assessed,none,ai_five_run_route,five_of_five_same_positive_full_text_causal_basis,meets_full_text_eligibility,none
