group_id,representative_index,duplicate_index,match_reason,representative_title,duplicate_title
1,0,1402,doi,Systems biology approaches to study the molecular effects of caloric restriction and polyphenols on aging processes.,Systems biology approaches to study the molecular effects of caloric restriction and polyphenols on aging processes.
1,0,2227,doi,Systems biology approaches to study the molecular effects of caloric restriction and polyphenols on aging processes.,Systems biology approaches to study the molecular effects of caloric restriction and polyphenols on aging processes
1,0,3736,doi,Systems biology approaches to study the molecular effects of caloric restriction and polyphenols on aging processes.,Systems biology approaches to study the molecular effects of caloric restriction and polyphenols on aging processes
2,1,1403,doi,Foodomics as part of the host-microbiota-exposome interplay.,Foodomics as part of the host-microbiota-exposome interplay.
3,2,630,doi,Multiomics Approach to Novel Therapeutic Targets for Cancer and Aging-Related Diseases: Role of Sld7 in Yeast Aging Network.,Multiomics approach to novel therapeutic targets for cancer and aging-related diseases: role of Sld7 in yeast aging network
3,2,800,doi,Multiomics Approach to Novel Therapeutic Targets for Cancer and Aging-Related Diseases: Role of Sld7 in Yeast Aging Network.,Multiomics Approach to Novel Therapeutic Targets for Cancer and Aging-Related Diseases: Role of Sld7 in Yeast Aging Network
3,2,1404,doi,Multiomics Approach to Novel Therapeutic Targets for Cancer and Aging-Related Diseases: Role of Sld7 in Yeast Aging Network.,Multiomics Approach to Novel Therapeutic Targets for Cancer and Aging-Related Diseases: Role of Sld7 in Yeast Aging Network.
3,2,1968,doi,Multiomics Approach to Novel Therapeutic Targets for Cancer and Aging-Related Diseases: Role of Sld7 in Yeast Aging Network.,Multiomics Approach to Novel Therapeutic Targets for Cancer and Aging-Related Diseases: Role of Sld7 in Yeast Aging Network
3,2,2233,doi,Multiomics Approach to Novel Therapeutic Targets for Cancer and Aging-Related Diseases: Role of Sld7 in Yeast Aging Network.,Multiomics Approach to Novel Therapeutic Targets for Cancer and Aging-Related Diseases: Role of Sld7 in Yeast Aging Network
6,2241,5,doi,Recent Advances in the Systems Biology of Aging,Recent Advances in the Systems Biology of Aging.
6,2241,1405,title_year,Recent Advances in the Systems Biology of Aging,Recent Advances in the Systems Biology of Aging.
7,6,2242,title_year,Identification of key pathways and metabolic fingerprints of longevity in C. elegans,Identification of key pathways and metabolic fingerprints of longevity in C. elegans
8,7,1406,doi,"French and Mediterranean-style diets: Contradictions, misconceptions and scientific facts-A review.","French and Mediterranean-style diets: Contradictions, misconceptions and scientific facts-A review."
9,8,1407,doi,Report: NIA workshop on translating genetic variants associated with longevity into drug targets.,Report: NIA workshop on translating genetic variants associated with longevity into drug targets.
9,8,2249,doi,Report: NIA workshop on translating genetic variants associated with longevity into drug targets.,Report: NIA workshop on translating genetic variants associated with longevity into drug targets
9,8,2250,doi,Report: NIA workshop on translating genetic variants associated with longevity into drug targets.,Report: NIA workshop on translating genetic variants associated with longevity into drug targets
9,8,3745,doi,Report: NIA workshop on translating genetic variants associated with longevity into drug targets.,Report: NIA workshop on translating genetic variants associated with longevity into drug targets
12,11,1409,doi,Identifying Potential Ageing-Modulating Drugs In Silico.,Identifying Potential Ageing-Modulating Drugs In Silico.
12,11,2253,doi,Identifying Potential Ageing-Modulating Drugs In Silico.,Identifying Potential Ageing-Modulating Drugs In Silico
13,2252,12,doi,The RNA-binding protein PUM2 impairs mitochondrial dynamics and mitophagy during aging,The RNA-Binding Protein PUM2 Impairs Mitochondrial Dynamics and Mitophagy During Aging.
13,2252,1410,transitive_exact_match,The RNA-binding protein PUM2 impairs mitochondrial dynamics and mitophagy during aging,The RNA-Binding Protein PUM2 Impairs Mitochondrial Dynamics and Mitophagy During Aging.
14,13,1411,doi,Artificial Intelligence Based Approaches to Identify Molecular Determinants of Exceptional Health and Life Span-An Interdisciplinary Workshop at the National Institute on Aging.,Artificial Intelligence Based Approaches to Identify Molecular Determinants of Exceptional Health and Life Span-An Interdisciplinary Workshop at the National Institute on Aging.
14,13,2263,doi,Artificial Intelligence Based Approaches to Identify Molecular Determinants of Exceptional Health and Life Span-An Interdisciplinary Workshop at the National Institute on Aging.,Artificial Intelligence Based Approaches to Identify Molecular Determinants of Exceptional Health and Life Span-An Interdisciplinary Workshop at the National Institute on Aging
15,811,14,title_year,MULTI-OMICS ANALYSIS IDENTIFIES GENE NETWORKS ASSOCIATED WITH COGNITIVE AGING AND ALZHEIMER’S DISEASE,MULTI-OMICS ANALYSIS IDENTIFIES GENE NETWORKS ASSOCIATED WITH COGNITIVE AGING AND ALZHEIMER’S DISEASE
15,811,2265,doi,MULTI-OMICS ANALYSIS IDENTIFIES GENE NETWORKS ASSOCIATED WITH COGNITIVE AGING AND ALZHEIMER’S DISEASE,MULTI-OMICS ANALYSIS IDENTIFIES GENE NETWORKS ASSOCIATED WITH COGNITIVE AGING AND ALZHEIMER’S DISEASE
16,2266,15,title_year,THE LONGEVITY CONSORTIUM: MULTI-OMICS INTEGRATIVE APPROACH TO DISCOVERING HEALTHY AGING AND LONGEVITY DETERMINANTS,THE LONGEVITY CONSORTIUM: MULTI-OMICS INTEGRATIVE APPROACH TO DISCOVERING HEALTHY AGING AND LONGEVITY DETERMINANTS
16,2266,631,transitive_exact_match,THE LONGEVITY CONSORTIUM: MULTI-OMICS INTEGRATIVE APPROACH TO DISCOVERING HEALTHY AGING AND LONGEVITY DETERMINANTS,The Longevity Consortium: multi-omics integrative approach to discovering healthy aging and longevity determinants
18,17,1412,doi,Oligosaccharides from Morinda officinalis Slow the Progress of Aging Mice by Regulating the Key Microbiota-Metabolite Pairs.,Oligosaccharides from Morinda officinalis Slow the Progress of Aging Mice by Regulating the Key Microbiota-Metabolite Pairs.
18,17,2269,doi,Oligosaccharides from Morinda officinalis Slow the Progress of Aging Mice by Regulating the Key Microbiota-Metabolite Pairs.,Oligosaccharides from Morinda officinalis Slow the Progress of Aging Mice by Regulating the Key Microbiota-Metabolite Pairs
