record_id,source,title,abstract,year,document_type,doi,proposed_design_family
doi:10.1001/jamapsychiatry.2024.1429,europepmc,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity.","Importance Observational studies suggest that major psychiatric disorders and substance use behaviors reduce longevity, making it difficult to disentangle their relationships with aging-related outcomes. Objective To evaluate the associations between the genetic liabilities for major psychiatric disorders, substance use behaviors (smoking and alcohol consumption), and longevity. Design, settings, and participants This 2-sample mendelian randomization (MR) study assessed associations between psychiatric disorders, substance use behaviors, and longevity using single-variable and multivariable models. Multiomics analyses were performed elucidating transcriptomic underpinnings of the MR associations and identifying potential proteomic therapeutic targets. This study sourced summary-level genome-wide association study (GWAS) data, gene expression, and proteomic data from cohorts of European ancestry. Analyses were performed from May 2022 to November 2023. Exposures Genetic susceptibility for major depression (n = 500 199), bipolar disorder (n = 413 466), schizophrenia (n = 127 906), problematic alcohol use (n = 435 563), weekly alcohol consumption (n = 666 978), and lifetime smoking index (n = 462 690). Main outcomes and measures The main outcome encompassed aspects of health span, lifespan, and exceptional longevity. Additional outcomes were epigenetic age acceleration (EAA) clocks. Results Findings from multivariable MR models simultaneously assessing psychiatric disorders and substance use behaviorsm suggest a negative association between smoking and longevity in cohorts of European ancestry (n = 709 709; 431 503 [60.8%] female; β, -0.33; 95% CI, -0.38 to -0.28; P = 4.59 × 10-34) and with increased EAA (n = 34 449; 18 017 [52.3%] female; eg, PhenoAge: β, 1.76; 95% CI, 0.72 to 2.79; P = 8.83 × 10-4). Transcriptomic imputation and colocalization identified 249 genes associated with smoking, including 36 novel genes not captured by the original smoking GWAS. Enriched pathways included chromatin remodeling and telomere assembly and maintenance. The transcriptome-wide signature of smoking was inversely associated with longevity, and estimates of individual smoking-associated genes, eg, XRCC3 and PRMT6, aligned with the smoking-longevity MR analyses, suggesting underlying transcriptomic mediators. Cis-instrument MR prioritized brain proteins associated with smoking behavior, including LY6H (β, 0.02; 95% CI, 0.01 to 0.03; P = 2.37 × 10-6) and RIT2 (β, 0.02; 95% CI, 0.01 to 0.03; P = 1.05 × 10-5), which had favorable adverse-effect profiles across 367 traits evaluated in phenome-wide MR. Conclusions The findings suggest that the genetic liability of smoking, but not of psychiatric disorders, is associated with longevity. Transcriptomic associations offer insights into smoking-related pathways, and identified proteomic targets may inform therapeutic development for smoking cessation strategies.",2024,research-article; Journal Article,10.1001/jamapsychiatry.2024.1429,genetic_instrument
doi:10.1002/brb3.70937,europepmc,Longevity Code: Lipidome Associations and Mediated Metabolite Effects.,"Objective The effects of lipidome on longevity and the role of metabolites in between have not been fully elucidated. The purpose of this study was to assess the causal effects of lipidome on longevity and the mediated effects of metabolites using Mendelian randomization (MR). Methods Data on lipidome, metabolites, and longevity were acquired in the genome-wide association studies, and single-nucleotide polymorphisms meeting the basic assumptions of MR were selected. Subsequently, inverse variance weighted was employed as the primary method to analyze the causal effects of lipidome on longevity and the mediated effects of metabolites. Finally, MR-Egger intercept was used to assess horizontal pleiotropy in the results. Cochran's Q and leave-one-out sensitivity analysis were used to assess the heterogeneity and robustness of the results, respectively. Results The MR analysis showed that sterol ester (27:1/18:3) decreased genetic susceptibility to longevity (90th) by reducing ethylenediaminetetraacetic acid (EDTA) levels (mediated proportion: 13.60%; mediated effect: -0.020, 95% confidence interval [CI] -0.039 to -0.002, p = 0.033); triacylglycerol (52:2) decreased genetic susceptibility to longevity (90th) by reducing EDTA levels (mediated proportion: 11.20%; mediated effect: -0.025, 95% CI -0.045 to -0.004, p = 0.020); triacylglycerol (54:5) decreased genetic susceptibility to longevity (90th) by increasing 1-arachidonoyl-gpc (20:4n6) levels (mediated proportion:8.37%; mediated effect: -0.010, 95% CI -0.021 to -9.44e-05, p = 0.048); phosphatidylcholine (O-16:0_18:2) increased genetic susceptibility to longevity (90th) by increasing EDTA levels (mediated proportion: 22.10%; mediated effect: 0.029, 95% CI 0.007-0.050, p = 0.008). MR-Egger intercept showed that these results lacked horizontal pleiotropy (p ≥ 0.05). Cochran's Q and sensitivity analysis showed that the MR results had no heterogeneity and were robust. Conclusion The MR analysis revealed four pathways through which lipidome regulates longevity via metabolites. Lipidome such as sterol ester (27:1/18:3), phosphatidylcholine (O-16:0_18:2), triacylglycerol (52:2), and triacylglycerol (54:5), as well as metabolites such as EDTA and 1-arachidonoyl-gpc (20:4n6), may play important roles in longevity.",2025,research-article; Journal Article,10.1002/brb3.70937,genetic_instrument
doi:10.1002/imt2.70150,europepmc,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9-mediated R-loop resolution.,"Decidualization deficiency is a hallmark pathology of unexplained recurrent spontaneous abortion (URSA), but the undefined molecular drivers hinder the development of effective therapies. Hyperoside, a bioactive flavonoid from Hypericum perforatum, exhibits therapeutic potential against URSA, yet its underlying mechanism of action remains unknown. In this study, we employed an integrated multi-omics approach coupled with a multi-dimensional validation framework that spanned URSA patient decidual tissues, in vivo mouse models, and in vitro telomerase-immortalized human endometrial stromal cell (T-hESC) decidualization system, to systematically investigate hyperoside's mechanism in URSA, with a focus on R-loop-driven endometrial stromal cell senescence. We found that hyperoside dose-dependently reduced embryo resorption and rescued decidualization deficiency by preventing stromal cell senescence. Mechanistically, hyperoside effectively alleviated aberrant intracellular R-loop accumulation, thereby suppressing excessive activation of the cyclic GMP-AMP synthase-stimulator of interferon genes (cGAS-STING) pathway which contributes to the initiation of the cellular senescence program. Further target identification and validation experiments confirmed that DExH-box helicase 9 (DHX9) was the functional molecular target of hyperoside, with the Thr419 residue serving as the critical binding site. Functional validation revealed that DHX9 knockdown or introduction of the T419A point mutation markedly attenuated the anti-senescence and pro-decidualization effects of hyperoside. In vivo experiments further confirmed that uterine-specific knockdown of DHX9 reduced hyperoside's protective effects against R-loop accumulation, cGAS-STING pathway activation, and embryo loss. Collectively, these findings demonstrate that hyperoside alleviates stromal cell senescence and decidualization deficiency in URSA through DHX9-dependent resolution of R-loops and subsequent suppression of cGAS-STING-associated senescence signaling. More broadly, this work identifies R-loop-mediated genomic stress as a previously underappreciated contributor to URSA-associated decidual dysfunction and provides a mechanistic basis for the protective effects of hyperoside through DHX9-dependent R-loop homeostasis.",2026,Journal Article,10.1002/imt2.70150,direct_perturbation
doi:10.1002/trc2.70286,pubmed,The proteomic and metabolomic signature of inherited chromosomally integrated HHV-6 and its role in all-cause dementia and mortality risk: The UK Biobank study.,"To examine associations of inherited chromosomally integrated human herpesvirus 6 (iciHHV-6) with incident dementia and mortality, characterize proteomic and metabolomic correlates of carrier status, and evaluate whether these biomarkers relate to dementia and mortality risk. We analyzed UK Biobank participants ≥50 years of age with plasma metabolomics ( N = 138,676) and proteomics ( N ≤ 15,416) data and ≈15 years of follow-up. Cox proportional hazards models adjusted for key confounding factors evaluated associations of iciHHV-6 with dementia and mortality. Multivariable linear models assessed iciHHV-6 associations with metabolomic and proteomic profiles. Mediation and interaction were evaluated using structural equation models and Cox models with biomarker interactions. Least absolute shrinkage and selection operator regression identified independent proteomic and metabolomic predictors using imputed biomarker data. iciHHV-6 was associated with higher dementia risk (hazard ratio [HR] = 1.32), particularly among women (HR = 1.66) and individuals with elevated Alzheimer's disease polygenic risk (HR = 1.49). Branched-chain amino acids (leucine and isoleucine) were elevated among carriers without mediating dementia risk. Proteomic analyses identified 126 nominally associated iciHHV-6-related proteins, many of which (Neurofilament Light Chain (NEFL), Glial Fibrillary Acidic Protein (GFAP), Yes-Associated Protein 1 (YAP1), Sialic Acid-binding Immunoglobulin-like Lectin 5 (SIGLEC5), Interleukin 19 (IL19), A Disintegrin And Metalloproteinase with Thrombospondin Motifs 16 (ADAMTS16), Sphingomyelin Phosphodiesterase 1 (SMPD1)) were also associated with dementia and/or mortality. Exploratory pathway analyses suggested enrichment of proteins related to immune regulation and post-translational modification. Predictive models identified NEFL, GFAP, Vascular Endothelial Growth Factor A (VEGF), Brevican (BCAN), remnant cholesterol, and polyunsaturated fatty acids as dementia predictors (area under the curve [AUC] = 0.83), whereas NEFL, Growth Differentiation Factor 15 (GDF15) Latent Transforming Growth Factor Beta Binding Protein 2 (LTBP2), Ectodysplasin A2 Receptor (EDA2R) and Advanced Glycosylation End-product Specific Receptor (AGER) predicted mortality (AUC = 0.70). iciHHV-6 was associated with increased dementia risk, particularly among women and genetically susceptible individuals, with neuroimmune and metabolic biomarker profiles potentially relevant to brain aging and mortality risk.",2026,Journal Article,10.1002/trc2.70286,sem
doi:10.1007/s00406-025-02170-1,europepmc,Cell senescence-related pathogenic genes in sleep disorders: a multi-omics Mendelian randomization study.,"Objectives Sleep disorders are multifactorial conditions influenced by genetic and environmental factors. However, the causal roles of specific cellular senescence-related genes in distinct sleep disorders subtypes remain unclear. This study aimed to dissect these relationships by integrating multi-omics data to identify potential causal pathways in sleep apnea and insomnia. Methods We conducted a multi-stage Mendelian randomization (SMR) study. We first performed an exploratory SMR analysis integrating a comprehensive list of senescence-related genes with genome-wide association study (GWAS) data for a broad sleep disorders phenotype from the FinnGen consortium. To address phenotype heterogeneity, we then performed in-depth, phenotype-specific SMR analyses for sleep apnea and insomnia, integrating data across three molecular levels: DNA methylation (mQTL), gene expression (eQTL), and protein abundance (pQTL). Significant findings were validated using colocalization, HEIDI tests, replication cohorts, and two-sample MR sensitivity analyses. Results Our discovery analysis on broad sleep disorders phenotype identified several candidate genes. Subsequent phenotype-specific analyses revealed distinct genetic architectures. Genetically predicted lower CTSB expression was associated with a reduced risk of sleep apnea (OR = 0.943, 95% CI = 0.905-0.983, P = 0.006, FDR = 0.23) a finding potentially mediated by methylation at cg19746565. Furthermore, SIRT6 emerged as a shared risk factor. Genetically predicted higher SIRT6 expression was associated with an increased risk of both sleep apnea (OR = 1.279, 95% CI = 1.124-1.456, P = 0.0002, FDR = 0.06) and insomnia (OR = 1.573, 95% CI = 1.099-2.251, P = 0.013, FDR = 0.61), with its effect on insomnia being validated in brain hypothalamus tissue. Conclusions Our multi-omics MR analysis has identified BLK, CTSB, TP53INP1, DNMT3A, ITPR1, and SLC16A7 as pivotal factors in the pathogenesis of sleep disorders. These findings provide a foundation for innovative early interventions and therapeutic strategies for sleep disorders.",2026,research-article; Journal Article,10.1007/s00406-025-02170-1,genetic_instrument
doi:10.1007/s10522-025-10372-2,pubmed,Association of plasma metabolites with epigenetic age acceleration: a two-sample Mendelian randomization study.,"Epigenetic age acceleration (EAA) is a biomarker of biological aging associated with multiple diseases. Plasma metabolites are potential targets for disease prevention. Therefore, our study aims to investigate the association between plasma metabolites and EAA. Statistics of plasma metabolites and EAA were obtained from the GWAS database. After rigorously screening the instrumental variables, we applied five Mendelian randomization methods to evaluate the relationship between each metabolite and the EAA. The robustness of the results was verified by a series of sensitivity analyses, and metabolic pathway enrichment analysis was performed for significantly associated metabolites. Our analysis identified 149 plasma metabolites associated with EAA (p < 0.05), including 46 metabolites associated with IEAA, 47 with HannumAge, 38 with GrimAge, and 41 with PhenoAge. Among these, palmitoylcarnitine levels remained correlated with EAA after multiple testing correction (P FDR < 0.05). In the enrichment analysis, 13 metabolic pathways were associated with EAA. Among them, ""cysteine and methionine metabolism"" was identified as the most significantly enriched pathway (P FDR < 0.1), and 3 metabolites in this pathway were correlated with EAA. These results demonstrated that plasma metabolomics, particularly amino acid and lipid metabolism, were associated with EAA and aging. The ""cysteine and methionine metabolism"" pathway emerged as a potential mechanism of aging, and may underpin metabolic alterations during the aging process, and its metabolites, such as methionine, 5-methylthioadenosine, and α-ketobutyrate, may serve as intervention targets.",2025,Journal Article,10.1007/s10522-025-10372-2,genetic_instrument
doi:10.1007/s10522-026-10475-4,europepmc,Genetic evidence links hypertension to accelerated brain aging.,"Hypertension affects one-third of adults and is a major comorbidity of neurocognitive disorders. The causal relationship, shared genetic architecture, and upstream mechanisms linking hypertension to brain aging remain unclear. Hypertension GWAS datasets from MVP and FinnGen R12 were meta-analyzed as the exposure, and a European-ancestry brain age gap (BAG) GWAS derived from the UK Biobank and LIFE-Adult cohorts was used as the outcome. MR and GSMR assessed causality. LDSC, HDL, and S-LDSC estimated genetic correlation. Four TWAS methods (MAGMA, FUSION, JTI-PrediXcan, FOCUS) mapped associations to genes, followed by SMR for causal validation and PoPS for prioritization. GSMAP with spatial transcriptomics characterized regional and cell-type enrichment. Hypertension and brain aging were genetically correlated, and MR and GSMR analyses suggested a causal effect of hypertension on increased brain age gap. TWAS identified 15 shared Hypertension-BAG genes, 10 supported by SMR. PoPS prioritized TRIM47 as the core gene. Shared signals were enriched in meninges, fiber tracts, cortical layer 1, and CA1 stratum lacunosum/radiatum, with cell-type enrichment in meninges, smooth muscle cells, oligodendrocytes, and astrocyte subtypes. Hypertension is genetically correlated with, and shows evidence of a causal effect on, accelerated brain aging. TRIM47 is a core gene bridging hypertension and BAG. GSMAP-based spatial enrichment provides a hypothesis-generating framework for understanding vascular, meningeal, and myelin-related pathways linking hypertension to increased brain age gap.",2026,Journal Article,10.1007/s10522-026-10475-4,genetic_instrument
doi:10.1007/s11357-025-01794-4,europepmc,Identification of gut microbiota causally associated with aging and longevity and mediation roles of the cerebrospinal fluid proteins: proteomic genetic evidence from Mendelian randomization.,"Gut microbiota (GM) is implicated in aging biology, yet its dual regulatory role in the distinct yet interconnected processes of lifespan extension and aging remains poorly understood. This study employed genetic approaches to identify GM taxa exerting causal effects on longevity and aging and assess the mediation role of cerebrospinal fluid (CSF) proteins. We leveraged summary statistics of the GM taxa (207 taxa, 7738 participants from the Dutch Microbiome Project), the CSF proteins (7008 aptamers, 3506 participants), and the longevity and aging phenotypes (UK Biobank, Longevity Genomics, and Edinburgh DataShare) from the largest genome-wide association studies so far. We performed bidirectional Mendelian randomization (MR) to explore causal relationships between GM and longevity and aging and two mediation analyses, the two-step MR and the multivariable MR (MVMR), to discover potential mediating proteins. Nine taxa exhibited causal associations with longevity-related phenotypes, such as the Bacteroides vulgatus and Blautia. Three taxa demonstrated causal associations with aging-related phenotypes, such as Streptococcus. Among them, Streptococcus was causally associated with aging (β = 0.3310, P = 0.0019) and lifespan-shortening (β = - 0.0247, P = 0.0184), while Bacteroides vulgatus associated with aging (β = 0.3884, P = 0.0204) and lifespan-promoting (β = 0.0354, P = 0.0198). Mediation MR analysis found that CSF protein CD28 mediated the causal effects of Streptococcus on longevity (mediation proportion 11.7%, P = 0.0394). These findings establish genetic links between GM, CSF proteins, and longevity and aging-related outcomes, advancing gut-brain axis understanding while offering insights for future mechanistic exploration and clinical investigation.",2026,"Research Support, Non-U.S. Gov't; research-article; Journal Article",10.1007/s11357-025-01794-4,genetic_instrument
doi:10.1007/s11357-025-02033-6,europepmc,A multi-omics analysis of human fibroblasts overexpressing an Alu transposon reveals widespread disruptions in aging-associated pathways.,"During aging and cellular senescence, repetitive elements are frequently transcriptionally derepressed across species and cell types. Among these, the most abundant repeats by copy number in the human genome are Alu retrotransposons. Though Alu elements are often studied for their mutagenic potential, there is increasing appreciation for their contributions to other biological functions, including pro-inflammatory signaling and mitochondrial dysfunction. However, a comprehensive analysis of Alu-driven molecular changes remains to be conducted, and Alu's potential contributions to aging features remain incompletely characterized. Here, we show that overexpression of an AluJb transposon in human primary IMR-90 fibroblasts leads to large-scale alterations across the transcriptome, cellular proteome, and secretome. Functional genomics analyses reveal alterations in aging pathways, broadly, and mitochondrial metabolism, proteostasis, cell cycle, and extracellular matrix pathways, more specifically. Our results demonstrate that Alu transcriptional upregulation is sufficient to drive widespread disruptions to cellular homeostasis that mirror aging-associated alterations.",2026,Journal Article,10.1007/s11357-025-02033-6,direct_perturbation
doi:10.1007/s12031-025-02314-x,europepmc,Identification of Therapeutic Targets for Premature Ovarian Failure Through Mendelian Randomization and Colocalization Analysis Using Human Plasma Proteomics.,"Premature ovarian failure (POF) accelerates ovarian aging, leading to menstrual irregularities, reduced fertility, and decreased estrogen levels. Current hormone replacement therapy (HRT) cannot reverse the aging effects, highlighting the need for more targeted treatments. Genome-wide association studies (GWAS) and protein quantitative trait loci (pQTL) analyses can identify genetic variants and protein level changes associated with POF. Mendelian randomization (MR) evaluates the causal relationships between genetic variants and POF. pQTL analysis was conducted using plasma proteomics data from 54,219 participants and baseline cohort data of 34,557 individuals of European ancestry from the UK Biobank. GWAS data comprising 542 POF cases and 218,970 controls were obtained from the FinnGen database. MR analysis utilized inverse variance weighted (IVW), MR Egger, weighted median, and weighted mode methods. Colocalization analysis was performed using the ""coloc"" R package, and pathway enrichment analysis was conducted using the ""clusterProfiler"" package. Additionally, reverse MR analysis, molecular docking predictions, and summary data-based Mendelian randomization (SMR) analysis were performed. Finally, based on the scRNA-seq data of POF, analyses such as cell type annotation, gene set scoring, and cell-cell communication were performed. MR analysis identified significant causal relationships between specific proteins (BSG, CCL23, CTSC, FAP, IGSF21, LCN15, LILRB2, MUC16, PTN, SPINK1, TNFRSF1B, TNFRSF8, TNXB, and YJU2) and POF. Colocalization analysis indicated that key proteins (BSG, CCL23, FAP, and TNXB) share causal variants with POF traits. SMR analysis confirmed TNXB as a risk factor for POF. Finally, using the scRNA-seq data of POF, the expression of key gene sets was used to evaluate the scoring of different cell populations. Cell-cell communication analysis identified multiple communication pathways between high-scoring cell populations and other cell groups. The expression trend of key proteins was further verified by western blot assay. These findings are preliminary and require significant validation before clinical application. Combining pQTL and GWAS data, MR and colocalization analyses identified key proteins and genetic variants associated with POF, providing deeper insights into POF mechanisms and potential therapeutic targets.",2025,Journal Article,10.1007/s12031-025-02314-x,genetic_instrument
