record_id,doi,title,article_only_audit_decision,europe_pmc_publication_types,europe_pmc_issues,crossref_type,crossref_issue,markdown_content_signals,decision_evidence,evidence_url
doi:10.1002/advs.202411015,10.1002/advs.202411015,Ucp1 Ablation Improves Skeletal Muscle Glycolytic Function in Aging Mice.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1002/advs.202508431,10.1002/advs.202508431,SenExo‐cCCT2 Reprograms Senescence Response and Anti‐Tumor Immunity Following FOLFIRINOX Chemotherapy in Pancreatic Ductal Adenocarcinoma,retain_full_article_or_preprint,Journal Article|research-article,38,journal-article,38,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1002/advs.202509973,10.1002/advs.202509973,TMEM131‐Mediated Soluble TRAIL Triggered Type II Alveolar Epithelial Cell Senescence in Radiation‐Induced Lung Injury,retain_full_article_or_preprint,Journal Article|research-article,6,journal-article,6,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1002/advs.202512407,10.1002/advs.202512407,Nortriptyline Inhibits Lysosomal Exocytosis‐Mediated SASP During Gastric Cancer Progression via Targeting HOXA1‐PITX2 Phase Separation,retain_full_article_or_preprint,Journal Article|research-article,46,journal-article,46,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1002/art.42815,10.1002/art.42815,Predisposal of Interferon Regulatory Factor 1 Deficiency to Accumulate DNA Damage and Promote Osteoarthritis Development in Cartilage.,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't",6,journal-article,6,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1002/cam4.1544,10.1002/cam4.1544,Molecular features in young vs elderly breast cancer patients and the impacts on survival disparities by age at diagnosis.,retain_full_article_or_preprint,Journal Article|research-article,7,journal-article,7,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1002/ctm2.1660,10.1002/ctm2.1660,Downregulated SPESP1‐driven fibroblast senescence decreases wound healing in aged mice,retain_full_article_or_preprint,"Journal Article|Research Support, Non-U.S. Gov't|research-article",5,journal-article,5,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1002/fsn3.2978,10.1002/fsn3.2978,Gut microbiome and metabolome analyses reveal the protective effect of special high-docosahexaenoic acid tuna oil on d-galactose-induced aging in mice.,retain_full_article_or_preprint,Journal Article|research-article,11,journal-article,11,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1002/hep.28563,10.1002/hep.28563,DNMT1 is a required genomic regulator for murine liver histogenesis and regeneration.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Intramural|Research Support, Non-U.S. Gov't|research-article",2,journal-article,2,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1002/jcsm.12644,10.1002/jcsm.12644,Heart and neural crest derivative 2-induced preservation of sympathetic neurons attenuates sarcopenia with aging.,retain_full_article_or_preprint,"Journal Article|Research Support, N.I.H., Extramural|research-article",1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1002/jcsm.70197,10.1002/jcsm.70197,Identifying Susceptibility Genes and Shared Genetic Architecture for Longevity and Muscle Weakness.,retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
doi:10.1007/s00011-026-02257-y,10.1007/s00011-026-02257-y,"Multivariable genome-wide analysis elucidates the shared genetic architecture, immunosenescence features, and gut-origin therapeutic targets of ulcerative colitis-associated multisystem inflammation",retain_full_article_or_preprint,Journal Article|research-article,1,journal-article,1,,No conference-abstract publication type or verified conference-object signal found.,
