record_id,doi,title,source,year,original_route,original_reason,original_exclusion_code,criterion_path_route,criterion_path_reason,criterion_path_exclusion_code,manual_triage_queue,design_anchor,multiomics_evidence,aging_title_anchor,scope_all_tracked_5_of_5,causal_all_tracked_5_of_5,abstract
doi:10.1016/j.phymed.2025.157385,10.1016/j.phymed.2025.157385,Biochanin A alleviates endothelial cell senescence via epigenetic regulation of the HDAC1/H3K4me3/NFKB1 axis,openalex,2025,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_2_aging_title,direct_perturbation,two_or_more_layers,true,true,true,"BACKGROUND: Aging is a multifaceted physiological and pathological process, with endothelial cell senescence being a pivotal contributor to vascular aging. Biochanin A (BCA), a naturally occurring flavonoid, possesses known anti-inflammatory and antioxidant properties; however, its specific role and mechanism in combating endothelial senescence are not well defined. PURPOSE: This study aimed to investigate the potential anti-senescent effects of BCA on endothelial cells and aged vasculature, and to elucidate the underlying molecular mechanisms. STUDY DESIGN: The study employed a combination of in vitro cellular models and in vivo animal models to assess the effects of BCA on senescence. Mechanistic investigations were conducted to identify key molecular targets and pathways. METHODS: In vitro, an Angiotensin II (Ang II)-induced senescence model in human umbilical vein endothelial cells (HUVECs) was used. In vivo, naturally aged mice were treated with BCA. Senescence markers and SASP factors (e.g., IL-6, IL-8) were evaluated. RNA sequencing was performed to identify potential targets. Histone modification changes were analyzed through genomic binding site analysis, CUT&Tag assays, and chromatin immunoprecipitation quantitative PCR (ChIP-qPCR). Knockdown of histone deacetylase 1 (HDAC1) was achieved using siRNA to verify its necessity. RESULTS: BCA treatment effectively attenuated senescence markers and reduced senescence-associated secretory phenotype (SASP) levels in both Ang II-induced HUVECs and naturally aged mice. RNA sequencing identified HDAC1 as a key target. Mechanistically, BCA upregulated HDAC1, which subsequently suppressed the epigenetic aging marker H3K4me3. CUT&Tag and ChIP-qPCR analyses confirmed that this reduction in H3K4me3 occurred specifically at the promoter region of NFKB1 (p50), leading to its transcriptional downregulation. This inhibition of NFKB1 suppressed NF-κB signaling and the production of SASP factors. Crucially, HDAC1 knockdown completely abolished the anti-senescence benefits of BCA. CONCLUSION: Our findings demonstrate that Biochanin A alleviates endothelial and vascular senescence by targeting the HDAC1/H3K4me3/NFKB1 axis. This epigenetic mechanism inhibits NF-κB-mediated SASP production, positioning BCA as a promising natural epigenetic modulator to restore vascular homeostasis and mitigate age-related vascular dysfunction."
doi:10.1093/toxsci/kfv243,10.1093/toxsci/kfv243,"An 8-Month Systems Toxicology Inhalation/Cessation Study in Apoe−/− Mice to Investigate Cardiovascular and Respiratory Exposure Effects of a Candidate Modified Risk Tobacco Product, THS 2.2, Compared With Conventional Cigarettes",semantic_scholar,2015,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_4_broad_candidate,direct_perturbation,two_or_more_layers,false,true,true,"Smoking cigarettes is a major risk factor in the development and progression of cardiovascular disease (CVD) and chronic obstructive pulmonary disease (COPD). Modified risk tobacco products (MRTPs) are being developed to reduce smoking-related health risks. The goal of this study was to investigate hallmarks of COPD and CVD over an 8-month period in apolipoprotein E-deficient mice exposed to conventional cigarette smoke (CS) or to the aerosol of a candidate MRTP, tobacco heating system (THS) 2.2. In addition to chronic exposure, cessation or switching to THS2.2 after 2 months of CS exposure was assessed. Engaging a systems toxicology approach, exposure effects were investigated using physiology and histology combined with transcriptomics, lipidomics, and proteomics. CS induced nasal epithelial hyperplasia and metaplasia, lung inflammation, and emphysematous changes (impaired pulmonary function and alveolar damage). Atherogenic effects of CS exposure included altered lipid profiles and aortic plaque formation. Exposure to THS2.2 aerosol (nicotine concentration matched to CS, 29.9 mg/m3) neither induced lung inflammation or emphysema nor did it consistently change the lipid profile or enhance the plaque area. Cessation or switching to THS2.2 reversed the inflammatory responses and halted progression of initial emphysematous changes and the aortic plaque area. Biological processes, including senescence, inflammation, and proliferation, were significantly impacted by CS but not by THS2.2 aerosol. Both, cessation and switching to THS2.2 reduced these perturbations to almost sham exposure levels. In conclusion, in this mouse model cessation or switching to THS2.2 retarded the progression of CS-induced atherosclerotic and emphysematous changes, while THS2.2 aerosol alone had minimal adverse effects."
doi:10.1101/2025.09.09.673285,10.1101/2025.09.09.673285,Comparative single-cell multiomic analysis reveals evolutionarily conserved and species-specific cellular mechanisms mediating natural retinal aging,semantic_scholar,2025,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_3_explicit_multiomics,direct_perturbation,explicit_multiomics,false,true,true,"Biological age is a major risk factor in the development of common degenerative retinal diseases such as age-related macular degeneration and glaucoma. To systematically characterize molecular mechanisms underlying retinal aging, we performed integrated single- cell RNA- and ATAC-Seq analyses of the retina and retinal pigment epithelium (RPE) across the natural lifespan in zebrafish, mice, and humans. By profiling gene expression and chromatin accessibility, we identified extensive cell type- and species-specific aging-dependent changes, with a much smaller number of broadly expressed and conserved genes that include regulators of inflammation and autophagy. We constructed predictive aging clocks for retinal cell types and observed dynamic, reversible shifts in cellular age following acute injury. Spatial transcriptomic analysis revealed region-specific aging signatures and proximity effects, with Müller glia exhibiting pro-rejuvenating influences on neighboring neurons. Targeted Müller glia-specific induction of Yamanaka factors reduced molecular age in rod photoreceptors and bipolar cells without altering glial age. Our findings define conserved and divergent regulatory and signaling pathways mediating retinal aging, highlighting Müller glia as potential therapeutic targets for combating age-associated retinal dystrophies."
doi:10.1111/acel.13497,10.1111/acel.13497,A trans-omic Mendelian randomization study of parental lifespan uncovers novel aging biology and therapeutic candidates for chronic diseases.,europepmc,2021,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_1_textually_focused,genetic_instrument,explicit_multiomics,true,true,true,"The study of parental lifespan has emerged as an innovative tool to advance aging biology and our understanding of the genetic architecture of human longevity and aging-associated diseases. Here, we leveraged summary statistics of a genome-wide association study including over one million parental lifespans to identify genetically regulated genes from the Genotype-Tissue Expression project. Through a combination of multi-tissue transcriptome-wide association analyses and genetic colocalization, we identified novel genes that may be associated with parental lifespan. Mendelian randomization (MR) analyses also identified circulating proteins and metabolites causally associated with parental lifespan and chronic diseases offering new drug repositioning opportunities such as those targeting apolipoprotein-B-containing lipoproteins. Liver expression of HP, the gene encoding haptoglobin, and plasma haptoglobin levels were causally linked with parental lifespan. Phenome-wide MR analyses were used to map genetically regulated genes, proteins and metabolites with other human traits as well as the disease-related phenome in the FinnGen cohorts (n = 135,638). Altogether, this study identified new candidate genes, circulating proteins and metabolites that may influence human aging as well as potential therapeutic targets for chronic diseases that warrant further investigation."
doi:10.1161/res.125.suppl_1.863,10.1161/res.125.suppl_1.863,Abstract 863: Pathological Roles of Senometabolites in Cardiovascular Disorders,semantic_scholar,2019,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_4_broad_candidate,direct_perturbation,two_or_more_layers,false,true,true,"Mechanisms contributing for the synchronization of aging are yet to be defined. Here, we define “senometabolite” as circulating metabolites having causal roles for the synchronization and progression of aging. Analyzing metabolomic studies in coronary plaque corrected with directional coronary atherectomy (DCA), we found that hydroxyl-metabolite significantly increased in patients with unstable angina compared with stable angina. We generated murine diet induced obese model and found this metabolite increased in aorta and plasma. Administration of this metabolite into human umbilical vein endothelial cells (HUVECs) induced cellular senescence, and immunofluorescence study showed that putative transhydrogenase increased in patients with atherosclerotic disorders. We did metabolomics studies in aged individuals or patients with heart failure and identified another metabolite, oxidized choline, increased under these conditions compared to respective controls. We generated murine left ventricular (LV) pressure overload model and found that oxidized choline increased both in plasma and failing heart. Administration of oxidized choline deteriorated cardiac function, in contrast, genetic model showed suppression of this metabolite ameliorated systolic dysfunction in LV pressure overload model. Proteomic study showed that oxidized choline reduced the expression of cytochrome c oxidase subunit1, and metabolomics study showed that both ATP and phosphocreatine level significantly reduced in cardiac tissues of wild type mice administrated with this metabolite. Administration of oxidized choline also reduced muscle strength, induced fibrosis in skeletal muscle, and electron microscopy showed an increase in dysfunctional mitochondria both in the heart and skeletal muscle. In aged wild type mice, metabolomic study showed oxidized choline increased in plasma. Aging process is still mysterious and continues to be an interesting topic to be explored. Our findings indicate that circulating senometabolites contribute for the progression of pathologies in age related disorders."
doi:10.3389/fimmu.2025.1656442,10.3389/fimmu.2025.1656442,Aging-associated DNA methylation of LEF1 modulates inflammation and neurodegenerative pathways,openalex,2025,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_3_explicit_multiomics,direct_perturbation,explicit_multiomics,false,true,true,"Background: Aging is accompanied by profound changes in immune regulation and epigenetic landscapes, yet the molecular drivers underlying these alterations are not fully understood. Methods: Transcriptional profiles of peripheral blood samples from young and elderly individuals, together with aging-associated methylation probe data, were used to identify aging biomarkers. Transcriptomics and chromatin immunoprecipitation sequencing (ChIP-Seq) were conducted to explore potential regulatory mechanisms. Functional validation was performed via knockdown in immune and microglial cell lines, assessing inflammatory responses and reactive oxygen species (ROS) levels. Finally, an independent cohort was recruited to validate expression and promoter methylation, with ChIP-seq and the assay for transposase-accessible chromatin with sequencing (ATAC-seq) analyses supporting epigenetic repression as the underlying mechanism. Results: LEF1 expression was significantly downregulated in elderly individuals, accompanied by increased promoter methylation, indicating age-related epigenetic repression. Integrated multi-omics analysis linked LEF1 to immune inflammation and neurodegenerative pathways. LEF1 knockdown enhanced inflammatory responses and ROS production in vitro. ChIP-seq and ATAC-seq data supported epigenetic repression as a mechanism for age-related LEF1 silencing. Conclusions: Age-related epigenetic repression of LEF1 contributes to immune-inflammatory activation and may underlie neurodegenerative processes."
doi:10.3389/fnmol.2026.1834102,10.3389/fnmol.2026.1834102,The H3K9me2-FOXG1-microRNA axis reduces cochlear hair cells damage by modulating autophagy in age-related hearing loss,semantic_scholar,2026,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_1_textually_focused,direct_perturbation,explicit_multiomics,true,true,true,"Age-related hearing loss (ARHL) is a growing global health concern due to its irreversibility and multifactorial pathogenesis. Epigenetic alterations are emerging as key drivers of aging, yet the mechanisms underlying their contribution to ARHL remain poorly understood. Here, we identified the histone H3 lysine 9 dimethylation (H3K9me2)-forkhead box G1 (FOXG1)-microRNA axis as a crucial regulator of auditory degeneration through modulation of autophagy. Using in vivo and in vitro D-galactose-induced aging models, we observed that H3K9me2 levels exhibited an inverse relationship with FOXG1 expression in cochlear hair cells. FOXG1 regulated autophagy by controlling autophagy-related microRNAs, thereby modulating reactive oxygen species accumulation and apoptosis in aging hair cells. Furthermore, a multi-omics approach delineated the broader FOXG1-mediated regulatory network driving ARHL. To our knowledge, this is the first study to comprehensively characterize the epigenetic regulation of autophagy by FOXG1 in ARHL, providing new mechanistic insights into cochlear hair cell aging and potential therapeutic targets."
doi:10.1016/j.cmet.2023.02.001,10.1016/j.cmet.2023.02.001,Multiomics reveals glutathione metabolism as a driver of bimodality during stem cell aging,semantic_scholar,2023,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_3_explicit_multiomics,direct_perturbation,explicit_multiomics,false,true,true,"Summary With age, skeletal muscle stem cells (MuSCs) activate out of quiescence more slowly and with increased death, leading to defective muscle repair. To explore the molecular underpinnings of these defects, we combined multiomics, single-cell measurements, and functional testing of MuSCs from young and old mice. The multiomics approach allowed us to assess which changes are causal, which are compensatory, and which are simply correlative. We identified glutathione (GSH) metabolism as perturbed in old MuSCs, with both causal and compensatory components. Contrary to young MuSCs, old MuSCs exhibit a population dichotomy composed of GSHhigh cells (comparable to young MuSCs) and GSHlow cells with impaired functionality. Mechanistically, we show that antagonism between NRF2 and NF-κB maintains this bimodality. Experimental manipulation of GSH levels altered the functional dichotomy of aged MuSCs. These findings identify a novel mechanism of stem cell aging and highlight glutathione metabolism as an accessible target for reversing MuSC aging."
doi:10.1016/j.phymed.2025.157432,10.1016/j.phymed.2025.157432,Huangjing Yangji Decoction ameliorates skeletal muscle aging and mitochondrial dysfunction via SIRT1/ATF5-mediated mitochondrial unfolded protein response,openalex,2025,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_3_explicit_multiomics,direct_perturbation,explicit_multiomics,false,true,true,"• HJYJD ameliorates muscle atrophy and functional decline in aged mice. • HJYJD restores mitochondrial function and reduces oxidative stress. • HJYJD activates UPR mt via the SIRT1/ATF5 pathway. • UPR mt inhibition or SIRT1/ATF5 silencing abolishes HJYJD protective effects. Sarcopenia is a progressive age-associated disorder characterized by the loss of skeletal muscle mass, strength, and function. Mitochondrial dysfunction and impaired proteostasis are central to its pathogenesis, however, effective pharmacological interventions are currently lacking. Huangjing Yangji Decoction (HJYJD), a traditional Chinese medicinal formula, has demonstrated promising clinical benefits in managing age-related muscle atrophy, but its mechanisms remain unclear. This study aimed to investigate the therapeutic effects and underlying mechanisms of HJYJD in alleviating age-related sarcopenia. The chemical constituents of HJYJD were identified using UPLC-Q-TOF/MS. Aged SAMP8 mice and D-galactose-induced C2C12 myoblasts were used to evaluate the therapeutic effects of HJYJD. Behavioral assays, histological analysis, transmission electron microscopy, immunofluorescence, biochemical assays, western blotting, qRT-PCR, and mitochondrial function probes were employed to assess muscle function, myotube differentiation, cellular senescence, oxidative stress, and mitochondrial function. Untargeted metabolomics and transcriptomic sequencing were performed to explore regulatory pathways. Key molecular markers were validated by qRT-PCR, western blotting, and immunofluorescence. Furthermore, the role of the SIRT1/ATF5-mitochondrial unfolded protein response (UPR mt ) signaling axis was explored using siRNA-mediated knockdown and pharmacological inhibition. HJYJD significantly improved muscle mass, strength, coordination, and endurance in sarcopenic mice, and attenuated cellular senescence and muscle atrophy in myotubes. Treatment with HJYJD ameliorated oxidative stress, improved mitochondrial morphology, membrane potential, and ATP production. Multi-omics data revealed that HJYJD modulated key metabolic and protein folding pathways related to mitochondrial function. Mechanistically, HJYJD activated UPR mt , as evidenced by upregulation of ClpP, LONP1, HSP60, and HSP10. These effects were abolished upon UPR mt inhibition. Furthermore, HJYJD promoted the expression of SIRT1 and ATF5, and silencing of SIRT1/ATF5 suppressed UPR mt activation and mitochondrial restoration, indicating that SIRT1/ATF5 mediates HJYJD-induced UPR mt activation. HJYJD alleviates skeletal muscle aging and mitochondrial dysfunction by activating the SIRT1/ATF5-mediated UPR mt pathway. These findings offer novel mechanistic understanding of the therapeutic potential of HJYJD and support its further development as a promising intervention for sarcopenia."
doi:10.1021/acsnano.5c10672,10.1021/acsnano.5c10672,Induced Pluripotent Stem Cell-Derived Extracellular Vesicles Prevent Neural Stem Cell Senescence to Promote Cognitive Recovery after Traumatic Brain Injury.,pubmed,2025,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,retain_for_manual_title_abstract_adjudication,direct_perturbation,two_or_more_layers,true,false,true,"Hippocampal neural stem cells (NSCs) have attracted significant attention due to their essential role in maintaining cognitive functions, such as memory and spatial orientation through neurogenesis. Cognitive impairment is a common and debilitating complication of traumatic brain injury (TBI), yet its underlying mechanisms remain poorly understood and effective clinical interventions are lacking. In this study, we observed persistent cognitive deficits in a mouse model of TBI, a phenomenon that has been widely documented in previous studies, and importantly, we found that these impairments were closely associated with increased hippocampal NSCs (H-NSCs) senescence. To investigate the cause of NSCs' senescence, we analyzed cerebrospinal fluid samples from TBI patients and hippocampal tissues from TBI mice and identified persistently elevated levels of IL-1β post TBI. In vitro, IL-1β successfully induced NSCs' senescence and suppressed neurogenesis. Induced pluripotent stem cell-derived small extracellular vesicles (iPSC-sEVs) reversed IL-1β-induced senescence and restored neurogenic potential in H-NSCs. In vivo, iPSC-sEVs alleviated cognitive deficits and H-NSC senescence after TBI. Integrated proteomic and NSC cell transcriptomic analyses revealed that the β-catenin/ID2/CDKN2B (p15 INK4b ) signaling axis plays a critical role in regulating H-NSC senescence, which was further validated through inhibitor experiments. In summary, our findings demonstrate that iPSC-sEVs attenuate NSC senescence and improve cognitive function following TBI via modulation of the β-catenin/ID2/CDKN2B (p15 INK4b ) axis."
doi:10.1101/2025.09.17.676776,10.1101/2025.09.17.676776,"Nucleosome stability safeguards cell identity, stress resilience and healthy aging.",pubmed,2025,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_4_broad_candidate,direct_perturbation,two_or_more_layers,false,true,true,"Nucleosomes are the minimal repeating units of chromatin. Their dynamic assembly and disassembly underpins chromatin organization and genome regulation. However, it remains unclear how intrinsic nucleosome stability contributes to higher-level yet fundamental cellular and organismal properties-such as preservation of cell identity, lineage specification, stress resilience and ultimately healthy aging. To address this, we tested the impact of decreased intrinsic nucleosome stability across multiple cell, tissue and organismal models by introducing histone mutants that weaken histone-histone interactions. While nucleosome instability did not broadly alter global chromatin accessibility, DNA damage, cell proliferation or viability, it impaired lineage-specific gene expression programs, altered lineage specification and activated intrinsic inflammatory and stress pathways in a manner reminiscent of aging in mouse tissues and human cells. Consistently, nucleosome instability accelerated the onset of age-associated transcriptional alterations and functional decline in Caenorhabditis elegans and Drosophila melanogaster , and reduced cellular resilience to exogenous perturbations-including environmental, epigenetic and mitotic stress-in human cells and Saccharomyces cerevisiae . These cross-species findings identify nucleosome stability as an evolutionarily conserved epigenetic safeguard that preserves cell identity and stress resilience and supports organismal function and healthy aging."
doi:10.1242/bio.062326,10.1242/bio.062326,An ARVC-5 Drosophila knock-in model reveals new functions of Tmem43 in lipid homeostasis,semantic_scholar,2026,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_4_broad_candidate,direct_perturbation,two_or_more_layers,false,true,true,"ABSTRACT Arrhythmogenic right ventricular cardiomyopathy type 5 is caused by the missense mutation S358L in the gene TMEM43 in humans. To date, the molecular mechanisms underlying the disease remain poorly understood. We established a CRISPR/Cas9 knock-in Drosophila model carrying the orthologous Tmem43p.S333L mutation to investigate these mechanisms in vivo. The resulting flies were viable but displayed reduced lifespan, smaller body size, lipid droplet accumulation, and mitochondrial defects. Proteomic and lipidomic profiling revealed a dosage-dependent misregulation of the energy metabolism, concomitant with reduced fatty acid synthesis and ß-oxidation rates, altered peroxisomal pathways, and changes in membrane phospholipid composition. Notably, phosphatidylethanolamine (PE) and phosphatidylinositol (PI) levels were elevated, while triacylglycerols were reduced. Ultrastructural analyses confirmed mitochondrial degradation in the muscle tissue of corresponding mutants. These findings establish Tmem43p.S333L knock-in flies as a robust in vivo model of ARVC-5 and support a role for TMEM43 in linking lipid homeostasis to mitochondrial energy metabolism and integrity. Mutation-derived impairments in these processes result in cardiomyopathy."
doi:10.5075/epfl-thesis-7352,10.5075/epfl-thesis-7352,"Mitochondrial unfolded protein response, its molecular mechanism and physiological impact",openalex,2016,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,retain_for_manual_title_abstract_adjudication,direct_perturbation,two_or_more_layers,false,false,true,"Mitochondria are the main producers of ATP, the energy currency of the cell, and they perform a wide array of other fundamental functions. These organelles are essential not only for cellular metabolism, but also for organismal physiology and lifespan. A recently discovered mitochondrial unfolded protein response (UPRmt) maintains the mitochondrial proteostasis by managing protein quality control (PQC) network during proteotoxic stress. Recent findings show that activation of this repair pathway improves mitochondrial function and is associated with increased longevity. My thesis aims to expand the knowledge about the UPRmt by exploring its molecular mechanism and impact on mitochondrial stress induced longevity. We performed three studies: Identification of two epigenetic UPRmt regulators (chapter 2). In collaboration with Prof. Dillinâ s laboratory (UCB, USA), we identified the conserved histone demethylases jmjd-1.2/PHF8 and jmjd-3.1/JMJD3 as positive regulators of UPRmt and longevity in response to mitochondrial electron transport chain (ETC) dysfunction across species. A systems genetics analysis of data from the BXD mouse genetic reference population (GRP) further indicates conserved roles of the mammalian orthologs of these demethylases in longevity and UPRmt signaling. These findings illustrate an evolutionary conserved epigenetic mechanism that determines the rate of aging, downstream of mitochondrial perturbations. Relation between UPRmt and TCA cycle (chapter 3). We investigated the effects of genetic perturbations of the TCA cycle on the UPRmt and lifespan. We found that downregulation of several TCA cycle enzymes induces UPRmt, but they have divergent effects on lifespan. Restricting the knockdown of these genes to early larval development stages had positive effects on longevity, which was dependent on UPRmt. We analysed the transcriptomes of C. elegans with knockdown of these TCA cycle genes and compared them with those obtained after the knockdown of other mitochondrial genes, which are known to induce the UPRmt. We identified a core set of transcripts, which change in common and which likely represent a signature of mitochondrial dysfunction associated with UPRmt induction. Bioinformatic analysis of UPRmt (chapter 4). In two collaborative studies, we investigated the UPRmt using newly collected data from the BXD mouse GRP. In the first study, we quantified the transcriptome and proteome from 40 strains of the BXD mouse GRP on two different diets. Integrated molecular profiles were used to characterize the UPRmt, which shows strikingly variant responses at the transcript and protein level that are conserved between C.elegans, mice and humans. In the second study, whole genomes of BXD GRP strains were sequenced to detect sequence variants, which were then used to find novel associations within a high coverage phenome of various traits. One of the novel associations included a missense mutation in fumarate hydratase that controls variation in the UPRmt in both mouse and C. elegans. In summary, our work characterized novel epigenetic regulators of UPRmt and associated mitochondrial stress induced longevity, described the connection between the UPRmt and the TCA cycle, and illustrated the conservation of UPRmt in a mouse GRP. These results expand the knowledge about the UPRmt and promote further investigation of its role in longevity and mitochondrial diseases."
doi:10.1016/j.cmet.2023.03.015,10.1016/j.cmet.2023.03.015,Biological age is increased by stress and restored upon recovery.,europepmc,2023,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_2_aging_title,direct_perturbation,two_or_more_layers,true,true,true,"Aging is classically conceptualized as an ever-increasing trajectory of damage accumulation and loss of function, leading to increases in morbidity and mortality. However, recent in vitro studies have raised the possibility of age reversal. Here, we report that biological age is fluid and exhibits rapid changes in both directions. At epigenetic, transcriptomic, and metabolomic levels, we find that the biological age of young mice is increased by heterochronic parabiosis and restored following surgical detachment. We also identify transient changes in biological age during major surgery, pregnancy, and severe COVID-19 in humans and/or mice. Together, these data show that biological age undergoes a rapid increase in response to diverse forms of stress, which is reversed following recovery from stress. Our study uncovers a new layer of aging dynamics that should be considered in future studies. The elevation of biological age by stress may be a quantifiable and actionable target for future interventions."
doi:10.1093/eurheartj/ehad361,10.1093/eurheartj/ehad361,Subclinical atherosclerosis and accelerated epigenetic age mediated by inflammation: a multi-omics study,semantic_scholar,2023,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_1_textually_focused,formal_mediation,explicit_multiomics,true,true,true,"Abstract Aims Epigenetic age is emerging as a personalized and accurate predictor of biological age. The aim of this article is to assess the association of subclinical atherosclerosis with accelerated epigenetic age and to investigate the underlying mechanisms mediating this association. Methods and results Whole blood methylomics, transcriptomics, and plasma proteomics were obtained for 391 participants of the Progression of Early Subclinical Atherosclerosis study. Epigenetic age was calculated from methylomics data for each participant. Its divergence from chronological age is termed epigenetic age acceleration. Subclinical atherosclerosis burden was estimated by multi-territory 2D/3D vascular ultrasound and by coronary artery calcification. In healthy individuals, the presence, extension, and progression of subclinical atherosclerosis were associated with a significant acceleration of the Grim epigenetic age, a predictor of health and lifespan, regardless of traditional cardiovascular risk factors. Individuals with an accelerated Grim epigenetic age were characterized by an increased systemic inflammation and associated with a score of low-grade, chronic inflammation. Mediation analysis using transcriptomics and proteomics data revealed key pro-inflammatory pathways (IL6, Inflammasome, and IL10) and genes (IL1B, OSM, TLR5, and CD14) mediating the association between subclinical atherosclerosis and epigenetic age acceleration. Conclusion The presence, extension, and progression of subclinical atherosclerosis in middle-aged asymptomatic individuals are associated with an acceleration in the Grim epigenetic age. Mediation analysis using transcriptomics and proteomics data suggests a key role of systemic inflammation in this association, reinforcing the relevance of interventions on inflammation to prevent cardiovascular disease."
doi:10.1182/blood-2019-132230,10.1182/blood-2019-132230,Chaperone-Mediated Autophagy Ensures Hematopoietic Stem Cell Maintenance,semantic_scholar,2019,seek_full_text,positive_causal_basis,none,seek_full_text,positive_causal_basis,none,priority_4_broad_candidate,direct_perturbation,two_or_more_layers,false,true,true,"Hematopoietic stem cells (HSC) harbor extensive self-renewal capabilities along with multilineage differentiation plasticity to sustain blood production over a lifetime. Maintenance of a fully functional proteome that can rapidly change to adjust to the status of HSC activation is facilitated in part by two major intracellular proteolytic pathways, the ubiquitin proteasome system and the autophagy/lysosomal system. Alterations in HSC proteostasis have been associated with a number of degenerative and malignant diseases, underscoring the importance of elucidating the precise contribution of components of the cellular proteostasis network to HSC maintenance. In this work, we have focused in a highly selective type of autophagy, known as chaperone-mediated autophagy (CMA), whereby individual proteins bearing a unique pentapeptide motif (KFERQ-like) are targeted for degradation in lysosomes upon binding to the heat shock cognate protein of 70 kDa (HSC70). Substrate proteins are directly translocated into the lysosomal lumen through a dedicated multiprotein translocation complex. The main component of this complex is the lysosome-associated membrane protein type 2A (LAMP-2A) that also serves as substrate receptor and is the limiting component of CMA. Using novel mouse models that allow for CMA tracking (KFERQ-Dendra mice) and for selective depletion of LAMP-2A in hematopoietic cells (Vav-iCre:LAMP2Af/f mice), we have investigated the physiological role of CMA in HSCs during steady-state and upon activation and gained novel insights on the consequences of CMA failure in these cells in aging. Our work revealed that the basal CMA activity detected in quiescent HSC under steady-state conditions is significantly stimulated upon HSC activation following 5-fluorouracil (5-FU) in vivo exposure. This upregulation of CMA is necessary to ensure HSCs persistence during activation because, upon serial 5-FU injections, CMA-deficient HSCs had a significantly reduced multilineage reconstitution ability with premature bone marrow failure. We found reduced long-term colony formation of CMA-deficient HSCs in serial colony formation assays and demonstrated that these cells had a significant and progressive disadvantage of repopulating lethally-irradiated congenic recipient mice upon serial bone marrow transplantation. We also found that CMA becomes increasingly important for the maintenance of functional HSCs in aging, since as mice age, CMA-deficient HSCs showed an even greater functional defect compared to age-mated control-derived HSCs. Using comparative transcriptomics and metabolomics on HSCs from control and LAMP-2A-deficient mice, we found evidence for metabolic alterations and dysfunctional redox signaling. We confirmed that CMA-deficient HSCs have reduced rates of glycolysis, lower ATP production and higher reactive oxygen species levels than control cells. Deficient cellular energetics and increased oxidative stress are important consequences of CMA failure in HSC, since supplementation with pyruvate or treatment with anti-oxidant agents (i.e. N-acetyl-cysteine) was sufficient to restore CMA-deficient HSC function, as measured by serial colony formation. Proteomic analysis of CMA-deficient Lin-Scal+c-Kit+ (LSK) cells revealed an overall increase of acetylated and oxidized proteins, including key metabolic enzymes and proteins required for the cellular response to oxidative stress. We propose that, upon CMA failure, the inability of HSC cells to timely turning over these regulatory proteins, favors accumulation of unwanted post-translational modifications that interfere with their normal functioning. Together, our findings suggest that CMA upregulation during HSCs activation is required for the proteome remodeling that facilitates transition from quiescent to activated cells. By assuring timely turnover of selected proteins, CMA sustains the metabolic adaptation required to meet these cells' energetic needs and assures an efficient cellular response to stress. No relevant conflicts of interest to declare."
