source,branch,record_id,title,abstract,year,doi,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match,reviewer_retrieval_relevant,reviewer_aging_relevant,reviewer_multiomics_valid,reviewer_formal_causal_basis,reviewer_design_family,reviewer_notes
semantic_scholar,layer_pair,d490757875f9b009e6607212bb054778c5fc1997,Mitochondrial network responses in oxidative physiology and disease,"Mitochondrial activities are linked directly or indirectly to all cellular functions in aerobic eukaryotes. Omics methods enable new approaches to study functional organization of mitochondria and their adaptive and maladaptive network responses to bioenergetic fuels, physiologic demands, environmental challenges and aging. In this review, we consider mitochondria collectively within a multicellular organism as a macroscale “mitochondriome”, functioning to organize bioenergetics and metabolism as an organism utilizes environmental resources and protects against environmental threats. We address complexities of knowledgebase-driven functional mapping of mitochondrial systems and then consider data-driven network mapping using omics methods. Transcriptome-metabolome-wide association study (TMWAS) shows connectivity and organization of nuclear transcription with mitochondrial transport systems in cellular responses to mitochondria-mediated toxicity. Integration of redox and respiratory measures with TMWAS shows central redox hubs separating systems linked to oxygen consumption rate and H2O2 production. Combined redox proteomics, metabolomics and transcriptomics further shows that physiologic network structures can be visualized separately from toxicologic networks. These data-driven integrated omics methods create new opportunities for mitochondrial systems biology.",2017,10.1016/j.freeradbiomed.2018.01.005,metabolomics;proteomics;transcriptomics,True,True,True,,,,,,
semantic_scholar,layer_pair,ddd0d56f4f88054aaecd7153b03a7c10ea4a3334,Identification of disease- and headache-specific mediators and pathways in migraine using blood transcriptomic and metabolomic analysis,"Background Recent data suggest that gene expression profiles of peripheral white blood cells can reflect changes in the brain. We aimed to analyze the transcriptome of peripheral blood mononuclear cells (PBMC) and changes of plasma metabolite levels of migraineurs in a self-controlled manner during and between attacks. Methods Twenty-four patients with migraine were recruited and blood samples were collected in a headache-free (interictal) period and during headache (ictal) to investigate disease- and headache-specific alterations. Control samples were collected from 13 age- and sex-matched healthy volunteers. RNA was isolated from PBMCs and single-end 75 bp RNA sequencing was performed using Illumina NextSeq 550 instrument followed by gene-level differential expression analysis. Functional analysis was carried out on information related to the role of genes, such as signaling pathways and biological processes. Plasma metabolomic measurement was performed with the Biocrates MxP Quant 500 Kit. Results We identified 144 differentially-expressed genes in PBMCs between headache and headache-free samples and 163 between symptom-free patients and controls. Network analysis revealed that enriched pathways included inflammation, cytokine activity and mitochondrial dysfunction in both headache and headache-free samples compared to controls. Plasma lactate, succinate and methionine sulfoxide levels were higher in migraineurs while spermine, spermidine and aconitate were decreased during attacks. Conclusions It is concluded that enhanced inflammatory and immune cell activity, and oxidative stress can play a role in migraine susceptibility and headache generation.",2021,10.1186/s10194-021-01285-9,metabolomics;transcriptomics,False,False,False,,,,,,
semantic_scholar,layer_pair,4c91d781da2c10e0738144d245709aeb0876f27c,The molecular impact of cigarette smoking resembles aging across tissues,"Tobacco smoke is the main cause of preventable mortality worldwide. Smoking increases the risk of developing many diseases and has been proposed as an aging accelerator. Yet, the molecular mechanisms driving smoking-related health decline and aging acceleration in most tissues remain unexplored. Here, we use data from the Genotype-Tissue Expression Project (GTEx) to perform a characterization of the effect of cigarette smoking across human tissues. We perform a multi-tissue analysis across 46 human tissues. Our multi-omics characterization includes analysis of gene expression, alternative splicing, DNA methylation, and histological alterations. We further analyze ex-smoker samples to assess the reversibility of these molecular alterations upon smoking cessation. We show that smoking impacts tissue architecture and triggers systemic inflammation. We find that in many tissues, the effects of smoking significantly overlap those of aging. Specifically, both age and smoking upregulate inflammatory genes and drive hypomethylation at enhancers (odds ratio (OR) = 2). In addition, we observe widespread smoking-driven hypermethylation at target regions of the Polycomb repressive complex (OR = 2), which is a well-known aging effect. Smoking-induced epigenetic changes overlap causal aging CpGs, suggesting that these methylation changes may directly mediate the aging acceleration observed in smokers. Finally, we find that smoking effects that are shared with aging are more persistent over time. Overall, our multi-tissue and multi-omic analysis of the effects of cigarette smoking provides an extensive characterization of the impact of tobacco smoke across tissues and unravels the molecular mechanisms driving smoking-induced tissue homeostasis decline and aging acceleration.",2025,10.1186/s13073-025-01485-x,epigenomics;transcriptomics,True,True,True,,,,,,
semantic_scholar,layer_pair,6d735f974187f5cf2dab575a16eca9eae0cac417,Proteomics and metabolomics in ageing research: from biomarkers to systems biology,"Age is the single greatest risk factor for a wide range of diseases, and as the mean age of human populations grows steadily older, the impact of this risk factor grows as well. Laboratory studies on the basic biology of ageing have shed light on numerous genetic pathways that have strong effects on lifespan. However, we still do not know the degree to which the pathways that affect ageing in the lab also influence variation in rates of ageing and age-related disease in human populations. Similarly, despite considerable effort, we have yet to identify reliable and reproducible ‘biomarkers’, which are predictors of one’s biological as opposed to chronological age. One challenge lies in the enormous mechanistic distance between genotype and downstream ageing phenotypes. Here, we consider the power of studying ‘endophenotypes’ in the context of ageing. Endophenotypes are the various molecular domains that exist at intermediate levels of organization between the genotype and phenotype. We focus our attention specifically on proteins and metabolites. Proteomic and metabolomic profiling has the potential to help identify the underlying causal mechanisms that link genotype to phenotype. We present a brief review of proteomics and metabolomics in ageing research with a focus on the potential of a systems biology and network-centric perspective in geroscience. While network analyses to study ageing utilizing proteomics and metabolomics are in their infancy, they may be the powerful model needed to discover underlying biological processes that influence natural variation in ageing, age-related disease, and longevity.",2017,10.1042/ebc20160083,metabolomics;proteomics,True,True,True,,,,,,
semantic_scholar,layer_pair,7d73cdf6abec7314a1dc98ea71be95d356e012bf,A multi-omics longitudinal aging dataset in primary human fibroblasts with mitochondrial perturbations,"Aging is a process of progressive change. To develop biological models of aging, longitudinal datasets with high temporal resolution are needed. Here we report a multi-omics longitudinal dataset for cultured primary human fibroblasts measured across their replicative lifespans. Fibroblasts were sourced from both healthy donors (n = 6) and individuals with lifespan-shortening mitochondrial disease (n = 3). The dataset includes cytological, bioenergetic, DNA methylation, gene expression, secreted proteins, mitochondrial DNA copy number and mutations, cell-free DNA, telomere length, and whole-genome sequencing data. This dataset enables the bridging of mechanistic processes of aging as outlined by the “hallmarks of aging”, with the descriptive characterization of aging such as epigenetic age clocks. Here we focus on bridging the gap for the hallmark mitochondrial metabolism. Our dataset includes measurement of healthy cells, and cells subjected to over a dozen experimental manipulations targeting oxidative phosphorylation (OxPhos), glycolysis, and glucocorticoid signaling, among others. These experiments provide opportunities to test how cellular energetics affect the biology of cellular aging. All data are publicly available at our webtool: https://columbia-picard.shinyapps.io/shinyapp-Lifespan_Study/ Measurement(s) gene expression assay • DNA Methylation • Telomere Length • Seahorse Bioenergetics • mtDNA copy number • Whole Genome Sequencing • Cytokine • cell-free DNA • mtDNA sequencing • cell-free GDF15 • cell-free IL6 Technology Type(s) Illumina HiSeq. 4000 • Illumina epic array • Real Time PCR • Seahorse XFe96 • Real Time PCR • Luminex 200 • ELISA Factor Type(s) time grown in culture Sample Characteristic - Organism Homo sapiens Sample Characteristic - Environment cell culture Sample Characteristic - Location contiguous United States of America",2021,10.1038/s41597-022-01852-y,epigenomics;genomics;transcriptomics,True,True,True,,,,,,
semantic_scholar,layer_pair,03873a3425894d96b3727fb50d8ff32eddd4c608,Immune Evasion Strategies of Schistosomes,"Human schistosomes combat the unique immune systems of two vastly different hosts during their indirect life cycles. In gastropod molluscs, they face a potent innate immune response composed of variable immune recognition molecules and highly phagocytic hemocytes. In humans, a wide variety of innate and adaptive immune processes exist in proximity to these parasites throughout their lifespan. To survive and thrive as the second most common parasitic disease in humans, schistosomes have evolved many techniques to avoid and combat these targeted host responses. Among these techniques are molecular mimicry of host antigens, the utilization of an immune resistant outer tegument, the secretion of several potent proteases, and targeted release of specific immunomodulatory factors affecting immune cell functions. This review seeks to describe these key immune evasion mechanisms, among others, which schistosomes use to survive in both of their hosts. After diving into foundational observational studies of the processes mediating the establishment of schistosome infections, more recent transcriptomic and proteomic studies revealing crucial components of the host/parasite molecular interface are discussed. In order to combat this debilitating and lethal disease, a comprehensive understanding of schistosome immune evasion strategies is necessary for the development of novel therapeutics and treatment plans, necessitating the discussion of the numerous ways in which these parasitic flatworms overcome the immune responses of both hosts.",2021,10.3389/fimmu.2020.624178,proteomics;transcriptomics,True,True,True,,,,,,
semantic_scholar,layer_pair,e2fde7bdc6fa3c3af3ff16fcb8bb8a1b12651445,Baseline Gut Metagenomic Functional Gene Signature Associated with Variable Weight Loss Responses following a Healthy Lifestyle Intervention in Humans,"Recent human feeding studies have shown how the baseline taxonomic composition of the gut microbiome can determine responses to dietary interventions, but the exact functional determinants underlying this phenomenon remain unclear. In this study, we set out to better understand interactions between baseline BMI, metabolic health, diet, gut microbiome functional profiles, and subsequent weight changes in a human cohort that underwent a healthy lifestyle intervention. ABSTRACT Recent human feeding studies have shown how the baseline taxonomic composition of the gut microbiome can determine responses to weight loss interventions. However, the functional determinants underlying this phenomenon remain unclear. We report a weight loss response analysis on a cohort of 105 individuals selected from a larger population enrolled in a commercial wellness program, which included healthy lifestyle coaching. Each individual in the cohort had baseline blood metabolomics, blood proteomics, clinical labs, dietary questionnaires, stool 16S rRNA gene sequencing data, and follow-up data on weight change. We generated additional targeted proteomics data on obesity-associated proteins in blood before and after intervention, along with baseline stool metagenomic data, for a subset of 25 individuals who showed the most extreme weight change phenotypes. We built regression models to identify baseline blood, stool, and dietary features associated with weight loss, independent of age, sex, and baseline body mass index (BMI). Many features were independently associated with baseline BMI, but few were independently associated with weight loss. Baseline diet was not associated with weight loss, and only one blood analyte was associated with changes in weight. However, 31 baseline stool metagenomic functional features, including complex polysaccharide and protein degradation genes, stress-response genes, respiration-related genes, and cell wall synthesis genes, along with gut bacterial replication rates, were associated with weight loss responses after controlling for age, sex, and baseline BMI. Together, these results provide a set of compelling hypotheses for how commensal gut microbiota influence weight loss outcomes in humans. IMPORTANCE Recent human feeding studies have shown how the baseline taxonomic composition of the gut microbiome can determine responses to dietary interventions, but the exact functional determinants underlying this phenomenon remain unclear. In this study, we set out to better understand interactions between baseline BMI, metabolic health, diet, gut microbiome functional profiles, and subsequent weight changes in a human cohort that underwent a healthy lifestyle intervention. Overall, our results suggest that the microbiota may influence host weight loss responses through variable bacterial growth rates, dietary energy harvest efficiency, and immunomodulation.",2021,10.1128/msystems.00964-21,metabolomics;microbiomics;proteomics,False,True,False,,,,,,
semantic_scholar,layer_pair,5ed38e07363fa178a6a573aa2fc4543d5e65092d,Present Status and Future Challenges of New Therapeutic Targets in Preclinical Models of Stroke in Aged Animals with/without Comorbidities,"The aging process, comorbidities, and age-associated diseases are closely dependent on each other. Cerebral ischemia impacts a wide range of systems in an age-dependent manner. However, the aging process has many facets which are influenced by the genetic background and epigenetic or environmental factors, which can explain why some people age differently than others. Therefore, there is an urgent need to identify age-related changes in body functions or structures that increase the risk for stroke and which are associated with a poor outcome. Multimodal imaging, electrophysiology, cell biology, proteomics, and transcriptomics, offer a useful approach to link structural and functional changes in the aging brain, with or without comorbidities, to post-stroke rehabilitation. This can help us to improve our knowledge about senescence firstly, and in this context, aids in elucidating the pathophysiology of age-related diseases that allows us to develop therapeutic strategies or prevent diseases. These processes, including potential therapeutical interventions, need to be studied first in relevant preclinical models using aged animals, with and without comorbidities. Therefore, preclinical research on ischemic stroke should consider age as the most important risk factor for cerebral ischemia. Furthermore, the identification of effective therapeutic strategies, corroborated with successful translational studies, will have a dramatic impact on the lives of millions of people with cerebrovascular diseases.",2018,10.3390/ijms19020356,proteomics;transcriptomics,True,True,True,,,,,,
semantic_scholar,layer_pair,6dbdc39cca639e559ae4d5be7c0a0f5fb05d1214,Identification of driver genes for critical forms of COVID-19 in a deeply phenotyped young patient cohort,"The drivers of critical coronavirus disease 2019 (COVID-19) remain unknown. Given major confounding factors such as age and comorbidities, true mediators of this condition have remained elusive. We used a multi-omics analysis combined with artificial intelligence in a young patient cohort where major comorbidities were excluded at the onset. The cohort included 47 “critical” (in the intensive care unit under mechanical ventilation) and 25 “non-critical” (in a non-critical care ward) patients with COVID-19 and 22 healthy individuals. The analyses included whole-genome sequencing, whole-blood RNA sequencing, plasma and blood mononuclear cell proteomics, cytokine profiling, and high-throughput immunophenotyping. An ensemble of machine learning, deep learning, quantum annealing, and structural causal modeling were used. Patients with critical COVID-19 were characterized by exacerbated inflammation, perturbed lymphoid and myeloid compartments, increased coagulation, and viral cell biology. Among differentially expressed genes, we observed up-regulation of the metalloprotease ADAM9. This gene signature was validated in a second independent cohort of 81 critical and 73 recovered patients with COVID-19 and was further confirmed at the transcriptional and protein level and by proteolytic activity. Ex vivo ADAM9 inhibition decreased severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) uptake and replication in human lung epithelial cells. In conclusion, within a young, otherwise healthy, cohort of individuals with COVID-19, we provide the landscape of biological perturbations in vivo where a unique gene signature differentiated critical from non-critical patients. We further identified ADAM9 as a driver of disease severity and a candidate therapeutic target. Description Critical COVID-19 in a young, comorbidity-free patient cohort is driven by a distinct gene expression signature. Understanding COVID-19 in young individuals As we gain more insight into the drivers of coronavirus disease 2019 (COVID-19), it is essential that these drivers be understood in the context of different populations, including those thought to be at low risk of developing severe disease. Here, Carapito et al. used a multi-omics approach to identify drivers of critical COVID-19 in a young, comorbidity-free patient cohort. The authors used an ensemble of machine learning, deep learning, quantum annealing, and structural causal modeling to identify multiple candidate driver genes, including the metalloprotease, ADAM9. Together, these findings suggest that drivers of critical COVID-19, and thus treatment, may differ based on the cohort.",2021,10.1126/scitranslmed.abj7521,genomics;proteomics;transcriptomics,False,True,False,,,,,,
semantic_scholar,layer_pair,d2022171f1475a92b35d5030f1eecde7c0c27727,A circulating subset of iNKT cells mediates antitumor and antiviral immunity,"Invariant natural killer T (iNKT) cells are a group of innate-like T lymphocytes that recognize lipid antigens. They are supposed to be tissue resident and important for systemic and local immune regulation. To investigate the heterogeneity of iNKT cells, we recharacterized iNKT cells in the thymus and peripheral tissues. iNKT cells in the thymus were divided into three subpopulations by the expression of the natural killer cell receptor CD244 and the chemokine receptor CXCR6 and designated as C0 (CD244−CXCR6−), C1 (CD244−CXCR6+), or C2 (CD244+CXCR6+) iNKT cells. The development and maturation of C2 iNKT cells from C0 iNKT cells strictly depended on IL-15 produced by thymic epithelial cells. C2 iNKT cells expressed high levels of IFN-γ and granzymes and exhibited more NK cell–like features, whereas C1 iNKT cells showed more T cell–like characteristics. C2 iNKT cells were influenced by the microbiome and aging and suppressed the expression of the autoimmune regulator AIRE in the thymus. In peripheral tissues, C2 iNKT cells were circulating that were distinct from conventional tissue-resident C1 iNKT cells. Functionally, C2 iNKT cells protected mice from the tumor metastasis of melanoma cells by enhancing antitumor immunity and promoted antiviral immune responses against influenza virus infection. Furthermore, we identified human CD244+CXCR6+ iNKT cells with high cytotoxic properties as a counterpart of mouse C2 iNKT cells. Thus, this study reveals a circulating subset of iNKT cells with NK cell–like properties distinct from conventional tissue-resident iNKT cells. Description A circulating subset of iNKT cells with NK cell-like properties drives effective antitumor and antiviral immunity. Circulating iNKT cells protect Invariant natural killer T (iNKT) cells are tissue-resident, innate-like T cells that recognize lipid antigens and are involved in immune regulation. The heterogeneity and development of iNKT cell populations has not been well defined; thus, Cui et al. used various mouse models, transcriptomics, flow cytometry, and histology to better understand iNKT subpopulations. The authors uncovered a circulating population of iNKT cells that expressed CD244 and CXCR6 and were distinct from conventional iNKT cells in mice and humans. This iNKT subset depended on IL-15+ medullary thymic epithelial cells for development and maturation. The circulating iNKT cells were highly cytotoxic and protected mice from melanoma metastasis and influenza infection. Thus, the authors uncovered a population of circulating iNKT cells that were highly cytotoxic and protective against various insults.",2022,10.1126/sciimmunol.abj8760,microbiomics;transcriptomics,True,True,True,,,,,,
