record_id,doi,title,year,source,design_anchor,pmid,pmcid,is_preprint
doi:10.1002/alz.12278,10.1002/alz.12278,Neuroscience Next 2020 Abstracts,2020,openalex,not_assessed,,,false
doi:10.1002/ctm2.1006,10.1002/ctm2.1006,"Metabolic dysregulation in patients with premature ovarian insufficiency revealed by integrated transcriptomic, methylomic and metabolomic analyses",2022,openalex,not_assessed,,,false
doi:10.1002/ctm2.317,10.1002/ctm2.317,A folate receptor 3 SNP promotes mitochondria‐induced clonogenicity of CML leukemia cells: Implications for treatment free remission,2021,openalex,direct_perturbation,,,false
doi:10.1002/ctm2.70395,10.1002/ctm2.70395,Customised virus‐like particles: Opening a new chapter for clinical precision gene therapy,2025,openalex,not_assessed,,,false
doi:10.1002/hon.2950,10.1002/hon.2950,Differential transcriptomic profiling in ibrutinib‐naïve versus ibrutinib‐resistant Richter syndrome,2021,semantic_scholar,not_assessed,34806797,,false
doi:10.1002/wps.20675,10.1002/wps.20675,The crossroads of psychiatric epigenomics,2019,openalex,not_assessed,,,false
doi:10.1007/s00112-022-01643-0,10.1007/s00112-022-01643-0,Abstracts der 96. Wissenschaftlichen Tagung der Gesellschaft für Pädiatrische Onkologie und Hämatologie (GPOH),2022,semantic_scholar,not_assessed,,9672627,false
doi:10.1016/j.jid.2019.07.004,10.1016/j.jid.2019.07.004,Genome-wide association study of acne inversa in a multi-ethnic cohort,2019,semantic_scholar,not_assessed,,,false
doi:10.1093/ije/dyaa075,10.1093/ije/dyaa075,Cohort Profile: The Leipzig Research Center for Civilization Diseases–Heart Study (LIFE-Heart),2020,openalex,not_assessed,,,false
doi:10.1093/lifemedi/lnac018,10.1093/lifemedi/lnac018,The secret of youth: how is systemic rejuvenation achieved at the single cell level?,2022,openalex,not_assessed,,,false
doi:10.1093/lifemedi/lnac022,10.1093/lifemedi/lnac022,When spermatogenesis meets human aging and elevated body mass,2022,semantic_scholar,not_assessed,36817553,9927908,false
doi:10.1093/lifemedi/lnae020,10.1093/lifemedi/lnae020,Unlocking heart anti-aging potential: the SIRT2-STAT3-CDKN2B pathway as a bridge between fiction and reality,2024,openalex,not_assessed,,,false
doi:10.1093/neuonc/noab260,10.1093/neuonc/noab260,Long telomeres in need of a SNP: Germline contributions of telomere maintenance to glioma,2021,openalex,not_assessed,,,false
doi:10.1093/neuonc/noy148.258,10.1093/neuonc/noy148.258,COMP-03. TUMOR CONNECTOME: INSIGHT INTO THE IMPACT OF CNS NEOPLASIA AND THERAPY ON THE BRAIN NETWORK,2018,semantic_scholar,not_assessed,,,false
doi:10.1093/nsr/nwx146,10.1093/nsr/nwx146,cGAS-STING pathway in senescence-related inflammation,2017,openalex,not_assessed,,,false
doi:10.1093/nsr/nwy136,10.1093/nsr/nwy136,Genome tagging project: tag every protein in mice through ‘artificial spermatids’,2018,openalex,not_assessed,,,false
doi:10.1093/plphys/kiaa059,10.1093/plphys/kiaa059,On the Inside,2021,openalex,not_assessed,,,false
doi:10.1095/biolreprod.113.108985,10.1095/biolreprod.113.108985,WORLD OF REPRODUCTIVE BIOLOGY: Epigenetics: Get Them While They're Young,2013,openalex,not_assessed,,,false
doi:10.1095/biolreprod.114.117291,10.1095/biolreprod.114.117291,WORLD OF REPRODUCTIVE BIOLOGY: IVF--It's the Hormones,2014,openalex,not_assessed,,,false
doi:10.1095/biolreprod.114.117887,10.1095/biolreprod.114.117887,WORLD OF REPRODUCTIVE BIOLOGY: Mendel Meets Imprinting,2014,openalex,not_assessed,,,false
doi:10.1096/fj.202100317,10.1096/fj.202100317,"The 2020 FASEB virtual Catalyst Conference on Integrative Approach for Complex Diseases Prevention and Management and Beyond, December 16, 2020",2021,openalex,not_assessed,,,false
doi:10.1097/01.jcma.0001096048.54396.64,10.1097/01.jcma.0001096048.54396.64,Title Index,2024,openalex,not_assessed,,,false
doi:10.1097/hjh.0b013e32834ee23c,10.1097/hjh.0b013e32834ee23c,Essential hypertension,2011,openalex,not_assessed,,,false
doi:10.1101/2025.06.19.660635,10.1101/2025.06.19.660635,Downregulation of LATS1/2 Drives Endothelial Senescence-Associated Stemness (SAS) and Atherothrombotic Lesion Formation,2025,europepmc,direct_perturbation,,,false
doi:10.1104/pp.104.900273,10.1104/pp.104.900273,On the Inside,2008,openalex,not_assessed,,,false
doi:10.1104/pp.110.161430,10.1104/pp.110.161430,Flavonoids and Isoflavonoids: From Plant Biology to Agriculture and Neuroscience,2010,openalex,not_assessed,,,false
doi:10.1104/pp.113.900456,10.1104/pp.113.900456,On the Inside,2013,openalex,not_assessed,,,false
doi:10.1104/pp.17.00972,10.1104/pp.17.00972,On the Inside,2017,openalex,not_assessed,,,false
doi:10.1111/1751-7915.12181,10.1111/1751-7915.12181,Silent clusters – speak up!,2014,openalex,not_assessed,,,false
doi:10.1111/bjd.21182,10.1111/bjd.21182,P60: Merkel cell cancer: the need to standardize care,2022,semantic_scholar,not_assessed,,,false
doi:10.1111/exd.12771,10.1111/exd.12771,All is balanced: inter‐ α ‐trypsin inhibitors as unseen extracellular matrix proteins in epidermal morphology and differentiation,2015,openalex,not_assessed,,,false
doi:10.1111/gbb.12646,10.1111/gbb.12646,Sex differences in mechanisms of disease,2020,openalex,not_assessed,,,false
doi:10.1111/jcmm.71017,10.1111/jcmm.71017,dock11 Knockdown in Zebrafish Disrupts Embryogenesis: Insights Into the Genetic Causes of Early Pregnancy Loss,2026,openalex,not_assessed,,,false
doi:10.1111/jdi.12150,10.1111/jdi.12150,Epigenetics: Reprogrammable interface of the genome and environments,2013,semantic_scholar,not_assessed,24843748,4023571,false
doi:10.1111/nbu.12575,10.1111/nbu.12575,Vitamin D: One hundred years on,2022,openalex,not_assessed,,,false
doi:10.1113/jp283190,10.1113/jp283190,Maternal obesity: influencing the heart right from the start,2022,openalex,not_assessed,,,false
doi:10.1113/jp287235,10.1113/jp287235,Epigenome–proteome integration in aged skeletal muscle after exercise training,2024,openalex,not_assessed,,,false
doi:10.1126/science.aau4732,10.1126/science.aau4732,Effects of microbiota-directed foods in gnotobiotic animals and undernourished children,2019,semantic_scholar,not_assessed,31296738,6683325,false
doi:10.1155/s1110724302207032,10.1155/s1110724302207032,All We Are Saying Is Give Plants a Chance!,2002,semantic_scholar,not_assessed,12488573,161369,false
doi:10.1158/1538-7445.am2025-sy02-01,10.1158/1538-7445.am2025-sy02-01,Abstract SY02-01: Inflammatory memory and selective advantage in human clonal hematopoiesis,2025,semantic_scholar,not_assessed,,,false
doi:10.1165/rcmb.2019-0156ed,10.1165/rcmb.2019-0156ed,RNA Sequencing: A Potentiator of Discovery-based Research,2019,semantic_scholar,not_assessed,31091961,6827071,false
doi:10.1165/rcmb.2021-0238ed,10.1165/rcmb.2021-0238ed,Integrated 'Omics in Idiopathic Pulmonary Fibrosis: Where Do We Go from Here?,2021,semantic_scholar,not_assessed,34181861,8525198,false
doi:10.1186/gm394,10.1186/gm394,Pharmacogenomics: a key component of personalized therapy,2012,semantic_scholar,not_assessed,23194652,3580426,false
doi:10.1186/s13027-022-00435-1,10.1186/s13027-022-00435-1,"Abstracts from “Chronic viral infection and cancer, openings for vaccines” virtual symposium of the TechVac network",2022,semantic_scholar,not_assessed,35804458,9263433,false
doi:10.1212/nxg.0000000000000100,10.1212/nxg.0000000000000100,"19th Workshop of the International Stroke Genetics Consortium, April 28–29, 2016, Boston, Massachusetts, USA",2017,semantic_scholar,not_assessed,28428977,,false
doi:10.2215/cjn.14931218,10.2215/cjn.14931218,Assessing Clinical Relevance of Uremic Toxins,2019,openalex,not_assessed,,,false
doi:10.3389/fimmu.2026.1718849,10.3389/fimmu.2026.1718849,UNC93B1 promotes pancreatic cancer progression through modulation of cGAS–STING signaling,2026,semantic_scholar,not_assessed,41716413,12913547,false
doi:10.3389/fpls.2025.1550190,10.3389/fpls.2025.1550190,A micropeptide regulates seed desiccation,2025,openalex,not_assessed,,,false
doi:10.34067/kid.0000000000000347,10.34067/kid.0000000000000347,Prognostic Value of Oxylipins for the Development of ESKD,2024,openalex,not_assessed,,,false
doi:10.4081/ejtm.2026.14960,10.4081/ejtm.2026.14960,"Abstract | 009 | Lecture - FES in mice, rats and men: adaptation and recovery in aging rodent muscle",2026,semantic_scholar,direct_perturbation,,,false
doi:10.4103/1673-5374.217328,10.4103/1673-5374.217328,Can we treat neurodegenerative diseases by preventing an age-related decline in microRNA expression?,2017,openalex,not_assessed,,,false
