record_id,title,primary_manual_review_reason,primary_failure_role,primary_failure_errors
doi:10.1002/aro2.70036,Fasting and Refeeding Mediated Phospholipid Remodeling Plays an Important Role in Improving Meat Quality of Aged Laying Hens,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of title: 'laying hens'"", ""Evidence quote is not an exact substring of title: 'laying hens'""]"
doi:10.1002/jcsm.70002,Exogenous Nucleotides Supplementation Attenuates Age-Related Sarcopenia.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'SAMP8 mice and C2C12 cells were used'"", ""Evidence quote is not an exact substring of abstract: 'SAMP8 mice and C2C12 cells'""]"
doi:10.1002/ygh2.341,Letter: management of patients with chronic hepatitis C failing repeated courses of interferon‐free DAA combination therapy: a translational research perspective with clinical impact,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'studies with multicentric pooled patient populations'"", ""Evidence quote is not an exact substring of abstract: 'are war‐ranted to provide'""]"
doi:10.1016/j.ecoenv.2026.119676,Dysregulation of atrazine-associated core gene networks and risk prediction in human cancers: Insights from integrated transcriptomics and network toxicology analyses.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'human cancers'"", ""Evidence quote is not an exact substring of abstract: 'human cancers'""]"
doi:10.1016/j.kint.2024.04.017,DNA methyltransferase 1 (DNMT1) promotes cyst growth and epigenetic age acceleration in autosomal dominant polycystic kidney disease.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'MBD-seq, DNMT1 chromatin immunoprecipitation (ChIP)-sequencing and RNA-sequencing analysis'"", ""Evidence quote is not an exact substring of abstract: 'whole-genome bisulfite sequencing'""]"
doi:10.1016/j.phymed.2026.158183,Astragaloside IV delays vascular aging by enhancing mitochondrial fatty acid β-oxidation via the MLXIPL-PPARα/PGC-1α axis.,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'MLXIPL knockdown and overexpression techniques.'"", ""Evidence quote is not an exact substring of abstract: 'MLXIPL knockdown and overexpression techniques'""]"
doi:10.1038/s41420-026-03036-8,NFATC2-mediated CST1 upregulation drives cholangiocarcinoma growth and metastasis.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'CST1 overexpression suppressed cellular senescence markers'"", ""Evidence quote is not an exact substring of abstract: 'CST1 overexpression suppressed cellular senescence markers'""]"
doi:10.1038/s41598-023-27903-x,Investigation of genetic variants and causal biomarkers associated with brain aging.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'MR for all metabolomic biomarkers'"", ""Evidence quote is not an exact substring of abstract: 'MR for all metabolomic biomarkers and blood-related phenotypes'""]"
doi:10.1093/jmcb/mjag005,Sarm1-containing extrachromosomal circular DNA promotes aging-associated cardiac fibrosis via TGF-β/Smad activation.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'In this study, circular DNA sequencing and RNA seqensing were performed'"", ""Evidence quote is not an exact substring of abstract: 'circular DNA sequencing and RNA seqensing were performed'""]"
doi:10.1093/neuped/wuaf001.003,ATRT-03. Targeting nuclear export as a potent therapeutic strategy in atypical teratoid/rhabdoid tumors,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'We demonstrate that XPO1 is a dependency in AT/RT'"", ""Evidence quote is not an exact substring of abstract: 'AT/RT is an aggressive brain cancer'""]"
doi:10.1097/hep.0000000000001304,"CAD manipulates tumor intrinsic DHO/UBE4B/NF-κB pathway and fuels macrophage cross-talk, promoting hepatocellular carcinoma metastasis.",role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: \""HCC patients' lifespan\"""", ""Evidence quote is not an exact substring of abstract: \""PVTT, an indicator of clinical metastasis, significantly shortens hepatocellular carcinoma (HCC) patients' lifespan\""""]"
doi:10.1101/2022.07.11.22277435,Systems-level patterns in biological processes are changed under prolongevity interventions and across biological age,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'across biological age'"", ""Evidence quote is not an exact substring of abstract: 'DIRAC analyses of liver proteomics and transcriptomics show'""]"
doi:10.1101/2024.05.06.592653,Functional and multi-omic aging rejuvenation with GLP-1R agonism,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'GLP-1RA treatment attenuates body-wide age-related changes.'"", ""Evidence quote is not an exact substring of abstract: 'GLP-1RA treatment'""]"
