source,source_record_id,title,abstract,year,publication_date,doi,pmid,pmcid,authors,venue,document_type,language,url,is_preprint,raw_page,local_multiomics_match,local_explicit_multiomics_match,local_layer_pair_match,local_omics_layer_count,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match
springernature,doi:10.1007/s10522-026-10484-3,Research progress of traditional Chinese medicine interventions for aging-related nervous system diseases,"Aging-related neurological disorders, including stroke, Alzheimer’s disease (AD), Parkinson’s disease (PD), epilepsy, and various neuroinflammatory conditions, affect over three billion individuals worldwide and constitute leading causes of morbidity, disability, and socioeconomic burdens. Aging contributes not only to the increased incidence of these disorders but also to their progression through interconnected mechanisms, including endothelial dysfunction, oxidative stress, chronic inflammation, mitochondrial dysfunction, cellular senescence, metabolic imbalance, and gut microbiota dysbiosis. These processes collectively impair neuronal survival, synaptic plasticity, and cognitive and motor functions. Traditional Chinese medicine (TCM), with its characteristic multi-component and multi-target therapeutic strategies, has emerged as a promising approach to counteract age-associated neurological decline. Accumulating preclinical studies suggest that TCM interventions may exert neuroprotective, anti-inflammatory, and antioxidant effects, modulate autophagy, restore metabolic homeostasis, and potentially delay cellular senescence. However, high-quality clinical evidence on safety and efficacy remains limited. This review summarizes current insights into the molecular interplay between aging and neurological disorders and highlights the therapeutic potential of TCM in targeting hallmarks of aging, providing perspectives for integrative prevention and treatment strategies for neurodegenerative and neurovascular diseases.",2026,2026-08-01,10.1007/s10522-026-10484-3,,,"Du, Xingyuan; Shen, Ziheng; Xu, Yuanhao; Song, Weichu; Guo, Yanan; Kou, Junping; Gong, Shuaishuai; Ren, Qianqian",Biogerontology,ReviewPaper; Review Article,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10522-026-10484-3,False,page_0001.json.gz,False,False,False,0,,True,True,False
springernature,doi:10.1007/s10142-026-02001-z,Cross-species functional transcriptomic analysis distinguishes conserved aging-niche remodeling from inflammatory fibroblast heterogeneity in cardiac aging and heart failure,"Cardiac aging is accompanied by inflammatory and extracellular-matrix remodeling, but the extent to which aging-associated fibroblast programs are reproducibly altered in human heart failure remains unclear. We integrated mouse cardiac aging single-cell RNA sequencing, human cardiac aging resources, adult human cardiac fibroblast single-cell data, and two independent human left-ventricular heart-failure cohorts. Mouse fibroblast subclustering identified an old-enriched inflammatory/stress state (Fib0) that expanded from approximately 2.3% of fibroblasts in young mice to 33.4% in old mice. The same discovery-derived signatures were then applied without redefinition to human datasets. A conserved cardiac aging niche score (CCANS) was increased in both heart-failure cohorts and showed a positive random-effects standardized mean difference (Hedges g = 1.04, 95% CI 0.53 to 1.55; P = 6.32 × 10⁻⁵). In contrast, Fib0-marker and inflammatory-fibroblast scores showed marked between-cohort heterogeneity, precluding their interpretation as uniformly reactivated heart-failure states. Adult human heart fibroblast data localized Fib0-like activity to defined fibroblast states, and reanalysis of published IL-1β-stimulated human cardiac fibroblasts supported inducibility of the inflammatory/NF-κB/CEBP core. These findings support conserved remodeling of a cardiac aging niche program across heart failure while identifying context-dependent divergence of individual inflammatory fibroblast signatures.",2026,2026-08-01,10.1007/s10142-026-02001-z,,,"LI, Yimeng",Functional & Integrative Genomics,OriginalPaper; Research,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s10142-026-02001-z,False,page_0001.json.gz,False,False,False,1,transcriptomics,True,False,False
springernature,doi:10.1007/s11357-026-02453-y,Genome-wide analysis of subcortical aging identifies a spatially structured pattern of genetic associations,"Local brain age (LBA) is a spatially resolved biomarker of brain aging that captures regional deviations from chronological age, yet its genetic architecture in the subcortex remains unexplored. Here, we present the first genome-wide association study (GWAS) of subcortical LBA, estimated using a deep neural network applied to T1-weighted MRI scans from 41,957 cognitively normal participants in the UK Biobank. We computed LBA across 14 subcortical structures and identified 14 significant single-nucleotide polymorphisms (SNPs) across nine independent loci. These variants map to genes involved in cellular homeostasis, gene regulation, and synaptic and developmental signaling. A prominent signal emerged at the 17q21.31 haplotype, encompassing MAPT -related regulatory architecture, with significant associations across all subcortical regions. Across loci, we observed a recurring spatial pattern in which effect sizes are relatively larger in metabolically central structures such as the pallidum and thalamus compared to limbic regions. Together, these findings support a spatially structured pattern of genetic associations in subcortical brain aging. This work supports subcortical LBA as a genetically informed phenotype and provides a framework for linking common genetic variation to region-specific vulnerability and resilience in neurodegenerative disease.",2026,2026-08-01,10.1007/s11357-026-02453-y,,,"Kim, Nicholas J.; Mishra, Ayati; Yu, Jeremy S.; Vega, Owen M.; Chaudhari, Nikhil N.; Liu, Fangyun C.; Irimia, Andrei",GeroScience,OriginalPaper; ORIGINAL ARTICLE,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s11357-026-02453-y,False,page_0001.json.gz,False,False,False,1,genomics,True,False,False
springernature,doi:10.1038/s41380-026-03797-9,"Advancing Alzheimer’s disease research in China: insights, innovations, and future directions from the chinese preclinical Alzheimer’s disease study (CPAS)","This review delves into the advancements in Alzheimer’s Disease (AD) research in China, focusing on insights, innovations, and future directions derived from the Chinese Preclinical Alzheimer’s Disease Study (CPAS). With an aging population, AD prevalence has risen, increasing societal and economic burdens. CPAS, initiated in 2019, aims to identify early Alzheimer’s pathology using plasma biomarkers and PET imaging. The study includes participants across the cognitive spectrum, including cognitively unimpaired individuals, patients with mild cognitive impairment (MCI), and patients with dementia, undergoing comprehensive assessments. Key findings include the impact of Aβ-PET on diagnosis and management, risk factors for amyloid pathology, and the expansion of biomarkers to include synaptic and other PET imaging markers. Future directions involve exploring disease-modifying therapies and applying multi-omics approaches to enhance the understanding and treatment of AD. These efforts are crucial for advancing personalized medicine and improving therapeutic outcomes in China and globally.",2026,2026-08-01,10.1038/s41380-026-03797-9,,,"Wang, Jie; Huang, Lin; Li, Binyin; Guo, Qihao; Xie, Fang",Molecular Psychiatry,ReviewPaper; Expert Review,en,https://www.nature.com/articles/s41380-026-03797-9,False,page_0001.json.gz,True,True,False,0,,True,False,False
springernature,doi:10.1007/s13534-026-00605-9,Digital twin for neurological conditions: a systematic scoping review,"Digital twin technology has emerged as a promising approach for advancing precision medicine in complex diseases, particularly in neurology. This scoping review aimed to systematically map the current literature on digital twin applications in neurological conditions, focusing on study characteristics, modeling approaches, data sources, and clinical applications. A comprehensive search across six databases from inception to February 2026 identified 36 studies that met the inclusion criteria. The findings demonstrated a rapid increase in publications since 2023, with Alzheimer’s disease ( n = 14) and stroke ( n = 12) representing the most frequently studied conditions. Data-driven and machine learning–based models were the most common approaches, followed by mechanistic and hybrid models. Major application domains included clinical trial optimization, disease progression modeling, risk prediction, and personalized treatment. However, most studies were proof-of-concept or retrospective in design, with limited external validation and no randomized controlled trials identified. Additionally, many models lacked continuous real-time data integration, indicating that few met the criteria of fully dynamic digital twins. These findings suggest that while digital twins hold substantial potential to transform precision neurology, significant challenges remain in terms of methodological rigor, standardization, and clinical translation. Future research should prioritize prospective validation, integration of multimodal real-world data, and the development of standardized frameworks to support safe and effective implementation.",2026,2026-08-01,10.1007/s13534-026-00605-9,,,"Youn, Bo-Young; Park, Soohyuk; Song, Dahyun; Nam, Ki Chang",Biomedical Engineering Letters,ReviewPaper; Review Article,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s13534-026-00605-9,False,page_0001.json.gz,False,False,False,0,,False,True,False
springernature,doi:10.1007/s43555-026-00094-y,A Review Article on the Health Benefits of Black Tea and its Oxidized Compounds,"Purpose of review Black tea is one of the most widely consumed beverages globally and has been associated with several health-promoting effects due to its rich content of polyphenols, amino acids, and caffeine. This review aims to critically evaluate current evidence on the biological activities, health benefits, and major bioactive constituents of black tea, while also examining its emerging applications in cosmetic formulations and highlighting key research gaps requiring further investigation. Recent Findings Recent studies have demonstrated that the health-promoting effects of black tea are largely attributed to its polyphenols, caffeine, and amino acids, including theanine and gamma-aminobutyric acid. Current evidence suggests that regular black tea consumption may reduce the risk of non-communicable diseases, cardiovascular disorders, and neurodegenerative conditions through antioxidant, anti-inflammatory, and neuroprotective mechanisms, while also contributing to the prevention of dental caries and bone loss, promoting psychological well-being through relaxation and stress reduction, and demonstrating potential applications in cosmetic and skincare formulations owing to the antioxidant and protective properties of its bioactive compounds. Summary Black tea and its bioactive compounds, including polyphenols, amino acids, and caffeine, have been associated with a wide range of biological activities that may support human health and well-being. While black tea shows potential in therapeutic, nutraceutical, and cosmetic applications, further well-designed clinical trials and mechanistic molecular studies are required to validate these effects and elucidate the underlying mechanisms. Future research should focus on dose standardization, long-term safety, bioavailability, and the development of black tea–based functional foods and cosmetic products.",2026,2026-08-01,10.1007/s43555-026-00094-y,,,"Piyasena, K. G. Nelum P.; Medagama, Arjuna B.; Siriwardhane, K. D. P. Upesha",Current Food Science and Technology Reports,ReviewPaper; Review,en,http://link.springer.com/openurl/fulltext?id=doi:10.1007/s43555-026-00094-y,False,page_0001.json.gz,False,False,False,0,,False,False,False
springernature,doi:10.1038/s41514-026-00462-x,Epigenetics drives oocyte aging: from mechanisms to interventions,"Oocyte aging is a major cause of age-related fertility decline. This Review summarizes how DNA methylation disruption, aberrant histone modifications, RNA modifications and non-coding RNA dysregulation impair chromatin integrity, meiosis, mitochondrial function and developmental competence. We further discuss epigenetic and metabolism-oriented interventions, including NAD^+ precursors, sirtuin activation and antioxidants, highlighting mechanistic opportunities and translational limitations for improving aged oocyte quality.",2026,2026-08-01,10.1038/s41514-026-00462-x,,,"Jia, Hui; Zhou, Jiawei; Ma, Binbin; Gan, Mailin; Chen, Lei; Zhou, Xiaofeng; Shen, Linyuan; Zhu, Li; Wang, Yan",npj Aging,ReviewPaper; Review,en,https://www.nature.com/articles/s41514-026-00462-x.pdf,False,page_0001.json.gz,False,False,False,1,epigenomics,True,True,False
springernature,doi:10.1186/s43168-026-00621-4,Recent advances in early post-liver transplant pulmonary complications,"Postoperative pulmonary complications (PPCs) in the early period following liver transplantation represent a significant clinical issue contributing to increased morbidity and mortality. This systematic review examines the pathophysiological mechanisms, risk factors, and prevention strategies for PPCs. Key pathophysiological drivers include dysregulated inflammatory responses (e.g., neutrophil extracellular trap release), impaired right heart-lung vascular interactions, and intestinal microbiota translocation. Primary risk factors comprise preoperative hepatic reserve, pulmonary dysfunction, and intraoperative fluid overload. Prevention and management strategies emphasize perioperative multidisciplinary collaboration: preoperative pulmonary rehabilitation and nutritional supplementation can mitigate inflammation; intraoperative goal-directed fluid management and lung-protective ventilation reduce pulmonary edema risk; and early postoperative rehabilitation enhances quality of life. Promising future directions including microbiome modulation and multi-omics analysis hold potential to optimize personalized intervention strategies and improve long-term patient outcomes, though their clinical efficacy remains to be further validated.",2026,2026-08-01,10.1186/s43168-026-00621-4,,,"Cao, Jialin; Jiang, Yongmei; Yu, Sijiang",The Egyptian Journal of Bronchology,Letter; Comment,en,http://link.springer.com/openurl/fulltext?id=doi:10.1186/s43168-026-00621-4,False,page_0001.json.gz,True,True,False,1,microbiomics,False,True,False
springernature,doi:10.1038/s41564-026-02433-0,Microbiota-derived 10-hydroxystearic acid activates PPARα to restore gut epithelial barrier integrity and enhance anti-retroviral therapy,"Lactiplantibacillus plantarum -derived fatty-acid metabolite, 10-hydroxystearic acid, interacts directly with PPARα to alter histone crotonylation and the transcriptional landscape which leads to gut barrier functional repair and enhanced viral suppression in non-human primate models when combined with anti-retroviral therapy. HIV infection disrupts gut epithelial barrier integrity and mucosal immunity, driving chronic inflammation and disease progression which are not fully resolved despite anti-retroviral therapy. Here we identify the microbiota-derived octadecanoid-hydroxy-fatty-acid metabolite 10-hydroxystearic acid (10-HSA), produced by Lactiplantibacillus plantarum , as a key mediator of gut epithelial barrier repair in human intestinal epithelial cells in vitro, ex vivo and in the non-human primate model of HIV/AIDS. X-ray crystallography and transcriptomics combined with functional analyses revealed that 10-HSA directly binds PPARα, inducing lipid metabolism, mitochondrial regeneration and subsequent epigenetic histone crotonylation, thereby promoting gut epithelial renewal. Co-administration of 10-HSA with anti-retroviral therapy in SIV-infected macaques accelerated viral suppression, resolved systemic inflammation, repaired gut epithelial integrity and recovered the gut microbiota. These findings identify a microbiota-derived lipid metabolite–PPARα–histone crotonylation axis that activates gut epithelial regeneration. This study defines a host–microbiome metabolic pathway that restores epithelial–immune homeostasis and enhances the efficacy of anti-retroviral therapy.",2026,2026-08-01,10.1038/s41564-026-02433-0,,,"Kramer, Dylan; Santos Rocha, Clarissa; Gaulke, Christopher A.; Nearing, Marie; Sankaran-Walters, Sumathi; Loque, Ikaika; Kidigannappa, Anugraha; Pham, Eric; Hu, Shuang; Wanakumjorn, Patrawin; Abbattista, Ramona; Dandekar, Abhaya; Faller, Roland; Dandekar, Satya",Nature Microbiology,OriginalPaper; Article,en,https://www.nature.com/articles/s41564-026-02433-0,False,page_0001.json.gz,True,False,True,3,metabolomics;microbiomics;transcriptomics,False,False,False
springernature,doi:10.1038/s41582-026-01238-3,Astrocytic lipid dysregulation as an early driver of neurodegeneration,"This Review highlights the central role of astrocytes in brain lipid homeostasis and reviews evidence for astrocytic lipid dysregulation in various neurodegenerative diseases, including Alzheimer disease, Parkinson disease, amyotrophic lateral sclerosis, frontotemporal dementia and Huntington disease. The authors propose that targeting of astrocytic lipid homeostasis represents a promising strategy for preventing or minimizing neurodegeneration. Astrocytes have traditionally been cast as supportive glia, but they are increasingly recognized as metabolic hubs that regulate cholesterol synthesis, fatty acid detoxification, lipid droplet dynamics and redox homeostasis in the CNS. Neurons have a limited intrinsic capacity for lipid storage and detoxification and rely heavily on astrocytes to maintain a safe lipid environment. Emerging evidence indicates that dysregulation of astrocytic lipid homeostasis precedes overt neuronal degeneration in a range of neurodegenerative diseases, including Alzheimer disease, Parkinson disease, amyotrophic lateral sclerosis, frontotemporal dementia and Huntington disease. Perturbations in astrocytic lipid handling can drive maladaptive reactive states, promote oxidative stress, impair lysosomal and mitochondrial function and disrupt neuron–glia lipid exchange, collectively creating an environment that leads to neurodegeneration. Therefore, lipid dysregulation within astrocytes could trigger or amplify neuronal vulnerability. In this Review, we assess evidence that astrocytic lipid metabolism is not solely protective or pathological but has instructive physiological roles and that astrocytic lipid dysregulation is an early driver of neurodegeneration. We critically evaluate disease-specific evidence, distinguishing correlative observations from causal mechanisms. We propose that targeting of astrocytic lipid homeostasis represents a promising strategy for preventing or minimizing neurodegeneration and opens new avenues for early detection and biomarker development. Astrocytes are key regulators of CNS lipid metabolism, providing essential structural, metabolic and trophic support to neurons. Astrocytic lipid dysregulation precedes neuronal degeneration across multiple neurodegenerative diseases. Neurons rely on astrocytes for cholesterol synthesis, fatty acid detoxification, lipid droplet management and redox balance. Impaired astrocytic lipid handling triggers reactive states, oxidative stress, organelle dysfunction and disrupted neuron–glia lipid exchange. Targeting of astrocytic lipid homeostasis offers promising therapeutic, diagnostic and biomarker opportunities in the context of neurodegenerative disease.",2026,2026-08-01,10.1038/s41582-026-01238-3,,,"Kim, Woojin Scott; Halliday, Glenda M.",Nature Reviews Neurology,ReviewPaper; Review Article,en,https://www.nature.com/articles/s41582-026-01238-3,False,page_0001.json.gz,False,False,False,0,,False,True,False
