record_id,doi,title,year,source,design_anchor,pmid,pmcid,is_preprint
doi:10.1001/jamapsychiatry.2024.1429,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity",2024,openalex,genetic_instrument,,,false
doi:10.1002/advs.202502249,10.1002/advs.202502249,ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy.,2025,europepmc,direct_perturbation,40641410,PMC12499416,false
doi:10.1002/advs.202514269,10.1002/advs.202514269,Gut-Metabolome-Proteome Interactions in Age-Related Hearing Loss: Insights from Fecal Microbiota Transplantation and Multi-Omics Analyses.,2026,europepmc,direct_perturbation,41618858,PMC13042867,false
doi:10.1002/advs.202515370,10.1002/advs.202515370,Medicago Sativa L. Saponin‐Driven Lactobacillus Intestinalis Restores Intestinal Stemness in Naturally Aged Mice via the Bile Acid‐FXR‐Wnt Signaling Axis,2025,semantic_scholar,direct_perturbation,41144719,12822443,false
doi:10.1002/advs.202521633,10.1002/advs.202521633,The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice.,2026,pubmed,direct_perturbation,41704039,PMC13137840,false
doi:10.1002/ccs3.70045,10.1002/ccs3.70045,Integrated genomics reveals cellular senescence-driven molecular networks and immune crosstalk in myopia pathogenesis.,2025,europepmc,direct_perturbation,40989170,PMC12450603,false
doi:10.1002/ctm2.70527,10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging,2025,semantic_scholar,direct_perturbation,41251087,12623838,false
doi:10.1002/fsn3.71826,10.1002/fsn3.71826,Protocatechuic Acid Alleviates D‐Gal‐Induced Renal Senescence and Injury in Mice by Regulating Taurine Metabolism,2026,semantic_scholar,direct_perturbation,42079010,13135117,false
doi:10.1002/imo2.70128,10.1002/imo2.70128,A uterine‐centric view of reproductive senescence: Genetic insights into late‐life performance in laying hens,2026,openalex,genetic_instrument,,,false
doi:10.1002/imt2.70150,10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9‐mediated R‐loop resolution,2026,semantic_scholar,direct_perturbation,42504169,13401611,false
doi:10.1007/s10753-026-02526-2,10.1007/s10753-026-02526-2,Inhibition of MyD88 in Tubular Epithelial Cells Alleviates the Cellular Senescence in Sepsis-Associated Acute Kidney Injury,2026,semantic_scholar,direct_perturbation,42154076,13364797,false
doi:10.1007/s11306-023-02022-w,10.1007/s11306-023-02022-w,The metabolic contribution of SKN-1/Nrf2 to the lifespan of Caenorhabditis elegans.,2023,europepmc,direct_perturbation,37289273,,false
doi:10.1007/s13238-021-00894-z,10.1007/s13238-021-00894-z,"Unveiling E2F4, TEAD1 and AP-1 as regulatory transcription factors of the replicative senescence program by multi-omics analysis.",2022,europepmc,direct_perturbation,35023014,PMC9233726,false
doi:10.1016/j.archger.2025.105765,10.1016/j.archger.2025.105765,Causal relationship between gut microbiota and ageing: A multi-omics Mendelian randomization study.,2025,semantic_scholar,genetic_instrument,39988416,,false
doi:10.1016/j.ccell.2024.09.002,10.1016/j.ccell.2024.09.002,Midkine as a driver of age-related changes and increase in mammary tumorigenesis,2024,semantic_scholar,direct_perturbation,39366375,11560576,false
doi:10.1016/j.celrep.2024.115099,10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.,2025,europepmc,direct_perturbation,39723892,,false
doi:10.1016/j.celrep.2025.116795,10.1016/j.celrep.2025.116795,Age-independent and targetable transcription factor networks regulating CD8+ T cell senescence in aging humans,2025,semantic_scholar,direct_perturbation,41481417,12856879,false
doi:10.1016/j.cels.2021.09.005,10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.,2022,europepmc,direct_perturbation,34666007,PMC8776606,false
doi:10.1016/j.devcel.2023.05.015,10.1016/j.devcel.2023.05.015,Genetic perturbation of AMP biosynthesis extends lifespan and restores metabolic health in a naturally short-lived vertebrate.,2023,europepmc,direct_perturbation,37321215,,false
doi:10.1016/j.drup.2026.101415,10.1016/j.drup.2026.101415,The RELA-FTH1 axis in senescent cancer-associated fibroblasts creates a stromal iron sink that drives ferroptosis resistance and therapy failure across solid malignant tumors.,2026,europepmc,direct_perturbation,42284685,,false
doi:10.1016/j.exger.2025.112815,10.1016/j.exger.2025.112815,Acupuncture modulates ovarian senescence through metabolic reprogramming: A multi-omics investigation in chemotherapy - induced POF model.,2025,europepmc,direct_perturbation,40623466,,false
doi:10.1016/j.freeradbiomed.2025.08.053,10.1016/j.freeradbiomed.2025.08.053,The m6A modification-mediated upregulation of ETS2 translation drives arsenic-induced spermatogonial senescence.,2025,europepmc,direct_perturbation,40865778,,false
doi:10.1016/j.ijbiomac.2026.151713,10.1016/j.ijbiomac.2026.151713,Multi omics analysis reveals senescence associated genes in metabolic dysfunction associated steatohepatitis related liver cancer and their functional validation.,2026,semantic_scholar,genetic_instrument,41933769,,false
doi:10.1016/j.intimp.2026.116452,10.1016/j.intimp.2026.116452,"Cyclosporine A ameliorates ulcerative colitis by inhibiting cellular senescence, modulating the JAK2-STAT3/NF-κB signaling pathway, and regulating the gut microbiota-metabolite axis.",2026,semantic_scholar,direct_perturbation,41780079,,false
doi:10.1016/j.jare.2026.07.047,10.1016/j.jare.2026.07.047,Bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis.,2026,europepmc,direct_perturbation,42501863,,false
doi:10.1016/j.jhazmat.2025.140429,10.1016/j.jhazmat.2025.140429,Integrative epidemiological and spatial multi-omics analyses reveal SPP1⁺ macrophages with senescence-like features as key mediators linking NO₂ exposure to coronary heart disease.,2025,europepmc,genetic_instrument,41232188,,false
doi:10.1016/j.jhazmat.2026.142949,10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome,2026,openalex,direct_perturbation,,,false
doi:10.1016/j.jnutbio.2023.109498,10.1016/j.jnutbio.2023.109498,L-Isoleucine reverses hyperammonemia-induced myotube mitochondrial dysfunction and post-mitotic senescence,2023,semantic_scholar,direct_perturbation,37871767,10841977,false
