record_id,doi,title,draft_reviewer_type,draft_decision,first_failed_criterion,supporting_section_ids,draft_rationale,human_confirmation
doi:10.1002/alz.12278,10.1002/alz.12278,Neuroscience Next 2020 Abstracts,AI_assisted_draft,exclude,EC1,chunk:0005;chunk:0049;chunk:0063,"Conference-abstract compilation containing multiple unrelated studies; evidence cannot be combined across embedded abstracts as one primary report.",confirmed_by_user
doi:10.1002/ccs3.70045,10.1002/ccs3.70045,Integrated genomics reveals cellular senescence-driven molecular networks and immune crosstalk in myopia pathogenesis.,AI_assisted_draft,exclude,EC4,chunk:0007;chunk:0012;chunk:0015,"The current molecular dataset is RNA-seq. Predicted mRNA-miRNA/TF interactions and mouse gene perturbations do not establish a second measured or analytically used omics layer.",confirmed_by_user
doi:10.1002/ctm2.70395,10.1002/ctm2.70395,Customised virus-like particles: Opening a new chapter for clinical precision gene therapy,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Commentary on previously reported gene-delivery studies rather than a primary empirical analysis by the current report.",pending
doi:10.1002/wps.20675,10.1002/wps.20675,The crossroads of psychiatric epigenomics,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Narrative synthesis of psychiatric epigenomics and epigenetic aging rather than a current primary empirical study.",pending
doi:10.1007/s00112-022-01643-0,10.1007/s00112-022-01643-0,Abstracts der 96. Wissenschaftlichen Tagung der Gesellschaft für Pädiatrische Onkologie und Hämatologie (GPOH),AI_assisted_draft,exclude,EC1,chunk:0001;chunk:0005;chunk:0009,"Proceedings containing many separate conference abstracts, not one primary empirical report at the indexed DOI level.",confirmed_by_user
doi:10.1016/j.jare.2026.07.047,10.1016/j.jare.2026.07.047,Bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis.,AI_assisted_draft,assessed,,chunk:0004;chunk:0048;chunk:0051,"Primary aging/senescence intervention study integrating RNA-seq and ATAC-seq; BR-CARS perturbation is evaluated in cells and an in-vivo osteoarthritis model.",pending
doi:10.1093/lifemedi/lnac018,10.1093/lifemedi/lnac018,The secret of youth: how is systemic rejuvenation achieved at the single cell level?,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001;chunk:0002,"Commentary that attributes the single-cell transcriptomic study and findings to Ma and colleagues rather than reporting a current primary analysis.",pending
doi:10.1093/neuonc/noy148.258,10.1093/neuonc/noy148.258,COMP-03. TUMOR CONNECTOME: INSIGHT INTO THE IMPACT OF CNS NEOPLASIA AND THERAPY ON THE BRAIN NETWORK,AI_assisted_draft,exclude,EC3,chunk:0001,"The target conference abstract concerns tumor-related MRI/connectome analysis and does not analyze an aging process.",pending
doi:10.1093/nsr/nwy136,10.1093/nsr/nwy136,Genome tagging project: tag every protein in mice through ‘artificial spermatids’,AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0001,"Perspective proposing a future mouse genome-tagging resource rather than a primary empirical study.",pending
doi:10.1096/fj.202100317,10.1096/fj.202100317,"The 2020 FASEB virtual Catalyst Conference on Integrative Approach for Complex Diseases Prevention and Management and Beyond, December 16, 2020",AI_assisted_draft,exclude,EC1,chunk:0000;chunk:0011,"Conference report summarizing presentations and an attendee survey, not a primary biological multi-omics study.",pending
