record_id,title,provenance,final_decision,final_exclusion_code,decision_reason,five_request_route_exact,five_request_route_sequence,all_tracked_fields_exact,disagreement_fields
doi:10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity",primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/advs.202502249,ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy.,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.layer_candidates;causal_method_reviewer.design_families
doi:10.1002/advs.202514269,Gut-Metabolome-Proteome Interactions in Age-Related Hearing Loss: Insights from Fecal Microbiota Transplantation and Multi-Omics Analyses.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.1002/advs.202515370,Medicago Sativa L. Saponin‐Driven Lactobacillus Intestinalis Restores Intestinal Stemness in Naturally Aged Mice via the Bile Acid‐FXR‐Wnt Signaling Axis,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/advs.202521633,The Age-Dependent Resident Myonuclear Multi-Omic Response to an Acute Skeletal Muscle Hypertrophic Stimulus in Mice.,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/ccs3.70045,Integrated genomics reveals cellular senescence-driven molecular networks and immune crosstalk in myopia pathogenesis.,primary,manual_review,none,full_text_scope_route_disagreement_or_unresolved,False,"[""exclude:EC4"", ""manual_review:causal_not_run"", ""exclude:EC4"", ""exclude:EC4"", ""manual_review:causal_not_run""]",False,scope_reviewer.multiomics_evidence
doi:10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/fsn3.71826,Protocatechuic Acid Alleviates D‐Gal‐Induced Renal Senescence and Injury in Mice by Regulating Taurine Metabolism,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/imo2.70128,A uterine‐centric view of reproductive senescence: Genetic insights into late‐life performance in laying hens,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",True,
doi:10.1002/imt2.70150,Hyperoside alleviates endometrial stromal cell senescence in unexplained recurrent spontaneous abortion via DHX9‐mediated R‐loop resolution,primary,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,causal_method_reviewer.design_families
doi:10.1007/s10753-026-02526-2,Inhibition of MyD88 in Tubular Epithelial Cells Alleviates the Cellular Senescence in Sepsis-Associated Acute Kidney Injury,primary_scope_plus_causal_recovery,assessed,none,five_of_five_same_positive_full_text_causal_basis,True,"[""assessed"", ""assessed"", ""assessed"", ""assessed"", ""assessed""]",False,scope_reviewer.multiomics_evidence
