source,branch,record_id,title,abstract,year,doi,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match,reviewer_retrieval_relevant,reviewer_aging_relevant,reviewer_multiomics_valid,reviewer_formal_causal_basis,reviewer_design_family,reviewer_notes
pubmed,layer_pair,42310952,Genome-wide association study of untargeted plasma metabolomic profiles identifies host genetic regulation in people with HIV.,"People with human immunodeficiency virus (PWH) exhibit accelerated aging and a higher prevalence of aging-related conditions, despite effective antiretroviral therapy. The biological mechanisms involved remain incompletely understood. Integrating genomic and metabolomic profiling may help uncover genes and pathways contributing to aging-related disease in this population. Using a genome-wide association study framework and untargeted metabolomic profiling, we searched for associations between human genetic variants and the plasma concentrations of 1,930 putative metabolites in 1,244 individuals enrolled in the Swiss HIV Cohort Study. We performed an expression quantitative trait locus (eQTL) colocalization analysis to explore biological links between genetic variants and metabolites and used Mendelian randomization to search for causal relationships between metabolites and aging-related diseases. We identified 27 metabolites significantly associated with 12 genetic loci, including genes encoding the metabolic enzymes NAT8 and FUT2; 10 associations had been previously reported in general-population studies, of which eight were replicated in our analysis. The colocalization analyses provided evidence for a large overlap between genetic regulation of mRNA expression and metabolite levels, while Mendelian randomization suggested several causal effects. Our study uncovered genetic-metabolic associations observed in PWH and explored their biological relevance. These findings highlight the potential of integrated multi-omics profiling to deepen mechanistic understanding and inform future precision approaches to comorbidity management in this population.",2026,10.1016/j.xhgg.2026.100635,genomics;metabolomics,True,True,True,,,,,,
pubmed,layer_pair,42204731,Multi-omics pleiotropic association analyses reveal functionally relevant genes and druggable pathways for ovarian aging.,"Ovarian aging, marked by the gradual decline in both the number and quality of oocytes, significantly impacts women's reproductive lifespan and overall health. However, the biological mechanisms driving ovarian aging remain poorly understood and current treatment strategies are limited. We perform an integrative analysis using multi-omics summary data and genome-wide association studies for ovarian aging to identify molecular traits linked to ovarian aging. By applying Mendelian randomization and cross-omics association approaches, we prioritize key proteins, gene expressions, splicing events, and metabolites. Our analysis identifies conservation of key genes across species and cell types, with the mismatch repair gene MSH6 (MutS Homolog 6) emerging as a consistently prioritized candidate. Experimental validation shows that targeting DNA repair through PD-L1 (Programmed Death-Ligand 1) blockade may offer a potential therapeutic strategy to delay ovarian aging. This study uncovers the multi-layered genetic and molecular architecture underlying ovarian aging. The identified molecular traits provide promising candidates for functional studies and suggest new avenues for developing therapies aimed at preserving ovarian function and preventing age-related decline.",2026,10.1186/s13059-026-04118-7,genomics;metabolomics;transcriptomics,True,True,True,,,,,,
pubmed,layer_pair,41917188,Multiomic single-cell perturbation screens reveal critical lncRNA regulators of senescence.,"Long noncoding RNAs (lncRNAs) regulate transcriptional and epigenetic programs during aging and senescence. However, no comprehensive studies have systematically integrated multilayered analyses to reveal their diverse regulatory roles. Moreover, lncRNAs with therapeutic potential in age-related diseases remain unexplored. Here we systematically perturbed 32 high-abundance aging- and senescence-associated lncRNAs (PtbAlncs) using a Perturb-seq-based CRISPR-dCas9-KRAB knockdown system coupled with single-nucleus multiomics profiling, enabling simultaneous transcriptomic and chromatin accessibility analysis. This analysis uncovered essential roles for previously uncharacterized lncRNAs in senescence regulation, validated computationally and experimentally. These lncRNAs modulate distinct single-cell RNA-sequencing modules through diverse yet overlapping epigenetic motifs in single-cell ATAC-sequencing modules. Among them, HOTAIRM1, a DNA repair-associated PtbAlnc, stabilizes DNA repair by cooperating with BANF1 and p53 at double-strand break loci within condensates. Its deficiency impairs DNA repair and triggers p53-mediated senescence. In aged mouse lungs, adeno-associated virus-mediated HOTAIRM1 overexpression reduced fibrosis, alleviated tissue damage, and promoted cellular proliferation, underscoring its therapeutic potential.",2026,10.1038/s43587-026-01100-7,epigenomics;transcriptomics,True,True,True,,,,,,
pubmed,layer_pair,41521524,Impact of Transposable Elements on DNA Double-Strand Break Repair and Genomic Stability.,"Transposable elements (TEs) are indispensable components of eukaryotic genomes, mechanistically linked to carcinogenesis, aging and other degenerative diseases. The ability of TEs to self-propagate and cause deletions, inversions or insertions within the genome poses a real threat to the fidelity of genomic integrity. This review discusses the fundamental properties of TEs, with a focus on cellular interactions associated with mechanisms involved in recombination, replication, and DNA repair. Since mobilization of TEs induces double-strand breaks (DSBs), faulty repair mechanisms could lead to cellular dysfunction, pathology and death. The TE-induced DNA DSB repair cascade follows either homologous recombination (HR) or non-homologous end-joining (NHEJ) pathways. Importantly, epigenetic regulatory mechanisms including DNA methylation and histone acetylation provide additional control in ensuring accurate DNA repair and could prove to be key targets for therapeutic intervention.",2026,10.1080/10985549.2025.2594182,epigenomics;genomics,True,True,True,,,,,,
pubmed,layer_pair,41404291,APOE *4 Risk-Modifying Genes and Drug Targets in Alzheimer's Disease through Cell-Type Specific Genomic Analyses.,"APOE *4 is the strongest, common genetic risk factor for late-onset Alzheimer's disease (AD) with widespread and cell-type-specific impact on disease pathogenesis. Genetics and omics studies can help identify genes that counteract the effects of APOE *4, but so far have remained relatively small and crucially did not assess genetic findings through a cell-type-specific framework. Perform a large-scale APOE *4 stratified genome-wide association study (GWAS) of AD integrated with genetically tethered cell-type-specific multi-omics data. Meta-analysis of APOE *4 stratified AD GWAS in case-control, family-based, population-based, and longitudinal AD-related cohorts from the Alzheimer's Disease Genetics Consortium, Alzheimer's Disease Sequencing Project, and UK Biobank. Integration of GWAS with brain cell-type-specific genetic regulation of gene expression data, from the Religious Orders Study and Memory and Aging Project, to identify APOE *4 and cell-type-specific AD genes. Cell-type-specific multi-omics gene prioritization followed by compound and drug repurposing. Data analyzed between January 2023 and September 2025. Genetic data available from high-density single-nucleotide polymorphism (SNP) microarrays and whole-genome sequencing (WGS). Single-nucleus (sn) RNA-seq data from dorsolateral prefrontal cortex. 567,521 eligible participants for AD genetic association studies were selected from referred and volunteer samples, of which 119,852 were excluded for analysis exclusion criteria. APOE *4 and cell-type-specific gene Z-scores and FDR-corrected P-values. Gene prioritization scores and APOE *4 stratified enriched compounds. 67 and 17 significant cell-type-gene pairs were identified in APOE *4 non-carriers ( APOE *4-) and carriers ( APOE *4+) respectively. Oligodendrocytes displayed the largest proportion of APOE *4+ genes. 46 cell-type-gene pairs were supported by at least half of the gene prioritization analyses. Several prioritized genes were druggable and displayed enrichment of APOE *4 stratified drugs or compounds. Top APOE *4+ genes with connections to enriched drugs or compounds included TNS3 (astrocytes), CISD1 and SLC23A2 (oligodendrocytes), and UBXN4 (excitatory neurons). We identified a set of APOE *4 stratified genes that may be causal for AD through brain cell-type-specific mechanisms and prioritized top genes for further interrogation. We additionally identified compounds that may be repurposed or shed light on therapeutic avenues for treating AD based on an individual's APOE *4 status. Top identified compounds such as Hydrocortisone and Trolox implicate oxidative stress and neuroinflammation as potential biological targets in APOE *4+ individuals.",2025,10.64898/2025.12.02.25341367,genomics;transcriptomics,True,True,True,,,,,,
pubmed,layer_pair,41957871,Beyond disease treatment and prevention: From geroscience and molecular hallmarks to gerotherapeutics and precision geromedicine.,"Geroscience-the interdisciplinary field investigating the causal relationship between the biology of aging and age-related chronic disease-has undergone a remarkable evolution since its formalization within the United States National Institutes of Health in the early 2010s. Grounded in the recognition that aging is the paramount modifiable risk factor for most noncommunicable diseases, geroscience has produced a coherent molecular taxonomy of aging processes (12 hallmarks), delineated proaging and antiaging molecular pathways (gerogenes, gerosuppressors, and gerozymes), and catalyzed a new clinical vocabulary-geroprotection, gerodiagnostics, and gerotherapeutics. Two institutional milestones anchor the field's translational ambitions: the World Health Organization's (WHO) codification of Ageing-Associated Decline in Intrinsic Capacity as International Classification of Disease (ICD)-11 code MG2A; and the United States Food and Drug Administration's (FDA) acceptance of the Targeting Aging with Metformin (TAME) trial-the first prospective clinical trial designed to delay aging as a composite multidisease outcome, currently underway. The biomarker science of aging has advanced in parallel, from first-generation DNA methylation clocks to organ-specific plasma proteomic signatures capable of predicting various age-related diseases with clinical-grade precision. The gerotherapeutic landscape has expanded substantially. Metformin, which engages more aging hallmarks than any other candidate gerotherapeutic, provided the regulatory impetus for TAME; in a rigorous 40-month multiomics study in cynomolgus monkeys, it decelerated plasma proteomic biological age by 6.41 years-the strongest pharmacological evidence to date for systemic biological age modification in a primate model. Senolytics and senomorphics target senescent cell burden; SGLT-2 inhibitors are notable for their indirect senolytic mechanism, enhancing immunosurveillance of senescent cells glucagon-like peptide-1 (GLP-1) receptor agonists attenuate inflammaging; NAD + precursors restore mitochondrial and sirtuin function; and the gerozyme (15-hydroxyprostaglandin dehydrogenase [15-PGDH]) inhibitor offers a mechanistically distinct proregenerative approach with emerging relevance as an adjunct to GLP-1 receptor agonist therapy. Multidomain lifestyle programs address multiple aging hallmarks simultaneously and have demonstrated measurable intrinsic capacity improvement in randomized trials. Building on these foundations, this review proposes the Geroscience-Responsive Aging Care Ecosystem (GRACE)-a three-element service model operationalizing geroscience and gerotherapeutic evidence within the WHO Integrated Care for Older People (ICOPE) framework.",2026,10.1097/jcma.0000000000001374,epigenomics;proteomics,True,True,True,,,,,,
pubmed,layer_pair,42232023,Multicellular senescence programs in the aged heart.,"Cardiac aging reflects a convergence of intrinsic molecular damage and maladaptive stress responses that progressively erode myocardial resilience. Accumulating genomic instability, telomere dysfunction, chromatin remodeling, and metabolic dysregulation activate innate immune signaling and cellular senescence across cardiomyocytes, endothelial cells, fibroblasts, and immune cells. At the tissue level, these processes manifest as microvascular rarefaction, fibrosis, hypertrophy, neurovascular uncoupling, and impaired adaptive capacity, creating a substrate that overlaps extensively with cardiomyopathy, heart failure, and atrial fibrillation (AF). Importantly, senescence in the heart is not monolithic. Emerging multi-omics and spatial analyses reveal context-dependent senescence programs, including transient, injury-associated states that support angiogenesis and repair, alongside chronic senescent phenotypes that propagate inflammation and remodeling through the senescence-associated secretory phenotype (SASP). These observations indicate that senescence is not uniformly deleterious but rather comprises functionally heterogeneous responses within the aging myocardium. Non-cell autonomous interactions-spanning cardiomyocyte-fibroblast crosstalk, immune niche signaling, endothelial cell-neuronal axis, and systemic organ-to-heart communication-further amplify or constrain these trajectories. Advances in biomarker discovery, imaging, and circulating epigenetic signatures now enable biological aging of the heart to be quantified beyond chronological aging, although many circulating biomarkers are not cardiac-specific and may also reflect systemic inflammation, fibrosis, frailty, or generalized biological aging. In parallel, preclinical studies demonstrate that senolytic, senomorphic, metabolic, and nutrient-sensing-targeted interventions can partially restore cardiac homeostasis. Together, these insights suggest that cellular senescence may represent a key mechanism and a potentially targetable process in cardiac aging, with important implications for the prevention and treatment of age-related cardiovascular disease.",2026,10.1016/j.jmccpl.2026.100852,epigenomics;genomics,True,True,True,,,,,,
pubmed,layer_pair,41803291,MYC-SEPT11 Axis Promotes osteoblast differentiation and bone formation via PI3K/AKT and RhoA/ROCK signaling pathways.,"Osteoporosis (OP), an aging-related skeletal disorder characterized by compromised bone density and deteriorated microarchitecture, presents significant challenges in understanding its molecular underpinnings. This study aims to identify novel transcriptional regulators of osteoblast differentiation and elucidate their mechanistic roles in OP pathogenesis. Through integrated analysis of single-cell and bulk RNA-seq datasets from OP patients, combined with machine-learning algorithms, SEPT11 was identified as a key downregulated gene. Functional validation was performed using human bone marrow-derived mesenchymal stem cells (BM-MSCs) induced for osteogenic differentiation. SEPT11 was overexpressed through lentiviral transduction, with osteogenic capacity assessed by ALP staining, Alizarin Red S staining, and quantification of osteogenic markers (RUNX2, OCN, ALP, PINP) and bone resorption marker TRACP-5b. Mechanistic investigations employed chromatin immunoprecipitation (ChIP)-qPCR, dual-luciferase reporter assays, and pathway inhibition studies. An ovariectomized (OVX) mouse model received intra-articular AAV9-SEPT11 for in vivo validation, with bone microarchitecture analyzed by micro-CT and bone formation markers measured. SEPT11 was significantly downregulated in OP and positively correlated with osteogenic differentiation. In BM-MSCs, SEPT11 overexpression enhanced expression of RUNX2, OCN, ALP, and PINP, decreased TRACP-5b, increased mineralization capacity, and concurrently activated both PI3K/AKT and RhoA/ROCK signaling pathways. MYC was established as a direct transcriptional activator binding to the SEPT11 promoter. MYC knockdown abolished SEPT11-mediated osteogenic promotion and pathway activation. In OVX mice, AAV9-SEPT11 administration improved bone mass, restored trabecular micro-architecture, and elevated bone formation markers. This study identifies a previously uncharacterized MYC/SEPT11 regulatory axis crucial for osteoblast differentiation. SEPT11, transcriptionally activated by MYC, promotes osteogenesis through simultaneous activation of PI3K/AKT and RhoA/ROCK pathways. These findings provide novel insights into OP pathogenesis and suggest potential therapeutic targets for postmenopausal OP.",2026,10.1007/s10142-026-01849-5,epigenomics;transcriptomics,True,True,True,,,,,,
pubmed,layer_pair,41965972,"Genetic susceptibility, terminal bronchiole pathology, and inflammation: An integrated mechanisms of the pathogenic process in chronic obstructive pulmonary disease.","Chronic obstructive pulmonary disease (COPD) remains a leading cause of mortality yet understanding of disease initiation and progression is incomplete. Current therapeutic agents provide symptomatic relief but fail to halt disease progression, highlighting the urgent need to elucidate underlying pathogenic mechanisms, particularly in the preclinical and early stages before irreversible lung damage becomes established. COPD exhibits profound heterogeneity in clinical presentation and disease trajectories, even among patients with similar spirometric measures, indicating that divergent pathogenic mechanisms arise from distinct interactions among genetic, environmental, and temporal factors throughout the lifespan. This review integrates three mechanistically distinct yet biologically interconnected pathogenic processes underlying the progression of COPD. First, we synthesize evidence that genetic susceptibility and developmental trajectories shaped by cumulative early-life exposures determine individual disease risk and phenotypes. Genome-wide association studies have identified more than 80 COPD-associated loci, with polygenic risk scores capturing a substantially greater proportion of genetic liability and enabling identification of high-risk individuals amenable to early intervention. Second, we establish the terminal bronchioles as the primary anatomical site of obstruction, characterized by loss of radial alveolar attachments and aberrant extracellular matrix remodeling that precedes emphysematous tissue destruction. Third, we synthesize emerging single-cell transcriptomic and proteomic evidence revealing that interferon-γ-mediated epithelial-stromal-lymphocyte crosstalk perpetuates tissue destruction through complementary mechanisms: augmented matrix metalloproteinase production overwhelming anti-protease defenses, and direct reprogramming of alveolar epithelial and stromal cells toward apoptosis and senescence. Together, these mechanistic insights provide a unified framework for understanding disease heterogeneity and identifying stage-specific therapeutic targets before irreversible damage becomes established.",2026,10.1016/j.resinv.2026.101420,genomics;proteomics;transcriptomics,True,True,True,,,,,,
pubmed,layer_pair,41772759,Loss of Splicing Homeostasis as a Hallmark of Aging.,"Alternative splicing is a fundamental mechanism that ensures accurate gene expression, supports cellular adaptability, and expands protein diversity beyond the limits of a fixed gene pool. With aging, splicing fidelity weakens, contributing to decline in RNA homeostasis and disrupting essential cellular functions, including mitochondrial oxidative phosphorylation, genome stability, and immune regulation, and in turn accelerating tissue and organ dysfunction. Evidence from senescent cells, aged tissues, and model organisms shows that altered levels of splicing factors and increased RNA polymerase II elongation rates impair co-transcriptional splicing and promote mis-spliced isoforms that reinforce senescence and drive pathology. Dysfunction of RNA-binding proteins further contributes to aberrant splicing, linking splicing defects to age-related diseases such as atherosclerosis, osteoarthritis, sarcopenia, and neurodegenerative disorders like Alzheimer's disease, Parkinson's disease, and amyotrophic lateral sclerosis. Therapeutic strategies to correct splicing defects, such as antisense oligonucleotides, RNA interference, CRISPR-Cas systems, ADAR-mediated editing, and RNA aptamers, can restore a homeostatic balance of mRNA isoforms. However, major challenges remain, including distinguishing adaptive physiological from pathological splicing 'noise' and achieving targeted delivery to tissues. Despite these obstacles, RNA splicing dysregulation represents a promising avenue to extend health span by reestablishing homeostatic RNA programs, and reinforces the idea that ""transcriptomic instability"" is a hallmark of aging.",2026,10.1080/10985549.2026.2627235,genomics;transcriptomics,True,True,True,,,,,,
