record_id,title,primary_manual_review_reason,primary_failure_role,primary_failure_errors
doi:10.1002/adfm.202514253,Neodymium‐Modified Molybdenum Blue Nanoclusters Alleviate Polycystic Ovary Syndrome via Radical Scavenging,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'counteracting ROS-induced ferroptotic and senescent responses'"", ""Evidence quote is not an exact substring of abstract: 'PCOS is an endocrine and metabolic disorder'""]"
doi:10.1002/aro2.70036,Fasting and Refeeding Mediated Phospholipid Remodeling Plays an Important Role in Improving Meat Quality of Aged Laying Hens,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of title: 'laying hens'"", ""Evidence quote is not an exact substring of title: 'laying hens'""]"
doi:10.1002/cam4.4404,Construction and validation of a novel aging-related gene signature and prognostic nomogram for predicting the overall survival in ovarian cancer.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'predicting the overall survival rate of patients with ovarian cancer'"", ""Evidence quote is not an exact substring of abstract: 'predict the overall survival rate of patients with ovarian cancer'""]"
doi:10.1002/jcsm.70002,Exogenous Nucleotides Supplementation Attenuates Age-Related Sarcopenia.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'SAMP8 mice and C2C12 cells'"", ""Evidence quote is not an exact substring of abstract: 'RNA-seq and targeted metabolomic analyses'""]"
doi:10.1002/jev2.70318,Engineered Nestin + TSPC‐Derived Exosomes Promote Tendon Repair Via Metabolic Reprogramming,role_execution_failed,causal_method_reviewer,"[""Evidence quote is not an exact substring of abstract: 'In collagenase-induced (WT and Nes-Cre ERT2 ;iDTR ) and naturally aged murine tendinopathy models'"", ""Evidence quote is not an exact substring of abstract: 'Nes‐EVs significantly ameliorate tendinopathy in multiple mouse models.'""]"
doi:10.1002/ygh2.341,Letter: management of patients with chronic hepatitis C failing repeated courses of interferon‐free DAA combination therapy: a translational research perspective with clinical impact,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'Family‐based/twin/epidemiological gene polymorphism studies with multicentric pooled patient populations of diverse eth‐ nicities utilising high‐throughput pharmacogenetics/genomics/ transcriptomics/metabolomics/electrophysiological/immunodi‐ agnostic imaging modalities coupled with survival analyses and stringent surveillance for relapse(s)/adverse effects are war‐ ranted'"", ""Evidence quote is not an exact substring of abstract: 'are‐ ranted to provide'""]"
doi:10.1007/s11357-026-02265-0,A telomere-lipid-immunity axis linking viral integration to autoimmune disease risk.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'LTL, a core biomarker of immune aging'"", ""Evidence quote is not an exact substring of abstract: 'LTL, a core biomarker of immune aging.'""]"
doi:10.1016/j.arr.2025.102870,Biomarkers of multimorbidity: A systematic review.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'This review outlines'"", ""Evidence quote is not an exact substring of abstract: 'This review outlines'""]"
doi:10.1016/j.eclinm.2024.102769,Development and validation of an integrated system for lung cancer screening and post-screening pulmonary nodules management: a proof-of-concept study (ASCEND-LUNG),role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'cfDNA methylation, mutation, and serum protein'"", ""Evidence quote is not an exact substring of abstract: 'cfDNA methylation, mutation, and serum protein'""]"
doi:10.1016/j.ecoenv.2026.119676,Dysregulation of atrazine-associated core gene networks and risk prediction in human cancers: Insights from integrated transcriptomics and network toxicology analyses.,role_execution_failed,scope_reviewer,"[""Evidence quote is not an exact substring of abstract: 'human cancers'"", ""Evidence quote is not an exact substring of abstract: 'human cancers'""]"
