record_id,doi,title,human_reviewer_id,human_decision,first_failed_criterion,human_rationale,supporting_section_ids,adjudication_status
doi:10.1002/alz.12278,10.1002/alz.12278,Neuroscience Next 2020 Abstracts,,,,,,pending
doi:10.1002/ccs3.70045,10.1002/ccs3.70045,Integrated genomics reveals cellular senescence-driven molecular networks and immune crosstalk in myopia pathogenesis.,,,,,,pending
doi:10.1002/ctm2.70395,10.1002/ctm2.70395,Customised virus‐like particles: Opening a new chapter for clinical precision gene therapy,,,,,,pending
doi:10.1002/wps.20675,10.1002/wps.20675,The crossroads of psychiatric epigenomics,,,,,,pending
doi:10.1007/s00112-022-01643-0,10.1007/s00112-022-01643-0,Abstracts der 96. Wissenschaftlichen Tagung der Gesellschaft für Pädiatrische Onkologie und Hämatologie (GPOH),,,,,,pending
doi:10.1016/j.jare.2026.07.047,10.1016/j.jare.2026.07.047,Bioorthogonal epigenetic anchoring of heterochromatin to the nuclear lamina reverses senescence and osteoarthritis.,,,,,,pending
doi:10.1093/lifemedi/lnac018,10.1093/lifemedi/lnac018,The secret of youth: how is systemic rejuvenation achieved at the single cell level?,,,,,,pending
doi:10.1093/neuonc/noy148.258,10.1093/neuonc/noy148.258,COMP-03. TUMOR CONNECTOME: INSIGHT INTO THE IMPACT OF CNS NEOPLASIA AND THERAPY ON THE BRAIN NETWORK,,,,,,pending
doi:10.1093/nsr/nwy136,10.1093/nsr/nwy136,Genome tagging project: tag every protein in mice through ‘artificial spermatids’,,,,,,pending
doi:10.1096/fj.202100317,10.1096/fj.202100317,"The 2020 FASEB virtual Catalyst Conference on Integrative Approach for Complex Diseases Prevention and Management and Beyond, December 16, 2020",,,,,,pending
doi:10.1104/pp.110.161430,10.1104/pp.110.161430,Flavonoids and Isoflavonoids: From Plant Biology to Agriculture and Neuroscience,,,,,,pending
doi:10.1111/1751-7915.12181,10.1111/1751-7915.12181,Silent clusters – speak up!,,,,,,pending
doi:10.1111/exd.12771,10.1111/exd.12771,All is balanced: inter‐ α ‐trypsin inhibitors as unseen extracellular matrix proteins in epidermal morphology and differentiation,,,,,,pending
doi:10.1111/jcmm.71017,10.1111/jcmm.71017,dock11 Knockdown in Zebrafish Disrupts Embryogenesis: Insights Into the Genetic Causes of Early Pregnancy Loss,,,,,,pending
doi:10.1111/jdi.12150,10.1111/jdi.12150,Epigenetics: Reprogrammable interface of the genome and environments,,,,,,pending
doi:10.1155/s1110724302207032,10.1155/s1110724302207032,All We Are Saying Is Give Plants a Chance!,,,,,,pending
doi:10.1186/gm394,10.1186/gm394,Pharmacogenomics: a key component of personalized therapy,,,,,,pending
doi:10.1212/nxg.0000000000000100,10.1212/nxg.0000000000000100,"19th Workshop of the International Stroke Genetics Consortium, April 28–29, 2016, Boston, Massachusetts, USA",,,,,,pending
doi:10.4103/1673-5374.217328,10.4103/1673-5374.217328,Can we treat neurodegenerative diseases by preventing an age-related decline in microRNA expression?,,,,,,pending
doi:10.4103/1673-5374.228719,10.4103/1673-5374.228719,"Metabolism, neurodegeneration and epigenetics: Emerging role of Sirtuins",,,,,,pending
doi:10.4103/1673-5374.230283,10.4103/1673-5374.230283,Epigenetic interventions for brain rejuvenation: anchoring age-related transposons,,,,,,pending
doi:10.4103/1673-5374.335807,10.4103/1673-5374.335807,Non-canonical role of the ATR pathway in axon regeneration as a mechanosensitive brake,,,,,,pending
doi:10.4103/nrr.nrr-d-25-00422,10.4103/nrr.nrr-d-25-00422,Shuttle and stabilize: H1.2-FUS complex in amyotrophic lateral sclerosis pathogenesis,,,,,,pending
doi:10.5281/zenodo.20257527,10.5281/zenodo.20257527,"ITU and Genomics: A Single-Axiom View of DNA, Human Genome Project, CRISPR Gene Editing, AlphaFold, AI Drug Discovery, Population Genetics, Coalescent Theory, and Ancient DNA — Block B 5/?, Pass-1 Final Tier 1",,,,,,pending
doi:10.69750/dmls.02.010.0160,10.69750/dmls.02.010.0160,Harnessing CRISPR Technology for Next-Generation Therapeutics in Genetic Disorders,,,,,,pending
