scope,information_need,unique_to_method,doi,title
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1001/jamapsychiatry.2024.1429,"Major Psychiatric Disorders, Substance Use Behaviors, and Longevity"
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1002/ctm2.70527,Spatiotemporal mapping reveals Ccl8hi macrophages as key drivers of testicular inflammaging
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1002/imo2.70128,A uterine‐centric view of reproductive senescence: Genetic insights into late‐life performance in laying hens
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1007/s10753-026-02526-2,Inhibition of MyD88 in Tubular Epithelial Cells Alleviates the Cellular Senescence in Sepsis-Associated Acute Kidney Injury
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1016/j.celrep.2024.115099,The glial UDP-glycosyltransferase Ugt35b regulates longevity by maintaining lipid homeostasis in Drosophila.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1016/j.celrep.2025.116795,Age-independent and targetable transcription factor networks regulating CD8+ T cell senescence in aging humans
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1016/j.cels.2021.09.005,Multiomic profiling of the liver across diets and age in a diverse mouse population.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1016/j.jhazmat.2026.142949,Gestational exposure to PP-NPs promotes premature placental ageing through global reprogramming of the trophoblast phosphoproteome
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1016/j.jot.2025.05.010,Activation of LAMP1-mediated lipophagy by sulforaphane inhibits cellular senescence and intervertebral disc degeneration
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1016/j.phymed.2025.156697,Vaccarin ameliorates osteoarthritis by suppressing the c-Jun N-terminal kinase (JNK)-serum amyloid A2 (SAA2) pathway mediating chondrocyte senescence.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1038/s41413-025-00422-3,Sirt6 deficiency promotes senescence and age-associated intervertebral disc degeneration in mice
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1038/s41438-020-00420-y,Multiomics analyses unveil the involvement of microRNAs in pear fruit senescence under high- or low-temperature conditions
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1038/s41467-021-23545-7,Restoration of energy homeostasis by SIRT6 extends healthy lifespan
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1038/s41467-023-37729-w,Multi-omic underpinnings of epigenetic aging and human longevity
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1038/s41467-025-59964-z,Multi-organ metabolome biological age implicates cardiometabolic conditions and mortality risk
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1038/s41467-025-61433-6,Immuno-metabolic stress responses control longevity from mitochondrial translation inhibition in C. elegans
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1038/s41586-026-10524-5,Sleep chart of biological ageing clocks in middle and late life
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1038/s42003-025-08296-1,NHE7 drives endometrial cancer progression by delaying senescence through cAMP/CREB/GRIN2B axis-mediated Ca²⁺ influx
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1038/s43587-023-00460-8,Impaired BCAA catabolism in adipose tissues promotes age-associated metabolic derangement.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1093/plphys/kiaa034,Multi-omics approach reveals the contribution of KLU to leaf longevity and drought tolerance.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1097/md.0000000000047376,Multi-omics data reveal causal associations of cellular senescence-related genes in rheumatoid arthritis: A summary-data-based Mendelian randomization and co-localization analysis.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1126/sciadv.adu2294,Multiomic identification of senescent stem cell populations critical for osteoarthritis progression and therapy in subchondral bones.
eligible_101,assigned_intervention,deterministic_docling_lexical,10.1172/jci.insight.174007,Targeted Bmal1 restoration in muscle prolongs lifespan with systemic health effects in aging model.
