source,branch,record_id,title,abstract,year,doi,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match,reviewer_retrieval_relevant,reviewer_aging_relevant,reviewer_multiomics_valid,reviewer_formal_causal_basis,reviewer_design_family,reviewer_notes
europepmc,explicit_multiomics,MED:41655726,Buyang Huanwu Decoction attenuates vascular aging by suppressing the pathway of neutrophil extracellular trap formation via modulation of the HMGB1/TLR4/p38 signaling pathway.,"Ethnopharmacological relevance Vascular aging is a significant driver of age-related cardiovascular diseases, in which the immune-inflammatory response driven by excessive formation of neutrophil extracellular traps (NETs) is a core process accelerating this progression. Buyang Huanwu Decoction (BHD) is a classic traditional Chinese medicine (TCM) formula widely used for treating cardio-cerebrovascular diseases, but whether it acts through modulating NET-driven vascular aging is unknown. Aim of the study This study aims to investigate the mechanism by which BHD delays vascular aging, focusing on the NETs formation pathway. Materials and methods Based on a D-galactose-induced aging mouse model, this study focused on neutrophils and combined transcriptomics, network pharmacology and molecular biology methods to explore the mechanism of BHD in delaying vascular aging. Results The present study identified 23 major chemical constituents in BHD and demonstrated its efficacy in ameliorating aging phenotypes in a D-galactose-induced aging mouse model. BHD treatment significantly alleviated aortic structural degeneration, reduced oxidative stress and inflammatory cytokine levels, and downregulated key senescence markers including p16 and p21. Integrated multi-omics analysis implicated NET suppression as a primary mechanism underlying the anti-aging benefits of BHD. Both in vivo and in vitro experiments confirmed that BHD inhibits NETosis by modulating the HMGB1/TLR4/p38 signaling pathway, leading to reduced expression of critical NET components. Notably, HMGB1 overexpression partially reversed the inhibitory effects of BHD on NETosis, establishing HMGB1 as a key effector molecule. Conclusion For the first time, our findings unveil a novel mechanism whereby BHD alleviates vascular aging by modulating the immune microenvironment through inhibition of the HMGB1-TLR4-p38-NETs cascade. These findings provide a novel immunomodulatory perspective on BHD and highlight its potential as a holistic therapeutic strategy against vascular aging.",2026,10.1016/j.jep.2026.121315,transcriptomics,True,True,True,,,,,,
europepmc,explicit_multiomics,MED:40476595,Repurposing Acebutolol for Osteoporosis Treatment: Insights From Multi-Omics and Multi-Modal Data Analysis.,"Osteoporosis is a common metabolic bone disease with aging, characterized by low bone mineral density (BMD) and higher fragility fracture risk. Although current pharmacological interventions provide therapeutic benefits, long-term use is limited by side effects and comorbidities. In this study, we employed driver signaling network identification (DSNI) and drug functional networks (DFN) to identify repurposable drugs from the Library of Integrated Network-Based Cellular Signatures. We constructed osteoporosis driver signaling networks (ODSN) using multi-omics data and developed DFN based on drug similarity. By integrating ODSN and DFN with drug-induced transcriptional responses, we screened 10,158 compounds and identified several drugs with strong targeting effects on ODSN. Mendelian randomization assessed potential causal links between cis-eQTLs of drug targets and BMD using genome-wide association study data. Our findings indicate four drugs, including Ruxolitinib, Alfacalcidol, and Doxercalciferol, may exert anti-osteoporosis effects. Notably, Acebutolol, a β-blocker for hypertension, has not previously been implicated in osteoporosis therapy. For validation, zebrafish osteoporosis models were established using Dexamethasone-induced bone loss, followed by treatment with Acebutolol hydrochloride and Alfacalcidol. Both compounds demonstrated significant protective effects against osteoporosis-related bone deterioration. Furthermore, a population-based data set, utilizing propensity score matching and analyzed via a generalized linear model, revealed that individuals taking β-blocker drugs exhibited significantly higher BMD than users of other cardiovascular medications. In summary, this study integrates multi-omics approaches, experimental validation, and real-world population data to propose acebutolol as a novel candidate for osteoporosis treatment. These findings warrant further mechanistic studies and clinical trials to evaluate its efficacy in osteoporosis management.",2025,10.1002/cpt.3738,genomics,True,True,True,,,,,,
europepmc,explicit_multiomics,MED:42265534,Urate-Related Genetic Risk Modulates the Anti-Aging Effects of Exogenous Nucleotides: Multi-Omics Evidence From Older Adults.,"Nucleotides-essential substrates for DNA repair, energy metabolism, and redox regulation-are emerging as nutritional modulators of biological aging. Yet, individual responses to exogenous nucleotide (NTs) supplementation remain poorly understood. Given that urate metabolism governs systemic oxidative balance, this study investigated whether genetic variability in urate regulation modifies the anti-aging effects of NTs. In this secondary analysis of the TALENTs randomized controlled trial (121 adults aged 60-70 years; 19-week intervention; NCT05243108), participants were stratified by urate polygenic risk score (UA-PRS) to evaluate genotype-dependent responses in DNA methylation age (DNAmAge) and leukocyte telomere length (LTL). A significant UA-PRS × intervention interaction was observed for ΔDNAmAge (p = 0.0114) and ΔLTL (p = 0.0271). NTs supplementation reduced DNAmAge in the High-PRS group (β = -5.10, p = 0.00013) and preserved telomere length in the Low-PRS group (β = 0.31, p = 0.0043). Multi-omics analyzes revealed that NTs modulated glucose-transport and pentose phosphate pathways in High-PRS individuals, while enhancing immune regulation and reducing GDF15 and IL-1β levels in Low-PRS individuals. These findings suggest that genetic variation in urate metabolism determines whether NTs are preferentially utilized for redox and epigenetic maintenance or for immune and inflammatory regulation, supporting a precision-nutrition model for delaying biological aging.",2026,10.1111/acel.70581,epigenomics,True,True,True,,,,,,
europepmc,explicit_multiomics,PPR:PPR976572,Non-causal association between α-klotho and human lifespan: evidence from multi-omics insights,"While genetic evidence robustly associates longevity in non-human primates with Klotho protein, such a direct correlation in humans remains elusive. To scrutinize the potential causal link between genetically predicted Klotho levels and human lifespan, we devised a meticulous two-sample Mendelian randomization (MR) analysis, just leveraging single nucleotide polymorphisms (SNPs) from genome-wide association studies (GWAS) and protein quantitative trait loci (pQTLs) as instrumental variables, meticulously analyzing the relationship between serum α-klotho and human longevity. By integrating MR estimates across diverse data sources using the fixed-effects inverse-variance weighted (IVW) approach, we consolidated our findings with a fixed-effects meta-analysis, fortified by sensitivity analyses embracing the simple median, weighted median, MR-Egger regression, and MR-pleiotropy residual sum and outlier assessments. Surprisingly, our genome-wide association MR analyses failed to uncover a causal association between Klotho and human lifespan, holding for both experimental and validation cohorts. Furthermore, the analysis grounded in protein quantitative trait loci also yielded no evidence of a causal link, with the sensitivity analyses consistently reinforcing the robustness of our findings. Hence, while animal models suggest a correlation between circulating Klotho and lifespan, this study demonstrates that genetically predicted levels of circulating α klotho do not exhibit a direct causal effect on human longevity.",2025,10.1101/2025.02.08.25321911,genomics,True,True,True,,,,,,
europepmc,explicit_multiomics,MED:42508695,From gut microbiota to synaptic plasticity: Mechanisms shaping cognitive function and brain disorders.,"The gut microbiota has emerged as a key regulator of central nervous system development and function. Accumulating experimental and clinical evidence demonstrates that microbial signals influence brain activity through integrated neural, immune, neuroendocrine, and metabolic pathways. These pathways converge on core mechanisms of synaptic plasticity, including neurotrophic signaling, glutamatergic transmission, dendritic remodeling, and adult neurogenesis, thereby shaping learning, memory, executive function, and emotional regulation. Disruption of microbiota-brain communication is implicated in a range of neurodevelopmental and neurodegenerative disorders, including autism spectrum disorder (ASD), major depressive disorder (MDD), Alzheimer's disease (AD), and Parkinson's disease (PD), suggesting shared systems-level vulnerabilities across conditions and highlighting the translational potential of microbiota-targeted interventions such as probiotics, dietary modulation, postbiotics, and precision microbiome-based strategies. Overall, the gut microbiota functions as a dynamic regulator of brain plasticity and cognitive resilience across the lifespan. Future progress will require identification of causal mechanisms at the level of specific microbial metabolites, neural circuits, and developmental windows using integrated multi-omics and spatially resolved approaches, alongside translation into targeted therapeutic strategies.",2026,10.1016/j.bbr.2026.116404,metabolomics;microbiomics,True,True,True,,,,,,
europepmc,explicit_multiomics,MED:38956929,Association between biological ageing and periodontitis: Evidence from a cross-sectional survey and multi-omics Mendelian randomization analysis.,"Aim To investigate the relationship and potential causality between biological ageing and periodontitis. Materials and methods We obtained the National Health and Nutrition Examination Survey (NHANES) and genome-wide association study (GWAS) summary statistics as well as single-cell sequencing data. Multivariate regression analysis based on cross-sectional data, Mendelian randomization (MR) and multi-omics integration analysis were employed to explore the causal association and potential molecular mechanisms between biological ageing and periodontitis. Additionally, two-step MR mediation analysis explored the risk factors in biological ageing-mediated periodontitis. Results We analysed data from 3189 participants in the NHANES data and found that higher biological age was associated with increased risk of periodontitis. MR analyses revealed causal associations between biological age measures and periodontitis risk. Frailty (odds ratio [OR] = 2.08, 95% confidence interval [CI]: 1.04-4.18, p = .039) and GrimAge acceleration (OR = 1.16, 95% CI: 1.01-1.32, p = .033) were causally associated with periodontitis risk, and these results were validated in a large-scale meta-periodontitis GWAS dataset. Additionally, the risk effects of body mass index, waist circumference and lifetime smoking on periodontitis were partially mediated by frailty and GrimAge acceleration. Conclusions Evidence from cross-sectional survey and MR analysis suggests that biological ageing increases the risk of periodontitis. Additionally, improving the associated risk factors can help prevent both ageing and periodontitis.",2024,10.1111/jcpe.14040,genomics,True,True,True,,,,,,
europepmc,explicit_multiomics,PPR:PPR978828,"Genomics of diffusion-imaging integrating GWAS, exome data and single-cell sequencing unravels lifespan determinants of cerebral small vessel disease","Abstract Peak width of skeletonized mean diffusivity (PSMD) is an emerging automated diffusion imaging marker showing clinically relevant changes in cerebral small vessel disease (cSVD), a leading cause of stroke and dementia with no mechanism-based treatment. We conducted a genome-wide association study of PSMD in 58,403 participants from 24 population-based cohorts (89% European, 10% East-Asian, 1% African-American), identifying 31 independent common variant associations. Additionally, a whole-exome sequencing analysis in 32,957 participants yielded associations of PSMD with single and burden of rare coding variants in four novel genes. Mendelian randomization supported causal association of higher blood pressure with larger PSMD values, and of larger PSMD with an increased risk of stroke, especially intracerebral hemorrhage. Strikingly, genetic susceptibility to white matter hyperintensities, an established MRI-marker of cSVD, was associated with higher PSMD from early childhood to older age, with prominent lifespan effects for VCAN and SMG6 . Leveraging unique brain single-cell sequencing resources we showed temporal changes in the cell-type specificity of these genes in the developing brain and overall enrichment of PSMD risk loci in genes expressed in fetal brain endothelial cells. Finally, through extensive integration with multi-omics resources, we provide precious leads for gene prioritization to accelerate drug discovery for cSVD.",2025,10.21203/rs.3.rs-5926137/v1,genomics,True,True,True,,,,,,
europepmc,explicit_multiomics,MED:42038696,Chronic Kidney disease and cognitive frailty in aging: molecular crosstalk and clinical implications.,"Background Chronic kidney disease (CKD) and cognitive frailty frequently co-occur in older adults, compounding adverse health outcomes and placing substantial strain on healthcare systems. Summary This review outlines the molecular pathways that link CKD to cognitive decline, including chronic inflammation, oxidative stress, vascular dysfunction, hormonal dysregulation, and interactions along the gut-kidney-brain axis. Recent advances in neuroimaging offer objective biomarkers of brain atrophy, white matter injury, and disrupted functional connectivity. Key messages Multi-omics and single-cell technologies are uncovering cell-type-specific mechanisms and candidate biomarkers, paving the way for precision medicine approaches. Emerging strategies include integrated geriatric-nephrology care models and targeted interventions, such as SGLT2 inhibitors, IL-6 antagonists, microbiome modulation, and structured exercise programs. Bioengineering and artificial intelligence now enable the integration of multimodal data to support risk prediction, disease monitoring, and individualized therapeutic planning. Future priorities should focus on longitudinal cohort studies, interventional trials with cognitive endpoints, and the development of rigorously validated AI-driven predictive models. Effectively addressing CKD-related cognitive frailty will require translating molecular insights into clinical practice to mitigate vulnerability in aging populations.",2026,10.3389/fnagi.2026.1778574,microbiomics,True,True,True,,,,,,
europepmc,explicit_multiomics,MED:41381971,A multi-omics analysis of human fibroblasts overexpressing an Alu transposon reveals widespread disruptions in aging-associated pathways.,"During aging and cellular senescence, repetitive elements are frequently transcriptionally derepressed across species and cell types. Among these, the most abundant repeats by copy number in the human genome are Alu retrotransposons. Though Alu elements are often studied for their mutagenic potential, there is increasing appreciation for their contributions to other biological functions, including pro-inflammatory signaling and mitochondrial dysfunction. However, a comprehensive analysis of Alu-driven molecular changes remains to be conducted, and Alu's potential contributions to aging features remain incompletely characterized. Here, we show that overexpression of an AluJb transposon in human primary IMR-90 fibroblasts leads to large-scale alterations across the transcriptome, cellular proteome, and secretome. Functional genomics analyses reveal alterations in aging pathways, broadly, and mitochondrial metabolism, proteostasis, cell cycle, and extracellular matrix pathways, more specifically. Our results demonstrate that Alu transcriptional upregulation is sufficient to drive widespread disruptions to cellular homeostasis that mirror aging-associated alterations.",2026,10.1007/s11357-025-02033-6,genomics;proteomics;transcriptomics,True,True,True,,,,,,
europepmc,explicit_multiomics,MED:42169659,Epigenetic research methods and animal models for intervertebral disc degeneration (Review).,"Intervertebral disc degeneration (IVDD) is increasingly recognized as a systemic collapse of the epigenetic regulatory network, driven by cellular senescence and environmental stressors. The present review provides an overview of the epigenetic regulatory mechanisms governing IVDD, focusing on the dynamic interplay between DNA methylation, histone modifications, N6‑methyladenosine RNA methylation and the non‑coding RNA regulatory triad (microRNAs, long non‑coding RNAs and circular RNAs). The present study evaluates advanced research methodologies (ranging from site‑specific methylation typing and transposase accessible chromatin sequencing to single‑cell multi‑omics and artificial intelligence‑driven predictive modeling) that resolve the spatial and cellular heterogeneities of the degenerating disc niche. Furthermore, the translational constraints of current animal models were critically assessed, advocating for a strategic shift from acute needle‑puncture insults to physiologically relevant aging and genetically engineered progeroid models to better recapitulate human 'epigenetic drift'. Finally, the therapeutic potential of targeted epigenetic editing via CRISPR/dCas9 systems and the development of stimuli‑responsive nanocarriers for precision delivery are highlighted. By bridging methodological innovation with robust model selection, the present review offers a roadmap for transitioning molecular insights into clinical regenerative therapies for spinal health.",2026,10.3892/mmr.2026.13913,epigenomics,True,False,False,,,,,,
