source,source_record_id,title,abstract,year,publication_date,doi,pmid,pmcid,authors,venue,document_type,language,url,is_preprint,raw_page,query_branches,local_multiomics_match,local_explicit_multiomics_match,local_layer_pair_match,local_omics_layer_count,local_omics_layers,local_aging_match,local_causal_anchor_match,local_three_block_match
scopus,SCOPUS_ID:84962739336,Long Noncoding RNAs in Cancer Pathways,,2016,2016-04-11,10.1016/j.ccell.2016.03.010,27070700,,Schmitt A.M.,Cancer Cell,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84962739336&origin=inward,False,page_0001.json.gz,,False,False,False,0,,False,False,False
scopus,SCOPUS_ID:85066289179,Single-cell transcriptomic analysis of Alzheimer’s disease,,2019,2019-06-20,10.1038/s41586-019-1195-2,31042697,,Mathys H.,Nature,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85066289179&origin=inward,False,page_0001.json.gz,,False,False,False,1,transcriptomics,False,False,False
scopus,SCOPUS_ID:85036536730,"The first microbial colonizers of the human gut: Composition, activities, and health implications of the infant gut microbiota",,2017,2017-12-01,10.1128/mmbr.00036-17,29118049,,Milani C.,Microbiology and Molecular Biology Reviews,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85036536730&origin=inward,False,page_0001.json.gz,,False,False,False,0,,False,False,False
scopus,SCOPUS_ID:85144145961,Aging and aging-related diseases: from molecular mechanisms to interventions and treatments,,2022,2022-12-01,10.1038/s41392-022-01251-0,36522308,,Guo J.,Signal Transduction and Targeted Therapy,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85144145961&origin=inward,False,page_0001.json.gz,,False,False,False,0,,True,True,False
scopus,SCOPUS_ID:85171958434,Microglia in neurodegenerative diseases: mechanism and potential therapeutic targets,,2023,2023-12-01,10.1038/s41392-023-01588-0,37735487,,Gao C.,Signal Transduction and Targeted Therapy,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85171958434&origin=inward,False,page_0001.json.gz,,False,False,False,0,,False,False,False
scopus,SCOPUS_ID:85076483875,The gut microbiome in neurological disorders,,2020,2020-02-01,10.1016/s1474-4422(19)30356-4,31753762,,Cryan J.F.,Lancet Neurology,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85076483875&origin=inward,False,page_0001.json.gz,,False,False,False,1,microbiomics,False,False,False
scopus,SCOPUS_ID:85185232509,Microbiota–gut–brain axis and its therapeutic applications in neurodegenerative diseases,,2024,2024-12-01,10.1038/s41392-024-01743-1,38360862,,Loh J.S.,Signal Transduction and Targeted Therapy,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85185232509&origin=inward,False,page_0001.json.gz,,False,False,False,0,,False,False,False
scopus,SCOPUS_ID:85061998352,The compelling link between physical activity and the body's defense system,,2019,2019-05-01,10.1016/j.jshs.2018.09.009,,,Nieman D.C.,Journal of Sport and Health Science,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85061998352&origin=inward,False,page_0001.json.gz,,False,False,False,0,,False,False,False
scopus,SCOPUS_ID:85092268457,NAD+ metabolism: pathophysiologic mechanisms and therapeutic potential,,2020,2020-12-01,10.1038/s41392-020-00311-7,33028824,,Xie N.,Signal Transduction and Targeted Therapy,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85092268457&origin=inward,False,page_0001.json.gz,,False,False,False,0,,False,False,False
scopus,SCOPUS_ID:85041128334,Rewiring of the Fruit Metabolome in Tomato Breeding,,2018,2018-01-11,10.1016/j.cell.2017.12.019,29328914,,Zhu G.,Cell,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85041128334&origin=inward,False,page_0001.json.gz,,False,False,False,1,metabolomics,False,False,False
scopus,SCOPUS_ID:85026645775,Oxidative stress and male infertility,,2017,2017-08-01,10.1038/nrurol.2017.69,28508879,,Bisht S.,Nature Reviews Urology,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85026645775&origin=inward,False,page_0001.json.gz,,False,False,False,0,,False,False,False
scopus,SCOPUS_ID:85075561867,DNA methylation aging clocks: Challenges and recommendations,,2019,2019-11-25,10.1186/s13059-019-1824-y,31767039,,Bell C.G.,Genome Biology,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85075561867&origin=inward,False,page_0001.json.gz,,False,False,False,1,epigenomics,True,False,False
scopus,SCOPUS_ID:85103340120,The central role of DNA damage in the ageing process,,2021,2021-04-29,10.1038/s41586-021-03307-7,33911272,,Schumacher B.,Nature,Review,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85103340120&origin=inward,False,page_0001.json.gz,,False,False,False,0,,True,False,False
scopus,SCOPUS_ID:33745246032,Developmental exposure to estradiol and bisphenol A increases susceptibility to prostate carcinogenesis and epigenetically regulates phosphodiesterase type 4 variant 4,,2006,2006-06-01,10.1158/0008-5472.can-06-0516,16740699,,Ho S.M.,Cancer Research,Article,,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=33745246032&origin=inward,False,page_0001.json.gz,,False,False,False,0,,False,False,False
