record_id,source,title,abstract,year,document_type,doi,source_record_id,retrieval_stratum
doi:10.3389/fpsyt.2023.1182536,europepmc,"Perturbation of 3D nuclear architecture, epigenomic aging and dysregulation, and cannabinoid synaptopathy reconfigures conceptualization of cannabinoid pathophysiology: part 2-Metabolome, immunome, synaptome.","The second part of this paper builds upon and expands the epigenomic-aging perspective presented in Part 1 to describe the metabolomic and immunomic bases of the epigenomic-aging changes and then considers in some detail the application of these insights to neurotoxicity, neuronal epigenotoxicity, and synaptopathy. Cannabinoids are well-known to have bidirectional immunomodulatory activities on numerous parts of the immune system. Immune perturbations are well-known to impact the aging process, the epigenome, and intermediate metabolism. Cannabinoids also impact metabolism via many pathways. Metabolism directly impacts immune, genetic, and epigenetic processes. Synaptic activity, synaptic pruning, and, thus, the sculpting of neural circuits are based upon metabolic, immune, and epigenomic networks at the synapse, around the synapse, and in the cell body. Many neuropsychiatric disorders including depression, anxiety, schizophrenia, bipolar affective disorder, and autistic spectrum disorder have been linked with cannabis. Therefore, it is important to consider these features and their complex interrelationships in reaching a comprehensive understanding of cannabinoid dependence. Together these findings indicate that cannabinoid perturbations of the immunome and metabolome are important to consider alongside the well-recognized genomic and epigenomic perturbations and it is important to understand their interdependence and interconnectedness in reaching a comprehensive appreciation of the true nature of cannabinoid pathophysiology. For these reasons, a comprehensive appreciation of cannabinoid pathophysiology necessitates a coordinated multiomics investigation of cannabinoid genome-epigenome-transcriptome-metabolome-immunome, chromatin conformation, and 3D nuclear architecture which therefore form the proper mechanistic underpinning for major new and concerning epidemiological findings relating to cannabis exposure.",2023,review-article; Review; Journal Article,10.3389/fpsyt.2023.1182536,MED:37854446,both|direct_perturbation|long|aging_anchor|causal_anchor
doi:10.7150/thno.62302,semantic_scholar,Activation of Hippo signaling pathway mediates mitochondria dysfunction and dilated cardiomyopathy in mice,"Rationale: Mitochondrial dysfunction facilitates heart failure development forming a therapeutic target, but the mechanism involved remains unclear. We studied whether the Hippo signaling pathway mediates mitochondrial abnormalities that results in onset of dilated cardiomyopathy (DCM). Methods: Mice with DCM due to overexpression of Hippo pathway kinase Mst1 were studied. DCM phenotype was evident in adult animals but contractile dysfunction was identified as an early sign of DCM at 3 weeks postnatal. Electron microscopy, multi-omics and biochemical assays were employed. Results: In 3-week and adult DCM mouse hearts, cardiomyocyte mitochondria exhibited overt structural abnormalities, smaller size and greater number. RNA sequencing revealed comprehensive suppression of nuclear-DNA (nDNA) encoded gene-sets involved in mitochondria turnover and all aspects of metabolism. Changes in cardiotranscriptome were confirmed by lower protein levels of multiple mitochondrial proteins in DCM heart of both ages. Mitochondrial DNA-encoded genes were also downregulated; due apparently to repression of nDNA-encoded transcriptional factors. Lipidomics identified remodeling in cardiolipin acyl-chains, increased acylcarnitine content but lower coenzyme Q10 level. Mitochondrial dysfunction was featured by lower ATP content and elevated levels of lactate, branched-chain amino acids and reactive oxidative species. Mechanistically, inhibitory YAP-phosphorylation was enhanced, which was associated with attenuated binding of transcription factor TEAD1. Numerous suppressed mitochondrial genes were identified as YAP-targets. Conclusion: Hippo signaling activation mediates mitochondrial damage by repressing mitochondrial genes, which causally promotes the development of DCM. The Hippo pathway therefore represents a therapeutic target against mitochondrial dysfunction in cardiomyopathy.",2021,JournalArticle,10.7150/thno.62302,b4bd059a0f39c9f441afae2e898ff4a6962ca4af,both|direct_perturbation|long|aging_boundary|causal_anchor
doi:10.1016/j.cels.2022.06.006,semantic_scholar,Multi-omics personalized network analyses highlight progressive disruption of central metabolism associated with COVID-19 severity,"The clinical outcome and disease severity in coronavirus disease 2019 (COVID-19) are heterogeneous, and the progression or fatality of the disease cannot be explained by a single factor like age or comorbidities. In this study, we used system-wide network-based system biology analysis using whole blood RNA sequencing, immunophenotyping by flow cytometry, plasma metabolomics, and single-cell-type metabolomics of monocytes to identify the potential determinants of COVID-19 severity at personalized and group levels. Digital cell quantification and immunophenotyping of the mononuclear phagocytes indicated a substantial role in coordinating the immune cells that mediate COVID-19 severity. Stratum-specific and personalized genome-scale metabolic modeling indicated monocarboxylate transporter family genes (e.g., SLC16A6), nucleoside transporter genes (e.g., SLC29A1), and metabolites such as α-ketoglutarate, succinate, malate, and butyrate could play a crucial role in COVID-19 severity. Metabolic perturbations targeting the central metabolic pathway (TCA cycle) can be an alternate treatment strategy in severe COVID-19.",2022,JournalArticle,10.1016/j.cels.2022.06.006,b53d9ce00aeec11942c8bc929d0e6efffa3d8e5c,both|direct_perturbation|medium|aging_boundary|causal_anchor
doi:10.3390/microorganisms13010161,semantic_scholar,Skin Microbiota: Mediator of Interactions Between Metabolic Disorders and Cutaneous Health and Disease,"Metabolic disorders, including type 2 diabetes mellitus (T2DM), obesity, and metabolic syndrome, are systemic conditions that profoundly impact the skin microbiota, a dynamic community of bacteria, fungi, viruses, and mites essential for cutaneous health. Dysbiosis caused by metabolic dysfunction contributes to skin barrier disruption, immune dysregulation, and increased susceptibility to inflammatory skin diseases, including psoriasis, atopic dermatitis, and acne. For instance, hyperglycemia in T2DM leads to the formation of advanced glycation end products (AGEs), which bind to the receptor for AGEs (RAGE) on keratinocytes and immune cells, promoting oxidative stress and inflammation while facilitating Staphylococcus aureus colonization in atopic dermatitis. Similarly, obesity-induced dysregulation of sebaceous lipid composition increases saturated fatty acids, favoring pathogenic strains of Cutibacterium acnes, which produce inflammatory metabolites that exacerbate acne. Advances in metabolomics and microbiome sequencing have unveiled critical biomarkers, such as short-chain fatty acids and microbial signatures, predictive of therapeutic outcomes. For example, elevated butyrate levels in psoriasis have been associated with reduced Th17-mediated inflammation, while the presence of specific Lactobacillus strains has shown potential to modulate immune tolerance in atopic dermatitis. Furthermore, machine learning models are increasingly used to integrate multi-omics data, enabling personalized interventions. Emerging therapies, such as probiotics and postbiotics, aim to restore microbial diversity, while phage therapy selectively targets pathogenic bacteria like Staphylococcus aureus without disrupting beneficial flora. Clinical trials have demonstrated significant reductions in inflammatory lesions and improved quality-of-life metrics in patients receiving these microbiota-targeted treatments. This review synthesizes current evidence on the bidirectional interplay between metabolic disorders and skin microbiota, highlighting therapeutic implications and future directions. By addressing systemic metabolic dysfunction and microbiota-mediated pathways, precision strategies are paving the way for improved patient outcomes in dermatologic care.",2025,Review; JournalArticle,10.3390/microorganisms13010161,fe4f8fd4051900206f4c4290bac7165d40553782,both|formal_mediation|long|aging_boundary|causal_anchor
doi:10.1016/j.xcrm.2026.102797,europepmc,"Healthful plant-based diet, gut enterotype, and cognition in a rural Chinese elderly cohort: A longitudinal multi-omics study.","The gut microbiome may shape how diet influences cognitive aging, but population-based evidence remains limited. In 784 older adults living in rural China (70-98 years old) with fecal metagenomics and structured dietary assessment, a modified healthful plant-based diet index (mHPDI) is associated with distinct gut microbial structure and taxonomic shifts (15 species, 17 genera). Among participants with repeated cognitive measurements, higher mHPDI is associated with better global cognition, with stronger benefits in participants with non-Prevotella-dominant enterotypes (highest versus lowest tertile β = 0.34, 95% confidence interval [CI], 0.16 to 0.52) than in those with a Prevotella-dominant enterotype (0.04, -0.22 to 0.29; p interaction = 0.04). Enterotype-associated differences in microbial metabolic pathways, including preQ0 and L-isoleucine biosynthesis, parallel this heterogeneity. Moreover, 12 circulating microbiota-related metabolites (primarily amino acids and short-chain fatty acids) are linked to mHPDI. A composite score comprising these metabolites mediates 11.0% of the mHPDI-cognition association (p mediation = 0.02), with branched-chain amino acids as major contributors. These findings suggest that gut microbial context may shape diet-cognition associations.",2026,research-article; Journal Article,10.1016/j.xcrm.2026.102797,MED:42127905,both|formal_mediation|medium|aging_anchor|causal_anchor
doi:10.1038/s41593-022-01031-7,semantic_scholar,Integrating whole-genome sequencing with multi-omic data reveals the impact of structural variants on gene regulation in the human brain,"Structural variants (SVs), which are genomic rearrangements of more than 50 base pairs, are an important source of genetic diversity and have been linked to many diseases. However, it remains unclear how they modulate human brain function and disease risk. Here we report 170,996 SVs discovered using 1,760 short-read whole genomes from aged adults and individuals with Alzheimer’s disease. By applying quantitative trait locus (SV-xQTL) analyses, we quantified the impact of cis-acting SVs on histone modifications, gene expression, splicing and protein abundance in postmortem brain tissues. More than 3,200 SVs were associated with at least one molecular phenotype. We found reproducibility of 65–99% SV-eQTLs across cohorts and brain regions. SV associations with mRNA and proteins shared the same direction of effect in more than 87% of SV–gene pairs. Mediation analysis showed ~8% of SV-eQTLs mediated by histone acetylation and ~11% by splicing. Additionally, associations of SVs with progressive supranuclear palsy identified previously known and novel SVs. This study reports structural variants (SVs) discovered using 1,760 short-read whole genomes and provides a catalog linking SVs to gene regulation by mapping cis-acting SV-xQTLs with mRNA expression, splicing, histone acetylation and protein in postmortem brain tissues.",2022,JournalArticle,10.1038/s41593-022-01031-7,b7787099643158206562ed81fbba52dfc20f6a7b,both|formal_mediation|medium|aging_boundary|causal_anchor
doi:10.1007/s11427-025-3206-7,springernature,Host-microbial co-regulation mediates rumen volatile fatty acid production and utilization in dairy cows,"Volatile fatty acids (VFAs) provide more than 70% of the energy source for the ruminants. Understanding the host-microbiota regulation of VFAs production and utilization is highly important for optimizing the feed energy utilization efficiency of ruminants. Here, we conducted whole-genome resequencing, rumen transcriptome sequencing, 16S rRNA gene amplicon sequencing, and VFA concentration determination in 530 Holstein bulls. We treated VFA concentrations as complex traits to perform multi-omics association analyses. The host genetics, rumen microbiota, and rumen expressed genes, on average, explained 23%, 58%, and 61% of the variations in VFAs with the same diet, respectively. We found that the rumen microbial composition and community structure differed significantly between the high and low VFA individuals. We further identified 11 microbes with potential causal relationships with rumen VFAs via the Mendelian randomization method, among which Bacteroidales_RF16_group, Prevotella, Clostridia_UCG-014 , and [Eubacterium]_ventriosum_group were positively correlated with acetic acid, propionic acid, and butyric acid. Conversely, rumen epithelial genes involved in fatty acid β-oxidation (e.g., HSD17B4, ACADVL, ACADL, CPT1A , and ANGPTL4 ) were negatively correlated with the main VFAs and VFA-producing bacteria. These candidate microbes and genes suggest that the host-microbe coregulating mechanism facilitates the efficient production and utilization of rumen VFAs in ruminants. Our study provides a comprehensive perspective on the complex dynamic regulatory patterns of rumen VFAs, highlighting the crucial role of host-microbe interactions in optimizing the feed utilization of ruminants.",2026,OriginalPaper; Research Paper,10.1007/s11427-025-3206-7,doi:10.1007/s11427-025-3206-7,both|genetic_instrument|long|aging_boundary|causal_anchor
doi:10.1101/2025.11.25.690439,pubmed,mfSuSiE enables multi-cell-type fine-mapping and multi-omic integration of chromatin accessibility QTLs in aging brain.,"Molecular quantitative trait locus (QTL) studies increasingly profile chromatin accessibility, histone modifications, DNA methylation, RNA modifications such as N6-methyladenosine (m6A), and transcription across multiple cell types using high-throughput sequencing, generating dense base-pair-resolved measurements. The conventional approach of testing each variant against each molecular feature independently suffers from severe multiple testing burden and ignores linkage disequilibrium and spatial correlation. Existing fine-mapping methods only partially address these challenges and are sub-optimal for analyzing such datasets: multivariate approaches such as mvSuSiE jointly analyze multiple molecular contexts but are designed for a single trait value per context and cannot accommodate thousands of base-resolution measurements per context, while functional approaches such as fSuSiE model spatial structure across thousands of measurements but analyze each context separately. Here, we introduce mfSuSiE , which integrates multivariate analysis with wavelet-based functional regression to jointly fine-map thousands of base-resolution traits across multiple cell types. In simulations, mfSuSiE identified causal variants and affected molecular features more accurately than fSuSiE , while mvSuSiE cannot be applied to this type of data. Applied to single-nucleus chromatin accessibility data from six brain cell types from postmortem aging human brains, mfSuSiE substantially increased discovery and resolution, with substantial power gains for cell types with limited samples. Multi-cell-type analysis revealed extensive sharing of regulatory effects on chromatin accessibility (caQTL). Importantly, mfSuSiE produces Bayesian inference compatible with the SuSiE framework, enabling systematic multi-omic integration. Applied to Alzheimer's disease loci, we integrated caQTL with expression QTLs, epigenomic QTLs, and GWAS, observing regulatory patterns suggesting complex mechanisms at loci including EARS2 , CHRNE , SCIMP , and RABEP1 .",2025,Journal Article; Preprint,10.1101/2025.11.25.690439,41394596,both|other_causal_or_boundary|long|aging_anchor|causal_anchor
doi:10.1007/s12015-026-11119-3,springernature,Advances in Oral Cavity Stem Cell Research Revealed through Multi-omics Analysis,"Oral stem cell research encompasses the study of dental pulp stem cells, periodontal ligament stem cells, regeneration of dental pulp and periodontal ligament, and therapeutic approaches for dental caries. Dental pulp stem cells, located in the oral cavity, have been applied to tooth, alveolar bone, and periodontal tissue regeneration and are anticipated to exert systemic therapeutic effects. Global efforts to identify biomarkers of oral disease have employed expression proteome analysis. However, because most proteins function only after undergoing post-translational modifications, methods based solely on expression proteomics remain limited. Consequently, increasing attention has focused on characterizing protein modifications. Advances now enable comprehensive measurement of modifications across the omics hierarchy, including the epitranscriptome, phosphoproteome, and metabolome, to clarify the layered interactions among the genome, epigenome, transcriptome, and metabolome. ""Multi-omics"" denotes the integration of multiple omics layers for analysis. Moreover, several omics layers can now be assessed at single-cell resolution, enabling a more detailed projection of biological phenomena and a more holistic understanding. Recently, multi-omics strategies have also been applied to oral stem cell research. This review summarizes emerging insights into oral cavity stem cell biology obtained through multi-omics approaches. We recognize the limitation that our search strategy relied exclusively on the MEDLINE database in PubMed and did not incorporate additional sources such as gray literature, conference proceedings, or clinical practice guidelines. Multi-omics analysis enables the elucidation of multilayered causal relationships in biological phenomena that were previously inaccessible using conventional single-omics approaches, by integrating multiple layers such as the genome (DNA), transcriptome (RNA), proteome (proteins), and metabolome (metabolites). Looking forward, the integration of AI and machine learning is expected to facilitate early diagnosis of oral diseases, precise patient stratification, and the advancement of personalized medicine.",2026,ReviewPaper; Review,10.1007/s12015-026-11119-3,doi:10.1007/s12015-026-11119-3,both|other_causal_or_boundary|long|aging_boundary|causal_anchor
doi:10.1101/2025.10.10.25337775,europepmc,Long-read genome sequencing and multi-omics in aging and neurodegeneration,"Structural variants (SVs) are a major source of genetic variation yet remain underexplored in healthy aging and neurodegenerative diseases. We performed nanopore long-read genome sequencing (lrGS) on 551 deeply-phenotyped individuals from Stanfords Aging and Memory Study and Alzheimers Disease Research Center, generating a comprehensive SV map integrated with matched methylation, transcriptomic, and proteomic data. Over 60% of SVs identified by lrGS were not detected with short-read WGS, including many poorly tagged by single-nucleotide variants (SNVs). We discovered >60,000 SV-QTLs across molecular traits and showed that SVs were more likely than SNVs to be fine-mapped as causal. Colocalization with Alzheimers and Parkinsons disease GWAS implicated SVs at multiple loci, including TMEM106B, BIN3, and NBEAL1. Multi-omic outlier enrichment and Bayesian modeling prioritized rare functional SVs near known risk genes. Combined, these data reveal widespread regulatory SVs in healthy aging and neurodegeneration, underscoring the importance of lrGS in deciphering complex genetic architecture.",2025,Preprint,10.1101/2025.10.10.25337775,PPR:PPR1100320,both|other_causal_or_boundary|medium|aging_anchor|causal_anchor
